swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,act_label_1,act_label_2,act_label_relation,caller,utterance_index,subutterance_index,clean_text,parse_tree,topic_description,prompt
sw05utt/sw_0576_4363.utt,4/sw4363,4363,0,%,Communicative-Status:Uninterpretable,,,A,1,1,"Wh, what's","(ROOT (NP (NP (NN wh)) (, ,) (SBAR (WHNP (WP what)) (VP (VBZ 's)))))",FOOTBALL,PLEASE DISCUSS PROFESSIONAL FOOTBALL.  FIND OUT THE OTHER CALLER'S FAVORITE PRO FOOTBALL TEAM AND WHERE IT'S HEADED THIS YEAR.       DO YOU AGREE WITH THE CALLER'S PREDICTION?
sw05utt/sw_0576_4363.utt,4/sw4363,4363,1,%,Communicative-Status:Uninterpretable,,,B,2,1,Uh.,(ROOT (INTJ (UH uh) (. .))),FOOTBALL,PLEASE DISCUSS PROFESSIONAL FOOTBALL.  FIND OUT THE OTHER CALLER'S FAVORITE PRO FOOTBALL TEAM AND WHERE IT'S HEADED THIS YEAR.       DO YOU AGREE WITH THE CALLER'S PREDICTION?
sw05utt/sw_0576_4363.utt,4/sw4363,4363,3,qy,Info-request:Yes-No-Question,,,A,3,2,are you into the Cowboys ?,(ROOT (SBARQ (SQ (VBP are) (NP (PRP you)) (PP (IN into) (NP (DT the) (NNS cowboys)))) (. ?))),FOOTBALL,PLEASE DISCUSS PROFESSIONAL FOOTBALL.  FIND OUT THE OTHER CALLER'S FAVORITE PRO FOOTBALL TEAM AND WHERE IT'S HEADED THIS YEAR.       DO YOU AGREE WITH THE CALLER'S PREDICTION?
sw05utt/sw_0576_4363.utt,4/sw4363,4363,4,nn,Backwards-Communicative-Function:Answer:No answers,,,B,4,1,"Oh, God, no.","(ROOT (NP (NP (INTJ (UH oh)) (, ,) (NP (NN god)) (, ,) (NP (DT no))) (. .)))",FOOTBALL,PLEASE DISCUSS PROFESSIONAL FOOTBALL.  FIND OUT THE OTHER CALLER'S FAVORITE PRO FOOTBALL TEAM AND WHERE IT'S HEADED THIS YEAR.       DO YOU AGREE WITH THE CALLER'S PREDICTION?
sw05utt/sw_0576_4363.utt,4/sw4363.pos,4363,5,x,Communicative-Status:Non-verbal,,,A,5,1,.,(ROOT (. .)),FOOTBALL,PLEASE DISCUSS PROFESSIONAL FOOTBALL.  FIND OUT THE OTHER CALLER'S FAVORITE PRO FOOTBALL TEAM AND WHERE IT'S HEADED THIS YEAR.       DO YOU AGREE WITH THE CALLER'S PREDICTION?
sw05utt/sw_0576_4363.utt,4/sw4363,4363,10,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,6,5,I like Philadelphia Eagles.,(ROOT (FRAG (PP (LS i) (FRAG (PP (IN like) (NP (NN philadelphia) (NNS eagles))))) (. .))),FOOTBALL,PLEASE DISCUSS PROFESSIONAL FOOTBALL.  FIND OUT THE OTHER CALLER'S FAVORITE PRO FOOTBALL TEAM AND WHERE IT'S HEADED THIS YEAR.       DO YOU AGREE WITH THE CALLER'S PREDICTION?
sw05utt/sw_0576_4363.utt,4/sw4363,4363,11,qy,Info-request:Yes-No-Question,,,A,7,1,"Oh, yeah ?","(ROOT (FRAG (INTJ (UH oh)) (, ,) (VP (VB yeah)) (. ?)))",FOOTBALL,PLEASE DISCUSS PROFESSIONAL FOOTBALL.  FIND OUT THE OTHER CALLER'S FAVORITE PRO FOOTBALL TEAM AND WHERE IT'S HEADED THIS YEAR.       DO YOU AGREE WITH THE CALLER'S PREDICTION?
sw05utt/sw_0576_4363.utt,4/sw4363,4363,12,ny,Info-request:Yes answers,,,B,8,1,Yeah.,(ROOT (NP (NN yeah) (. .))),FOOTBALL,PLEASE DISCUSS PROFESSIONAL FOOTBALL.  FIND OUT THE OTHER CALLER'S FAVORITE PRO FOOTBALL TEAM AND WHERE IT'S HEADED THIS YEAR.       DO YOU AGREE WITH THE CALLER'S PREDICTION?
sw05utt/sw_0576_4363.utt,4/sw4363,4363,13,ba,Backwards-Communicative-Function:Understanding:Appreciation,,,A,9,1,"Well, that","(ROOT (FRAG (ADVP (RB well)) (, ,) (NP (IN that))))",FOOTBALL,PLEASE DISCUSS PROFESSIONAL FOOTBALL.  FIND OUT THE OTHER CALLER'S FAVORITE PRO FOOTBALL TEAM AND WHERE IT'S HEADED THIS YEAR.       DO YOU AGREE WITH THE CALLER'S PREDICTION?
sw05utt/sw_0576_4363.utt,4/sw4363,4363,15,%,Communicative-Status:Uninterpretable,,,B,10,2,so.,(ROOT (ADVP (RB so) (. .))),FOOTBALL,PLEASE DISCUSS PROFESSIONAL FOOTBALL.  FIND OUT THE OTHER CALLER'S FAVORITE PRO FOOTBALL TEAM AND WHERE IT'S HEADED THIS YEAR.       DO YOU AGREE WITH THE CALLER'S PREDICTION?
