swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,act_label_1,act_label_2,act_label_relation,caller,utterance_index,subutterance_index,clean_text,parse_tree,topic_description,prompt
sw04utt/sw_0461_2436.utt,2/sw2436,2436,0,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,1,1,Well I haven't had too much of a chance to watch T V lately.,(ROOT (S (ADVP (RB well)) (FW i) (VP (VBP have) (RB n't) (VP (VBD had) (S (NP (NP (RB too) (JJ much)) (PP (IN of) (NP (DT a) (NN chance) (S (VP (TO to) (VP (VB watch) (NP (NN t)))))))) (VP (LS v) (ADVP (RB lately)))))) (. .))),TV_PROGRAMS,FIND OUT WHAT THE OTHER CALLER'S FAVORITE TV SHOWS ARE AND WHY.  ARE YOUR INTERESTS SIMILAR OR DIFFERENT?
sw04utt/sw_0461_2436.utt,2/sw2436,2436,1,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,2,1,Yeah.,(ROOT (NP (NN yeah) (. .))),TV_PROGRAMS,FIND OUT WHAT THE OTHER CALLER'S FAVORITE TV SHOWS ARE AND WHY.  ARE YOUR INTERESTS SIMILAR OR DIFFERENT?
sw04utt/sw_0461_2436.utt,2/sw2436,2436,2,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,3,1,So probably everything I going to say is kind of dated.,(ROOT (S (ADVP (RB so) (RB probably)) (NP (NP (NN everything)) (VP (FW i) (S (VP (VBG going) (S (VP (TO to) (VP (VB say)))))))) (VP (VBZ is) (NP (NP (NN kind)) (PP (IN of) (NP (VBN dated))))) (. .))),TV_PROGRAMS,FIND OUT WHAT THE OTHER CALLER'S FAVORITE TV SHOWS ARE AND WHY.  ARE YOUR INTERESTS SIMILAR OR DIFFERENT?
sw04utt/sw_0461_2436.utt,2/sw2436,2436,4,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,A,4,2,It's that time of the year.,(ROOT (S (NP (PRP it)) (VP (VBZ 's) (NP (NP (DT that) (NN time)) (PP (IN of) (NP (DT the) (NN year))))) (. .))),TV_PROGRAMS,FIND OUT WHAT THE OTHER CALLER'S FAVORITE TV SHOWS ARE AND WHY.  ARE YOUR INTERESTS SIMILAR OR DIFFERENT?
sw04utt/sw_0461_2436.utt,2/sw2436,2436,5,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,B,5,1,Yeah.,(ROOT (NP (NN yeah) (. .))),TV_PROGRAMS,FIND OUT WHAT THE OTHER CALLER'S FAVORITE TV SHOWS ARE AND WHY.  ARE YOUR INTERESTS SIMILAR OR DIFFERENT?
sw04utt/sw_0461_2436.utt,2/sw2436,2436,7,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,6,2,So we're,(ROOT (SBAR (IN so) (S (NP (PRP we)) (`` `) (VP (VB re))))),TV_PROGRAMS,FIND OUT WHAT THE OTHER CALLER'S FAVORITE TV SHOWS ARE AND WHY.  ARE YOUR INTERESTS SIMILAR OR DIFFERENT?
sw04utt/sw_0461_2436.utt,2/sw2436,2436,8,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,B,7,1,Oh.,(ROOT (INTJ (UH oh) (. .))),TV_PROGRAMS,FIND OUT WHAT THE OTHER CALLER'S FAVORITE TV SHOWS ARE AND WHY.  ARE YOUR INTERESTS SIMILAR OR DIFFERENT?
sw04utt/sw_0461_2436.utt,2/sw2436,2436,9,+,Other:Segment-(multi-utterance),,,A,8,1,spend a lot of time on the house and out in the yard and things. But.,(ROOT (S (VP (VB spend) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NN time)))) (PP (PP (IN on) (NP (DT the) (NN house))) (CC and) (PP (IN out) (PP (IN in) (NP (DT the) (NN yard) (CC and) (NNS things)))))) (. .))),TV_PROGRAMS,FIND OUT WHAT THE OTHER CALLER'S FAVORITE TV SHOWS ARE AND WHY.  ARE YOUR INTERESTS SIMILAR OR DIFFERENT?
sw04utt/sw_0461_2436.utt,2/sw2436,2436,10,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,B,9,1,Yeah.,(ROOT (NP (NN yeah) (. .))),TV_PROGRAMS,FIND OUT WHAT THE OTHER CALLER'S FAVORITE TV SHOWS ARE AND WHY.  ARE YOUR INTERESTS SIMILAR OR DIFFERENT?
sw04utt/sw_0461_2436.utt,2/sw2436,2436,11,+,Other:Segment-(multi-utterance),,,A,10,1,"Um, like to keep up to date too.","(ROOT (FRAG (NP (NN um)) (, ,) (SBAR (IN like) (S (VP (TO to) (VP (VB keep) (ADVP (RP up) (PP (TO to) (NP (NN date)))) (NP (RB too)))))) (. .)))",TV_PROGRAMS,FIND OUT WHAT THE OTHER CALLER'S FAVORITE TV SHOWS ARE AND WHY.  ARE YOUR INTERESTS SIMILAR OR DIFFERENT?
sw04utt/sw_0461_2436.utt,2/sw2436,2436,12,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,B,11,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),TV_PROGRAMS,FIND OUT WHAT THE OTHER CALLER'S FAVORITE TV SHOWS ARE AND WHY.  ARE YOUR INTERESTS SIMILAR OR DIFFERENT?
