swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,act_label_1,act_label_2,act_label_relation,caller,utterance_index,subutterance_index,clean_text,parse_tree,topic_description,prompt
sw07utt/sw_0742_2235.utt,2/sw2235,2235,0,o,Other,,,A,1,1,Okay.,(ROOT (ADJP (JJ okay) (. .))),FEDERAL_BUDGET,WHAT SHORT AND LONG-TERM STEPS DO YOU AND THE OTHER CALLER THINK SHOULD BE TAKEN TO IMPROVE THE US BUDGET?
sw07utt/sw_0742_2235.utt,2/sw2235,2235,1,fp,Other-forward-function:Conventional-opening,,,B,2,1,Hi.,(ROOT (INTJ (UH hi) (. .))),FEDERAL_BUDGET,WHAT SHORT AND LONG-TERM STEPS DO YOU AND THE OTHER CALLER THINK SHOULD BE TAKEN TO IMPROVE THE US BUDGET?
sw07utt/sw_0742_2235.utt,2/sw2235,2235,2,fp,Other-forward-function:Conventional-opening,,,A,3,1,Hi.,(ROOT (INTJ (UH hi) (. .))),FEDERAL_BUDGET,WHAT SHORT AND LONG-TERM STEPS DO YOU AND THE OTHER CALLER THINK SHOULD BE TAKEN TO IMPROVE THE US BUDGET?
sw07utt/sw_0742_2235.utt,2/sw2235,2235,4,qy,Info-request:Yes-No-Question,,,B,4,2,You want to start ?,(ROOT (S (NP (PRP you)) (VP (VBP want) (S (VP (TO to) (VP (VB start))))) (. ?))),FEDERAL_BUDGET,WHAT SHORT AND LONG-TERM STEPS DO YOU AND THE OTHER CALLER THINK SHOULD BE TAKEN TO IMPROVE THE US BUDGET?
sw07utt/sw_0742_2235.utt,2/sw2235,2235,10,%,Communicative-Status:Uninterpretable,,,A,5,6,And,(ROOT (CC and)),FEDERAL_BUDGET,WHAT SHORT AND LONG-TERM STEPS DO YOU AND THE OTHER CALLER THINK SHOULD BE TAKEN TO IMPROVE THE US BUDGET?
sw07utt/sw_0742_2235.utt,2/sw2235,2235,11,aa,Backwards-Communicative-Function:Agreement:Accept,,,B,6,1,That is very true.,(ROOT (S (NP (DT that)) (VP (VBZ is) (ADJP (RB very) (JJ true))) (. .))),FEDERAL_BUDGET,WHAT SHORT AND LONG-TERM STEPS DO YOU AND THE OTHER CALLER THINK SHOULD BE TAKEN TO IMPROVE THE US BUDGET?
sw07utt/sw_0742_2235.utt,2/sw2235,2235,12,%,Communicative-Status:Uninterpretable,,,A,7,1,That's just.,(ROOT (S (NP (DT that)) (VP (VBZ 's) (ADVP (RB just))) (. .))),FEDERAL_BUDGET,WHAT SHORT AND LONG-TERM STEPS DO YOU AND THE OTHER CALLER THINK SHOULD BE TAKEN TO IMPROVE THE US BUDGET?
sw07utt/sw_0742_2235.utt,2/sw2235,2235,13,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,B,8,1,"However, our whole economy is based on loans.","(ROOT (S (ADVP (RB however)) (, ,) (NP (PRP$ our) (JJ whole) (NN economy)) (VP (VBZ is) (VP (VBN based) (PP (IN on) (NP (NNS loans))))) (. .)))",FEDERAL_BUDGET,WHAT SHORT AND LONG-TERM STEPS DO YOU AND THE OTHER CALLER THINK SHOULD BE TAKEN TO IMPROVE THE US BUDGET?
sw07utt/sw_0742_2235.utt,2/sw2235,2235,14,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,9,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),FEDERAL_BUDGET,WHAT SHORT AND LONG-TERM STEPS DO YOU AND THE OTHER CALLER THINK SHOULD BE TAKEN TO IMPROVE THE US BUDGET?
sw07utt/sw_0742_2235.utt,2/sw2235,2235,16,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,B,10,2,or you have borrowed money against your credit card or something,(ROOT (QP (CC or) (S (NP (PRP you)) (VP (VBP have) (VP (VBN borrowed) (NP (NN money)) (PP (IN against) (NP (NP (PRP$ your) (NN credit) (NN card)) (CC or) (NP (NN something))))))))),FEDERAL_BUDGET,WHAT SHORT AND LONG-TERM STEPS DO YOU AND THE OTHER CALLER THINK SHOULD BE TAKEN TO IMPROVE THE US BUDGET?
