swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,act_label_1,act_label_2,act_label_relation,caller,utterance_index,subutterance_index,clean_text,parse_tree,topic_description,prompt
sw04utt/sw_0420_3288.utt,3/sw3288,3288,1,qw,Info-request:Wh-Question,,,A,1,2,"So, uh, what was the last car repair you had ?","(ROOT (SINV (ADVP (RB so)) (, ,) (SBARQ (INTJ (UH uh)) (, ,) (WHNP (WP what)) (SQ (VBD was) (NP (NP (DT the) (JJ last) (NN car) (NN repair)) (SBAR (S (NP (PRP you)) (VP (VBD had)))))) (. ?))))",AUTO_REPAIRS,WHAT WAS THE LAST AUTO REPAIR YOU PERFORMED OR HAD DONE ON YOUR CAR? ARE THERE SOME TYPES OF REPAIRS OR MAINTENANCE TASKS YOU PREFER TO DO YOURSELF?  DISCUSS YOUR EXPERIENCES IN THIS AREA WITH THE OTHER CALLER.
sw04utt/sw_0420_3288.utt,3/sw3288,3288,2,sd^t,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,2,1,"Just recently I was kind of laughing when I, when I heard the switchboard talking about the question because, uh, I had to have my, uh, radiator flushed","(ROOT (SINV (ADVP (RB just) (RB recently)) (FW i) (VP (VBD was) (NP (NP (NN kind)) (PP (IN of) (S (VP (VBG laughing) (S (WHADVP (WRB when)) (NP (FW i) (, ,) (SBAR (WHADVP (WRB when)) (S (NP (FW i)) (VP (VBD heard) (NP (NP (DT the) (NN switchboard)) (VP (VBG talking) (PP (IN about) (NP (DT the) (NN question))) (S (IN because) (, ,) (INTJ (UH uh)) (, ,) (NP (FW i)) (VP (VBD had) (S (VP (TO to) (VP (VB have) (S (PRP$ my) (, ,) (INTJ (UH uh)) (, ,) (NP (NN radiator)) (VP (VBD flushed))))))))))))))))))))))",AUTO_REPAIRS,WHAT WAS THE LAST AUTO REPAIR YOU PERFORMED OR HAD DONE ON YOUR CAR? ARE THERE SOME TYPES OF REPAIRS OR MAINTENANCE TASKS YOU PREFER TO DO YOURSELF?  DISCUSS YOUR EXPERIENCES IN THIS AREA WITH THE OTHER CALLER.
sw04utt/sw_0420_3288.utt,3/sw3288,3288,3,bk,Backwards-Communicative-Function:Understanding:Response Acknowledgement,,,A,3,1,Oh.,(ROOT (INTJ (UH oh) (. .))),AUTO_REPAIRS,WHAT WAS THE LAST AUTO REPAIR YOU PERFORMED OR HAD DONE ON YOUR CAR? ARE THERE SOME TYPES OF REPAIRS OR MAINTENANCE TASKS YOU PREFER TO DO YOURSELF?  DISCUSS YOUR EXPERIENCES IN THIS AREA WITH THE OTHER CALLER.
sw04utt/sw_0420_3288.utt,3/sw3288,3288,8,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,4,5,So I was stranded out on the highway.,(ROOT (S (NP (RB so) (FW i)) (VP (VBD was) (VP (VBN stranded) (PRT (RP out)) (PP (IN on) (NP (DT the) (NN highway))))) (. .))),AUTO_REPAIRS,WHAT WAS THE LAST AUTO REPAIR YOU PERFORMED OR HAD DONE ON YOUR CAR? ARE THERE SOME TYPES OF REPAIRS OR MAINTENANCE TASKS YOU PREFER TO DO YOURSELF?  DISCUSS YOUR EXPERIENCES IN THIS AREA WITH THE OTHER CALLER.
sw04utt/sw_0420_3288.utt,3/sw3288,3288,10,qy,Info-request:Yes-No-Question,,,A,5,2,Did you crack the block or what ?,(ROOT (SQ (VBD did) (NP (PRP you)) (VP (VB crack) (NP (NP (DT the) (NN block)) (CC or) (SBARQ (WHNP (WP what)) (. ?)))))),AUTO_REPAIRS,WHAT WAS THE LAST AUTO REPAIR YOU PERFORMED OR HAD DONE ON YOUR CAR? ARE THERE SOME TYPES OF REPAIRS OR MAINTENANCE TASKS YOU PREFER TO DO YOURSELF?  DISCUSS YOUR EXPERIENCES IN THIS AREA WITH THE OTHER CALLER.
sw04utt/sw_0420_3288.utt,3/sw3288,3288,15,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,6,5,"So that was, that was a horrible experience","(ROOT (SBAR (RB so) (IN that) (SINV (VP (VBD was)) (, ,) (X (SBAR (WHNP (DT that)) (S (VP (VBD was) (NP (DT a) (JJ horrible) (NN experience)))))))))",AUTO_REPAIRS,WHAT WAS THE LAST AUTO REPAIR YOU PERFORMED OR HAD DONE ON YOUR CAR? ARE THERE SOME TYPES OF REPAIRS OR MAINTENANCE TASKS YOU PREFER TO DO YOURSELF?  DISCUSS YOUR EXPERIENCES IN THIS AREA WITH THE OTHER CALLER.
sw04utt/sw_0420_3288.utt,3/sw3288,3288,17,bk,Backwards-Communicative-Function:Understanding:Response Acknowledgement,,,A,7,2,I see.,(ROOT (S (VP (LS i) (VP (VB see))) (. .))),AUTO_REPAIRS,WHAT WAS THE LAST AUTO REPAIR YOU PERFORMED OR HAD DONE ON YOUR CAR? ARE THERE SOME TYPES OF REPAIRS OR MAINTENANCE TASKS YOU PREFER TO DO YOURSELF?  DISCUSS YOUR EXPERIENCES IN THIS AREA WITH THE OTHER CALLER.
sw04utt/sw_0420_3288.utt,3/sw3288,3288,18,+,Other:Segment-(multi-utterance),,,B,8,1,just recently.,(ROOT (FRAG (ADVP (RB just) (RB recently)) (. .))),AUTO_REPAIRS,WHAT WAS THE LAST AUTO REPAIR YOU PERFORMED OR HAD DONE ON YOUR CAR? ARE THERE SOME TYPES OF REPAIRS OR MAINTENANCE TASKS YOU PREFER TO DO YOURSELF?  DISCUSS YOUR EXPERIENCES IN THIS AREA WITH THE OTHER CALLER.
sw04utt/sw_0420_3288.utt,3/sw3288,3288,19,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,A,9,1,You got lucky you didn't ruin the whole engine though.,(ROOT (S (S (NP (PRP you)) (VP (VBD got) (ADJP (JJ lucky))) (S (NP (PRP you)) (VP (VBD did) (RB n't) (VP (VB ruin) (NP (DT the) (JJ whole) (NN engine)) (ADVP (IN though)))))) (. .))),AUTO_REPAIRS,WHAT WAS THE LAST AUTO REPAIR YOU PERFORMED OR HAD DONE ON YOUR CAR? ARE THERE SOME TYPES OF REPAIRS OR MAINTENANCE TASKS YOU PREFER TO DO YOURSELF?  DISCUSS YOUR EXPERIENCES IN THIS AREA WITH THE OTHER CALLER.
sw04utt/sw_0420_3288.utt,3/sw3288,3288,21,aa^r,Backwards-Communicative-Function:Agreement:Accept,,,B,10,2,yes.,(ROOT (ADVP (RB yes) (. .))),AUTO_REPAIRS,WHAT WAS THE LAST AUTO REPAIR YOU PERFORMED OR HAD DONE ON YOUR CAR? ARE THERE SOME TYPES OF REPAIRS OR MAINTENANCE TASKS YOU PREFER TO DO YOURSELF?  DISCUSS YOUR EXPERIENCES IN THIS AREA WITH THE OTHER CALLER.
