swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,act_label_1,act_label_2,act_label_relation,caller,utterance_index,subutterance_index,clean_text,parse_tree,topic_description,prompt
sw08utt/sw_0864_2716.utt,2/sw2716,2716,2,qy,Info-request:Yes-No-Question,,,A,1,3,Do you have any strong opinions ?,(ROOT (FRAG (SINV (VB do) (NP (PRP you)) (VP (VBP have) (NP (DT any) (JJ strong) (NNS opinions)))) (. ?))),UNIVERSAL_HEALTH_INS,DO YOU BELIEVE THAT THE US GOVERNMENT SHOULD PROVIDE UNIVERSAL HEALTH INSURANCE
sw08utt/sw_0864_2716.utt,2/sw2716,2716,4,sv^e,Forward-Communicative-Function:Statement:Statement-opinion,,,B,2,2,I think it's probably a good ideal,(ROOT (S (VP (LS i) (VP (VB think) (SBAR (S (NP (PRP it)) (VP (VBZ 's) (ADVP (RB probably)) (NP (DT a) (JJ good) (NN ideal))))))))),UNIVERSAL_HEALTH_INS,DO YOU BELIEVE THAT THE US GOVERNMENT SHOULD PROVIDE UNIVERSAL HEALTH INSURANCE
sw08utt/sw_0864_2716.utt,2/sw2716,2716,5,qy,Info-request:Yes-No-Question,,,A,3,1,You do ?,(ROOT (S (NP (PRP you)) (VP (VBP do)) (. ?))),UNIVERSAL_HEALTH_INS,DO YOU BELIEVE THAT THE US GOVERNMENT SHOULD PROVIDE UNIVERSAL HEALTH INSURANCE
sw08utt/sw_0864_2716.utt,2/sw2716,2716,6,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,B,4,1,"uh, I think, given, uh, given, well given that there are so many people who don't have health insurance. It's probably a real smart thing","(ROOT (NP (NP (INTJ (UH uh)) (, ,) (FW i) (VB think)) (, ,) (VP (VBN given) (, ,) (INTJ (UH uh)) (, ,) (VP (VBN given) (, ,) (S (VP (ADVP (RB well)) (PP (VBN given) (SBAR (IN that) (S (NP (EX there)) (VP (VBP are) (NP (NP (ADJP (RB so) (JJ many)) (NNS people)) (SBAR (WHNP (WP who)) (S (VP (VBP do) (RB n't) (VP (VB have) (NP (NN health) (NN insurance))))))))))))))) (. .)))",UNIVERSAL_HEALTH_INS,DO YOU BELIEVE THAT THE US GOVERNMENT SHOULD PROVIDE UNIVERSAL HEALTH INSURANCE
sw08utt/sw_0864_2716.utt,2/sw2716,2716,7,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,5,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),UNIVERSAL_HEALTH_INS,DO YOU BELIEVE THAT THE US GOVERNMENT SHOULD PROVIDE UNIVERSAL HEALTH INSURANCE
sw08utt/sw_0864_2716.utt,2/sw2716,2716,9,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,B,6,2,"I mean, you hear these horror stories of people, homeless people going to the hospital and","(ROOT (S (S (FW i) (VP (VB mean))) (, ,) (NP (NP (PRP you)) (VBP hear) (NP (NP (DT these) (NN horror) (NNS stories)) (PP (IN of) (NP (NNS people)))) (, ,) (NP (NP (JJ homeless) (NNS people)) (VP (VBG going) (PP (TO to) (NP (DT the) (NN hospital))))) (CC and))))",UNIVERSAL_HEALTH_INS,DO YOU BELIEVE THAT THE US GOVERNMENT SHOULD PROVIDE UNIVERSAL HEALTH INSURANCE
sw08utt/sw_0864_2716.utt,2/sw2716,2716,10,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,7,1,Yeah.,(ROOT (NP (NN yeah) (. .))),UNIVERSAL_HEALTH_INS,DO YOU BELIEVE THAT THE US GOVERNMENT SHOULD PROVIDE UNIVERSAL HEALTH INSURANCE
sw08utt/sw_0864_2716.utt,2/sw2716,2716,11,+,Other:Segment-(multi-utterance),,,B,8,1,and being thrown out because they have no insurance,(ROOT (S (PP (CC and) (S (VP (VBG being) (VP (VBN thrown) (PRT (RP out)))))) (SBAR (IN because) (S (NP (PRP they)) (VP (VBP have) (NP (DT no) (NN insurance))))))),UNIVERSAL_HEALTH_INS,DO YOU BELIEVE THAT THE US GOVERNMENT SHOULD PROVIDE UNIVERSAL HEALTH INSURANCE
sw08utt/sw_0864_2716.utt,2/sw2716,2716,12,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,9,1,Right.,(ROOT (ADVP (RB right) (. .))),UNIVERSAL_HEALTH_INS,DO YOU BELIEVE THAT THE US GOVERNMENT SHOULD PROVIDE UNIVERSAL HEALTH INSURANCE
sw08utt/sw_0864_2716.utt,2/sw2716,2716,16,o@,Other,,,B,10,4,so.,(ROOT (ADVP (RB so) (. .))),UNIVERSAL_HEALTH_INS,DO YOU BELIEVE THAT THE US GOVERNMENT SHOULD PROVIDE UNIVERSAL HEALTH INSURANCE
