swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,act_label_1,act_label_2,act_label_relation,caller,utterance_index,subutterance_index,clean_text,parse_tree,topic_description,prompt
sw06utt/sw_0648_2616.utt,2/sw2616,2616,1,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,B,1,2,"so I think, I think what we should talk about is, uh, the war.","(ROOT (NP (NP (RB so) (FW i) (VB think)) (, ,) (NP (FW i)) (NP (VBP think) (FRAG (SBAR (WHNP (WP what)) (S (NP (PRP we)) (VP (MD should) (VP (VB talk) (ADVP (IN about) (VBZ is)))))) (, ,) (INTJ (UH uh)) (, ,) (NP (DT the) (NN war)) (. .)))))",POLITICS,DISCUSS ANY RECENT POLITICAL ELECTIONS OR MOVEMENT THAT YOU AND THE OTHER CALLER CONSIDER INTERESTING OR IMPORTANT.  ORY
sw06utt/sw_0648_2616.utt,2/sw2616,2616,2,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,2,1,Okay.,(ROOT (ADJP (JJ okay) (. .))),POLITICS,DISCUSS ANY RECENT POLITICAL ELECTIONS OR MOVEMENT THAT YOU AND THE OTHER CALLER CONSIDER INTERESTING OR IMPORTANT.  ORY
sw06utt/sw_0648_2616.utt,2/sw2616,2616,5,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,B,3,3,First of all I don't believe in war.,(ROOT (S (ADVP (RB first) (PP (IN of) (NP (DT all) (FW i)))) (VP (VBP do) (RB n't) (VP (VB believe) (PP (IN in) (NP (NN war))))) (. .))),POLITICS,DISCUSS ANY RECENT POLITICAL ELECTIONS OR MOVEMENT THAT YOU AND THE OTHER CALLER CONSIDER INTERESTING OR IMPORTANT.  ORY
sw06utt/sw_0648_2616.utt,2/sw2616,2616,6,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,4,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),POLITICS,DISCUSS ANY RECENT POLITICAL ELECTIONS OR MOVEMENT THAT YOU AND THE OTHER CALLER CONSIDER INTERESTING OR IMPORTANT.  ORY
sw06utt/sw_0648_2616.utt,2/sw2616,2616,9,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,B,5,3,You didn't gain anything from it.,(ROOT (S (NP (PRP you)) (VP (VBD did) (RB n't) (VP (VB gain) (NP (NN anything)) (PP (IN from) (NP (PRP it))))) (. .))),POLITICS,DISCUSS ANY RECENT POLITICAL ELECTIONS OR MOVEMENT THAT YOU AND THE OTHER CALLER CONSIDER INTERESTING OR IMPORTANT.  ORY
sw06utt/sw_0648_2616.utt,2/sw2616,2616,10,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,6,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),POLITICS,DISCUSS ANY RECENT POLITICAL ELECTIONS OR MOVEMENT THAT YOU AND THE OTHER CALLER CONSIDER INTERESTING OR IMPORTANT.  ORY
sw06utt/sw_0648_2616.utt,2/sw2616,2616,14,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,7,4,Iraq wants to raise oil prices.,(ROOT (S (NP (NN iraq)) (VP (VBZ wants) (S (VP (TO to) (VP (VB raise) (NP (NN oil) (NNS prices)))))) (. .))),POLITICS,DISCUSS ANY RECENT POLITICAL ELECTIONS OR MOVEMENT THAT YOU AND THE OTHER CALLER CONSIDER INTERESTING OR IMPORTANT.  ORY
sw06utt/sw_0648_2616.utt,2/sw2616,2616,15,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,8,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),POLITICS,DISCUSS ANY RECENT POLITICAL ELECTIONS OR MOVEMENT THAT YOU AND THE OTHER CALLER CONSIDER INTERESTING OR IMPORTANT.  ORY
sw06utt/sw_0648_2616.utt,2/sw2616,2616,16,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,9,1,Kuwait wants to take Iraq out of the whole system,(ROOT (S (NP (NN kuwait)) (VP (VBZ wants) (S (VP (TO to) (VP (VB take) (NP (NN iraq)) (PP (IN out) (PP (IN of) (NP (DT the) (JJ whole) (NN system)))))))))),POLITICS,DISCUSS ANY RECENT POLITICAL ELECTIONS OR MOVEMENT THAT YOU AND THE OTHER CALLER CONSIDER INTERESTING OR IMPORTANT.  ORY
sw06utt/sw_0648_2616.utt,2/sw2616,2616,17,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,10,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),POLITICS,DISCUSS ANY RECENT POLITICAL ELECTIONS OR MOVEMENT THAT YOU AND THE OTHER CALLER CONSIDER INTERESTING OR IMPORTANT.  ORY
sw06utt/sw_0648_2616.utt,2/sw2616,2616,18,+,Other:Segment-(multi-utterance),,,B,11,1,by leaving them independent.,(ROOT (FRAG (PP (IN by) (S (VP (VBG leaving) (S (NP (PRP them)) (ADJP (JJ independent)))))) (. .))),POLITICS,DISCUSS ANY RECENT POLITICAL ELECTIONS OR MOVEMENT THAT YOU AND THE OTHER CALLER CONSIDER INTERESTING OR IMPORTANT.  ORY
sw06utt/sw_0648_2616.utt,2/sw2616,2616,19,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,12,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),POLITICS,DISCUSS ANY RECENT POLITICAL ELECTIONS OR MOVEMENT THAT YOU AND THE OTHER CALLER CONSIDER INTERESTING OR IMPORTANT.  ORY
sw06utt/sw_0648_2616.utt,2/sw2616,2616,21,^g,none,,,B,13,2,right ?,(ROOT (ADVP (RB right) (. ?))),POLITICS,DISCUSS ANY RECENT POLITICAL ELECTIONS OR MOVEMENT THAT YOU AND THE OTHER CALLER CONSIDER INTERESTING OR IMPORTANT.  ORY
sw06utt/sw_0648_2616.utt,2/sw2616,2616,22,ny,Info-request:Yes answers,,,A,14,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),POLITICS,DISCUSS ANY RECENT POLITICAL ELECTIONS OR MOVEMENT THAT YOU AND THE OTHER CALLER CONSIDER INTERESTING OR IMPORTANT.  ORY
sw06utt/sw_0648_2616.utt,2/sw2616,2616,25,^g,none,,,B,15,3,right.,(ROOT (ADVP (RB right) (. .))),POLITICS,DISCUSS ANY RECENT POLITICAL ELECTIONS OR MOVEMENT THAT YOU AND THE OTHER CALLER CONSIDER INTERESTING OR IMPORTANT.  ORY
sw06utt/sw_0648_2616.utt,2/sw2616,2616,26,ny,Info-request:Yes answers,,,A,16,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),POLITICS,DISCUSS ANY RECENT POLITICAL ELECTIONS OR MOVEMENT THAT YOU AND THE OTHER CALLER CONSIDER INTERESTING OR IMPORTANT.  ORY
sw06utt/sw_0648_2616.utt,2/sw2616,2616,31,^q,none,,,B,17,5,but we're not going to go into your country.,(ROOT (S (CC but) (S (NP (PRP we)) (VP (VBP 're) (RB not) (VP (VBG going) (S (VP (TO to) (VP (VB go) (PP (IN into) (NP (PRP$ your) (NN country))))))))) (. .))),POLITICS,DISCUSS ANY RECENT POLITICAL ELECTIONS OR MOVEMENT THAT YOU AND THE OTHER CALLER CONSIDER INTERESTING OR IMPORTANT.  ORY
sw06utt/sw_0648_2616.utt,2/sw2616,2616,32,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,18,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),POLITICS,DISCUSS ANY RECENT POLITICAL ELECTIONS OR MOVEMENT THAT YOU AND THE OTHER CALLER CONSIDER INTERESTING OR IMPORTANT.  ORY
