swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,act_label_1,act_label_2,act_label_relation,caller,utterance_index,subutterance_index,clean_text,parse_tree,topic_description,prompt
sw07utt/sw_0790_3002.utt,3/sw3002,3002,1,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,1,2,and then I also take the WALL STREET JOURNAL.,(ROOT (S (CC and) (ADVP (RB then)) (VP (FW i) (ADVP (RB also)) (VP (VB take) (NP (DT the) (NN wall) (NN street) (NN journal)))) (. .))),NEWS_MEDIA,DISCUSS HOW YOU AND THE OTHER CALLER KEEP UP ON CURRENT EVENTS.      DO YOU GET MOST OF YOUR NEWS FROM TVOR PEOPLE YOU KNOW?  ARE YOU SATISFIED WITH THE QUALITY OF COVERAGE?
sw07utt/sw_0790_3002.utt,3/sw3002,3002,5,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,2,4,I'm not sure what you do.,(ROOT (S (VP (LS i) (VP (VBP 'm) (RB not) (FRAG (JJ sure) (SBAR (WHNP (WP what)) (S (NP (PRP you)) (VP (VBP do)))) (. .)))))),NEWS_MEDIA,DISCUSS HOW YOU AND THE OTHER CALLER KEEP UP ON CURRENT EVENTS.      DO YOU GET MOST OF YOUR NEWS FROM TVOR PEOPLE YOU KNOW?  ARE YOU SATISFIED WITH THE QUALITY OF COVERAGE?
sw07utt/sw_0790_3002.utt,3/sw3002,3002,8,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,3,3,at the office I generally catch the WALL STREET JOURNAL at lunchtime.,(ROOT (S (PP (IN at) (NP (DT the) (NN office))) (VP (FW i) (ADVP (RB generally)) (VP (VB catch) (NP (DT the) (NN wall) (NN street) (NN journal)) (PP (IN at) (NP (NN lunchtime))))) (. .))),NEWS_MEDIA,DISCUSS HOW YOU AND THE OTHER CALLER KEEP UP ON CURRENT EVENTS.      DO YOU GET MOST OF YOUR NEWS FROM TVOR PEOPLE YOU KNOW?  ARE YOU SATISFIED WITH THE QUALITY OF COVERAGE?
sw07utt/sw_0790_3002.utt,3/sw3002,3002,9,%,Communicative-Status:Uninterpretable,,,B,4,1,Um.,(ROOT (NP (NN um) (. .))),NEWS_MEDIA,DISCUSS HOW YOU AND THE OTHER CALLER KEEP UP ON CURRENT EVENTS.      DO YOU GET MOST OF YOUR NEWS FROM TVOR PEOPLE YOU KNOW?  ARE YOU SATISFIED WITH THE QUALITY OF COVERAGE?
sw07utt/sw_0790_3002.utt,3/sw3002,3002,10,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,5,1,"I use part of my lunch period to, uh, read the WALL STREET JOURNAL.","(ROOT (FRAG (PP (LST (LS i)) (NP (NP (NN use) (NN part)) (PP (IN of) (NP (PRP$ my) (NN lunch) (NN period))) (SBAR (S (TO to) (, ,) (INTJ (UH uh)) (, ,) (VP (VB read) (NP (DT the) (NN wall) (NN street) (NN journal))))))) (. .)))",NEWS_MEDIA,DISCUSS HOW YOU AND THE OTHER CALLER KEEP UP ON CURRENT EVENTS.      DO YOU GET MOST OF YOUR NEWS FROM TVOR PEOPLE YOU KNOW?  ARE YOU SATISFIED WITH THE QUALITY OF COVERAGE?
sw07utt/sw_0790_3002.utt,3/sw3002,3002,11,%,Communicative-Status:Uninterpretable,,,B,6,1,Well the-,(ROOT (ADVP (RB well) (X (DT the) (: -)))),NEWS_MEDIA,DISCUSS HOW YOU AND THE OTHER CALLER KEEP UP ON CURRENT EVENTS.      DO YOU GET MOST OF YOUR NEWS FROM TVOR PEOPLE YOU KNOW?  ARE YOU SATISFIED WITH THE QUALITY OF COVERAGE?
sw07utt/sw_0790_3002.utt,3/sw3002,3002,13,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,7,2,I'd rather sleep the extra thirty minutes in the morning.,(ROOT (S (S (LS i) (VP (MD 'd) (ADVP (RB rather)) (VP (VB sleep) (NP (DT the) (JJ extra) (CD thirty) (NNS minutes)) (PP (IN in) (NP (DT the) (NN morning)))))) (. .))),NEWS_MEDIA,DISCUSS HOW YOU AND THE OTHER CALLER KEEP UP ON CURRENT EVENTS.      DO YOU GET MOST OF YOUR NEWS FROM TVOR PEOPLE YOU KNOW?  ARE YOU SATISFIED WITH THE QUALITY OF COVERAGE?
sw07utt/sw_0790_3002.utt,3/sw3002,3002,23,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,8,10,"and so I try to take, you know, weekend papers","(ROOT (QP (CC and) (NX (ADJP (RB so) (FW i) (VP (VBP try) (S (VP (TO to) (VP (VB take)))))) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,)) (NP (NN weekend) (NNS papers)))))",NEWS_MEDIA,DISCUSS HOW YOU AND THE OTHER CALLER KEEP UP ON CURRENT EVENTS.      DO YOU GET MOST OF YOUR NEWS FROM TVOR PEOPLE YOU KNOW?  ARE YOU SATISFIED WITH THE QUALITY OF COVERAGE?
sw07utt/sw_0790_3002.utt,3/sw3002,3002,24,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,9,1,Yeah.,(ROOT (NP (NN yeah) (. .))),NEWS_MEDIA,DISCUSS HOW YOU AND THE OTHER CALLER KEEP UP ON CURRENT EVENTS.      DO YOU GET MOST OF YOUR NEWS FROM TVOR PEOPLE YOU KNOW?  ARE YOU SATISFIED WITH THE QUALITY OF COVERAGE?
sw07utt/sw_0790_3002.utt,3/sw3002,3002,26,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,10,2,"and hopefully I'm sitting down by the ten o'clock news to where I can kind of get a recap on T V, uh.","(ROOT (FRAG (CC and) (ADVP (RB hopefully)) (FW i) (VP (VBP 'm) (VP (VBG sitting) (ADVP (RP down)) (SBAR (IN by) (S (NP (DT the) (CD ten) (RB o'clock) (NN news)) (VP (TO to) (VP (WHADVP (WRB where)) (NP (NP (FW i) (MD can) (NN kind)) (PP (IN of) (S (VP (VB get) (NP (NP (DT a) (NN recap)) (PP (IN on) (FRAG (NP (NN t)) (LST (LS v)) (, ,) (INTJ (UH uh)) (. .))))))))))))))))",NEWS_MEDIA,DISCUSS HOW YOU AND THE OTHER CALLER KEEP UP ON CURRENT EVENTS.      DO YOU GET MOST OF YOUR NEWS FROM TVOR PEOPLE YOU KNOW?  ARE YOU SATISFIED WITH THE QUALITY OF COVERAGE?
