swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,act_label_1,act_label_2,act_label_relation,caller,utterance_index,subutterance_index,clean_text,parse_tree,topic_description,prompt
sw04utt/sw_0402_2634.utt,2/sw2634,2634,7,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,1,8,"and, uh, guns are very symbolic of them having that power over me.","(ROOT (S (CC and) (, ,) (INTJ (UH uh)) (, ,) (NP (NNS guns)) (VP (VBP are) (ADJP (RB very) (JJ symbolic) (PP (IN of) (NP (PRP them)))) (S (VP (VBG having) (SBAR (IN that) (S (NP (NP (NN power)) (PP (IN over) (NP (PRP me))))))))) (. .)))",GUN_CONTROL,DISCUSS GUN CONTROL.  WHERE DO YOU AND THE OTHER CALLER STAND ON A SCALE FROM 1 TO 10
sw04utt/sw_0402_2634.utt,2/sw2634,2634,8,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,2,1,"Well, me being from Texas","(ROOT (S (ADVP (RB well)) (, ,) (NP (PRP me)) (VP (VBG being) (PP (IN from) (NP (NNS texas))))))",GUN_CONTROL,DISCUSS GUN CONTROL.  WHERE DO YOU AND THE OTHER CALLER STAND ON A SCALE FROM 1 TO 10
sw04utt/sw_0402_2634.utt,2/sw2634,2634,9,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,3,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),GUN_CONTROL,DISCUSS GUN CONTROL.  WHERE DO YOU AND THE OTHER CALLER STAND ON A SCALE FROM 1 TO 10
sw04utt/sw_0402_2634.utt,2/sw2634,2634,10,qy^d,Info-request:Yes-No-Question,,,B,4,1,I hope you're ready for this.,(ROOT (FRAG (SBAR (FW i) (S (VP (VBP hope) (SBAR (S (NP (PRP you)) (VP (VBP 're) (ADJP (JJ ready) (PP (IN for) (NP (DT this)))))))))) (. .))),GUN_CONTROL,DISCUSS GUN CONTROL.  WHERE DO YOU AND THE OTHER CALLER STAND ON A SCALE FROM 1 TO 10
sw04utt/sw_0402_2634.utt,2/sw2634,2634,12,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,5,2,I've got my Texan stereotypes in place.,(ROOT (FRAG (SBAR (LS i) (S (VP (VBP 've) (VP (VBN got) (NP (NP (PRP$ my) (NN texan) (NNS stereotypes)) (PP (IN in) (NP (NN place)))))))) (. .))),GUN_CONTROL,DISCUSS GUN CONTROL.  WHERE DO YOU AND THE OTHER CALLER STAND ON A SCALE FROM 1 TO 10
sw04utt/sw_0402_2634.utt,2/sw2634,2634,14,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,6,2,"I was raised around guns, hunting.","(ROOT (S (LS i) (VP (VBD was) (VP (VBN raised) (PP (IN around) (NP (NP (NNS guns)) (, ,) (NP (NN hunting)))))) (. .)))",GUN_CONTROL,DISCUSS GUN CONTROL.  WHERE DO YOU AND THE OTHER CALLER STAND ON A SCALE FROM 1 TO 10
sw04utt/sw_0402_2634.utt,2/sw2634,2634,15,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,7,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),GUN_CONTROL,DISCUSS GUN CONTROL.  WHERE DO YOU AND THE OTHER CALLER STAND ON A SCALE FROM 1 TO 10
sw04utt/sw_0402_2634.utt,2/sw2634,2634,16,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,8,1,So I don't have a fear of fire arms in any respect.,(ROOT (S (ADVP (RB so) (FW i)) (VP (VBP do) (RB n't) (VP (VB have) (NP (NP (DT a) (NN fear)) (PP (IN of) (NP (NN fire) (NNS arms)))) (PP (IN in) (NP (DT any) (NN respect))))) (. .))),GUN_CONTROL,DISCUSS GUN CONTROL.  WHERE DO YOU AND THE OTHER CALLER STAND ON A SCALE FROM 1 TO 10
sw04utt/sw_0402_2634.utt,2/sw2634,2634,17,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,9,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),GUN_CONTROL,DISCUSS GUN CONTROL.  WHERE DO YOU AND THE OTHER CALLER STAND ON A SCALE FROM 1 TO 10
sw04utt/sw_0402_2634.utt,2/sw2634,2634,18,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,10,1,"I resp, I respect them and what their capabilities are.","(ROOT (NP (NP (LS i) (NP (NP (NN resp)) (, ,) (NP (NP (FW i) (NN respect)) (NP (PRP them))) (CC and) (SBAR (WHNP (WP what)) (S (NP (PRP$ their) (NNS capabilities)) (VP (VBP are)))))) (. .)))",GUN_CONTROL,DISCUSS GUN CONTROL.  WHERE DO YOU AND THE OTHER CALLER STAND ON A SCALE FROM 1 TO 10
sw04utt/sw_0402_2634.utt,2/sw2634,2634,19,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,11,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),GUN_CONTROL,DISCUSS GUN CONTROL.  WHERE DO YOU AND THE OTHER CALLER STAND ON A SCALE FROM 1 TO 10
sw04utt/sw_0402_2634.utt,2/sw2634,2634,20,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,12,1,"And on top of that spending a good portion of my earlier years in the military, as a Green Beret, I definitely respect the power of weaponry.","(ROOT (FRAG (CC and) (PP (IN on) (NP (NP (NN top)) (PP (IN of) (NP (NP (DT that)) (VP (VBG spending) (NP (NP (DT a) (JJ good) (NN portion)) (PP (IN of) (NP (NP (PRP$ my) (JJR earlier) (NNS years)) (PP (IN in) (NP (DT the) (JJ military)))))) (, ,) (PP (IN as) (NP (NP (DT a) (JJ green) (NN beret)) (, ,) (CONJP (FW i) (ADVP (RB definitely)) (VP (NP (NP (QP (NN respect)) (DT the) (NN power)) (PP (IN of) (NP (NN weaponry)))))) (. .))))))))))",GUN_CONTROL,DISCUSS GUN CONTROL.  WHERE DO YOU AND THE OTHER CALLER STAND ON A SCALE FROM 1 TO 10
sw04utt/sw_0402_2634.utt,2/sw2634,2634,22,qy^g,Info-request:Yes-No-Question,,,A,13,2,It's pretty power isn't it ?,(ROOT (S (NP (PRP it)) (VP (VBZ 's) (SBAR (S (NP (JJ pretty) (NN power)) (VP (VBZ is) (RB n't) (NP (PRP it)))))) (. ?))),GUN_CONTROL,DISCUSS GUN CONTROL.  WHERE DO YOU AND THE OTHER CALLER STAND ON A SCALE FROM 1 TO 10
sw04utt/sw_0402_2634.utt,2/sw2634,2634,26,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,14,4,this will be border line N R A which I am not a member of.,(ROOT (S (NP (DT this)) (VP (MD will) (VP (VB be) (NP (NP (NN border) (NN line) (NN n) (NN r)) (FRAG (DT a) (SBAR (WHNP (WDT which) (FW i)) (S (VP (VBP am) (RB not) (NP (NP (DT a) (NN member)) (PP (IN of)))))) (. .))))))),GUN_CONTROL,DISCUSS GUN CONTROL.  WHERE DO YOU AND THE OTHER CALLER STAND ON A SCALE FROM 1 TO 10
sw04utt/sw_0402_2634.utt,2/sw2634,2634,28,b^r,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,15,2,Okay.,(ROOT (ADJP (JJ okay) (. .))),GUN_CONTROL,DISCUSS GUN CONTROL.  WHERE DO YOU AND THE OTHER CALLER STAND ON A SCALE FROM 1 TO 10
