swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,act_label_1,act_label_2,act_label_relation,caller,utterance_index,subutterance_index,clean_text,parse_tree,topic_description,prompt
sw03utt/sw_0364_3491.utt,3/sw3491,3491,1,qw,Info-request:Wh-Question,,,B,1,2,what have you seen lately ?,(ROOT (SBARQ (WHNP (WDT what)) (SQ (VBP have) (NP (PRP you)) (VP (VBN seen) (ADVP (RB lately)))) (. ?))),MOVIES,FIND OUT WHAT THE OTHER CALLER THOUGHT ABOUT THE LAST FEW MOVIES THEY SAW. WHAT MOVIES HAVE YOU SEEN LATELY?
sw03utt/sw_0364_3491.utt,3/sw3491,3491,2,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,2,1,"Well, uh, CITY SLICKERS, and STAR TREK FIVE.","(ROOT (NP (NP (ADVP (RB well)) (, ,) (NP (INTJ (UH uh)) (, ,) (NP (NP (NN city) (NNS slickers)) (, ,) (CC and) (NP (NN star) (NN trek) (CD five))))) (. .)))",MOVIES,FIND OUT WHAT THE OTHER CALLER THOUGHT ABOUT THE LAST FEW MOVIES THEY SAW. WHAT MOVIES HAVE YOU SEEN LATELY?
sw03utt/sw_0364_3491.utt,3/sw3491,3491,3,qy,Info-request:Yes-No-Question,,,B,3,1,FIVE ?,(ROOT (FRAG (CD five) (. ?))),MOVIES,FIND OUT WHAT THE OTHER CALLER THOUGHT ABOUT THE LAST FEW MOVIES THEY SAW. WHAT MOVIES HAVE YOU SEEN LATELY?
sw03utt/sw_0364_3491.utt,3/sw3491,3491,5,ny^r,Info-request:Yes answers,,,A,4,2,yeah.,(ROOT (NP (NN yeah) (. .))),MOVIES,FIND OUT WHAT THE OTHER CALLER THOUGHT ABOUT THE LAST FEW MOVIES THEY SAW. WHAT MOVIES HAVE YOU SEEN LATELY?
sw03utt/sw_0364_3491.utt,3/sw3491,3491,7,qy,Info-request:Yes-No-Question,,,B,5,2,"only, only five ?","(ROOT (FRAG (ADVP (RB only)) (, ,) (NP (QP (RB only) (CD five))) (. ?)))",MOVIES,FIND OUT WHAT THE OTHER CALLER THOUGHT ABOUT THE LAST FEW MOVIES THEY SAW. WHAT MOVIES HAVE YOU SEEN LATELY?
sw03utt/sw_0364_3491.utt,3/sw3491,3491,8,ny,Info-request:Yes answers,,,A,6,1,Yeah.,(ROOT (NP (NN yeah) (. .))),MOVIES,FIND OUT WHAT THE OTHER CALLER THOUGHT ABOUT THE LAST FEW MOVIES THEY SAW. WHAT MOVIES HAVE YOU SEEN LATELY?
sw03utt/sw_0364_3491.utt,3/sw3491.pos,3491,9,x,Communicative-Status:Non-verbal,,,B,7,1,.,(ROOT (. .)),MOVIES,FIND OUT WHAT THE OTHER CALLER THOUGHT ABOUT THE LAST FEW MOVIES THEY SAW. WHAT MOVIES HAVE YOU SEEN LATELY?
sw03utt/sw_0364_3491.utt,3/sw3491,3491,10,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,8,1,I thought I'd better see that one before I go and see six.,(ROOT (FRAG (LST (LS i) (FRAG (VP (VBD thought) (SBAR (S (NP (FW i)) (VP (MD 'd) (ADVP (RB better)) (VP (VB see) (NP (DT that) (CD one)) (PP (PP (IN before) (NP (FW i) (VB go))) (CC and) (PP (VP (VB see) (NP (CD six)))))))))))) (. .))),MOVIES,FIND OUT WHAT THE OTHER CALLER THOUGHT ABOUT THE LAST FEW MOVIES THEY SAW. WHAT MOVIES HAVE YOU SEEN LATELY?
sw03utt/sw_0364_3491.utt,3/sw3491,3491,12,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,B,9,2,didn't need to.,(ROOT (S (VP (VBD did) (RB n't) (VP (VB need) (S (VP (TO to))))) (. .))),MOVIES,FIND OUT WHAT THE OTHER CALLER THOUGHT ABOUT THE LAST FEW MOVIES THEY SAW. WHAT MOVIES HAVE YOU SEEN LATELY?
sw03utt/sw_0364_3491.utt,3/sw3491,3491,14,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,10,2,I found that out.,(ROOT (S (LST (LS i)) (VP (VBD found) (ADVP (IN that) (RB out))) (. .))),MOVIES,FIND OUT WHAT THE OTHER CALLER THOUGHT ABOUT THE LAST FEW MOVIES THEY SAW. WHAT MOVIES HAVE YOU SEEN LATELY?
sw03utt/sw_0364_3491.utt,3/sw3491.pos,3491,15,x,Communicative-Status:Non-verbal,,,B,11,1,.,(ROOT (. .)),MOVIES,FIND OUT WHAT THE OTHER CALLER THOUGHT ABOUT THE LAST FEW MOVIES THEY SAW. WHAT MOVIES HAVE YOU SEEN LATELY?
sw03utt/sw_0364_3491.utt,3/sw3491,3491,16,qo,Info-request:Open-Question,,,A,12,1,How about yourself ?,(ROOT (FRAG (WHADVP (WRB how) (RB about)) (NP (PRP yourself)) (. ?))),MOVIES,FIND OUT WHAT THE OTHER CALLER THOUGHT ABOUT THE LAST FEW MOVIES THEY SAW. WHAT MOVIES HAVE YOU SEEN LATELY?
sw03utt/sw_0364_3491.utt,3/sw3491,3491,17,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,13,1,I just saw the latest one.,(ROOT (S (LS i) (ADVP (RB just)) (VP (VBD saw) (NP (DT the) (JJS latest) (CD one))) (. .))),MOVIES,FIND OUT WHAT THE OTHER CALLER THOUGHT ABOUT THE LAST FEW MOVIES THEY SAW. WHAT MOVIES HAVE YOU SEEN LATELY?
sw03utt/sw_0364_3491.utt,3/sw3491,3491,18,qw,Info-request:Wh-Question,,,A,14,1,How is it ?,(ROOT (SBARQ (WHADVP (WRB how)) (SQ (VBZ is) (NP (PRP it))) (. ?))),MOVIES,FIND OUT WHAT THE OTHER CALLER THOUGHT ABOUT THE LAST FEW MOVIES THEY SAW. WHAT MOVIES HAVE YOU SEEN LATELY?
sw03utt/sw_0364_3491.utt,3/sw3491,3491,19,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,15,1,It was fantastic.,(ROOT (S (NP (PRP it)) (VP (VBD was) (ADJP (JJ fantastic))) (. .))),MOVIES,FIND OUT WHAT THE OTHER CALLER THOUGHT ABOUT THE LAST FEW MOVIES THEY SAW. WHAT MOVIES HAVE YOU SEEN LATELY?
sw03utt/sw_0364_3491.utt,3/sw3491,3491,20,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,16,1,"Oh, I can't wait.","(ROOT (S (INTJ (UH oh)) (, ,) (NP (FW i)) (VP (MD ca) (RB n't) (VP (VB wait))) (. .)))",MOVIES,FIND OUT WHAT THE OTHER CALLER THOUGHT ABOUT THE LAST FEW MOVIES THEY SAW. WHAT MOVIES HAVE YOU SEEN LATELY?
sw03utt/sw_0364_3491.utt,3/sw3491,3491,24,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,17,4,"I mean, it was classic TREK.","(ROOT (S (NP (FW i) (VP (VB mean))) (, ,) (NP (PRP it)) (VP (VBD was) (NP (JJ classic) (NN trek))) (. .)))",MOVIES,FIND OUT WHAT THE OTHER CALLER THOUGHT ABOUT THE LAST FEW MOVIES THEY SAW. WHAT MOVIES HAVE YOU SEEN LATELY?
sw03utt/sw_0364_3491.utt,3/sw3491,3491,25,qy,Info-request:Yes-No-Question,,,A,18,1,"Now, does the old STAR TREK guys meet the new guys ?","(ROOT (S (ADVP (RB now)) (, ,) (VBZ does) (NP (DT the) (JJ old) (NN star) (NN trek) (NNS guys)) (VP (VBP meet) (NP (DT the) (JJ new) (NNS guys))) (. ?)))",MOVIES,FIND OUT WHAT THE OTHER CALLER THOUGHT ABOUT THE LAST FEW MOVIES THEY SAW. WHAT MOVIES HAVE YOU SEEN LATELY?
sw03utt/sw_0364_3491.utt,3/sw3491,3491,27,nn,Backwards-Communicative-Function:Answer:No answers,,,B,19,2,huh-uh.,(ROOT (ADVP (RB huh-uh) (. .))),MOVIES,FIND OUT WHAT THE OTHER CALLER THOUGHT ABOUT THE LAST FEW MOVIES THEY SAW. WHAT MOVIES HAVE YOU SEEN LATELY?
sw03utt/sw_0364_3491.utt,3/sw3491,3491,29,qy^d,Info-request:Yes-No-Question,,,A,20,2,it's just the old guys still.,(ROOT (FRAG (NP (PRP it)) (VBZ 's) (ADVP (RB just)) (NP (DT the) (JJ old) (NNS guys)) (ADVP (RB still)) (. .))),MOVIES,FIND OUT WHAT THE OTHER CALLER THOUGHT ABOUT THE LAST FEW MOVIES THEY SAW. WHAT MOVIES HAVE YOU SEEN LATELY?
sw03utt/sw_0364_3491.utt,3/sw3491,3491,33,%,Communicative-Status:Uninterpretable,,,B,21,4,so,(ROOT (ADVP (RB so))),MOVIES,FIND OUT WHAT THE OTHER CALLER THOUGHT ABOUT THE LAST FEW MOVIES THEY SAW. WHAT MOVIES HAVE YOU SEEN LATELY?
sw03utt/sw_0364_3491.utt,3/sw3491,3491,34,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,22,1,"You know, that I read in PEOPLE or somewhere, no, it was U S A TODAY","(ROOT (S (S (NP (PRP you)) (VP (VBP know))) (, ,) (SBAR (IN that) (S (SBAR (FW i) (S (VP (VBN read) (PP (IN in) (NP (NP (NNS people)) (CC or) (ADVP (RB somewhere)) (, ,) (NP (DT no)) (, ,)))))) (NP (PRP it)) (VP (VBD was) (SBAR (S (NP (FW u)) (VP (VBZ s) (NP (DT a) (NN today))))))))))",MOVIES,FIND OUT WHAT THE OTHER CALLER THOUGHT ABOUT THE LAST FEW MOVIES THEY SAW. WHAT MOVIES HAVE YOU SEEN LATELY?
sw03utt/sw_0364_3491.utt,3/sw3491,3491,35,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,B,23,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),MOVIES,FIND OUT WHAT THE OTHER CALLER THOUGHT ABOUT THE LAST FEW MOVIES THEY SAW. WHAT MOVIES HAVE YOU SEEN LATELY?
sw03utt/sw_0364_3491.utt,3/sw3491,3491,37,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,24,2,That was it.,(ROOT (S (NP (DT that)) (VP (VBD was) (NP (PRP it))) (. .))),MOVIES,FIND OUT WHAT THE OTHER CALLER THOUGHT ABOUT THE LAST FEW MOVIES THEY SAW. WHAT MOVIES HAVE YOU SEEN LATELY?
sw03utt/sw_0364_3491.utt,3/sw3491,3491,38,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,B,25,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),MOVIES,FIND OUT WHAT THE OTHER CALLER THOUGHT ABOUT THE LAST FEW MOVIES THEY SAW. WHAT MOVIES HAVE YOU SEEN LATELY?
sw03utt/sw_0364_3491.utt,3/sw3491,3491,39,%,Communicative-Status:Uninterpretable,,,A,26,1,But,(ROOT (CC but)),MOVIES,FIND OUT WHAT THE OTHER CALLER THOUGHT ABOUT THE LAST FEW MOVIES THEY SAW. WHAT MOVIES HAVE YOU SEEN LATELY?
sw03utt/sw_0364_3491.utt,3/sw3491,3491,43,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,B,27,4,and it will be a next generation meets this generation.,(ROOT (S (CC and) (S (NP (PRP it)) (VP (MD will) (VP (VB be) (NP (DT a) (JJ next) (NN generation))))) (VP (VBZ meets) (NP (DT this) (NN generation))) (. .))),MOVIES,FIND OUT WHAT THE OTHER CALLER THOUGHT ABOUT THE LAST FEW MOVIES THEY SAW. WHAT MOVIES HAVE YOU SEEN LATELY?
sw03utt/sw_0364_3491.utt,3/sw3491,3491,44,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,28,1,Huh.,(ROOT (ADVP (RB huh) (. .))),MOVIES,FIND OUT WHAT THE OTHER CALLER THOUGHT ABOUT THE LAST FEW MOVIES THEY SAW. WHAT MOVIES HAVE YOU SEEN LATELY?
sw03utt/sw_0364_3491.utt,3/sw3491,3491,45,%,Communicative-Status:Uninterpretable,,,B,29,1,So,(ROOT (ADVP (RB so))),MOVIES,FIND OUT WHAT THE OTHER CALLER THOUGHT ABOUT THE LAST FEW MOVIES THEY SAW. WHAT MOVIES HAVE YOU SEEN LATELY?
