swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,act_label_1,act_label_2,act_label_relation,caller,utterance_index,subutterance_index,clean_text,parse_tree,topic_description,prompt
sw04utt/sw_0487_3206.utt,3/sw3206,3206,1,qy^c,Info-request:Yes-No-Question,,,A,1,2,are you there ?,(ROOT (SBARQ (SQ (VBP are) (NP (PRP you)) (NP (EX there))) (. ?))),ELECTIONS_AND_VOTING,WHY DO YOU THINK THAT ONLY ABOUT HALF OF ELIGIBLE VOTERS IN AMERICA TAKE PART IN NATIONAL ELECTIONS
sw04utt/sw_0487_3206.utt,3/sw3206,3206,2,ny,Info-request:Yes answers,,,B,2,1,Yes.,(ROOT (ADVP (RB yes) (. .))),ELECTIONS_AND_VOTING,WHY DO YOU THINK THAT ONLY ABOUT HALF OF ELIGIBLE VOTERS IN AMERICA TAKE PART IN NATIONAL ELECTIONS
sw04utt/sw_0487_3206.utt,3/sw3206,3206,4,qy^t,Info-request:Yes-No-Question,,,A,3,2,Do you know the question for today ?,(ROOT (SBARQ (SQ (VB do) (NP (PRP you)) (VP (VB know) (NP (NP (DT the) (NN question)) (PP (IN for) (NP (NN today)))))) (. ?))),ELECTIONS_AND_VOTING,WHY DO YOU THINK THAT ONLY ABOUT HALF OF ELIGIBLE VOTERS IN AMERICA TAKE PART IN NATIONAL ELECTIONS
sw04utt/sw_0487_3206.utt,3/sw3206,3206,6,sd^e,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,4,2,It's about why there aren't more people that are voting and participating in ...,(ROOT (S (NP (PRP it)) (VP (VBZ 's) (PP (IN about) (SBAR (WHADVP (WRB why)) (S (NP (EX there)) (VP (VBP are) (RB n't) (NP (NP (JJR more) (NNS people)) (SBAR (WHNP (WDT that)) (S (VP (VBP are) (VP (VP (VBG voting)) (CC and) (VP (VBG participating) (PP (IN in))))))))))))) (: ...))),ELECTIONS_AND_VOTING,WHY DO YOU THINK THAT ONLY ABOUT HALF OF ELIGIBLE VOTERS IN AMERICA TAKE PART IN NATIONAL ELECTIONS
sw04utt/sw_0487_3206.utt,3/sw3206,3206,8,qy,Info-request:Yes-No-Question,,,A,5,2,Do you think this is vital important ?,(ROOT (SBARQ (SQ (VB do) (NP (PRP you)) (VP (VB think) (SBAR (S (NP (DT this)) (VP (VBZ is) (ADJP (JJ vital) (JJ important))))))) (. ?))),ELECTIONS_AND_VOTING,WHY DO YOU THINK THAT ONLY ABOUT HALF OF ELIGIBLE VOTERS IN AMERICA TAKE PART IN NATIONAL ELECTIONS
sw04utt/sw_0487_3206.utt,3/sw3206,3206,9,na,Backwards-Communicative-Function:Answer:Affirmative-non-yes-answers,,,B,6,1,"Oh, absolutely.","(ROOT (FRAG (INTJ (UH oh)) (, ,) (ADVP (RB absolutely)) (. .)))",ELECTIONS_AND_VOTING,WHY DO YOU THINK THAT ONLY ABOUT HALF OF ELIGIBLE VOTERS IN AMERICA TAKE PART IN NATIONAL ELECTIONS
sw04utt/sw_0487_3206.utt,3/sw3206,3206,11,bh,Backwards-Communicative-Function:Understanding:Backchannel-in-question-form,,,A,7,2,Do you,(ROOT (S (VP (VB do) (NP (PRP you))))),ELECTIONS_AND_VOTING,WHY DO YOU THINK THAT ONLY ABOUT HALF OF ELIGIBLE VOTERS IN AMERICA TAKE PART IN NATIONAL ELECTIONS
sw04utt/sw_0487_3206.utt,3/sw3206,3206,16,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,B,8,5,or,(ROOT (CC or)),ELECTIONS_AND_VOTING,WHY DO YOU THINK THAT ONLY ABOUT HALF OF ELIGIBLE VOTERS IN AMERICA TAKE PART IN NATIONAL ELECTIONS
sw04utt/sw_0487_3206.utt,3/sw3206,3206,17,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,9,1,I,(ROOT (LST (LS i))),ELECTIONS_AND_VOTING,WHY DO YOU THINK THAT ONLY ABOUT HALF OF ELIGIBLE VOTERS IN AMERICA TAKE PART IN NATIONAL ELECTIONS
sw04utt/sw_0487_3206.utt,3/sw3206,3206,18,+,Other:Segment-(multi-utterance),,,B,10,1,and these are people that are registered.,(ROOT (S (CC and) (NP (DT these)) (VP (VBP are) (NP (NP (NNS people)) (SBAR (WHNP (WDT that)) (S (VP (VBP are) (VP (VBN registered))))))) (. .))),ELECTIONS_AND_VOTING,WHY DO YOU THINK THAT ONLY ABOUT HALF OF ELIGIBLE VOTERS IN AMERICA TAKE PART IN NATIONAL ELECTIONS
