swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,act_label_1,act_label_2,act_label_relation,caller,utterance_index,subutterance_index,clean_text,parse_tree,topic_description,prompt
sw02utt/sw_0262_2137.utt,2/sw2137,2137,1,qo,Info-request:Open-Question,,,A,1,2,"uh, what do you think about, uh, the idea of having volunteer service for everyone ?","(ROOT (FRAG (INTJ (UH uh)) (, ,) (FRAG (WHNP (WP what)) (SQ (VBP do) (NP (PRP you)) (VP (VB think) (PP (RB about)))) (, ,) (INTJ (UH uh)) (, ,) (NP (NP (DT the) (NN idea)) (PP (IN of) (S (VP (VBG having) (NP (NN volunteer) (NN service)) (PP (IN for) (NP (NN everyone))))))) (. ?))))",UNIVERSAL_PBLIC_SERV,SEE HOW THE OTHER CALLER FEELS ABOUT THE PROPOSAL THAT ALL YOUNG AMERICANS SHOULD SPEND A YEAR OR TWO DOING SOME KIND OF PUBLIC SERVICE
sw02utt/sw_0262_2137.utt,2/sw2137,2137,3,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,2,2,"Uh, and, you know, I mean","(ROOT (FRAG (INTJ (UH uh)) (, ,) (CC and) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,)) (FW i) (VB mean)))",UNIVERSAL_PBLIC_SERV,SEE HOW THE OTHER CALLER FEELS ABOUT THE PROPOSAL THAT ALL YOUNG AMERICANS SHOULD SPEND A YEAR OR TWO DOING SOME KIND OF PUBLIC SERVICE
sw02utt/sw_0262_2137.utt,2/sw2137,2137,4,o@,Other,,,A,3,1,MUMBLEx.,(ROOT (NP (NN mumblex) (. .))),UNIVERSAL_PBLIC_SERV,SEE HOW THE OTHER CALLER FEELS ABOUT THE PROPOSAL THAT ALL YOUNG AMERICANS SHOULD SPEND A YEAR OR TWO DOING SOME KIND OF PUBLIC SERVICE
sw02utt/sw_0262_2137.utt,2/sw2137,2137,7,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,4,3,and I think they've gotten a lot out of it.,(ROOT (NP (NP (NP (CC and) (FW i) (VBP think)) (SBAR (S (NP (PRP they)) (VP (VBP 've) (VP (VBN gotten) (NP (DT a) (NN lot)) (PP (IN out) (PP (IN of) (NP (PRP it))))))))) (. .))),UNIVERSAL_PBLIC_SERV,SEE HOW THE OTHER CALLER FEELS ABOUT THE PROPOSAL THAT ALL YOUNG AMERICANS SHOULD SPEND A YEAR OR TWO DOING SOME KIND OF PUBLIC SERVICE
sw02utt/sw_0262_2137.utt,2/sw2137,2137,8,qy,Info-request:Yes-No-Question,,,A,5,1,"Well, are you doing any kind of volunteer work now ?","(ROOT (SQ (ADVP (RB well)) (, ,) (SQ (VBP are) (NP (PRP you)) (VP (VBG doing) (NP (NP (DT any) (NN kind)) (PP (IN of) (NP (NN volunteer) (NN work)))) (ADVP (RB now))) (. ?))))",UNIVERSAL_PBLIC_SERV,SEE HOW THE OTHER CALLER FEELS ABOUT THE PROPOSAL THAT ALL YOUNG AMERICANS SHOULD SPEND A YEAR OR TWO DOING SOME KIND OF PUBLIC SERVICE
sw02utt/sw_0262_2137.utt,2/sw2137,2137,12,%,Communicative-Status:Uninterpretable,,,B,6,4,a-,(ROOT (X (X (DT a)) (: -))),UNIVERSAL_PBLIC_SERV,SEE HOW THE OTHER CALLER FEELS ABOUT THE PROPOSAL THAT ALL YOUNG AMERICANS SHOULD SPEND A YEAR OR TWO DOING SOME KIND OF PUBLIC SERVICE
sw02utt/sw_0262_2137.utt,2/sw2137,2137,13,qy,Info-request:Yes-No-Question,,,A,7,1,"What about, when, when would people do it, when they finished high school ?","(ROOT (FRAG (WHNP (WDT what)) (ADVP (RB about) (, ,) (SBAR (WHADVP (WRB when)) (, ,) (SBAR (WHADVP (WRB when)) (SQ (MD would) (NP (NNS people)) (S (VP (VBP do) (NP (PRP it))) (, ,) (SBAR (WHADVP (WRB when)) (S (NP (PRP they)) (VP (VBD finished) (NP (JJ high) (NN school))))) (. ?))))))))",UNIVERSAL_PBLIC_SERV,SEE HOW THE OTHER CALLER FEELS ABOUT THE PROPOSAL THAT ALL YOUNG AMERICANS SHOULD SPEND A YEAR OR TWO DOING SOME KIND OF PUBLIC SERVICE
sw02utt/sw_0262_2137.utt,2/sw2137,2137,15,%,Communicative-Status:Uninterpretable,,,B,8,2,but,(ROOT (CC but)),UNIVERSAL_PBLIC_SERV,SEE HOW THE OTHER CALLER FEELS ABOUT THE PROPOSAL THAT ALL YOUNG AMERICANS SHOULD SPEND A YEAR OR TWO DOING SOME KIND OF PUBLIC SERVICE
sw02utt/sw_0262_2137.utt,2/sw2137,2137,20,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,A,9,5,and I think it gives a different perspective.,(ROOT (NP (NP (CC and) (FW i) (VP (VBP think) (SBAR (S (NP (PRP it)) (VP (VBZ gives) (NP (DT a) (JJ different) (NN perspective))))))) (. .))),UNIVERSAL_PBLIC_SERV,SEE HOW THE OTHER CALLER FEELS ABOUT THE PROPOSAL THAT ALL YOUNG AMERICANS SHOULD SPEND A YEAR OR TWO DOING SOME KIND OF PUBLIC SERVICE
sw02utt/sw_0262_2137.utt,2/sw2137,2137,23,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,B,10,3,"I, I think if you've been out of school a year, year and a half, before you start to college, you appreciate college more","(ROOT (S (LS i) (, ,) (FW i) (VP (VBP think) (SBAR (S (SBAR (IN if) (S (NP (PRP you)) (VP (VBP 've) (VP (VBN been) (ADVP (IN out) (PP (IN of) (NP (NP (NN school)) (NP (DT a) (NN year))))))))) (, ,) (NP (NP (NN year)) (CC and) (NP (DT a) (NN half))) (, ,) (SBAR (IN before) (S (NP (PRP you)) (VP (VBP start) (PP (TO to) (NP (NN college)))))) (, ,) (NP (PRP you)) (VP (VBP appreciate) (NP (NP (NN college)) (RBR more))))))))",UNIVERSAL_PBLIC_SERV,SEE HOW THE OTHER CALLER FEELS ABOUT THE PROPOSAL THAT ALL YOUNG AMERICANS SHOULD SPEND A YEAR OR TWO DOING SOME KIND OF PUBLIC SERVICE
sw02utt/sw_0262_2137.utt,2/sw2137.pos,2137,24,x,Communicative-Status:Non-verbal,,,A,11,1,.,(ROOT (. .)),UNIVERSAL_PBLIC_SERV,SEE HOW THE OTHER CALLER FEELS ABOUT THE PROPOSAL THAT ALL YOUNG AMERICANS SHOULD SPEND A YEAR OR TWO DOING SOME KIND OF PUBLIC SERVICE
sw02utt/sw_0262_2137.utt,2/sw2137,2137,25,+,Other:Segment-(multi-utterance),,,B,12,1,than someone that just goes right straight into college.,(ROOT (FRAG (PP (IN than) (NP (NP (NP (NN someone)) (SBAR (WHNP (WDT that)) (S (ADVP (RB just)) (VP (VBZ goes))))) (ADJP (JJ right) (PP (ADVP (RB straight)) (PP (IN into) (NP (NN college))))))) (. .))),UNIVERSAL_PBLIC_SERV,SEE HOW THE OTHER CALLER FEELS ABOUT THE PROPOSAL THAT ALL YOUNG AMERICANS SHOULD SPEND A YEAR OR TWO DOING SOME KIND OF PUBLIC SERVICE
sw02utt/sw_0262_2137.utt,2/sw2137,2137,26,qw,Info-request:Wh-Question,,,A,13,1,"The only complication is, is, is how do you fund something like this ?","(ROOT (SINV (S (NP (DT the) (JJ only) (NN complication)) (VP (VBZ is))) (, ,) (VP (VBZ is)) (, ,) (VP (VBZ is) (SBARQ (WHADVP (WRB how)) (SQ (VBP do) (NP (PRP you)) (VP (VB fund) (NP (NP (NN something)) (PP (IN like) (NP (DT this)))))) (. ?)))))",UNIVERSAL_PBLIC_SERV,SEE HOW THE OTHER CALLER FEELS ABOUT THE PROPOSAL THAT ALL YOUNG AMERICANS SHOULD SPEND A YEAR OR TWO DOING SOME KIND OF PUBLIC SERVICE
sw02utt/sw_0262_2137.utt,2/sw2137,2137,29,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,14,3,Even the religious organizations.,(ROOT (NP (NP (RB even) (DT the) (JJ religious) (NNS organizations)) (. .))),UNIVERSAL_PBLIC_SERV,SEE HOW THE OTHER CALLER FEELS ABOUT THE PROPOSAL THAT ALL YOUNG AMERICANS SHOULD SPEND A YEAR OR TWO DOING SOME KIND OF PUBLIC SERVICE
sw02utt/sw_0262_2137.utt,2/sw2137,2137,31,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,15,2,"I think the Mormon church has, sends out missionaries that","(ROOT (S (S (VP (LS i) (VP (VB think) (SBAR (S (NP (DT the) (JJ mormon) (NN church)) (VP (VBZ has))))))) (, ,) (VP (VBZ sends) (PRT (RP out)) (FRAG (NP (NNS missionaries)) (WHNP (WDT that))))))",UNIVERSAL_PBLIC_SERV,SEE HOW THE OTHER CALLER FEELS ABOUT THE PROPOSAL THAT ALL YOUNG AMERICANS SHOULD SPEND A YEAR OR TWO DOING SOME KIND OF PUBLIC SERVICE
sw02utt/sw_0262_2137.utt,2/sw2137,2137,33,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,16,2,"And the parents fund them for the whole year, year and a half that they're gone.","(ROOT (S (CC and) (S (NP (DT the) (NNS parents)) (VP (VB fund) (NP (PRP them)) (PP (IN for) (NP (DT the) (JJ whole) (NN year))))) (, ,) (NP (NP (NP (NN year)) (CC and) (NP (DT a) (NN half))) (SBAR (WHNP (IN that)) (S (NP (PRP they)) (VP (VBP 're) (ADJP (VBN gone)))))) (. .)))",UNIVERSAL_PBLIC_SERV,SEE HOW THE OTHER CALLER FEELS ABOUT THE PROPOSAL THAT ALL YOUNG AMERICANS SHOULD SPEND A YEAR OR TWO DOING SOME KIND OF PUBLIC SERVICE
