swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,act_label_1,act_label_2,act_label_relation,caller,utterance_index,subutterance_index,clean_text,parse_tree,topic_description,prompt
sw09utt/sw_0942_3025.utt,3/sw3025,3025,0,o,Other,,,B,1,1,Okay.,(ROOT (ADJP (JJ okay) (. .))),RECIPES/FOOD/COOKING,PLEASE DISCUSS FOOD AND COOKING.  WHAT FOODS WOULD YOU INCLUDE IN THE MENU FOR A DINNER PARTY?  SHARE THE RECIPE FOR ONE OF THESE FOODS WITH THE OTHER CALLER.
sw09utt/sw_0942_3025.utt,3/sw3025,3025,2,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,2,2,"I, I do a fair amount of cooking.","(ROOT (FRAG (UCP (LS i) (, ,) (FW i) (VP (VBP do) (NP (NP (DT a) (JJ fair) (NN amount)) (PP (IN of) (NP (NN cooking)))))) (. .)))",RECIPES/FOOD/COOKING,PLEASE DISCUSS FOOD AND COOKING.  WHAT FOODS WOULD YOU INCLUDE IN THE MENU FOR A DINNER PARTY?  SHARE THE RECIPE FOR ONE OF THESE FOODS WITH THE OTHER CALLER.
sw09utt/sw_0942_3025.utt,3/sw3025,3025,3,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,B,3,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),RECIPES/FOOD/COOKING,PLEASE DISCUSS FOOD AND COOKING.  WHAT FOODS WOULD YOU INCLUDE IN THE MENU FOR A DINNER PARTY?  SHARE THE RECIPE FOR ONE OF THESE FOODS WITH THE OTHER CALLER.
sw09utt/sw_0942_3025.utt,3/sw3025,3025,7,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,4,4,"it, it, I like to prepare chicken, that seems to please everybody, pasta or a casserole.","(ROOT (FRAG (NP (PRP it)) (, ,) (NP (PRP it)) (, ,) (NP (FW i) (SBAR (IN like) (S (VP (TO to) (VP (VB prepare) (NP (NN chicken)))))) (, ,) (SBAR (WHNP (WDT that)) (S (VP (VBZ seems) (S (VP (TO to) (VP (VB please) (NP (NP (NN everybody)) (, ,) (NP (NN pasta)) (CC or) (NP (DT a) (NN casserole)))))))))) (. .)))",RECIPES/FOOD/COOKING,PLEASE DISCUSS FOOD AND COOKING.  WHAT FOODS WOULD YOU INCLUDE IN THE MENU FOR A DINNER PARTY?  SHARE THE RECIPE FOR ONE OF THESE FOODS WITH THE OTHER CALLER.
sw09utt/sw_0942_3025.utt,3/sw3025,3025,8,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,B,5,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),RECIPES/FOOD/COOKING,PLEASE DISCUSS FOOD AND COOKING.  WHAT FOODS WOULD YOU INCLUDE IN THE MENU FOR A DINNER PARTY?  SHARE THE RECIPE FOR ONE OF THESE FOODS WITH THE OTHER CALLER.
sw09utt/sw_0942_3025.utt,3/sw3025,3025,9,qo,Info-request:Open-Question,,,A,6,1,How about you ?,(ROOT (FRAG (WHADVP (WRB how) (RB about)) (NP (PRP you)) (. ?))),RECIPES/FOOD/COOKING,PLEASE DISCUSS FOOD AND COOKING.  WHAT FOODS WOULD YOU INCLUDE IN THE MENU FOR A DINNER PARTY?  SHARE THE RECIPE FOR ONE OF THESE FOODS WITH THE OTHER CALLER.
sw09utt/sw_0942_3025.utt,3/sw3025,3025,12,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,7,3,I like fish and chicken the most.,(ROOT (S (VP (LS i) (PP (IN like) (NP (NP (NP (NN fish)) (CC and) (NP (NN chicken))) (NP (DT the) (JJS most))))) (. .))),RECIPES/FOOD/COOKING,PLEASE DISCUSS FOOD AND COOKING.  WHAT FOODS WOULD YOU INCLUDE IN THE MENU FOR A DINNER PARTY?  SHARE THE RECIPE FOR ONE OF THESE FOODS WITH THE OTHER CALLER.
sw09utt/sw_0942_3025.utt,3/sw3025,3025,13,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,8,1,Um.,(ROOT (NP (NN um) (. .))),RECIPES/FOOD/COOKING,PLEASE DISCUSS FOOD AND COOKING.  WHAT FOODS WOULD YOU INCLUDE IN THE MENU FOR A DINNER PARTY?  SHARE THE RECIPE FOR ONE OF THESE FOODS WITH THE OTHER CALLER.
sw09utt/sw_0942_3025.utt,3/sw3025,3025,14,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,9,1,"And, uh, most of the cooking I do just comes out of a can.","(ROOT (S (CC and) (, ,) (INTJ (UH uh)) (, ,) (NP (NP (JJS most)) (PP (IN of) (NP (DT the) (NN cooking) (FW i)))) (VP (VB do) (ADVP (RB just)) (VBZ comes) (PP (IN out) (PP (IN of) (NP (DT a) (NN can))))) (. .)))",RECIPES/FOOD/COOKING,PLEASE DISCUSS FOOD AND COOKING.  WHAT FOODS WOULD YOU INCLUDE IN THE MENU FOR A DINNER PARTY?  SHARE THE RECIPE FOR ONE OF THESE FOODS WITH THE OTHER CALLER.
sw09utt/sw_0942_3025.utt,3/sw3025,3025,15,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,10,1,Uh.,(ROOT (INTJ (UH uh) (. .))),RECIPES/FOOD/COOKING,PLEASE DISCUSS FOOD AND COOKING.  WHAT FOODS WOULD YOU INCLUDE IN THE MENU FOR A DINNER PARTY?  SHARE THE RECIPE FOR ONE OF THESE FOODS WITH THE OTHER CALLER.
sw09utt/sw_0942_3025.utt,3/sw3025,3025,17,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,11,2,"And then I just, uh, you know, I just broil it and put lemon on it.","(ROOT (S (CC and) (ADVP (RB then)) (VP (FW i) (NP (NP (SBAR (S (ADVP (RB just)) (, ,) (S (INTJ (UH uh)) (, ,) (NP (PRP you)) (VP (VBP know))) (, ,))) (FW i) (VP (ADVP (RB just)) (VB broil) (NP (PRP it)))) (CC and) (QP (VP (VB put) (ADJP (JJ lemon)) (PP (IN on) (NP (PRP it))))))) (. .)))",RECIPES/FOOD/COOKING,PLEASE DISCUSS FOOD AND COOKING.  WHAT FOODS WOULD YOU INCLUDE IN THE MENU FOR A DINNER PARTY?  SHARE THE RECIPE FOR ONE OF THESE FOODS WITH THE OTHER CALLER.
sw09utt/sw_0942_3025.utt,3/sw3025,3025,19,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,12,2,"Well, that's about the way I prepare most fish.","(ROOT (S (ADVP (RB well)) (, ,) (NP (DT that)) (VP (VBZ 's) (PP (IN about) (NP (NP (DT the) (NN way)) (SBAR (S (FW i) (VP (VB prepare) (ADVP (RBS most) (RB fish)))))))) (. .)))",RECIPES/FOOD/COOKING,PLEASE DISCUSS FOOD AND COOKING.  WHAT FOODS WOULD YOU INCLUDE IN THE MENU FOR A DINNER PARTY?  SHARE THE RECIPE FOR ONE OF THESE FOODS WITH THE OTHER CALLER.
sw09utt/sw_0942_3025.utt,3/sw3025,3025,20,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,B,13,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),RECIPES/FOOD/COOKING,PLEASE DISCUSS FOOD AND COOKING.  WHAT FOODS WOULD YOU INCLUDE IN THE MENU FOR A DINNER PARTY?  SHARE THE RECIPE FOR ONE OF THESE FOODS WITH THE OTHER CALLER.
sw09utt/sw_0942_3025.utt,3/sw3025,3025,30,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,14,10,"So, if you are looking for a French recipe, that was good.","(ROOT (FRAG (ADVP (RB so)) (, ,) (SBAR (IN if) (S (NP (PRP you)) (VP (VBP are) (VP (VBG looking) (PP (IN for) (NP (NP (DT a) (JJ french) (NN recipe)) (, ,) (SBAR (WHNP (WDT that)) (S (VP (VBD was) (ADJP (JJ good))))))))))) (. .)))",RECIPES/FOOD/COOKING,PLEASE DISCUSS FOOD AND COOKING.  WHAT FOODS WOULD YOU INCLUDE IN THE MENU FOR A DINNER PARTY?  SHARE THE RECIPE FOR ONE OF THESE FOODS WITH THE OTHER CALLER.
sw09utt/sw_0942_3025.utt,3/sw3025,3025,31,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,B,15,1,Sesame seeds and bread crumbs.,(ROOT (NP (NP (JJ sesame) (NNS seeds) (CC and) (NN bread) (NNS crumbs)) (. .))),RECIPES/FOOD/COOKING,PLEASE DISCUSS FOOD AND COOKING.  WHAT FOODS WOULD YOU INCLUDE IN THE MENU FOR A DINNER PARTY?  SHARE THE RECIPE FOR ONE OF THESE FOODS WITH THE OTHER CALLER.
