swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,act_label_1,act_label_2,act_label_relation,caller,utterance_index,subutterance_index,clean_text,parse_tree,topic_description,prompt
sw07utt/sw_0707_2755.utt,2/sw2755,2755,0,sd^t,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,1,1,"So, child care, your views.","(ROOT (NP (NP (ADVP (RB so)) (, ,) (NP (NN child) (NN care)) (, ,) (NP (PRP$ your) (NNS views))) (. .)))",CHILD_CARE,FIND OUT WHAT CRITERIA THE OTHER CALLER WOULD USE IN SELECTING CHILD CARE SERVICES FOR A PRESCHOOLER.  IS IT EASY OR DIFFICULT TO FIND SUCH CARE?
sw07utt/sw_0707_2755.utt,2/sw2755,2755,4,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,2,4,"if I was looking for outside care I probably would stay away from professional child care centers and try to find, if I was close to home, relatives or people with it is same values and possibly religious faith or something similar so that she would be raised in an environment that would be similar to what we would have in our own homes as, as parents.","(ROOT (SBAR (IN if) (S (FW i) (VP (VBD was) (VP (VBG looking) (PP (IN for) (NP (JJ outside) (NN care))) (SBAR (S (FW i) (ADVP (RB probably)) (VP (MD would) (VP (VP (VB stay) (ADVP (RB away) (PP (IN from) (NP (JJ professional) (NN child) (NN care) (NNS centers))))) (CC and) (VP (VB try) (S (VP (TO to) (VP (VB find)))) (, ,) (S (SBAR (IN if) (S (NP (FW i)) (VP (VBD was) (ADJP (JJ close) (PP (TO to) (NP (NN home))))))) (, ,) (NP (NP (NNS relatives)) (CC or) (NP (NP (NNS people)) (PP (IN with) (NP (PRP it))))) (VP (VBZ is) (ADJP (NP (NP (JJ same) (NNS values)) (CC and) (NP (RB possibly) (JJ religious) (NN faith) (CC or) (NN something))) (JJ similar) (SBAR (IN so) (SBAR (IN that) (S (NP (PRP she)) (VP (MD would) (VP (VB be) (VP (VBN raised) (PP (IN in) (NP (NP (DT an) (NN environment)) (SBAR (WHNP (WDT that)) (S (VP (MD would) (VP (VB be) (ADJP (JJ similar) (PP (TO to) (SBAR (WHNP (WP what)) (S (NP (PRP we)) (VP (MD would) (VP (VB have) (PP (IN in) (SBAR (NP (PRP$ our) (JJ own) (NNS homes)) (IN as) (, ,) (PP (IN as) (NP (NNS parents))))))))))))))))))))))))) (. .))))))))))))",CHILD_CARE,FIND OUT WHAT CRITERIA THE OTHER CALLER WOULD USE IN SELECTING CHILD CARE SERVICES FOR A PRESCHOOLER.  IS IT EASY OR DIFFICULT TO FIND SUCH CARE?
sw07utt/sw_0707_2755.utt,2/sw2755,2755,5,qw,Info-request:Wh-Question,,,A,3,1,And what religious faith ?,(ROOT (FRAG (CC and) (WHNP (WP what) (JJ religious) (NN faith)) (. ?))),CHILD_CARE,FIND OUT WHAT CRITERIA THE OTHER CALLER WOULD USE IN SELECTING CHILD CARE SERVICES FOR A PRESCHOOLER.  IS IT EASY OR DIFFICULT TO FIND SUCH CARE?
sw07utt/sw_0707_2755.utt,2/sw2755,2755,6,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,4,1,"Uh, Latter Day Saints.","(ROOT (NP (NP (INTJ (UH uh)) (, ,) (JJ latter) (NN day) (NNS saints)) (. .)))",CHILD_CARE,FIND OUT WHAT CRITERIA THE OTHER CALLER WOULD USE IN SELECTING CHILD CARE SERVICES FOR A PRESCHOOLER.  IS IT EASY OR DIFFICULT TO FIND SUCH CARE?
sw07utt/sw_0707_2755.utt,2/sw2755,2755,7,ba,Backwards-Communicative-Function:Understanding:Appreciation,,,A,5,1,Oh,(ROOT (INTJ (UH oh))),CHILD_CARE,FIND OUT WHAT CRITERIA THE OTHER CALLER WOULD USE IN SELECTING CHILD CARE SERVICES FOR A PRESCHOOLER.  IS IT EASY OR DIFFICULT TO FIND SUCH CARE?
sw07utt/sw_0707_2755.utt,2/sw2755,2755,8,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,6,1,So,(ROOT (ADVP (RB so))),CHILD_CARE,FIND OUT WHAT CRITERIA THE OTHER CALLER WOULD USE IN SELECTING CHILD CARE SERVICES FOR A PRESCHOOLER.  IS IT EASY OR DIFFICULT TO FIND SUCH CARE?
sw07utt/sw_0707_2755.utt,2/sw2755,2755,9,+,Other:Segment-(multi-utterance),,,A,7,1,"that's, that's good.","(ROOT (S (NP (DT that)) (VP (VBZ 's)) (, ,) (S (NP (DT that)) (VP (VBZ 's) (ADJP (JJ good)))) (. .)))",CHILD_CARE,FIND OUT WHAT CRITERIA THE OTHER CALLER WOULD USE IN SELECTING CHILD CARE SERVICES FOR A PRESCHOOLER.  IS IT EASY OR DIFFICULT TO FIND SUCH CARE?
sw07utt/sw_0707_2755.utt,2/sw2755,2755,13,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,8,4,and I've seen some really bad ones.,(ROOT (S (NP (CC and) (FW i) (VBP 've)) (VP (VBN seen) (NP (DT some) (ADJP (RB really) (JJ bad)) (NNS ones))) (. .))),CHILD_CARE,FIND OUT WHAT CRITERIA THE OTHER CALLER WOULD USE IN SELECTING CHILD CARE SERVICES FOR A PRESCHOOLER.  IS IT EASY OR DIFFICULT TO FIND SUCH CARE?
sw07utt/sw_0707_2755.utt,2/sw2755,2755,14,qy^g,Info-request:Yes-No-Question,,,A,9,1,"Uh, they do seem to be at the outside edge of both extremes don't they ?","(ROOT (S (INTJ (UH uh)) (S (, ,) (NP (PRP they)) (VP (VBP do) (VP (VB seem) (S (VP (TO to) (VP (VB be) (PP (IN at) (NP (NP (DT the) (JJ outside) (NN edge)) (PP (IN of) (NP (CC both) (NNS extremes))))))))))) (VP (VBP do) (RB n't) (NP (PRP they))) (. ?)))",CHILD_CARE,FIND OUT WHAT CRITERIA THE OTHER CALLER WOULD USE IN SELECTING CHILD CARE SERVICES FOR A PRESCHOOLER.  IS IT EASY OR DIFFICULT TO FIND SUCH CARE?
sw07utt/sw_0707_2755.utt,2/sw2755,2755,16,sd^e@,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,10,2,"and everything in between, yeah, in most states there's nothing to regulate them","(ROOT (FRAG (CC and) (NP (NP (NN everything)) (PP (IN in) (UCP (PP (IN between)) (, ,) (NP (NP (NN yeah)) (, ,) (PP (IN in) (NP (JJS most) (NNS states))) (S (NP (EX there)) (VP (VBZ 's) (S (NP (NN nothing)) (VP (TO to) (VP (VB regulate) (NP (PRP them)))))))))))))",CHILD_CARE,FIND OUT WHAT CRITERIA THE OTHER CALLER WOULD USE IN SELECTING CHILD CARE SERVICES FOR A PRESCHOOLER.  IS IT EASY OR DIFFICULT TO FIND SUCH CARE?
sw07utt/sw_0707_2755.utt,2/sw2755,2755,17,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,A,11,1,And,(ROOT (CC and)),CHILD_CARE,FIND OUT WHAT CRITERIA THE OTHER CALLER WOULD USE IN SELECTING CHILD CARE SERVICES FOR A PRESCHOOLER.  IS IT EASY OR DIFFICULT TO FIND SUCH CARE?
sw07utt/sw_0707_2755.utt,2/sw2755,2755,18,%,Communicative-Status:Uninterpretable,,,B,12,1,and so,(ROOT (QP (CC and) (RB so))),CHILD_CARE,FIND OUT WHAT CRITERIA THE OTHER CALLER WOULD USE IN SELECTING CHILD CARE SERVICES FOR A PRESCHOOLER.  IS IT EASY OR DIFFICULT TO FIND SUCH CARE?
sw07utt/sw_0707_2755.utt,2/sw2755,2755,19,+,Other:Segment-(multi-utterance),,,A,13,1,whenever they are they seem to regulate the good toward the bad instead of bad toward the good.,(ROOT (FRAG (SBAR (WHADVP (WRB whenever)) (S (NP (PRP they)) (VP (VBP are) (SBAR (S (NP (PRP they)) (VP (VBP seem) (S (VP (TO to) (VP (VB regulate) (NP (NP (DT the) (JJ good)) (PP (IN toward) (NP (NP (DT the) (JJ bad) (RB instead)) (PP (IN of) (NP (JJ bad))) (PP (IN toward) (NP (DT the) (JJ good))))))))))))))) (. .))),CHILD_CARE,FIND OUT WHAT CRITERIA THE OTHER CALLER WOULD USE IN SELECTING CHILD CARE SERVICES FOR A PRESCHOOLER.  IS IT EASY OR DIFFICULT TO FIND SUCH CARE?
sw07utt/sw_0707_2755.utt,2/sw2755,2755,21,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,B,14,2,"By trying to get them to conform to concern standards they, uh, kind of, uh, eliminate a lot of the, uh","(ROOT (PP (IN by) (S (VP (VBG trying) (S (VP (TO to) (VP (VB get) (S (NP (PRP them)) (VP (TO to) (VP (VB conform) (PP (TO to) (NP (NP (NN concern) (NNS standards)) (NP (NP (PRP they)) (, ,) (SBAR (S (INTJ (UH uh)) (, ,) (ADVP (NN kind) (IN of)) (, ,) (INTJ (UH uh)) (, ,) (S (VP (VB eliminate) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (DT the)))))) (, ,) (INTJ (UH uh)))))))))))))))))",CHILD_CARE,FIND OUT WHAT CRITERIA THE OTHER CALLER WOULD USE IN SELECTING CHILD CARE SERVICES FOR A PRESCHOOLER.  IS IT EASY OR DIFFICULT TO FIND SUCH CARE?
sw07utt/sw_0707_2755.utt,2/sw2755,2755,22,^2,none,,,A,15,1,Better situations.,(ROOT (NP (NP (RB better) (NNS situations)) (. .))),CHILD_CARE,FIND OUT WHAT CRITERIA THE OTHER CALLER WOULD USE IN SELECTING CHILD CARE SERVICES FOR A PRESCHOOLER.  IS IT EASY OR DIFFICULT TO FIND SUCH CARE?
sw07utt/sw_0707_2755.utt,2/sw2755,2755,26,%,Communicative-Status:Uninterpretable,,,B,16,4,and so,(ROOT (QP (CC and) (RB so))),CHILD_CARE,FIND OUT WHAT CRITERIA THE OTHER CALLER WOULD USE IN SELECTING CHILD CARE SERVICES FOR A PRESCHOOLER.  IS IT EASY OR DIFFICULT TO FIND SUCH CARE?
sw07utt/sw_0707_2755.utt,2/sw2755,2755,29,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,A,17,3,"that's, that's very well phrased.","(ROOT (S (NP (DT that)) (VP (VBZ 's)) (, ,) (S (NP (DT that)) (VP (VBZ 's) (ADVP (RB very) (RB well)) (ADJP (JJ phrased)))) (. .)))",CHILD_CARE,FIND OUT WHAT CRITERIA THE OTHER CALLER WOULD USE IN SELECTING CHILD CARE SERVICES FOR A PRESCHOOLER.  IS IT EASY OR DIFFICULT TO FIND SUCH CARE?
sw07utt/sw_0707_2755.utt,2/sw2755,2755,31,qy,Info-request:Yes-No-Question,,,A,19,1,"Uh, so, have you ever used outside child care ?","(ROOT (S (S (INTJ (UH uh)) (, ,) (ADVP (RB so)) (, ,) (VP (VBP have) (SBAR (S (NP (PRP you)) (ADVP (RB ever)) (VP (VBD used) (NP (JJ outside) (NN child)) (S (VP (NN care)))))))) (. ?)))",CHILD_CARE,FIND OUT WHAT CRITERIA THE OTHER CALLER WOULD USE IN SELECTING CHILD CARE SERVICES FOR A PRESCHOOLER.  IS IT EASY OR DIFFICULT TO FIND SUCH CARE?
sw07utt/sw_0707_2755.utt,2/sw2755,2755,35,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,20,4,"but I've never had, um","(ROOT (SINV (CC but) (FW i) (NP (SBAR (WHNP (S (VP (VBP 've) (ADVP (RB never)) (VP (VBN had) (, ,) (X (IN um))))))))))",CHILD_CARE,FIND OUT WHAT CRITERIA THE OTHER CALLER WOULD USE IN SELECTING CHILD CARE SERVICES FOR A PRESCHOOLER.  IS IT EASY OR DIFFICULT TO FIND SUCH CARE?
sw07utt/sw_0707_2755.utt,2/sw2755,2755,36,^2,none,,,A,21,1,Real day care.,(ROOT (NP (NP (JJ real) (NN day) (NN care)) (. .))),CHILD_CARE,FIND OUT WHAT CRITERIA THE OTHER CALLER WOULD USE IN SELECTING CHILD CARE SERVICES FOR A PRESCHOOLER.  IS IT EASY OR DIFFICULT TO FIND SUCH CARE?
sw07utt/sw_0707_2755.utt,2/sw2755,2755,39,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,22,3,so,(ROOT (ADVP (RB so))),CHILD_CARE,FIND OUT WHAT CRITERIA THE OTHER CALLER WOULD USE IN SELECTING CHILD CARE SERVICES FOR A PRESCHOOLER.  IS IT EASY OR DIFFICULT TO FIND SUCH CARE?
sw07utt/sw_0707_2755.utt,2/sw2755,2755,40,%,Communicative-Status:Uninterpretable,,,A,23,1,Uh,(ROOT (INTJ (UH uh))),CHILD_CARE,FIND OUT WHAT CRITERIA THE OTHER CALLER WOULD USE IN SELECTING CHILD CARE SERVICES FOR A PRESCHOOLER.  IS IT EASY OR DIFFICULT TO FIND SUCH CARE?
sw07utt/sw_0707_2755.utt,2/sw2755,2755,41,+,Other:Segment-(multi-utterance),,,B,24,1,"we haven't been in, you know, a lot of need yet.","(ROOT (S (S (NP (PRP we)) (VP (VBP have) (RB n't) (VP (VBN been) (ADVP (IN in))))) (, ,) (S (PRN (S (NP (PRP you)) (VP (VBP know))) (, ,)) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NN need)))) (ADVP (RB yet))) (. .)))",CHILD_CARE,FIND OUT WHAT CRITERIA THE OTHER CALLER WOULD USE IN SELECTING CHILD CARE SERVICES FOR A PRESCHOOLER.  IS IT EASY OR DIFFICULT TO FIND SUCH CARE?
