swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,act_label_1,act_label_2,act_label_relation,caller,utterance_index,subutterance_index,clean_text,parse_tree,topic_description,prompt
sw05utt/sw_0595_2645.utt,2/sw2645,2645,0,sd^t,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,1,1,So the general topic is hobbies.,(ROOT (FRAG (SBAR (IN so) (S (NP (DT the) (JJ general) (NN topic)) (VP (VBZ is) (NP (NNS hobbies))))) (. .))),HOBBIES_AND_CRAFTS,WHAT HOBBIES DO YOU HAVE IN YOUR SPARE TIME?  DO THEY INCLUDE ANY HANDICRAFTSWOODWORKING?
sw05utt/sw_0595_2645.utt,2/sw2645,2645,1,aa,Backwards-Communicative-Function:Agreement:Accept,,,B,2,1,Yes.,(ROOT (ADVP (RB yes) (. .))),HOBBIES_AND_CRAFTS,WHAT HOBBIES DO YOU HAVE IN YOUR SPARE TIME?  DO THEY INCLUDE ANY HANDICRAFTSWOODWORKING?
sw05utt/sw_0595_2645.utt,2/sw2645,2645,2,ad,Info-request:Action-directive,,,A,3,1,Let's hear about your hobbies.,(ROOT (S (VP (VB let) (S (NP (POS 's)) (VP (VB hear) (PP (IN about) (NP (PRP$ your) (NNS hobbies)))))) (. .))),HOBBIES_AND_CRAFTS,WHAT HOBBIES DO YOU HAVE IN YOUR SPARE TIME?  DO THEY INCLUDE ANY HANDICRAFTSWOODWORKING?
sw05utt/sw_0595_2645.utt,2/sw2645,2645,7,%,Communicative-Status:Uninterpretable,,,B,4,5,"And, uh","(ROOT (UCP (CC and) (, ,) (INTJ (UH uh))))",HOBBIES_AND_CRAFTS,WHAT HOBBIES DO YOU HAVE IN YOUR SPARE TIME?  DO THEY INCLUDE ANY HANDICRAFTSWOODWORKING?
sw05utt/sw_0595_2645.utt,2/sw2645,2645,8,qy,Info-request:Yes-No-Question,,,A,5,1,Any handicrafts ?,(ROOT (FRAG (NP (DT any) (NNS handicrafts)) (. ?))),HOBBIES_AND_CRAFTS,WHAT HOBBIES DO YOU HAVE IN YOUR SPARE TIME?  DO THEY INCLUDE ANY HANDICRAFTSWOODWORKING?
sw05utt/sw_0595_2645.utt,2/sw2645,2645,9,br,Backwards-Communicative-Function:Understanding:Signal-non-understanding,,,B,6,1,Excuse me.,(ROOT (S (VP (VB excuse) (NP (PRP me))) (. .))),HOBBIES_AND_CRAFTS,WHAT HOBBIES DO YOU HAVE IN YOUR SPARE TIME?  DO THEY INCLUDE ANY HANDICRAFTSWOODWORKING?
sw05utt/sw_0595_2645.utt,2/sw2645,2645,10,qy^r,Info-request:Yes-No-Question,,,A,7,1,Any handicrafts ?,(ROOT (FRAG (NP (DT any) (NNS handicrafts)) (. ?))),HOBBIES_AND_CRAFTS,WHAT HOBBIES DO YOU HAVE IN YOUR SPARE TIME?  DO THEY INCLUDE ANY HANDICRAFTSWOODWORKING?
sw05utt/sw_0595_2645.utt,2/sw2645,2645,16,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,8,6,I leave that more up to my Mom.,(ROOT (FRAG (SBAR (FW i) (S (VP (VBP leave) (SBAR (IN that) (NP (NP (JJR more) (PRT (IN up))) (PP (TO to) (NP (PRP$ my) (NN mom)))))))) (. .))),HOBBIES_AND_CRAFTS,WHAT HOBBIES DO YOU HAVE IN YOUR SPARE TIME?  DO THEY INCLUDE ANY HANDICRAFTSWOODWORKING?
sw05utt/sw_0595_2645.utt,2/sw2645,2645,17,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,9,1,"So, um, I think I'm MUMBLEx in handicraft.","(ROOT (NP (NP (ADVP (RB so)) (, ,) (NP (NP (NN um)) (, ,) (NP (FW i)) (S (VP (VBP think) (SBAR (S (NP (FW i)) (VP (VBP 'm) (ADJP (JJ mumblex) (PP (IN in) (NP (NN handicraft))))))))))) (. .)))",HOBBIES_AND_CRAFTS,WHAT HOBBIES DO YOU HAVE IN YOUR SPARE TIME?  DO THEY INCLUDE ANY HANDICRAFTSWOODWORKING?
sw05utt/sw_0595_2645.utt,2/sw2645,2645,18,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,B,10,1,"Oh, yeah.","(ROOT (NP (NP (INTJ (UH oh)) (, ,) (NN yeah)) (. .)))",HOBBIES_AND_CRAFTS,WHAT HOBBIES DO YOU HAVE IN YOUR SPARE TIME?  DO THEY INCLUDE ANY HANDICRAFTSWOODWORKING?
sw05utt/sw_0595_2645.utt,2/sw2645,2645,19,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,11,1,I think it will become resume writing.,(ROOT (S (VP (LS i) (VP (VB think) (SBAR (S (NP (PRP it)) (VP (MD will) (VP (VB become) (VP (VB resume) (S (VP (VBG writing)))))))))) (. .))),HOBBIES_AND_CRAFTS,WHAT HOBBIES DO YOU HAVE IN YOUR SPARE TIME?  DO THEY INCLUDE ANY HANDICRAFTSWOODWORKING?
sw05utt/sw_0595_2645.utt,2/sw2645,2645,20,ba,Backwards-Communicative-Function:Understanding:Appreciation,,,B,12,1,"Oh, well, let's hope that you, you aren't employed by that craft for too long.","(ROOT (S (INTJ (UH oh)) (, ,) (INTJ (RB well)) (, ,) (VP (VB let) (S (NP (POS 's)) (VP (NN hope) (SBAR (IN that) (S (NP (PRP you)) (, ,) (NP (PRP you)) (VP (VBP are) (RB n't) (VP (VBN employed) (PP (IN by) (NP (DT that) (NN craft))) (PP (IN for) (NP (RB too) (JJ long))))) (. .))))))))",HOBBIES_AND_CRAFTS,WHAT HOBBIES DO YOU HAVE IN YOUR SPARE TIME?  DO THEY INCLUDE ANY HANDICRAFTSWOODWORKING?
sw05utt/sw_0595_2645.utt,2/sw2645,2645,23,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,13,3,"and, and I'm getting rather good at reading want ads.","(ROOT (S (S (NP (CC and) (, ,) (CC and) (FW i) (VBP 'm)) (VP (VBG getting) (ADJP (RB rather) (JJ good) (PP (IN at) (S (VP (VBG reading))))) (VP (VBP want) (NP (NNS ads))))) (. .)))",HOBBIES_AND_CRAFTS,WHAT HOBBIES DO YOU HAVE IN YOUR SPARE TIME?  DO THEY INCLUDE ANY HANDICRAFTSWOODWORKING?
