swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,act_label_1,act_label_2,act_label_relation,caller,utterance_index,subutterance_index,clean_text,parse_tree,topic_description,prompt
sw08utt/sw_0817_2379.utt,2/sw2379,2379,0,ad,Info-request:Action-directive,,,A,1,1,"So, uh, tell me about changes from say twenty years ago, since you were an adult, twenty years ago.","(ROOT (S (ADVP (RB so)) (, ,) (INTJ (UH uh)) (, ,) (VP (VB tell) (NP (PRP me)) (PP (IN about) (NP (NP (NNS changes)) (PP (IN from) (S (VP (VBP say) (ADVP (NP (CD twenty) (NNS years)) (RB ago))))))) (, ,) (FRAG (SBAR (IN since) (S (NP (PRP you)) (VP (VBD were) (NP (DT an) (JJ adult))))) (, ,) (ADVP (NP (CD twenty) (NNS years)) (RB ago)) (. .)))))",SOCIAL_CHANGE,DISCUSS RECENT SOCIAL CHANGES.  HOW IS LIFE IN AMERICA DIFFERENT TODAY COMPARED TO LIVING TENY
sw08utt/sw_0817_2379.utt,2/sw2379,2379,1,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,2,1,"Well, let's see, well, we assume I was an adult twenty years ago,. Um","(ROOT (S (ADVP (RB well)) (, ,) (S (S (VP (VB let) (S (NP (POS 's)) (VP (VB see))) (, ,) (ADVP (RB well)))) (, ,) (S (NP (PRP we)) (VP (VBP assume) (SBAR (S (NP (FW i)) (VP (VBD was) (ADVP (NP (DT an) (JJ adult) (CD twenty) (NNS years)) (RB ago)))))))) (, ,) (. .)))",SOCIAL_CHANGE,DISCUSS RECENT SOCIAL CHANGES.  HOW IS LIFE IN AMERICA DIFFERENT TODAY COMPARED TO LIVING TENY
sw08utt/sw_0817_2379.utt,2/sw2379,2379,3,%,Communicative-Status:Uninterpretable,,,A,3,2,so,(ROOT (ADVP (RB so))),SOCIAL_CHANGE,DISCUSS RECENT SOCIAL CHANGES.  HOW IS LIFE IN AMERICA DIFFERENT TODAY COMPARED TO LIVING TENY
sw08utt/sw_0817_2379.utt,2/sw2379,2379,5,arp,Backwards-Communicative-Function:Agreement:Reject-part,,,B,4,2,definitely able to go to war twenty years ago but not vote.,(ROOT (FRAG (ADJP (ADVP (RB definitely)) (JJ able) (S (VP (TO to) (VP (VB go) (PP (TO to) (ADVP (ADVP (NP (NN war) (CD twenty) (NNS years)) (IN ago)) (CC but) (RB not) (VP (VB vote)))))))) (. .))),SOCIAL_CHANGE,DISCUSS RECENT SOCIAL CHANGES.  HOW IS LIFE IN AMERICA DIFFERENT TODAY COMPARED TO LIVING TENY
sw08utt/sw_0817_2379.utt,2/sw2379,2379,7,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,5,2,that's one of the changes.,(ROOT (S (NP (DT that)) (VP (VBZ 's) (NP (NP (CD one)) (PP (IN of) (NP (DT the) (NNS changes))))) (. .))),SOCIAL_CHANGE,DISCUSS RECENT SOCIAL CHANGES.  HOW IS LIFE IN AMERICA DIFFERENT TODAY COMPARED TO LIVING TENY
sw08utt/sw_0817_2379.utt,2/sw2379,2379,12,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,6,5,"uh, nineteen seventy I had been married two years.","(ROOT (S (INTJ (UH uh)) (, ,) (NP (QP (CD nineteen) (CD seventy)) (FW i)) (VP (VBD had) (VP (VBN been) (VP (VBN married) (NP (CD two) (NNS years))))) (. .)))",SOCIAL_CHANGE,DISCUSS RECENT SOCIAL CHANGES.  HOW IS LIFE IN AMERICA DIFFERENT TODAY COMPARED TO LIVING TENY
sw08utt/sw_0817_2379.utt,2/sw2379,2379,13,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,7,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),SOCIAL_CHANGE,DISCUSS RECENT SOCIAL CHANGES.  HOW IS LIFE IN AMERICA DIFFERENT TODAY COMPARED TO LIVING TENY
sw08utt/sw_0817_2379.utt,2/sw2379,2379,14,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,8,1,"Um, we had all the great civil rights legislation of nineteen sixty-eight","(ROOT (S (NP (NN um)) (, ,) (NP (PRP we)) (VP (VBD had) (NP (NP (PDT all) (DT the) (JJ great) (JJ civil) (NNS rights) (NN legislation)) (PP (IN of) (NP (QP (CD nineteen) (CD sixty-eight))))))))",SOCIAL_CHANGE,DISCUSS RECENT SOCIAL CHANGES.  HOW IS LIFE IN AMERICA DIFFERENT TODAY COMPARED TO LIVING TENY
sw08utt/sw_0817_2379.utt,2/sw2379,2379,15,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,9,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),SOCIAL_CHANGE,DISCUSS RECENT SOCIAL CHANGES.  HOW IS LIFE IN AMERICA DIFFERENT TODAY COMPARED TO LIVING TENY
sw08utt/sw_0817_2379.utt,2/sw2379,2379,16,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,10,1,"And, uh, around here on the, uh, east coast, uh","(ROOT (S (CC and) (, ,) (INTJ (UH uh)) (, ,) (PP (IN around) (NP (NP (RB here)) (PP (IN on) (NP (NP (DT the)) (, ,) (UH uh) (, ,) (NP (JJ east) (NN coast)) (, ,))))) (INTJ (UH uh))))",SOCIAL_CHANGE,DISCUSS RECENT SOCIAL CHANGES.  HOW IS LIFE IN AMERICA DIFFERENT TODAY COMPARED TO LIVING TENY
sw08utt/sw_0817_2379.utt,2/sw2379,2379,17,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,11,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),SOCIAL_CHANGE,DISCUSS RECENT SOCIAL CHANGES.  HOW IS LIFE IN AMERICA DIFFERENT TODAY COMPARED TO LIVING TENY
sw08utt/sw_0817_2379.utt,2/sw2379,2379,18,+,Other:Segment-(multi-utterance),,,B,12,1,we were heavy into affirmative action.,(ROOT (S (NP (PRP we)) (VP (VBD were) (ADJP (JJ heavy)) (PP (IN into) (NP (JJ affirmative) (NN action)))) (. .))),SOCIAL_CHANGE,DISCUSS RECENT SOCIAL CHANGES.  HOW IS LIFE IN AMERICA DIFFERENT TODAY COMPARED TO LIVING TENY
sw08utt/sw_0817_2379.utt,2/sw2379,2379,19,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,13,1,Yes.,(ROOT (ADVP (RB yes) (. .))),SOCIAL_CHANGE,DISCUSS RECENT SOCIAL CHANGES.  HOW IS LIFE IN AMERICA DIFFERENT TODAY COMPARED TO LIVING TENY
sw08utt/sw_0817_2379.utt,2/sw2379,2379,20,sd@,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,14,1,"And, uh, that was a, uh, a great shock for a lot of people.","(ROOT (S (CC and) (, ,) (INTJ (UH uh)) (, ,) (NP (DT that)) (VP (VBD was) (ADJP (DT a)) (, ,) (PRN (INTJ (UH uh)) (, ,) (NP (NP (DT a) (JJ great) (NN shock)) (PP (IN for) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NNS people)))))))) (. .)))",SOCIAL_CHANGE,DISCUSS RECENT SOCIAL CHANGES.  HOW IS LIFE IN AMERICA DIFFERENT TODAY COMPARED TO LIVING TENY
sw08utt/sw_0817_2379.utt,2/sw2379,2379,22,b^r,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,15,2,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),SOCIAL_CHANGE,DISCUSS RECENT SOCIAL CHANGES.  HOW IS LIFE IN AMERICA DIFFERENT TODAY COMPARED TO LIVING TENY
sw08utt/sw_0817_2379.utt,2/sw2379,2379,23,+@,Other:Segment-(multi-utterance),,,B,16,1,"And, uh, a great disappointment for some people like myself.","(ROOT (FRAG (CC and) (, ,) (INTJ (UH uh)) (, ,) (NP (NP (DT a) (JJ great) (NN disappointment)) (PP (IN for) (NP (NP (DT some) (NNS people)) (PP (IN like) (NP (PRP myself)))))) (. .)))",SOCIAL_CHANGE,DISCUSS RECENT SOCIAL CHANGES.  HOW IS LIFE IN AMERICA DIFFERENT TODAY COMPARED TO LIVING TENY
sw08utt/sw_0817_2379.utt,2/sw2379,2379,25,b^r,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,17,2,uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),SOCIAL_CHANGE,DISCUSS RECENT SOCIAL CHANGES.  HOW IS LIFE IN AMERICA DIFFERENT TODAY COMPARED TO LIVING TENY
sw08utt/sw_0817_2379.utt,2/sw2379,2379,26,sd@,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,18,1,"Um, I was gainfully employed by Safeway Stores Incorporated.","(ROOT (NP (NP (NP (NN um)) (, ,) (NP (FW i)) (VP (VBD was) (ADVP (RB gainfully)) (VP (VBN employed) (PP (IN by) (NP (NP (NN safeway) (NNS stores)) (VP (VBN incorporated))))))) (. .)))",SOCIAL_CHANGE,DISCUSS RECENT SOCIAL CHANGES.  HOW IS LIFE IN AMERICA DIFFERENT TODAY COMPARED TO LIVING TENY
sw08utt/sw_0817_2379.utt,2/sw2379,2379,27,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,19,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),SOCIAL_CHANGE,DISCUSS RECENT SOCIAL CHANGES.  HOW IS LIFE IN AMERICA DIFFERENT TODAY COMPARED TO LIVING TENY
sw08utt/sw_0817_2379.utt,2/sw2379,2379,28,+@,Other:Segment-(multi-utterance),,,B,20,1,"And, uh, trying desperately to, uh, get ahead with the company.","(ROOT (FRAG (CC and) (, ,) (INTJ (UH uh)) (, ,) (S (VP (VBG trying) (ADVP (RB desperately)) (S (TO to) (, ,) (INTJ (UH uh)) (, ,) (VP (VB get) (ADVP (RB ahead)) (PP (IN with) (NP (DT the) (NN company)))) (. .))))))",SOCIAL_CHANGE,DISCUSS RECENT SOCIAL CHANGES.  HOW IS LIFE IN AMERICA DIFFERENT TODAY COMPARED TO LIVING TENY
sw08utt/sw_0817_2379.utt,2/sw2379,2379,29,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,21,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),SOCIAL_CHANGE,DISCUSS RECENT SOCIAL CHANGES.  HOW IS LIFE IN AMERICA DIFFERENT TODAY COMPARED TO LIVING TENY
sw08utt/sw_0817_2379.utt,2/sw2379,2379,30,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,22,1,"Uh, the problem was that my hair was too long.","(ROOT (S (INTJ (UH uh)) (, ,) (NP (DT the) (NN problem)) (VP (VBD was) (SBAR (IN that) (S (NP (PRP$ my) (NN hair)) (VP (VBD was) (ADVP (RB too) (RB long)))))) (. .)))",SOCIAL_CHANGE,DISCUSS RECENT SOCIAL CHANGES.  HOW IS LIFE IN AMERICA DIFFERENT TODAY COMPARED TO LIVING TENY
sw08utt/sw_0817_2379.utt,2/sw2379,2379,31,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,23,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),SOCIAL_CHANGE,DISCUSS RECENT SOCIAL CHANGES.  HOW IS LIFE IN AMERICA DIFFERENT TODAY COMPARED TO LIVING TENY
sw08utt/sw_0817_2379.utt,2/sw2379,2379,33,o@,Other,,,B,24,2,"and, uh","(ROOT (UCP (CC and) (, ,) (INTJ (UH uh))))",SOCIAL_CHANGE,DISCUSS RECENT SOCIAL CHANGES.  HOW IS LIFE IN AMERICA DIFFERENT TODAY COMPARED TO LIVING TENY
sw08utt/sw_0817_2379.utt,2/sw2379,2379,35,b^r,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,25,2,uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),SOCIAL_CHANGE,DISCUSS RECENT SOCIAL CHANGES.  HOW IS LIFE IN AMERICA DIFFERENT TODAY COMPARED TO LIVING TENY
sw08utt/sw_0817_2379.utt,2/sw2379,2379,36,+@,Other:Segment-(multi-utterance),,,B,26,1,"you know, jeans just flat out weren't allowed","(ROOT (S (S (NP (PRP you)) (VP (VBP know))) (, ,) (NP (NP (NNS jeans)) (ADJP (RB just) (JJ flat) (PRT (RP out)))) (VP (VBD were) (RB n't) (VP (VBN allowed)))))",SOCIAL_CHANGE,DISCUSS RECENT SOCIAL CHANGES.  HOW IS LIFE IN AMERICA DIFFERENT TODAY COMPARED TO LIVING TENY
sw08utt/sw_0817_2379.utt,2/sw2379,2379,37,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,27,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),SOCIAL_CHANGE,DISCUSS RECENT SOCIAL CHANGES.  HOW IS LIFE IN AMERICA DIFFERENT TODAY COMPARED TO LIVING TENY
sw08utt/sw_0817_2379.utt,2/sw2379,2379,39,o@,Other,,,B,28,2,and,(ROOT (CC and)),SOCIAL_CHANGE,DISCUSS RECENT SOCIAL CHANGES.  HOW IS LIFE IN AMERICA DIFFERENT TODAY COMPARED TO LIVING TENY
sw08utt/sw_0817_2379.utt,2/sw2379,2379,40,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,29,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),SOCIAL_CHANGE,DISCUSS RECENT SOCIAL CHANGES.  HOW IS LIFE IN AMERICA DIFFERENT TODAY COMPARED TO LIVING TENY
sw08utt/sw_0817_2379.utt,2/sw2379,2379,43,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,B,30,3,if you were white male you're talking six years.,(ROOT (FRAG (SBAR (IN if) (S (NP (PRP you)) (VP (VBD were) (NP (NP (JJ white) (NN male)) (SBAR (S (NP (PRP you)) (VP (VBP 're) (VP (VBG talking) (NP (CD six) (NNS years)))))))))) (. .))),SOCIAL_CHANGE,DISCUSS RECENT SOCIAL CHANGES.  HOW IS LIFE IN AMERICA DIFFERENT TODAY COMPARED TO LIVING TENY
sw08utt/sw_0817_2379.utt,2/sw2379,2379,44,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,31,1,Huh.,(ROOT (ADVP (RB huh) (. .))),SOCIAL_CHANGE,DISCUSS RECENT SOCIAL CHANGES.  HOW IS LIFE IN AMERICA DIFFERENT TODAY COMPARED TO LIVING TENY
sw08utt/sw_0817_2379.utt,2/sw2379,2379,46,sd@,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,32,2,"I, uh, I just flat out couldn't get hold, you know, get ahead with the company because they were dead in affirmative action.","(ROOT (S (LS i) (, ,) (INTJ (UH uh)) (, ,) (SBAR (FW i) (S (NP (RB just) (JJ flat) (RP out)) (VP (MD could) (RB n't) (VP (VB get) (VP (VB hold)))))) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,)) (VP (VBP get) (ADVP (RB ahead)) (PP (IN with) (NP (DT the) (NN company))) (SBAR (IN because) (S (NP (PRP they)) (VP (VBD were) (ADJP (JJ dead) (PP (IN in) (NP (JJ affirmative) (NN action)))))))) (. .)))",SOCIAL_CHANGE,DISCUSS RECENT SOCIAL CHANGES.  HOW IS LIFE IN AMERICA DIFFERENT TODAY COMPARED TO LIVING TENY
sw08utt/sw_0817_2379.utt,2/sw2379,2379,48,b^r,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,33,2,uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),SOCIAL_CHANGE,DISCUSS RECENT SOCIAL CHANGES.  HOW IS LIFE IN AMERICA DIFFERENT TODAY COMPARED TO LIVING TENY
sw08utt/sw_0817_2379.utt,2/sw2379,2379,49,+@,Other:Segment-(multi-utterance),,,B,34,1,"Um, on other fronts, um","(ROOT (FRAG (NP (NN um)) (, ,) (PP (IN on) (NP (JJ other) (NNS fronts))) (, ,) (NP (NN um))))",SOCIAL_CHANGE,DISCUSS RECENT SOCIAL CHANGES.  HOW IS LIFE IN AMERICA DIFFERENT TODAY COMPARED TO LIVING TENY
sw08utt/sw_0817_2379.utt,2/sw2379,2379,50,qy,Info-request:Yes-No-Question,,,A,35,1,"And is the company now, uh, well represented, uh, demographically, at the higher echelons ?","(ROOT (S (CC and) (VP (VBZ is) (NP (DT the) (NN company)) (ADVP (RB now))) (, ,) (INTJ (UH uh)) (, ,) (ADJP (RB well) (VBN represented)) (, ,) (VP (INTJ (UH uh)) (PRN (, ,) (ADVP (RB demographically)) (, ,)) (PP (IN at) (NP (DT the) (JJR higher) (NNS echelons)))) (. ?)))",SOCIAL_CHANGE,DISCUSS RECENT SOCIAL CHANGES.  HOW IS LIFE IN AMERICA DIFFERENT TODAY COMPARED TO LIVING TENY
sw08utt/sw_0817_2379.utt,2/sw2379,2379,51,%,Communicative-Status:Uninterpretable,,,B,36,1,Um,(ROOT (NP (NN um))),SOCIAL_CHANGE,DISCUSS RECENT SOCIAL CHANGES.  HOW IS LIFE IN AMERICA DIFFERENT TODAY COMPARED TO LIVING TENY
sw08utt/sw_0817_2379.utt,2/sw2379,2379,52,qy,Info-request:Yes-No-Question,,,A,37,1,Did it work ?,(ROOT (SQ (VBD did) (NP (PRP it)) (VP (VB work)) (. ?))),SOCIAL_CHANGE,DISCUSS RECENT SOCIAL CHANGES.  HOW IS LIFE IN AMERICA DIFFERENT TODAY COMPARED TO LIVING TENY
sw08utt/sw_0817_2379.utt,2/sw2379,2379,54,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,38,2,"I, I, I, I stopped working for them in, uh, seventy-eight, seventy-nine.","(ROOT (NP (LS i) (, ,) (FW i) (, ,) (FW i) (, ,) (NP (FW i)) (VP (VBD stopped) (S (VP (VBG working) (PP (IN for) (NP (PRP them))) (ADVP (IN in))))) (, ,) (UH uh) (, ,) (NP (CD seventy-eight)) (, ,) (NP (CD seventy-nine)) (. .)))",SOCIAL_CHANGE,DISCUSS RECENT SOCIAL CHANGES.  HOW IS LIFE IN AMERICA DIFFERENT TODAY COMPARED TO LIVING TENY
sw08utt/sw_0817_2379.utt,2/sw2379,2379,55,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,39,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),SOCIAL_CHANGE,DISCUSS RECENT SOCIAL CHANGES.  HOW IS LIFE IN AMERICA DIFFERENT TODAY COMPARED TO LIVING TENY
sw08utt/sw_0817_2379.utt,2/sw2379,2379,57,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,B,40,2,"I think they're, they're like all companies, well represented.","(ROOT (FRAG (S (S (LS i) (VP (VBP think) (SBAR (S (NP (PRP they)) (VP (VBP 're)))))) (, ,) (NP (PRP they)) (VP (VBP 're) (PP (IN like) (NP (DT all) (NNS companies))))) (, ,) (ADJP (RB well) (VBN represented)) (. .)))",SOCIAL_CHANGE,DISCUSS RECENT SOCIAL CHANGES.  HOW IS LIFE IN AMERICA DIFFERENT TODAY COMPARED TO LIVING TENY
sw08utt/sw_0817_2379.utt,2/sw2379,2379,58,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,41,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),SOCIAL_CHANGE,DISCUSS RECENT SOCIAL CHANGES.  HOW IS LIFE IN AMERICA DIFFERENT TODAY COMPARED TO LIVING TENY
sw08utt/sw_0817_2379.utt,2/sw2379,2379,59,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,B,42,1,"And, uh, you know, everything seems to be fine.","(ROOT (S (CC and) (PRN (, ,) (S (INTJ (UH uh)) (, ,) (NP (PRP you)) (VP (VBP know))) (, ,)) (NP (NN everything)) (VP (VBZ seems) (S (VP (TO to) (VP (VB be) (ADJP (JJ fine)))))) (. .)))",SOCIAL_CHANGE,DISCUSS RECENT SOCIAL CHANGES.  HOW IS LIFE IN AMERICA DIFFERENT TODAY COMPARED TO LIVING TENY
sw08utt/sw_0817_2379.utt,2/sw2379,2379,60,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,43,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),SOCIAL_CHANGE,DISCUSS RECENT SOCIAL CHANGES.  HOW IS LIFE IN AMERICA DIFFERENT TODAY COMPARED TO LIVING TENY
sw08utt/sw_0817_2379.utt,2/sw2379,2379,62,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,44,2,we had a falling out,(ROOT (S (NP (PRP we)) (VP (VBD had) (NP (DT a) (S (VP (VBG falling) (PRT (RP out)))))))),SOCIAL_CHANGE,DISCUSS RECENT SOCIAL CHANGES.  HOW IS LIFE IN AMERICA DIFFERENT TODAY COMPARED TO LIVING TENY
sw08utt/sw_0817_2379.utt,2/sw2379,2379,64,b^r,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,45,2,uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),SOCIAL_CHANGE,DISCUSS RECENT SOCIAL CHANGES.  HOW IS LIFE IN AMERICA DIFFERENT TODAY COMPARED TO LIVING TENY
