swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,act_label_1,act_label_2,act_label_relation,caller,utterance_index,subutterance_index,clean_text,parse_tree,topic_description,prompt
sw09utt/sw_0908_2844.utt,2/sw2844,2844,1,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,1,2,"Well, I heard Dallas is pretty bad with the crime.","(ROOT (S (ADVP (RB well)) (, ,) (NP (FW i) (VBN heard) (NNP dallas)) (VP (VBZ is) (ADJP (RB pretty) (JJ bad)) (PP (IN with) (NP (DT the) (NN crime)))) (. .)))",CRIME,DISCUSS CRIME IN AMERICAN CITIES TODAY.  WHAT ARE YOUR CONCERNS AND THE CONCERNS OF THE OTHER CALLER?  WHAT STEPS CAN BE TAKEN TO REDUCE CRIME?
sw09utt/sw_0908_2844.utt,2/sw2844,2844,2,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,2,1,"Well, you know, you know last night I was listening to the, uh, ten o'clock news.","(ROOT (S (ADVP (RB well)) (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,) (S (NP (PRP you)) (VP (VBP know) (NP (JJ last) (NN night)) (VP (FW i) (S (VP (VBD was) (VP (VBG listening) (PP (TO to) (NP (NP (DT the)) (, ,) (UH uh) (, ,) (NP (CD ten) (RB o'clock) (NN news)))))))))) (. .)))",CRIME,DISCUSS CRIME IN AMERICAN CITIES TODAY.  WHAT ARE YOUR CONCERNS AND THE CONCERNS OF THE OTHER CALLER?  WHAT STEPS CAN BE TAKEN TO REDUCE CRIME?
sw09utt/sw_0908_2844.utt,2/sw2844,2844,3,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,3,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),CRIME,DISCUSS CRIME IN AMERICAN CITIES TODAY.  WHAT ARE YOUR CONCERNS AND THE CONCERNS OF THE OTHER CALLER?  WHAT STEPS CAN BE TAKEN TO REDUCE CRIME?
sw09utt/sw_0908_2844.utt,2/sw2844,2844,5,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,B,4,2,"and, and it's so depressing just to even listen to the news anymore.","(ROOT (S (CC and) (, ,) (CC and) (S (NP (PRP it)) (VP (VBZ 's) (ADJP (RB so) (JJ depressing)) (S (ADVP (RB just)) (VP (TO to) (ADVP (RB even)) (VP (VB listen) (PP (TO to) (NP (DT the) (NN news))) (ADVP (RB anymore))))))) (. .)))",CRIME,DISCUSS CRIME IN AMERICAN CITIES TODAY.  WHAT ARE YOUR CONCERNS AND THE CONCERNS OF THE OTHER CALLER?  WHAT STEPS CAN BE TAKEN TO REDUCE CRIME?
sw09utt/sw_0908_2844.utt,2/sw2844,2844,7,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,5,2,The same way here in Dennison.,(ROOT (FRAG (NP (NP (DT the) (JJ same) (NN way)) (ADVP (RB here) (PP (IN in) (NP (NN dennison))))) (. .))),CRIME,DISCUSS CRIME IN AMERICAN CITIES TODAY.  WHAT ARE YOUR CONCERNS AND THE CONCERNS OF THE OTHER CALLER?  WHAT STEPS CAN BE TAKEN TO REDUCE CRIME?
sw09utt/sw_0908_2844.utt,2/sw2844,2844,8,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,B,6,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),CRIME,DISCUSS CRIME IN AMERICAN CITIES TODAY.  WHAT ARE YOUR CONCERNS AND THE CONCERNS OF THE OTHER CALLER?  WHAT STEPS CAN BE TAKEN TO REDUCE CRIME?
sw09utt/sw_0908_2844.utt,2/sw2844,2844,11,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,7,3,but I'm pretty sure they'd been shot and put the freezer at the fast,(ROOT (SINV (CC but) (FW i) (NP (SBAR (WHNP (S (VP (VBP 'm) (ADVP (RB pretty) (RB sure)) (SBAR (S (NP (PRP they)) (VP (MD 'd) (VP (VBN been) (VP (VBN shot) (CC and) (VP (VBN put) (NP (DT the) (NN freezer)) (PP (IN at) (NP (DT the) (JJ fast)))))))))))))))),CRIME,DISCUSS CRIME IN AMERICAN CITIES TODAY.  WHAT ARE YOUR CONCERNS AND THE CONCERNS OF THE OTHER CALLER?  WHAT STEPS CAN BE TAKEN TO REDUCE CRIME?
sw09utt/sw_0908_2844.utt,2/sw2844,2844,12,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,B,8,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),CRIME,DISCUSS CRIME IN AMERICAN CITIES TODAY.  WHAT ARE YOUR CONCERNS AND THE CONCERNS OF THE OTHER CALLER?  WHAT STEPS CAN BE TAKEN TO REDUCE CRIME?
sw09utt/sw_0908_2844.utt,2/sw2844,2844,13,+,Other:Segment-(multi-utterance),,,A,9,1,food restaurant.,(ROOT (NP (NP (NN food) (NN restaurant)) (. .))),CRIME,DISCUSS CRIME IN AMERICAN CITIES TODAY.  WHAT ARE YOUR CONCERNS AND THE CONCERNS OF THE OTHER CALLER?  WHAT STEPS CAN BE TAKEN TO REDUCE CRIME?
sw09utt/sw_0908_2844.utt,2/sw2844,2844,14,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,B,10,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),CRIME,DISCUSS CRIME IN AMERICAN CITIES TODAY.  WHAT ARE YOUR CONCERNS AND THE CONCERNS OF THE OTHER CALLER?  WHAT STEPS CAN BE TAKEN TO REDUCE CRIME?
sw09utt/sw_0908_2844.utt,2/sw2844,2844,16,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,A,11,2,They don't have that much money on hand,(ROOT (S (NP (PRP they)) (VP (VBP do) (RB n't) (VP (VB have) (NP (NP (ADJP (DT that) (JJ much)) (NN money)) (PP (IN on) (NP (NN hand)))))))),CRIME,DISCUSS CRIME IN AMERICAN CITIES TODAY.  WHAT ARE YOUR CONCERNS AND THE CONCERNS OF THE OTHER CALLER?  WHAT STEPS CAN BE TAKEN TO REDUCE CRIME?
sw09utt/sw_0908_2844.utt,2/sw2844,2844,17,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,B,12,1,Yeah.,(ROOT (NP (NN yeah) (. .))),CRIME,DISCUSS CRIME IN AMERICAN CITIES TODAY.  WHAT ARE YOUR CONCERNS AND THE CONCERNS OF THE OTHER CALLER?  WHAT STEPS CAN BE TAKEN TO REDUCE CRIME?
