swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,act_label_1,act_label_2,act_label_relation,caller,utterance_index,subutterance_index,clean_text,parse_tree,topic_description,prompt
sw00utt/sw_0028_4133.utt,4/sw4133,4133,1,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,A,1,2,"it, it, you know, it, it really isn't doing any real good purpose for anything because it's not cost effective because of the amount of time the people end up waiting on appeal.","(ROOT (S (NP (PRP it)) (, ,) (NP (PRP it)) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,)) (NP (PRP it)) (, ,) (NP (PRP it)) (ADVP (RB really)) (VP (VBZ is) (RB n't) (VP (VBG doing) (NP (DT any) (JJ real) (JJ good) (NN purpose)) (PP (IN for) (NP (NN anything))) (SBAR (IN because) (S (NP (PRP it)) (VP (VBZ 's) (RB not) (VP (VB cost) (ADJP (JJ effective)) (PP (IN because) (IN of) (NP (NP (DT the) (NN amount)) (PP (IN of) (NP (NN time))) (SBAR (S (NP (DT the) (NNS people)) (VP (VBP end) (PRT (RP up)) (S (VP (VBG waiting) (PP (IN on) (NP (NN appeal)))))))))))))))) (. .)))",CAPITAL_PUNISHMENT,COMPARE YOUR OPINIONS AND THOSE OF THE OTHER CALLER ON CAPITAL PUNISHMENT.  DO EITHER OF YOU THINK IT SHOULD BE RESTRICTED TO CERTAIN CRIMES OR CIRCUMSTANCES?  HOW DO THE POLICIES AND PRACTICES OF YOUR STATE FIT WITH YOUR OPINIONS?
sw00utt/sw_0028_4133.utt,4/sw4133,4133,3,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,B,2,2,"I think I've seen some statistics that say that, uh, it's more expensive to kill somebody than to keep them in prison for life.","(ROOT (S (LS i) (VP (VB think) (SBAR (S (FW i) (VP (VBP 've) (VP (VBN seen) (NP (NP (DT some) (NNS statistics)) (SBAR (WHNP (WDT that)) (S (VP (VBP say) (SBAR (IN that) (, ,) (S (INTJ (UH uh)) (, ,) (NP (PRP it)) (VP (VBZ 's) (ADJP (RBR more) (JJ expensive)) (S (VP (TO to) (VP (VB kill) (NP (NP (NN somebody)) (SBAR (IN than) (S (VP (TO to) (VP (VB keep) (S (NP (PRP them)) (PP (IN in) (NP (NN prison)))) (PP (IN for) (NP (NN life)))))))))))) (. .))))))))))))))",CAPITAL_PUNISHMENT,COMPARE YOUR OPINIONS AND THOSE OF THE OTHER CALLER ON CAPITAL PUNISHMENT.  DO EITHER OF YOU THINK IT SHOULD BE RESTRICTED TO CERTAIN CRIMES OR CIRCUMSTANCES?  HOW DO THE POLICIES AND PRACTICES OF YOUR STATE FIT WITH YOUR OPINIONS?
sw00utt/sw_0028_4133.utt,4/sw4133,4133,5,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,3,2,"because y-, you, you've got all, all the prison expenses, plus all the legal expenses.","(ROOT (S (S (PP (IN because) (SYM y) (ADJP (: -))) (, ,) (NP (PRP you)) (PRN (, ,) (S (NP (PRP you)) (VP (VBP 've) (VP (VBD got) (NP (DT all))))) (, ,)) (NP (NP (PDT all) (DT the) (NN prison) (NNS expenses)) (, ,) (CC plus) (NP (PDT all) (DT the) (JJ legal) (NNS expenses)))) (. .)))",CAPITAL_PUNISHMENT,COMPARE YOUR OPINIONS AND THOSE OF THE OTHER CALLER ON CAPITAL PUNISHMENT.  DO EITHER OF YOU THINK IT SHOULD BE RESTRICTED TO CERTAIN CRIMES OR CIRCUMSTANCES?  HOW DO THE POLICIES AND PRACTICES OF YOUR STATE FIT WITH YOUR OPINIONS?
sw00utt/sw_0028_4133.utt,4/sw4133,4133,6,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,B,4,1,Right.,(ROOT (ADVP (RB right) (. .))),CAPITAL_PUNISHMENT,COMPARE YOUR OPINIONS AND THOSE OF THE OTHER CALLER ON CAPITAL PUNISHMENT.  DO EITHER OF YOU THINK IT SHOULD BE RESTRICTED TO CERTAIN CRIMES OR CIRCUMSTANCES?  HOW DO THE POLICIES AND PRACTICES OF YOUR STATE FIT WITH YOUR OPINIONS?
sw00utt/sw_0028_4133.utt,4/sw4133,4133,7,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,A,5,1,"Uh, and, you know, it certainly doesn't seem to be a deterrent. Uh, for one thing because it's used so infrequently and for another thing because I honestly don't think the people that are committing the c-, crimes that would be eligible, you know, really care.","(ROOT (S (INTJ (UH uh)) (, ,) (CC and) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,)) (NP (PRP it)) (ADVP (RB certainly)) (VP (VBZ does) (RB n't) (VP (VB seem) (S (VP (TO to) (VP (VB be) (NP (DT a) (NN deterrent))))))) (. .)))",CAPITAL_PUNISHMENT,COMPARE YOUR OPINIONS AND THOSE OF THE OTHER CALLER ON CAPITAL PUNISHMENT.  DO EITHER OF YOU THINK IT SHOULD BE RESTRICTED TO CERTAIN CRIMES OR CIRCUMSTANCES?  HOW DO THE POLICIES AND PRACTICES OF YOUR STATE FIT WITH YOUR OPINIONS?
sw00utt/sw_0028_4133.utt,4/sw4133,4133,11,%,Communicative-Status:Uninterpretable,,,B,6,4,or,(ROOT (CC or)),CAPITAL_PUNISHMENT,COMPARE YOUR OPINIONS AND THOSE OF THE OTHER CALLER ON CAPITAL PUNISHMENT.  DO EITHER OF YOU THINK IT SHOULD BE RESTRICTED TO CERTAIN CRIMES OR CIRCUMSTANCES?  HOW DO THE POLICIES AND PRACTICES OF YOUR STATE FIT WITH YOUR OPINIONS?
sw00utt/sw_0028_4133.utt,4/sw4133,4133,16,^q,none,,,A,7,5,"You know, I, I, I'm","(ROOT (S (S (NP (PRP you)) (VP (VBP know))) (, ,) (SBAR (FW i) (PRN (, ,) (FW i) (, ,)) (X (FW i) (ADJP (ADVP (VBP 'm)))))))",CAPITAL_PUNISHMENT,COMPARE YOUR OPINIONS AND THOSE OF THE OTHER CALLER ON CAPITAL PUNISHMENT.  DO EITHER OF YOU THINK IT SHOULD BE RESTRICTED TO CERTAIN CRIMES OR CIRCUMSTANCES?  HOW DO THE POLICIES AND PRACTICES OF YOUR STATE FIT WITH YOUR OPINIONS?
sw00utt/sw_0028_4133.utt,4/sw4133,4133,18,%,Communicative-Status:Uninterpretable,,,B,8,2,b-,(ROOT (X (X (SYM b)) (: -))),CAPITAL_PUNISHMENT,COMPARE YOUR OPINIONS AND THOSE OF THE OTHER CALLER ON CAPITAL PUNISHMENT.  DO EITHER OF YOU THINK IT SHOULD BE RESTRICTED TO CERTAIN CRIMES OR CIRCUMSTANCES?  HOW DO THE POLICIES AND PRACTICES OF YOUR STATE FIT WITH YOUR OPINIONS?
sw00utt/sw_0028_4133.utt,4/sw4133,4133,19,+,Other:Segment-(multi-utterance),,,A,9,1,never going to get caught.,(ROOT (S (S (ADVP (RB never)) (VP (VBG going) (S (VP (TO to) (VP (VB get) (VP (VBN caught))))))) (. .))),CAPITAL_PUNISHMENT,COMPARE YOUR OPINIONS AND THOSE OF THE OTHER CALLER ON CAPITAL PUNISHMENT.  DO EITHER OF YOU THINK IT SHOULD BE RESTRICTED TO CERTAIN CRIMES OR CIRCUMSTANCES?  HOW DO THE POLICIES AND PRACTICES OF YOUR STATE FIT WITH YOUR OPINIONS?
sw00utt/sw_0028_4133.utt,4/sw4133,4133,23,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,B,10,4,"by putting him in prison for life, there is still a possibility that he will get out again.","(ROOT (S (S (PP (IN by) (S (VP (VBG putting) (NP (PRP him)) (PP (IN in) (NP (NN prison))) (PP (IN for) (NP (NN life)))))) (, ,) (NP (EX there)) (VP (VBZ is) (ADVP (RB still)) (NP (DT a) (NN possibility) (SBAR (IN that) (S (NP (PRP he)) (VP (MD will) (VP (VB get) (ADVP (RP out)) (ADVP (RB again))))))))) (. .)))",CAPITAL_PUNISHMENT,COMPARE YOUR OPINIONS AND THOSE OF THE OTHER CALLER ON CAPITAL PUNISHMENT.  DO EITHER OF YOU THINK IT SHOULD BE RESTRICTED TO CERTAIN CRIMES OR CIRCUMSTANCES?  HOW DO THE POLICIES AND PRACTICES OF YOUR STATE FIT WITH YOUR OPINIONS?
sw00utt/sw_0028_4133.utt,4/sw4133,4133,25,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,11,2,"one, one","(ROOT (NP (NP (CD one)) (, ,) (NP (CD one))))",CAPITAL_PUNISHMENT,COMPARE YOUR OPINIONS AND THOSE OF THE OTHER CALLER ON CAPITAL PUNISHMENT.  DO EITHER OF YOU THINK IT SHOULD BE RESTRICTED TO CERTAIN CRIMES OR CIRCUMSTANCES?  HOW DO THE POLICIES AND PRACTICES OF YOUR STATE FIT WITH YOUR OPINIONS?
sw00utt/sw_0028_4133.utt,4/sw4133,4133,26,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,12,1,Whereas,(ROOT (IN whereas)),CAPITAL_PUNISHMENT,COMPARE YOUR OPINIONS AND THOSE OF THE OTHER CALLER ON CAPITAL PUNISHMENT.  DO EITHER OF YOU THINK IT SHOULD BE RESTRICTED TO CERTAIN CRIMES OR CIRCUMSTANCES?  HOW DO THE POLICIES AND PRACTICES OF YOUR STATE FIT WITH YOUR OPINIONS?
sw00utt/sw_0028_4133.utt,4/sw4133,4133,27,+,Other:Segment-(multi-utterance),,,A,13,1,way or another.,(ROOT (NP (NP (NP (NN way)) (CC or) (NP (DT another))) (. .))),CAPITAL_PUNISHMENT,COMPARE YOUR OPINIONS AND THOSE OF THE OTHER CALLER ON CAPITAL PUNISHMENT.  DO EITHER OF YOU THINK IT SHOULD BE RESTRICTED TO CERTAIN CRIMES OR CIRCUMSTANCES?  HOW DO THE POLICIES AND PRACTICES OF YOUR STATE FIT WITH YOUR OPINIONS?
sw00utt/sw_0028_4133.utt,4/sw4133,4133,28,+,Other:Segment-(multi-utterance),,,B,14,1,"if you kill him, there is not that possibility.","(ROOT (S (S (SBAR (IN if) (S (NP (PRP you)) (VP (VBP kill) (NP (PRP him))))) (, ,) (NP (EX there)) (VP (VBZ is) (RB not) (NP (IN that) (NN possibility)))) (. .)))",CAPITAL_PUNISHMENT,COMPARE YOUR OPINIONS AND THOSE OF THE OTHER CALLER ON CAPITAL PUNISHMENT.  DO EITHER OF YOU THINK IT SHOULD BE RESTRICTED TO CERTAIN CRIMES OR CIRCUMSTANCES?  HOW DO THE POLICIES AND PRACTICES OF YOUR STATE FIT WITH YOUR OPINIONS?
sw00utt/sw_0028_4133.utt,4/sw4133,4133,30,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,A,15,2,"but, but the other side to that is, if you put him in prison for life, there's a chance that he might do things in prison, or, you know, and somehow redeem himself.","(ROOT (S (CC but) (, ,) (CC but) (S (NP (NP (DT the) (JJ other) (NN side)) (PP (TO to) (NP (DT that)))) (VP (VBZ is) (, ,) (SBAR (S (SBAR (IN if) (S (NP (PRP you)) (VP (VBD put) (NP (PRP him)) (PP (IN in) (NP (NN prison))) (PP (IN for) (NP (NN life)))))) (, ,) (NP (EX there)) (VP (VBZ 's) (NP (NP (DT a) (NN chance) (SBAR (IN that) (S (NP (PRP he)) (VP (MD might) (VP (VB do) (NP (NP (NP (NNS things)) (PP (IN in) (NP (NN prison)))) (, ,) (CC or) (, ,))))))) (SBAR (S (NP (PRP you)) (VP (VBP know)))))))))) (, ,) (CC and) (S (ADVP (RB somehow)) (VP (VB redeem) (NP (PRP himself)))) (. .)))",CAPITAL_PUNISHMENT,COMPARE YOUR OPINIONS AND THOSE OF THE OTHER CALLER ON CAPITAL PUNISHMENT.  DO EITHER OF YOU THINK IT SHOULD BE RESTRICTED TO CERTAIN CRIMES OR CIRCUMSTANCES?  HOW DO THE POLICIES AND PRACTICES OF YOUR STATE FIT WITH YOUR OPINIONS?
sw00utt/sw_0028_4133.utt,4/sw4133,4133,33,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,B,16,3,but,(ROOT (CC but)),CAPITAL_PUNISHMENT,COMPARE YOUR OPINIONS AND THOSE OF THE OTHER CALLER ON CAPITAL PUNISHMENT.  DO EITHER OF YOU THINK IT SHOULD BE RESTRICTED TO CERTAIN CRIMES OR CIRCUMSTANCES?  HOW DO THE POLICIES AND PRACTICES OF YOUR STATE FIT WITH YOUR OPINIONS?
sw00utt/sw_0028_4133.utt,4/sw4133,4133,34,%,Communicative-Status:Uninterpretable,,,A,17,1,Well,(ROOT (ADVP (RB well))),CAPITAL_PUNISHMENT,COMPARE YOUR OPINIONS AND THOSE OF THE OTHER CALLER ON CAPITAL PUNISHMENT.  DO EITHER OF YOU THINK IT SHOULD BE RESTRICTED TO CERTAIN CRIMES OR CIRCUMSTANCES?  HOW DO THE POLICIES AND PRACTICES OF YOUR STATE FIT WITH YOUR OPINIONS?
sw00utt/sw_0028_4133.utt,4/sw4133,4133,35,+,Other:Segment-(multi-utterance),,,B,18,1,"in some cases, yes.","(ROOT (FRAG (PP (IN in) (NP (DT some) (NNS cases))) (, ,) (INTJ (UH yes)) (. .)))",CAPITAL_PUNISHMENT,COMPARE YOUR OPINIONS AND THOSE OF THE OTHER CALLER ON CAPITAL PUNISHMENT.  DO EITHER OF YOU THINK IT SHOULD BE RESTRICTED TO CERTAIN CRIMES OR CIRCUMSTANCES?  HOW DO THE POLICIES AND PRACTICES OF YOUR STATE FIT WITH YOUR OPINIONS?
sw00utt/sw_0028_4133.utt,4/sw4133,4133,40,^q,none,,,A,19,5,guess we killed the wrong guy.,(ROOT (S (NP (NN guess)) (NP (PRP we)) (VP (VBD killed) (NP (DT the) (JJ wrong) (NN guy))) (. .))),CAPITAL_PUNISHMENT,COMPARE YOUR OPINIONS AND THOSE OF THE OTHER CALLER ON CAPITAL PUNISHMENT.  DO EITHER OF YOU THINK IT SHOULD BE RESTRICTED TO CERTAIN CRIMES OR CIRCUMSTANCES?  HOW DO THE POLICIES AND PRACTICES OF YOUR STATE FIT WITH YOUR OPINIONS?
