swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,act_label_1,act_label_2,act_label_relation,caller,utterance_index,subutterance_index,clean_text,parse_tree,topic_description,prompt
sw10utt/sw_1064_2478.utt,2/sw2478,2478,0,o,Other,,,B,1,1,Colorado Springs.,(ROOT (NP (NP (NN colorado) (NNS springs)) (. .))),SVGS_&_LOAN_BAILOUT,WHAT DO YOU THINK WERE THE CAUSES OF THE CURRENT SAVINGS AND LOAN CRISIS?  DO YOU BELIEVE THAT THE PROBLEM IS MOSTLY UNDER CONTROL?  IS IT BEING HANDLED CORRECTLY?  COULD IT HAPPEN AGAIN?
sw10utt/sw_1064_2478.utt,2/sw2478,2478,2,qy,Info-request:Yes-No-Question,,,A,2,2,"up in, uh, T I out there ?","(ROOT (SBAR (RB up) (IN in) (, ,) (NP (INTJ (UH uh)) (, ,) (NN t) (FW i) (ADVP (IN out) (RB there))) (. ?)))",SVGS_&_LOAN_BAILOUT,WHAT DO YOU THINK WERE THE CAUSES OF THE CURRENT SAVINGS AND LOAN CRISIS?  DO YOU BELIEVE THAT THE PROBLEM IS MOSTLY UNDER CONTROL?  IS IT BEING HANDLED CORRECTLY?  COULD IT HAPPEN AGAIN?
sw10utt/sw_1064_2478.utt,2/sw2478,2478,3,ny,Info-request:Yes answers,,,B,3,1,Yeah.,(ROOT (NP (NN yeah) (. .))),SVGS_&_LOAN_BAILOUT,WHAT DO YOU THINK WERE THE CAUSES OF THE CURRENT SAVINGS AND LOAN CRISIS?  DO YOU BELIEVE THAT THE PROBLEM IS MOSTLY UNDER CONTROL?  IS IT BEING HANDLED CORRECTLY?  COULD IT HAPPEN AGAIN?
sw10utt/sw_1064_2478.utt,2/sw2478,2478,4,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,4,1,"Oh, right.","(ROOT (FRAG (INTJ (UH oh)) (, ,) (ADVP (RB right) (. .))))",SVGS_&_LOAN_BAILOUT,WHAT DO YOU THINK WERE THE CAUSES OF THE CURRENT SAVINGS AND LOAN CRISIS?  DO YOU BELIEVE THAT THE PROBLEM IS MOSTLY UNDER CONTROL?  IS IT BEING HANDLED CORRECTLY?  COULD IT HAPPEN AGAIN?
sw10utt/sw_1064_2478.utt,2/sw2478,2478,5,qy^t,Info-request:Yes-No-Question,,,B,5,1,Did you hit one.,(ROOT (SQ (VBD did) (NP (PRP you)) (VP (VBD hit) (NP (CD one))) (. .))),SVGS_&_LOAN_BAILOUT,WHAT DO YOU THINK WERE THE CAUSES OF THE CURRENT SAVINGS AND LOAN CRISIS?  DO YOU BELIEVE THAT THE PROBLEM IS MOSTLY UNDER CONTROL?  IS IT BEING HANDLED CORRECTLY?  COULD IT HAPPEN AGAIN?
sw10utt/sw_1064_2478.utt,2/sw2478,2478,7,sd^e^t,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,6,2,I just hit one then.,(ROOT (S (LS i) (ADVP (RB just)) (VP (VBN hit) (NP (CD one)) (ADVP (RB then))) (. .))),SVGS_&_LOAN_BAILOUT,WHAT DO YOU THINK WERE THE CAUSES OF THE CURRENT SAVINGS AND LOAN CRISIS?  DO YOU BELIEVE THAT THE PROBLEM IS MOSTLY UNDER CONTROL?  IS IT BEING HANDLED CORRECTLY?  COULD IT HAPPEN AGAIN?
sw10utt/sw_1064_2478.utt,2/sw2478,2478,8,bk,Backwards-Communicative-Function:Understanding:Response Acknowledgement,,,B,7,1,All right.,(ROOT (NP (NP (DT all) (NN right)) (. .))),SVGS_&_LOAN_BAILOUT,WHAT DO YOU THINK WERE THE CAUSES OF THE CURRENT SAVINGS AND LOAN CRISIS?  DO YOU BELIEVE THAT THE PROBLEM IS MOSTLY UNDER CONTROL?  IS IT BEING HANDLED CORRECTLY?  COULD IT HAPPEN AGAIN?
sw10utt/sw_1064_2478.utt,2/sw2478,2478,9,%,Communicative-Status:Uninterpretable,,,A,8,1,Uh,(ROOT (INTJ (UH uh))),SVGS_&_LOAN_BAILOUT,WHAT DO YOU THINK WERE THE CAUSES OF THE CURRENT SAVINGS AND LOAN CRISIS?  DO YOU BELIEVE THAT THE PROBLEM IS MOSTLY UNDER CONTROL?  IS IT BEING HANDLED CORRECTLY?  COULD IT HAPPEN AGAIN?
sw10utt/sw_1064_2478.utt,2/sw2478,2478,10,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,9,1,The savings and loan scandal.,(ROOT (NP (NP (DT the) (NNS savings) (CC and) (NN loan) (NN scandal)) (. .))),SVGS_&_LOAN_BAILOUT,WHAT DO YOU THINK WERE THE CAUSES OF THE CURRENT SAVINGS AND LOAN CRISIS?  DO YOU BELIEVE THAT THE PROBLEM IS MOSTLY UNDER CONTROL?  IS IT BEING HANDLED CORRECTLY?  COULD IT HAPPEN AGAIN?
sw10utt/sw_1064_2478.utt,2/sw2478,2478,14,qr,Info-request:Or-Question,,,A,10,4,Are you Republican or Democrat ?,(ROOT (SBARQ (SQ (VBP are) (NP (PRP you)) (NP (JJ republican) (CC or) (NN democrat))) (. ?))),SVGS_&_LOAN_BAILOUT,WHAT DO YOU THINK WERE THE CAUSES OF THE CURRENT SAVINGS AND LOAN CRISIS?  DO YOU BELIEVE THAT THE PROBLEM IS MOSTLY UNDER CONTROL?  IS IT BEING HANDLED CORRECTLY?  COULD IT HAPPEN AGAIN?
