swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,act_label_1,act_label_2,act_label_relation,caller,utterance_index,subutterance_index,clean_text,parse_tree,topic_description,prompt
sw03utt/sw_0322_4936.utt,4/sw4936,4936,0,ad,Info-request:Action-directive,,,A,1,1,Why don't you start ?,(ROOT (SBARQ (WHADVP (WRB why)) (SQ (VBP do) (RB n't) (NP (PRP you)) (VP (VB start))) (. ?))),WOODWORKING,PLEASE DISCUSS WOODWORKING. IS IT A HOBBY FOR YOUY
sw03utt/sw_0322_4936.utt,4/sw4936,4936,4,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,2,4,"Uh, that's been, I've been pretty successful with that.","(ROOT (S (INTJ (UH uh)) (, ,) (NP (DT that)) (VP (VBZ 's) (VP (VBN been) (, ,) (S (VP (FW i) (S (VP (VBP 've) (VP (VBN been) (ADJP (RB pretty) (JJ successful)) (PP (IN with) (NP (DT that)))))))))) (. .)))",WOODWORKING,PLEASE DISCUSS WOODWORKING. IS IT A HOBBY FOR YOUY
sw03utt/sw_0322_4936.utt,4/sw4936,4936,5,qr,Info-request:Or-Question,,,A,3,1,Things you already owned or things that you've picked up just to do that ?,(ROOT (FRAG (NP (NP (NNS things)) (SBAR (S (NP (PRP you)) (ADVP (RB already)) (VP (VP (VBD owned)) (CC or) (NP (NP (NNS things)) (SBAR (WHNP (IN that)) (S (NP (PRP you)) (VP (VBP 've) (VP (VBN picked) (PRT (RP up)) (S (ADVP (RB just)) (VP (TO to) (VP (VB do) (NP (DT that)))))))))))))) (. ?))),WOODWORKING,PLEASE DISCUSS WOODWORKING. IS IT A HOBBY FOR YOUY
sw03utt/sw_0322_4936.utt,4/sw4936,4936,6,br,Backwards-Communicative-Function:Understanding:Signal-non-understanding,,,B,4,1,What ?,(ROOT (FRAG (WHNP (WDT what)) (. ?))),WOODWORKING,PLEASE DISCUSS WOODWORKING. IS IT A HOBBY FOR YOUY
sw03utt/sw_0322_4936.utt,4/sw4936,4936,7,qr,Info-request:Or-Question,,,A,5,1,Are they things you already owned or you pick them up just to do that refinishing ?,(ROOT (SBARQ (SQ (VBP are) (NP (NP (PRP they)) (NP (NP (NNS things)) (SBAR (S (NP (PRP you)) (ADVP (RB already)) (VP (VP (VBD owned)) (CC or) (SBAR (S (NP (PRP you)) (VP (VBP pick) (NP (PRP them)) (PRT (RP up)) (S (ADVP (RB just)) (VP (TO to) (VP (VB do) (NP (DT that))))) (VP (VBG refinishing))))))))))) (. ?))),WOODWORKING,PLEASE DISCUSS WOODWORKING. IS IT A HOBBY FOR YOUY
sw03utt/sw_0322_4936.utt,4/sw4936,4936,9,sd^e,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,6,2,"I've done some other things too. Uh, you know.",(ROOT (S (FW i) (VP (VBP 've) (VP (VBN done) (NP (DT some) (JJ other) (NNS things)) (ADVP (RB too)))) (. .))),WOODWORKING,PLEASE DISCUSS WOODWORKING. IS IT A HOBBY FOR YOUY
sw03utt/sw_0322_4936.utt,4/sw4936,4936,11,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,7,2,I've done both.,(ROOT (FRAG (SBAR (FW i) (S (VP (VBP 've) (VP (VBN done) (NP (DT both)))))) (. .))),WOODWORKING,PLEASE DISCUSS WOODWORKING. IS IT A HOBBY FOR YOUY
sw03utt/sw_0322_4936.utt,4/sw4936,4936,12,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,B,8,1,Yeah.,(ROOT (NP (NN yeah) (. .))),WOODWORKING,PLEASE DISCUSS WOODWORKING. IS IT A HOBBY FOR YOUY
sw03utt/sw_0322_4936.utt,4/sw4936,4936,15,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,9,3,I guess that,(ROOT (FRAG (LST (LS i)) (NP (NN guess)) (WHNP (WDT that)))),WOODWORKING,PLEASE DISCUSS WOODWORKING. IS IT A HOBBY FOR YOUY
sw03utt/sw_0322_4936.utt,4/sw4936,4936,16,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,B,10,1,"Oh, yeah.","(ROOT (NP (NP (INTJ (UH oh)) (, ,) (NN yeah)) (. .)))",WOODWORKING,PLEASE DISCUSS WOODWORKING. IS IT A HOBBY FOR YOUY
sw03utt/sw_0322_4936.utt,4/sw4936,4936,18,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,A,11,2,"That's, uh, that's a kind of low risk sort of project, isn't it I guess.","(ROOT (S (S (NP (DT that)) (VP (VBZ 's)) (, ,) (INTJ (UH uh)) (, ,) (S (NP (DT that)) (VP (VBZ 's) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NP (JJ low) (NN risk) (NN sort)) (PP (IN of) (NP (NN project)))))))) (, ,)) (VP (VBZ is) (RB n't) (NP (PRP it)) (NP (FW i) (NN guess))) (. .)))",WOODWORKING,PLEASE DISCUSS WOODWORKING. IS IT A HOBBY FOR YOUY
sw03utt/sw_0322_4936.utt,4/sw4936,4936,20,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,B,12,2,That's a good way to get started.,(ROOT (S (NP (DT that)) (VP (VBZ 's) (NP (NP (DT a) (JJ good) (NN way)) (SBAR (S (VP (TO to) (VP (VB get) (VP (VBN started)))))))) (. .))),WOODWORKING,PLEASE DISCUSS WOODWORKING. IS IT A HOBBY FOR YOUY
sw03utt/sw_0322_4936.utt,4/sw4936,4936,21,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,13,1,"Uh, I have a, a, uh, really nice desk. A nicer desk than I could afford. Which I got because my sister who worked in a hospital, uh","(ROOT (S (INTJ (UH uh)) (, ,) (NP (FW i)) (VP (VBP have) (NP (DT a) (, ,) (NP (DT a) (, ,) (INTJ (UH uh)) (, ,) (ADJP (RB really) (JJ nice)) (NN desk)))) (. .)))",WOODWORKING,PLEASE DISCUSS WOODWORKING. IS IT A HOBBY FOR YOUY
sw03utt/sw_0322_4936.utt,4/sw4936,4936,22,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,B,14,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),WOODWORKING,PLEASE DISCUSS WOODWORKING. IS IT A HOBBY FOR YOUY
sw03utt/sw_0322_4936.utt,4/sw4936,4936,25,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,15,3,"and it turned out to be really nice, uh, a nice desk.","(ROOT (S (CC and) (S (NP (PRP it)) (VP (VBD turned) (PRT (RP out)) (S (VP (TO to) (VP (VB be) (ADJP (RB really) (JJ nice))))))) (, ,) (FRAG (INTJ (UH uh)) (, ,) (NP (DT a) (JJ nice) (NN desk))) (. .)))",WOODWORKING,PLEASE DISCUSS WOODWORKING. IS IT A HOBBY FOR YOUY
sw03utt/sw_0322_4936.utt,4/sw4936,4936,26,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,B,16,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),WOODWORKING,PLEASE DISCUSS WOODWORKING. IS IT A HOBBY FOR YOUY
sw03utt/sw_0322_4936.utt,4/sw4936,4936,27,+,Other:Segment-(multi-utterance),,,A,17,1,Maple top I think or or,(ROOT (NP (NP (NN maple) (JJ top) (FW i) (VBP think)) (CC or) (QP (CC or)))),WOODWORKING,PLEASE DISCUSS WOODWORKING. IS IT A HOBBY FOR YOUY
sw03utt/sw_0322_4936.utt,4/sw4936,4936,28,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,B,18,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),WOODWORKING,PLEASE DISCUSS WOODWORKING. IS IT A HOBBY FOR YOUY
sw03utt/sw_0322_4936.utt,4/sw4936,4936,29,+,Other:Segment-(multi-utterance),,,A,19,1,something of that sort.,(ROOT (NP (NP (NP (NN something)) (PP (IN of) (NP (DT that) (NN sort)))) (. .))),WOODWORKING,PLEASE DISCUSS WOODWORKING. IS IT A HOBBY FOR YOUY
sw03utt/sw_0322_4936.utt,4/sw4936,4936,31,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,20,2,"I, I, uh, put together a, a, up rolltop desk from scratch.","(ROOT (S (LS i) (, ,) (NP (FW i) (, ,) (UH uh) (, ,)) (VP (VBN put) (ADVP (RB together)) (NP (NP (DT a)) (, ,) (NP (DT a)) (, ,) (ADVP (IN up) (NP (NN rolltop) (NN desk)) (PP (IN from) (NP (NN scratch)))))) (. .)))",WOODWORKING,PLEASE DISCUSS WOODWORKING. IS IT A HOBBY FOR YOUY
sw03utt/sw_0322_4936.utt,4/sw4936,4936,32,bh,Backwards-Communicative-Function:Understanding:Backchannel-in-question-form,,,A,21,1,"Oh, really ?","(ROOT (FRAG (INTJ (UH oh)) (, ,) (ADVP (RB really)) (. ?)))",WOODWORKING,PLEASE DISCUSS WOODWORKING. IS IT A HOBBY FOR YOUY
sw03utt/sw_0322_4936.utt,4/sw4936,4936,33,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,22,1,"You know, a kit.","(ROOT (FRAG (S (NP (PRP you)) (VP (VBP know))) (, ,) (NP (DT a) (NN kit)) (. .)))",WOODWORKING,PLEASE DISCUSS WOODWORKING. IS IT A HOBBY FOR YOUY
