swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,act_label_1,act_label_2,act_label_relation,caller,utterance_index,subutterance_index,clean_text,parse_tree,topic_description,prompt
sw05utt/sw_0554_3260.utt,3/sw3260,3260,0,qy,Info-request:Yes-No-Question,,,A,1,1,Do you have children ?,(ROOT (SQ (VB do) (NP (PRP you)) (VP (VBP have) (NP (NNS children))) (. ?))),FAMILY_LIFE,IF YOU HAVE CHILDRENY
sw05utt/sw_0554_3260.utt,3/sw3260,3260,4,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,2,4,and one's a sophomore in high school.,(ROOT (FRAG (CC and) (NP (NP (CD one) (POS 's)) (NP (DT a) (NN sophomore)) (PP (IN in) (NP (JJ high) (NN school)))) (. .))),FAMILY_LIFE,IF YOU HAVE CHILDRENY
sw05utt/sw_0554_3260.utt,3/sw3260,3260,5,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,3,1,Oh.,(ROOT (INTJ (UH oh) (. .))),FAMILY_LIFE,IF YOU HAVE CHILDRENY
sw05utt/sw_0554_3260.utt,3/sw3260,3260,6,qy,Info-request:Yes-No-Question,,,B,4,1,And you ?,(ROOT (FRAG (CC and) (NP (PRP you)) (. ?))),FAMILY_LIFE,IF YOU HAVE CHILDRENY
sw05utt/sw_0554_3260.utt,3/sw3260,3260,7,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,5,1,"I have one that's a freshman in high school, a daughter. And a son who's a sixth grader in a middle school.","(ROOT (S (LS i) (VP (VBP have) (NP (NP (NP (CD one)) (SBAR (WHNP (WDT that)) (S (VP (VBZ 's) (NP (NP (DT a) (NN freshman)) (PP (IN in) (NP (JJ high) (NN school)))))))) (, ,) (NP (DT a) (NN daughter)))) (. .)))",FAMILY_LIFE,IF YOU HAVE CHILDRENY
sw05utt/sw_0554_3260.utt,3/sw3260,3260,8,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,B,6,1,Okay.,(ROOT (ADJP (JJ okay) (. .))),FAMILY_LIFE,IF YOU HAVE CHILDRENY
sw05utt/sw_0554_3260.utt,3/sw3260,3260,9,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,7,1,And I spend most of my time carpooling.,(ROOT (FRAG (NP (NP (CC and) (FW i) (VBP spend)) (NP (NP (JJS most)) (PP (IN of) (NP (PRP$ my) (NN time) (NN carpooling))))) (. .))),FAMILY_LIFE,IF YOU HAVE CHILDRENY
sw05utt/sw_0554_3260.utt,3/sw3260,3260,10,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,B,8,1,Oh.,(ROOT (INTJ (UH oh) (. .))),FAMILY_LIFE,IF YOU HAVE CHILDRENY
sw05utt/sw_0554_3260.utt,3/sw3260,3260,11,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,9,1,The story of my life.,(ROOT (NP (NP (NP (DT the) (NN story)) (PP (IN of) (NP (PRP$ my) (NN life)))) (. .))),FAMILY_LIFE,IF YOU HAVE CHILDRENY
sw05utt/sw_0554_3260.utt,3/sw3260,3260,14,%@,Communicative-Status:Uninterpretable,,,B,10,3,Uh,(ROOT (INTJ (UH uh))),FAMILY_LIFE,IF YOU HAVE CHILDRENY
sw05utt/sw_0554_3260.utt,3/sw3260,3260,19,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,11,5,my rule is that they can't play a sport the same time of the year,(ROOT (S (NP (PRP$ my) (NN rule)) (VP (VBZ is) (SBAR (IN that) (S (NP (PRP they)) (VP (MD ca) (RB n't) (VP (VB play) (NP (NP (DT a) (NN sport)) (NP (NP (DT the) (JJ same) (NN time)) (PP (IN of) (NP (DT the) (NN year)))))))))))),FAMILY_LIFE,IF YOU HAVE CHILDRENY
sw05utt/sw_0554_3260.utt,3/sw3260,3260,20,+,Other:Segment-(multi-utterance),,,B,12,1,Yeah.,(ROOT (NP (NN yeah) (. .))),FAMILY_LIFE,IF YOU HAVE CHILDRENY
sw05utt/sw_0554_3260.utt,3/sw3260,3260,21,+,Other:Segment-(multi-utterance),,,A,13,1,because there's just not enough of me to drive them around everywhere.,(ROOT (FRAG (SBAR (IN because) (S (NP (EX there)) (VP (VBZ 's) (ADVP (RB just)) (RB not) (ADVP (RB enough) (PP (IN of) (NP (PRP me)))) (S (VP (TO to) (VP (VB drive) (NP (PRP them)) (PP (IN around) (NP (RB everywhere))))))))) (. .))),FAMILY_LIFE,IF YOU HAVE CHILDRENY
