swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,act_label_1,act_label_2,act_label_relation,caller,utterance_index,subutterance_index,clean_text,parse_tree,topic_description,prompt
sw05utt/sw_0536_2502.utt,2/sw2502,2502,0,qo,Info-request:Open-Question,,,A,1,1,"So, how do you feel about our policy in Latin America ?.","(ROOT (FRAG (SBARQ (ADVP (RB so)) (, ,) (WHADVP (WRB how)) (SQ (VBP do) (NP (PRP you)) (VP (VB feel) (PP (IN about) (NP (PRP$ our) (NN policy))) (PP (IN in) (NP (NN latin) (NN america))))) (. ?)) (. .)))",LATIN_AMERICA,WHAT DO YOU THINK ABOUT CURRENT OR RECENT AMERICAN ACTIONS IN LATIN AMERICA
sw05utt/sw_0536_2502.utt,2/sw2502,2502,6,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,B,2,6,I don't think we've been doing too bad.,(ROOT (S (VP (LS i) (S (VP (VBP do) (RB n't) (VP (VB think) (SBAR (S (NP (PRP we)) (VP (VBP 've) (VP (VBN been) (VP (VBG doing) (ADJP (RB too) (JJ bad))))))))))) (. .))),LATIN_AMERICA,WHAT DO YOU THINK ABOUT CURRENT OR RECENT AMERICAN ACTIONS IN LATIN AMERICA
sw05utt/sw_0536_2502.utt,2/sw2502,2502,9,qy,Info-request:Yes-No-Question,,,A,3,3,Do you think,(ROOT (SQ (VB do) (NP (PRP you)) (VP (VB think)))),LATIN_AMERICA,WHAT DO YOU THINK ABOUT CURRENT OR RECENT AMERICAN ACTIONS IN LATIN AMERICA
sw05utt/sw_0536_2502.utt,2/sw2502,2502,10,%,Communicative-Status:Uninterpretable,,,B,4,1,Um.,(ROOT (NP (NN um) (. .))),LATIN_AMERICA,WHAT DO YOU THINK ABOUT CURRENT OR RECENT AMERICAN ACTIONS IN LATIN AMERICA
sw05utt/sw_0536_2502.utt,2/sw2502,2502,11,+,Other:Segment-(multi-utterance),,,A,5,1,we should direct the government ?.,(ROOT (S (NP (PRP we)) (VP (MD should) (VP (VB direct) (NP (DT the) (NN government)))) (. ?) (. .))),LATIN_AMERICA,WHAT DO YOU THINK ABOUT CURRENT OR RECENT AMERICAN ACTIONS IN LATIN AMERICA
sw05utt/sw_0536_2502.utt,2/sw2502,2502,13,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,B,6,2,"I think that if it wasn't for the United States Government matching that the g-, the drug, uh, cartels or whatever would control most the Central and Latin America.","(ROOT (X (LST (LS i)) (VBP think) (SBAR (IN that) (SBAR (IN if) (S (NP (PRP it)) (VP (VBD was) (RB n't) (PP (IN for) (NP (NP (DT the) (JJ united) (NNS states) (NN government)) (VP (VBG matching) (SBAR (IN that) (NP (NP (NP (DT the) (NN g)) (ADJP (: -))) (, ,) (NP (NP (DT the) (NN drug)) (, ,) (NP (INTJ (UH uh)) (, ,) (NP (NP (NNS cartels)) (CC or) (SBAR (WHNP (WDT whatever)) (S (VP (MD would) (VP (VB control) (NP (RBS most) (DT the) (JJ central) (CC and) (NN latin) (NN america))))))))))))))))) (. .))))",LATIN_AMERICA,WHAT DO YOU THINK ABOUT CURRENT OR RECENT AMERICAN ACTIONS IN LATIN AMERICA
sw05utt/sw_0536_2502.utt,2/sw2502,2502,14,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,7,1,Yeah.,(ROOT (NP (NN yeah) (. .))),LATIN_AMERICA,WHAT DO YOU THINK ABOUT CURRENT OR RECENT AMERICAN ACTIONS IN LATIN AMERICA
sw05utt/sw_0536_2502.utt,2/sw2502,2502,15,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,B,8,1,"Just that, uh, money is power","(ROOT (NP (NP (RB just) (DT that)) (, ,) (SBAR (S (INTJ (UH uh)) (, ,) (NP (NN money)) (VP (VBZ is) (NP (NN power)))))))",LATIN_AMERICA,WHAT DO YOU THINK ABOUT CURRENT OR RECENT AMERICAN ACTIONS IN LATIN AMERICA
sw05utt/sw_0536_2502.utt,2/sw2502,2502,16,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,9,1,Yeah.,(ROOT (NP (NN yeah) (. .))),LATIN_AMERICA,WHAT DO YOU THINK ABOUT CURRENT OR RECENT AMERICAN ACTIONS IN LATIN AMERICA
sw05utt/sw_0536_2502.utt,2/sw2502,2502,17,%,Communicative-Status:Uninterpretable,,,B,10,1,"and, uh","(ROOT (UCP (CC and) (, ,) (INTJ (UH uh))))",LATIN_AMERICA,WHAT DO YOU THINK ABOUT CURRENT OR RECENT AMERICAN ACTIONS IN LATIN AMERICA
