swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,act_label_1,act_label_2,act_label_relation,caller,utterance_index,subutterance_index,clean_text,parse_tree,topic_description,prompt
sw02utt/sw_0284_2743.utt,2/sw2743,2743,1,fp,Other-forward-function:Conventional-opening,,,A,1,2,Hi Norma.,(ROOT (NP (NP (UH hi) (NP (NN norma))) (. .))),CONSUMER_GOODS,FIND OUT FROM THE OTHER CALLER WHETHER THEY HAVE HAD TO RETURN A PRODUCT THEY BOUGHT RECENTLY.  ARE CONSUMER GOODS GENERALLY GETTING BETTER OR WORSE IN QUALITY?
sw02utt/sw_0284_2743.utt,2/sw2743,2743,2,fp,Other-forward-function:Conventional-opening,,,B,2,1,Hi.,(ROOT (INTJ (UH hi) (. .))),CONSUMER_GOODS,FIND OUT FROM THE OTHER CALLER WHETHER THEY HAVE HAD TO RETURN A PRODUCT THEY BOUGHT RECENTLY.  ARE CONSUMER GOODS GENERALLY GETTING BETTER OR WORSE IN QUALITY?
sw02utt/sw_0284_2743.utt,2/sw2743,2743,3,qy,Info-request:Yes-No-Question,,,A,3,1,"Have you taken anything back lately, uh, that you've bought ?","(ROOT (FRAG (VB have) (S (NP (PRP you)) (VP (VBN taken) (NP (NN anything)) (ADVP (RB back) (RB lately)))) (, ,) (INTJ (UH uh)) (, ,) (SBAR (IN that) (S (NP (PRP you)) (VP (VBP 've) (VP (VBN bought))))) (. ?)))",CONSUMER_GOODS,FIND OUT FROM THE OTHER CALLER WHETHER THEY HAVE HAD TO RETURN A PRODUCT THEY BOUGHT RECENTLY.  ARE CONSUMER GOODS GENERALLY GETTING BETTER OR WORSE IN QUALITY?
sw02utt/sw_0284_2743.utt,2/sw2743,2743,4,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,4,1,Well the only thing we've taken back recently are plants.,(ROOT (S (VP (ADVP (RB well)) (NP (NP (DT the) (JJ only) (NN thing)) (SBAR (S (NP (PRP we)) (VP (VBP 've) (VP (VBN taken) (PRT (RB back)) (ADVP (RB recently)) (VP (VBP are) (NP (NNS plants))))))))) (. .))),CONSUMER_GOODS,FIND OUT FROM THE OTHER CALLER WHETHER THEY HAVE HAD TO RETURN A PRODUCT THEY BOUGHT RECENTLY.  ARE CONSUMER GOODS GENERALLY GETTING BETTER OR WORSE IN QUALITY?
sw02utt/sw_0284_2743.utt,2/sw2743,2743,5,qw,Info-request:Wh-Question,,,A,5,1,Well why ?,(ROOT (FRAG (ADVP (RB well) (WRB why)) (. ?))),CONSUMER_GOODS,FIND OUT FROM THE OTHER CALLER WHETHER THEY HAVE HAD TO RETURN A PRODUCT THEY BOUGHT RECENTLY.  ARE CONSUMER GOODS GENERALLY GETTING BETTER OR WORSE IN QUALITY?
sw02utt/sw_0284_2743.utt,2/sw2743,2743,7,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,6,2,and we had no problem with it.,(ROOT (S (CC and) (S (NP (PRP we)) (VP (VBD had) (NP (NP (DT no) (NN problem)) (PP (IN with) (NP (PRP it)))))) (. .))),CONSUMER_GOODS,FIND OUT FROM THE OTHER CALLER WHETHER THEY HAVE HAD TO RETURN A PRODUCT THEY BOUGHT RECENTLY.  ARE CONSUMER GOODS GENERALLY GETTING BETTER OR WORSE IN QUALITY?
sw02utt/sw_0284_2743.utt,2/sw2743,2743,8,ba,Backwards-Communicative-Function:Understanding:Appreciation,,,A,7,1,Very good.,(ROOT (FRAG (ADJP (RB very) (JJ good)) (. .))),CONSUMER_GOODS,FIND OUT FROM THE OTHER CALLER WHETHER THEY HAVE HAD TO RETURN A PRODUCT THEY BOUGHT RECENTLY.  ARE CONSUMER GOODS GENERALLY GETTING BETTER OR WORSE IN QUALITY?
sw02utt/sw_0284_2743.utt,2/sw2743,2743,9,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,8,1,"We got our mo-, got our money back.","(ROOT (S (NP (PRP we)) (VP (VP (VBD got) (S (NP (PRP$ our) (NN mo)) (VP (: -)))) (, ,) (VP (VBD got) (NP (NP (PRP$ our) (NN money)) (ADVP (RB back))))) (. .)))",CONSUMER_GOODS,FIND OUT FROM THE OTHER CALLER WHETHER THEY HAVE HAD TO RETURN A PRODUCT THEY BOUGHT RECENTLY.  ARE CONSUMER GOODS GENERALLY GETTING BETTER OR WORSE IN QUALITY?
sw02utt/sw_0284_2743.utt,2/sw2743,2743,11,qr,Info-request:Or-Question,,,A,9,2,"Well wh, do you think that, uh, consumer goods, goods are generally getting better, or worse in quality ?","(ROOT (SBARQ (ADVP (RB well)) (SQ (NP (NN wh)) (, ,) (VBP do) (NP (PRP you)) (VP (VB think) (SBAR (IN that) (, ,) (S (NP (INTJ (UH uh)) (, ,) (NP (NN consumer) (NNS goods)) (, ,) (NP (NNS goods))) (VP (VBP are) (ADVP (RB generally)) (VP (VBG getting) (NX (JJR better) (, ,) (CC or) (NX (JJR worse) (PP (IN in) (NP (NN quality)))))))))) (. ?))))",CONSUMER_GOODS,FIND OUT FROM THE OTHER CALLER WHETHER THEY HAVE HAD TO RETURN A PRODUCT THEY BOUGHT RECENTLY.  ARE CONSUMER GOODS GENERALLY GETTING BETTER OR WORSE IN QUALITY?
sw02utt/sw_0284_2743.utt,2/sw2743,2743,12,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,10,1,"Well, I believe they're better.","(ROOT (S (S (ADVP (RB well)) (, ,) (FW i) (VP (VBP believe) (SBAR (S (NP (PRP they)) (VP (VBP 're) (ADJP (JJR better))))))) (. .)))",CONSUMER_GOODS,FIND OUT FROM THE OTHER CALLER WHETHER THEY HAVE HAD TO RETURN A PRODUCT THEY BOUGHT RECENTLY.  ARE CONSUMER GOODS GENERALLY GETTING BETTER OR WORSE IN QUALITY?
sw02utt/sw_0284_2743.utt,2/sw2743,2743,17,%,Communicative-Status:Uninterpretable,,,A,11,5,"you know, wh-","(ROOT (UCP (S (NP (PRP you)) (VP (VBP know))) (, ,) (SYM wh) (: -)))",CONSUMER_GOODS,FIND OUT FROM THE OTHER CALLER WHETHER THEY HAVE HAD TO RETURN A PRODUCT THEY BOUGHT RECENTLY.  ARE CONSUMER GOODS GENERALLY GETTING BETTER OR WORSE IN QUALITY?
sw02utt/sw_0284_2743.utt,2/sw2743,2743,20,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,B,12,3,"Electrical appliances I think are pretty good, r, reliable.","(ROOT (NP (NP (NP (JJ electrical) (NNS appliances)) (SBAR (FW i) (S (VP (VBP think) (SBAR (S (VP (VP (VBP are) (ADJP (RB pretty) (JJ good))) (, ,) (ADJP (NN r) (, ,) (JJ reliable))))))))) (. .)))",CONSUMER_GOODS,FIND OUT FROM THE OTHER CALLER WHETHER THEY HAVE HAD TO RETURN A PRODUCT THEY BOUGHT RECENTLY.  ARE CONSUMER GOODS GENERALLY GETTING BETTER OR WORSE IN QUALITY?
