swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,act_label_1,act_label_2,act_label_relation,caller,utterance_index,subutterance_index,clean_text,parse_tree,topic_description,prompt
sw09utt/sw_0943_3028.utt,3/sw3028,3028,0,qy,Info-request:Yes-No-Question,,,A,1,1,Are you ready ?,(ROOT (SBARQ (SQ (VBP are) (NP (PRP you)) (ADJP (JJ ready))) (. ?))),RESTAURANTS,WHAT KIND OF DINING OUT DO YOU ENJOY? WHAT THINGS DO YOU LOOK FOR IN A RESTAURANT THAT WOULD GET YOU TO GO BACK AGAIN?  SEE WHETHER THE OTHER CALLER'S PREFERENCES ARE SIMILAR TO YOURS.
sw09utt/sw_0943_3028.utt,3/sw3028,3028,1,ny,Info-request:Yes answers,,,B,2,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),RESTAURANTS,WHAT KIND OF DINING OUT DO YOU ENJOY? WHAT THINGS DO YOU LOOK FOR IN A RESTAURANT THAT WOULD GET YOU TO GO BACK AGAIN?  SEE WHETHER THE OTHER CALLER'S PREFERENCES ARE SIMILAR TO YOURS.
sw09utt/sw_0943_3028.utt,3/sw3028,3028,2,qy^t,Info-request:Yes-No-Question,,,A,3,1,She didn't announce that to you ?,(ROOT (S (NP (PRP she)) (VP (VBD did) (RB n't) (VP (VB announce) (NP (IN that)) (PP (TO to) (NP (PRP you))))) (. ?))),RESTAURANTS,WHAT KIND OF DINING OUT DO YOU ENJOY? WHAT THINGS DO YOU LOOK FOR IN A RESTAURANT THAT WOULD GET YOU TO GO BACK AGAIN?  SEE WHETHER THE OTHER CALLER'S PREFERENCES ARE SIMILAR TO YOURS.
sw09utt/sw_0943_3028.utt,3/sw3028,3028,3,nd^t,Backwards-Communicative-Function:Answer:Dispreferred-answers,,,B,4,1,"Oh, I didn't, I didn't quite hear all of it.","(ROOT (S (INTJ (UH oh)) (, ,) (NP (FW i)) (VP (VBD did) (RB n't) (S (, ,) (NP (FW i)) (VP (VBD did) (RB n't) (VP (ADVP (RB quite)) (VB hear) (NP (NP (DT all)) (PP (IN of) (NP (PRP it)))))) (. .)))))",RESTAURANTS,WHAT KIND OF DINING OUT DO YOU ENJOY? WHAT THINGS DO YOU LOOK FOR IN A RESTAURANT THAT WOULD GET YOU TO GO BACK AGAIN?  SEE WHETHER THE OTHER CALLER'S PREFERENCES ARE SIMILAR TO YOURS.
sw09utt/sw_0943_3028.utt,3/sw3028,3028,6,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,A,5,3,"Um, I think, uh, that's pleasurable for all of us, if we choose the right restaurant.","(ROOT (S (NP (NP (NN um)) (, ,) (NP (FW i) (VB think)) (, ,)) (INTJ (UH uh)) (, ,) (NP (DT that)) (VP (VBZ 's) (ADJP (JJ pleasurable)) (PP (IN for) (NP (NP (DT all)) (PP (IN of) (NP (PRP us))))) (, ,) (SBAR (IN if) (S (NP (PRP we)) (VP (VBP choose) (NP (DT the) (JJ right) (NN restaurant)))))) (. .)))",RESTAURANTS,WHAT KIND OF DINING OUT DO YOU ENJOY? WHAT THINGS DO YOU LOOK FOR IN A RESTAURANT THAT WOULD GET YOU TO GO BACK AGAIN?  SEE WHETHER THE OTHER CALLER'S PREFERENCES ARE SIMILAR TO YOURS.
sw09utt/sw_0943_3028.utt,3/sw3028,3028,7,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,B,6,1,Right.,(ROOT (ADVP (RB right) (. .))),RESTAURANTS,WHAT KIND OF DINING OUT DO YOU ENJOY? WHAT THINGS DO YOU LOOK FOR IN A RESTAURANT THAT WOULD GET YOU TO GO BACK AGAIN?  SEE WHETHER THE OTHER CALLER'S PREFERENCES ARE SIMILAR TO YOURS.
sw09utt/sw_0943_3028.utt,3/sw3028,3028,8,qw,Info-request:Wh-Question,,,A,7,1,"So, what are your thoughts on dining out ?","(ROOT (SBARQ (ADVP (RB so)) (, ,) (WHNP (WP what)) (SQ (VP (VBP are) (NP (PRP$ your) (NNS thoughts)) (PP (IN on) (S (VP (VBG dining) (PRT (RP out))))))) (. ?)))",RESTAURANTS,WHAT KIND OF DINING OUT DO YOU ENJOY? WHAT THINGS DO YOU LOOK FOR IN A RESTAURANT THAT WOULD GET YOU TO GO BACK AGAIN?  SEE WHETHER THE OTHER CALLER'S PREFERENCES ARE SIMILAR TO YOURS.
sw09utt/sw_0943_3028.utt,3/sw3028,3028,9,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,8,1,"Well, I, I really choose restaurants more for the quality of food than anything else.","(ROOT (FRAG (ADVP (RB well)) (, ,) (NP (FW i) (, ,) (VP (FW i) (S (VP (ADVP (RB really)) (VB choose) (NP (NNS restaurants)) (PP (ADVP (RBR more)) (IN for) (NP (NP (DT the) (NN quality)) (PP (IN of) (NP (NN food))))) (SBAR (IN than) (S (NP (NN anything) (RB else)))))))) (. .)))",RESTAURANTS,WHAT KIND OF DINING OUT DO YOU ENJOY? WHAT THINGS DO YOU LOOK FOR IN A RESTAURANT THAT WOULD GET YOU TO GO BACK AGAIN?  SEE WHETHER THE OTHER CALLER'S PREFERENCES ARE SIMILAR TO YOURS.
sw09utt/sw_0943_3028.utt,3/sw3028,3028,10,qy^d,Info-request:Yes-No-Question,,,A,9,1,Not for the price ?,(ROOT (FRAG (PP (RB not) (IN for) (NP (DT the) (NN price))) (. ?))),RESTAURANTS,WHAT KIND OF DINING OUT DO YOU ENJOY? WHAT THINGS DO YOU LOOK FOR IN A RESTAURANT THAT WOULD GET YOU TO GO BACK AGAIN?  SEE WHETHER THE OTHER CALLER'S PREFERENCES ARE SIMILAR TO YOURS.
sw09utt/sw_0943_3028.utt,3/sw3028,3028,11,na,Backwards-Communicative-Function:Answer:Affirmative-non-yes-answers,,,B,10,1,"Well, a little bit","(ROOT (FRAG (ADVP (RB well)) (, ,) (NP (DT a) (JJ little) (NN bit))))",RESTAURANTS,WHAT KIND OF DINING OUT DO YOU ENJOY? WHAT THINGS DO YOU LOOK FOR IN A RESTAURANT THAT WOULD GET YOU TO GO BACK AGAIN?  SEE WHETHER THE OTHER CALLER'S PREFERENCES ARE SIMILAR TO YOURS.
sw09utt/sw_0943_3028.utt,3/sw3028,3028,12,bk,Backwards-Communicative-Function:Understanding:Response Acknowledgement,,,A,11,1,Okay.,(ROOT (ADJP (JJ okay) (. .))),RESTAURANTS,WHAT KIND OF DINING OUT DO YOU ENJOY? WHAT THINGS DO YOU LOOK FOR IN A RESTAURANT THAT WOULD GET YOU TO GO BACK AGAIN?  SEE WHETHER THE OTHER CALLER'S PREFERENCES ARE SIMILAR TO YOURS.
sw09utt/sw_0943_3028.utt,3/sw3028,3028,14,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,12,2,"but, uh, I think that as far as quality of food goes the m, some of the most expensive places I've been","(ROOT (S (CC but) (, ,) (INTJ (UH uh)) (, ,) (NP (FW i)) (VP (VBP think) (SBAR (IN that) (S (ADVP (ADVP (IN as) (RB far)) (SBAR (IN as) (S (NP (NP (NN quality)) (PP (IN of) (NP (NN food)))) (VP (VBZ goes) (NP (DT the) (NN m)))))) (, ,) (NP (DT some)) (IN of) (NP (DT the) (ADJP (RBS most) (JJ expensive)) (NNS places)) (FW i) (VP (VBP 've) (VP (VBN been))))))))",RESTAURANTS,WHAT KIND OF DINING OUT DO YOU ENJOY? WHAT THINGS DO YOU LOOK FOR IN A RESTAURANT THAT WOULD GET YOU TO GO BACK AGAIN?  SEE WHETHER THE OTHER CALLER'S PREFERENCES ARE SIMILAR TO YOURS.
sw09utt/sw_0943_3028.utt,3/sw3028,3028,15,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,13,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),RESTAURANTS,WHAT KIND OF DINING OUT DO YOU ENJOY? WHAT THINGS DO YOU LOOK FOR IN A RESTAURANT THAT WOULD GET YOU TO GO BACK AGAIN?  SEE WHETHER THE OTHER CALLER'S PREFERENCES ARE SIMILAR TO YOURS.
sw09utt/sw_0943_3028.utt,3/sw3028,3028,16,+,Other:Segment-(multi-utterance),,,B,14,1,"had the w, the, really the","(ROOT (S (VP (VBD had) (NP (NP (DT the) (NN w)) (, ,) (NP (DT the)) (, ,)) (VP (ADVP (RB really)) (NP (DT the))))))",RESTAURANTS,WHAT KIND OF DINING OUT DO YOU ENJOY? WHAT THINGS DO YOU LOOK FOR IN A RESTAURANT THAT WOULD GET YOU TO GO BACK AGAIN?  SEE WHETHER THE OTHER CALLER'S PREFERENCES ARE SIMILAR TO YOURS.
sw09utt/sw_0943_3028.utt,3/sw3028,3028,17,%,Communicative-Status:Uninterpretable,,,A,15,1,The be,(ROOT (NP (DT the) (VB be))),RESTAURANTS,WHAT KIND OF DINING OUT DO YOU ENJOY? WHAT THINGS DO YOU LOOK FOR IN A RESTAURANT THAT WOULD GET YOU TO GO BACK AGAIN?  SEE WHETHER THE OTHER CALLER'S PREFERENCES ARE SIMILAR TO YOURS.
sw09utt/sw_0943_3028.utt,3/sw3028,3028,18,+,Other:Segment-(multi-utterance),,,B,16,1,the worst quality of food.,(ROOT (NP (NP (NP (DT the) (JJS worst) (NN quality)) (PP (IN of) (NP (NN food)))) (. .))),RESTAURANTS,WHAT KIND OF DINING OUT DO YOU ENJOY? WHAT THINGS DO YOU LOOK FOR IN A RESTAURANT THAT WOULD GET YOU TO GO BACK AGAIN?  SEE WHETHER THE OTHER CALLER'S PREFERENCES ARE SIMILAR TO YOURS.
sw09utt/sw_0943_3028.utt,3/sw3028,3028,20,bk,Backwards-Communicative-Function:Understanding:Response Acknowledgement,,,A,17,2,Okay.,(ROOT (ADJP (JJ okay) (. .))),RESTAURANTS,WHAT KIND OF DINING OUT DO YOU ENJOY? WHAT THINGS DO YOU LOOK FOR IN A RESTAURANT THAT WOULD GET YOU TO GO BACK AGAIN?  SEE WHETHER THE OTHER CALLER'S PREFERENCES ARE SIMILAR TO YOURS.
sw09utt/sw_0943_3028.utt,3/sw3028,3028,22,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,18,2,"Um, a lot of places that even don't look, don't look like much.","(ROOT (S (NP (NP (NN um)) (, ,) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NP (NNS places)) (SBAR (WHNP (WDT that)) (S (ADVP (RB even)) (VP (VBP do) (RB n't) (VP (VB look)))))))) (, ,)) (VP (VBP do) (RB n't) (VP (VB look) (ADVP (IN like) (RB much)))) (. .)))",RESTAURANTS,WHAT KIND OF DINING OUT DO YOU ENJOY? WHAT THINGS DO YOU LOOK FOR IN A RESTAURANT THAT WOULD GET YOU TO GO BACK AGAIN?  SEE WHETHER THE OTHER CALLER'S PREFERENCES ARE SIMILAR TO YOURS.
sw09utt/sw_0943_3028.utt,3/sw3028,3028,23,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,19,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),RESTAURANTS,WHAT KIND OF DINING OUT DO YOU ENJOY? WHAT THINGS DO YOU LOOK FOR IN A RESTAURANT THAT WOULD GET YOU TO GO BACK AGAIN?  SEE WHETHER THE OTHER CALLER'S PREFERENCES ARE SIMILAR TO YOURS.
sw09utt/sw_0943_3028.utt,3/sw3028,3028,25,sd(^q),none,,,B,20,2,"and I was like, I'm not eating in there.","(ROOT (S (NP (CC and) (FW i) (SBAR (S (VP (VBD was) (ADJP (IN like)))))) (, ,) (NP (FW i)) (VP (VBP 'm) (RB not) (VP (VBG eating) (PP (IN in) (NP (EX there))))) (. .)))",RESTAURANTS,WHAT KIND OF DINING OUT DO YOU ENJOY? WHAT THINGS DO YOU LOOK FOR IN A RESTAURANT THAT WOULD GET YOU TO GO BACK AGAIN?  SEE WHETHER THE OTHER CALLER'S PREFERENCES ARE SIMILAR TO YOURS.
sw09utt/sw_0943_3028.utt,3/sw3028,3028,29,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,22,3,"and it was the m-, it was the most wonderful food.","(ROOT (S (NP (CC and) (S (NP (PRP it)) (VP (VBD was) (NP (DT the) (NN m)))) (: -)) (, ,) (NP (PRP it)) (VP (VBD was) (NP (DT the) (ADJP (RBS most) (JJ wonderful)) (NN food))) (. .)))",RESTAURANTS,WHAT KIND OF DINING OUT DO YOU ENJOY? WHAT THINGS DO YOU LOOK FOR IN A RESTAURANT THAT WOULD GET YOU TO GO BACK AGAIN?  SEE WHETHER THE OTHER CALLER'S PREFERENCES ARE SIMILAR TO YOURS.
sw09utt/sw_0943_3028.utt,3/sw3028,3028,31,qy^g,Info-request:Yes-No-Question,,,A,23,2,"it's like mama in the back kitchen, huh ?","(ROOT (S (NP (PRP it)) (VP (VBZ 's) (PP (IN like) (NP (NP (NN mama)) (PP (IN in) (NP (DT the) (JJ back) (NN kitchen))))) (, ,) (ADVP (RB huh))) (. ?)))",RESTAURANTS,WHAT KIND OF DINING OUT DO YOU ENJOY? WHAT THINGS DO YOU LOOK FOR IN A RESTAURANT THAT WOULD GET YOU TO GO BACK AGAIN?  SEE WHETHER THE OTHER CALLER'S PREFERENCES ARE SIMILAR TO YOURS.
sw09utt/sw_0943_3028.utt,3/sw3028,3028,32,qy,Info-request:Yes-No-Question,,,B,24,1,Yeah.,(ROOT (NP (NN yeah) (. .))),RESTAURANTS,WHAT KIND OF DINING OUT DO YOU ENJOY? WHAT THINGS DO YOU LOOK FOR IN A RESTAURANT THAT WOULD GET YOU TO GO BACK AGAIN?  SEE WHETHER THE OTHER CALLER'S PREFERENCES ARE SIMILAR TO YOURS.
sw09utt/sw_0943_3028.utt,3/sw3028,3028,33,bk,Backwards-Communicative-Function:Understanding:Response Acknowledgement,,,A,25,1,Oh.,(ROOT (INTJ (UH oh) (. .))),RESTAURANTS,WHAT KIND OF DINING OUT DO YOU ENJOY? WHAT THINGS DO YOU LOOK FOR IN A RESTAURANT THAT WOULD GET YOU TO GO BACK AGAIN?  SEE WHETHER THE OTHER CALLER'S PREFERENCES ARE SIMILAR TO YOURS.
sw09utt/sw_0943_3028.utt,3/sw3028,3028,34,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,26,1,I'm serious.,(ROOT (S (LS i) (VP (VBP 'm) (ADJP (JJ serious))) (. .))),RESTAURANTS,WHAT KIND OF DINING OUT DO YOU ENJOY? WHAT THINGS DO YOU LOOK FOR IN A RESTAURANT THAT WOULD GET YOU TO GO BACK AGAIN?  SEE WHETHER THE OTHER CALLER'S PREFERENCES ARE SIMILAR TO YOURS.
