swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,act_label_1,act_label_2,act_label_relation,caller,utterance_index,subutterance_index,clean_text,parse_tree,topic_description,prompt
sw01utt/sw_0138_4890.utt,4/sw4890,4890,1,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,A,1,2,"And if, if you have a situation where you change that body of law, then all of sudden they, they start, they could start going back and digging up all these cases that, uh, that would be handled differently were","(ROOT (FRAG (CC and) (SBAR (IN if) (, ,) (SBAR (IN if) (S (NP (PRP you)) (VP (VBP have) (NP (DT a) (NN situation)) (SBAR (WHADVP (WRB where)) (S (NP (PRP you)) (VP (VBP change) (SBAR (IN that) (NP (NP (NP (NP (NP (NN body)) (PP (IN of) (NP (NN law)))) (, ,) (RB then) (NP (NP (DT all)) (PP (IN of) (NP (JJ sudden) (PRP they)))) (, ,)) (SBAR (S (NP (PRP they)) (VP (VBP start))))) (PRN (, ,) (S (NP (PRP they)) (VP (MD could) (VP (VB start) (S (S (VP (VBG going) (ADVP (RB back)))) (CC and) (S (VP (NN digging) (PRT (IN up)) (NP (NP (DT all) (DT these) (NNS cases)) (SBAR (WHNP (IN that)) (S (, ,) (INTJ (UH uh)) (, ,) (NP (WDT that)) (VP (MD would) (VP (VB be) (VP (VBN handled) (ADVP (RB differently)))))))))))))) (VP (VBD were))))))))))))))",TRIAL_BY_JURY,DISCUSS POSSIBLE CHANGES IN THE WAY TRIALS BY JURY ARE CONDUCTED.     FOR EXAMPLE
sw01utt/sw_0138_4890.utt,4/sw4890,4890,2,x,Communicative-Status:Non-verbal,,,B,2,1,MUMBLEx.,(ROOT (NP (NN mumblex) (. .))),TRIAL_BY_JURY,DISCUSS POSSIBLE CHANGES IN THE WAY TRIALS BY JURY ARE CONDUCTED.     FOR EXAMPLE
sw01utt/sw_0138_4890.utt,4/sw4890,4890,5,qo,Info-request:Open-Question,,,A,3,3,What do you think ?.,(ROOT (X (SBARQ (WHNP (WP what)) (SQ (VBP do) (NP (PRP you)) (VP (VB think))) (. ?)) (. .))),TRIAL_BY_JURY,DISCUSS POSSIBLE CHANGES IN THE WAY TRIALS BY JURY ARE CONDUCTED.     FOR EXAMPLE
sw01utt/sw_0138_4890.utt,4/sw4890,4890,7,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,B,4,2,Possibly in the jury selection would be the only,(ROOT (S (ADVP (RB possibly)) (PP (IN in) (NP (DT the) (NN jury) (NN selection))) (VP (MD would) (VP (VB be) (NP (DT the) (RB only)))))),TRIAL_BY_JURY,DISCUSS POSSIBLE CHANGES IN THE WAY TRIALS BY JURY ARE CONDUCTED.     FOR EXAMPLE
sw01utt/sw_0138_4890.utt,4/sw4890.pos,4890,8,x,Communicative-Status:Non-verbal,,,A,5,1,.,(ROOT (. .)),TRIAL_BY_JURY,DISCUSS POSSIBLE CHANGES IN THE WAY TRIALS BY JURY ARE CONDUCTED.     FOR EXAMPLE
sw01utt/sw_0138_4890.utt,4/sw4890,4890,11,sv@,Forward-Communicative-Function:Statement:Statement-opinion,,,B,6,3,"Uh, and th-, and the problems that, that has come that has come from this decision that that jury came to after all of us witnessed what we did with the video tape beating. Uh just makes you wonder I guess whether or not they","(ROOT (NP (NP (UCP (INTJ (UH uh)) (, ,) (CC and) (DT th) (: -)) (, ,) (CC and) (DT the) (NNS problems) (SBAR (IN that) (, ,) (SBAR (WHNP (WDT that)) (S (VP (VBZ has) (VP (VBN come) (SBAR (WHNP (DT that)) (S (VP (VBZ has) (VP (VBN come) (PP (IN from) (NP (DT this) (NN decision) (SBAR (IN that) (S (NP (IN that) (NN jury)) (VP (VBD came) (PP (TO to) (SBAR (IN after) (S (NP (NP (DT all)) (PP (IN of) (NP (PRP us)))) (VP (VBD witnessed) (SBAR (WHNP (WP what)) (S (NP (PRP we)) (VP (VBD did) (PP (IN with) (NP (DT the) (NN video) (NN tape) (NN beating))))))))))))))))))))))))) (. .)))",TRIAL_BY_JURY,DISCUSS POSSIBLE CHANGES IN THE WAY TRIALS BY JURY ARE CONDUCTED.     FOR EXAMPLE
sw01utt/sw_0138_4890.utt,4/sw4890,4890,14,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,7,3,but then,(ROOT (CONJP (CC but) (RB then))),TRIAL_BY_JURY,DISCUSS POSSIBLE CHANGES IN THE WAY TRIALS BY JURY ARE CONDUCTED.     FOR EXAMPLE
sw01utt/sw_0138_4890.utt,4/sw4890,4890,15,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,B,8,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),TRIAL_BY_JURY,DISCUSS POSSIBLE CHANGES IN THE WAY TRIALS BY JURY ARE CONDUCTED.     FOR EXAMPLE
sw01utt/sw_0138_4890.utt,4/sw4890,4890,17,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,9,2,"and, you know, the","(ROOT (FRAG (S (CC and) (, ,) (NP (PRP you)) (VP (VBP know))) (, ,) (NP (DT the))))",TRIAL_BY_JURY,DISCUSS POSSIBLE CHANGES IN THE WAY TRIALS BY JURY ARE CONDUCTED.     FOR EXAMPLE
sw01utt/sw_0138_4890.utt,4/sw4890,4890,18,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,B,10,1,"That's, that's bad.","(ROOT (S (NP (DT that)) (VP (VBZ 's)) (, ,) (S (NP (DT that)) (VP (VBZ 's) (ADJP (JJ bad)))) (. .)))",TRIAL_BY_JURY,DISCUSS POSSIBLE CHANGES IN THE WAY TRIALS BY JURY ARE CONDUCTED.     FOR EXAMPLE
