swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,act_label_1,act_label_2,act_label_relation,caller,utterance_index,subutterance_index,clean_text,parse_tree,topic_description,prompt
sw12utt/sw_1206_2461.utt,2/sw2461,2461,1,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,1,2,we're going to talk about the public school system,(ROOT (S (NP (PRP we)) (VP (VBP 're) (VP (VBG going) (S (VP (TO to) (VP (VB talk) (PP (IN about) (NP (DT the) (JJ public) (NN school) (NN system)))))))))),PUBLIC_EDUCATION,DISCUSS WITH THE OTHER CALLER WHETHER THERE IS SOMETHING SERIOUSLY WRONG WITH OUR PUBLIC SCHOOL SYSTEMS TODAYY
sw12utt/sw_1206_2461.utt,2/sw2461,2461,2,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,B,2,1,Okay.,(ROOT (ADJP (JJ okay) (. .))),PUBLIC_EDUCATION,DISCUSS WITH THE OTHER CALLER WHETHER THERE IS SOMETHING SERIOUSLY WRONG WITH OUR PUBLIC SCHOOL SYSTEMS TODAYY
sw12utt/sw_1206_2461.utt,2/sw2461,2461,3,+,Other:Segment-(multi-utterance),,,A,3,1,"What's wrong with it, an, or if anything is wrong with it and what we can do about it, what should be done about it.","(ROOT (FRAG (SBAR (WHNP (WP what)) (S (VP (VBZ 's) (ADJP (JJ wrong) (PP (IN with) (NP (NP (PRP it)) (, ,) (NP (DT an) (PRN (, ,) (CC or) (SBAR (SBAR (IN if) (S (NP (NN anything)) (VP (VBZ is) (ADJP (JJ wrong) (PP (IN with) (NP (PRP it))))))) (CC and) (SBAR (WHNP (WP what)) (S (NP (PRP we)) (VP (MD can) (VP (VB do) (PP (IN about) (NP (PRP it)))))))) (, ,)) (SBAR (WHNP (WP what)) (S (VP (MD should) (VP (VB be) (VP (VBN done) (PP (IN about) (NP (PRP it))))))))))))))) (. .)))",PUBLIC_EDUCATION,DISCUSS WITH THE OTHER CALLER WHETHER THERE IS SOMETHING SERIOUSLY WRONG WITH OUR PUBLIC SCHOOL SYSTEMS TODAYY
sw12utt/sw_1206_2461.utt,2/sw2461,2461,5,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,4,2,"Well one thing that pops into my mind real quick is, uh, about the, uh, funding of, the, the school system right now.","(ROOT (NP (NP (RB well) (CD one) (NN thing)) (SBAR (WHNP (WDT that)) (S (VP (VBZ pops) (PP (IN into) (NP (PRP$ my) (NN mind))) (SBAR (S (NP (JJ real) (JJ quick)) (VP (VBZ is) (, ,) (INTJ (UH uh)) (, ,) (PP (IN about) (NP (NP (DT the)) (, ,) (FRAG (INTJ (UH uh)) (, ,) (NP (NP (NP (NN funding)) (PP (IN of))) (, ,) (FRAG (X (DT the) (, ,)) (NP (NP (DT the) (NN school) (NN system)) (ADVP (RB right) (RB now))) (. .))))))))))))))",PUBLIC_EDUCATION,DISCUSS WITH THE OTHER CALLER WHETHER THERE IS SOMETHING SERIOUSLY WRONG WITH OUR PUBLIC SCHOOL SYSTEMS TODAYY
sw12utt/sw_1206_2461.utt,2/sw2461,2461,6,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,5,1,Yeah.,(ROOT (NP (NN yeah) (. .))),PUBLIC_EDUCATION,DISCUSS WITH THE OTHER CALLER WHETHER THERE IS SOMETHING SERIOUSLY WRONG WITH OUR PUBLIC SCHOOL SYSTEMS TODAYY
sw12utt/sw_1206_2461.utt,2/sw2461,2461,7,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,B,6,1,"Evidently, uh, that's, that's a big problem.","(ROOT (S (ADVP (RB evidently)) (, ,) (S (INTJ (UH uh)) (, ,) (NP (DT that)) (VP (VBZ 's))) (, ,) (S (NP (DT that)) (VP (VBZ 's) (NP (DT a) (JJ big) (NN problem)))) (. .)))",PUBLIC_EDUCATION,DISCUSS WITH THE OTHER CALLER WHETHER THERE IS SOMETHING SERIOUSLY WRONG WITH OUR PUBLIC SCHOOL SYSTEMS TODAYY
sw12utt/sw_1206_2461.utt,2/sw2461,2461,10,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,A,7,3,"I always thought that teachers never got paid nearly enough, I mean","(ROOT (NP (LS i) (VP (ADVP (RB always)) (VBN thought) (SBAR (IN that) (S (NP (NNS teachers)) (ADVP (RB never)) (VP (VBD got) (VP (VBN paid) (ADVP (RB nearly) (RB enough)))))) (, ,) (VP (FW i) (ADJP (ADVP (VB mean)))))))",PUBLIC_EDUCATION,DISCUSS WITH THE OTHER CALLER WHETHER THERE IS SOMETHING SERIOUSLY WRONG WITH OUR PUBLIC SCHOOL SYSTEMS TODAYY
sw12utt/sw_1206_2461.utt,2/sw2461,2461,11,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,B,8,1,Right.,(ROOT (ADVP (RB right) (. .))),PUBLIC_EDUCATION,DISCUSS WITH THE OTHER CALLER WHETHER THERE IS SOMETHING SERIOUSLY WRONG WITH OUR PUBLIC SCHOOL SYSTEMS TODAYY
sw12utt/sw_1206_2461.utt,2/sw2461,2461,17,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,9,6,"it just, you know, all the problems.","(ROOT (S (NP (PRP it)) (ADVP (RB just)) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,)) (NP (NP (PDT all) (DT the) (NNS problems)) (. .))))",PUBLIC_EDUCATION,DISCUSS WITH THE OTHER CALLER WHETHER THERE IS SOMETHING SERIOUSLY WRONG WITH OUR PUBLIC SCHOOL SYSTEMS TODAYY
sw12utt/sw_1206_2461.utt,2/sw2461,2461,21,%,Communicative-Status:Uninterpretable,,,B,10,4,"it's, uh","(ROOT (S (NP (PRP it)) (VP (VBZ 's)) (, ,) (INTJ (UH uh))))",PUBLIC_EDUCATION,DISCUSS WITH THE OTHER CALLER WHETHER THERE IS SOMETHING SERIOUSLY WRONG WITH OUR PUBLIC SCHOOL SYSTEMS TODAYY
