swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,act_label_1,act_label_2,act_label_relation,caller,utterance_index,subutterance_index,clean_text,parse_tree,topic_description,prompt
sw05utt/sw_0509_3639.utt,3/sw3639,3639,0,qy,Info-request:Yes-No-Question,,,A,1,1,"Uh, are you presently looking, uh, for a used car ?","(ROOT (UCP (INTJ (UH uh)) (, ,) (SQ (VBP are) (NP (NP (PRP you)) (VP (ADVP (RB presently)) (VBG looking) (, ,) (UH uh) (, ,) (PP (IN for) (NP (DT a) (VBN used) (NN car)))))) (. ?)))",BUYING_A_CAR,WHAT KIND OF CAR DO YOU THINK YOU MIGHT BUY NEXT?  WHAT SORTS OF THINGS WILL ENTER INTO YOUR DECISION?  SEE IF YOUR REQUIREMENTS AND THE OTHER CALLER'S REQUIREMENTS ARE SIMILAR.
sw05utt/sw_0509_3639.utt,3/sw3639,3639,1,ng,Backwards-Communicative-Function:Answer:Negative-non-no-answers,,,B,2,1,"Well, as a matter of fact, I just bought one.","(ROOT (S (ADVP (RB well)) (, ,) (PP (IN as) (NP (NP (DT a) (NN matter)) (PP (IN of) (NP (NN fact))))) (, ,) (NP (FW i)) (VP (ADVP (RB just)) (VBD bought) (NP (CD one))) (. .)))",BUYING_A_CAR,WHAT KIND OF CAR DO YOU THINK YOU MIGHT BUY NEXT?  WHAT SORTS OF THINGS WILL ENTER INTO YOUR DECISION?  SEE IF YOUR REQUIREMENTS AND THE OTHER CALLER'S REQUIREMENTS ARE SIMILAR.
sw05utt/sw_0509_3639.utt,3/sw3639,3639,2,b^m,Backwards-Communicative-Function:Understanding:Repeat-phrase,,,A,3,1,Just bought one.,(ROOT (NP (NP (RB just) (VBN bought) (NP (CD one))) (. .))),BUYING_A_CAR,WHAT KIND OF CAR DO YOU THINK YOU MIGHT BUY NEXT?  WHAT SORTS OF THINGS WILL ENTER INTO YOUR DECISION?  SEE IF YOUR REQUIREMENTS AND THE OTHER CALLER'S REQUIREMENTS ARE SIMILAR.
sw05utt/sw_0509_3639.utt,3/sw3639,3639,3,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,4,1,"Just, just within the last three weeks.","(ROOT (FRAG (ADVP (RB just)) (, ,) (PP (ADVP (RB just)) (IN within) (NP (DT the) (JJ last) (CD three) (NNS weeks))) (. .)))",BUYING_A_CAR,WHAT KIND OF CAR DO YOU THINK YOU MIGHT BUY NEXT?  WHAT SORTS OF THINGS WILL ENTER INTO YOUR DECISION?  SEE IF YOUR REQUIREMENTS AND THE OTHER CALLER'S REQUIREMENTS ARE SIMILAR.
sw05utt/sw_0509_3639.utt,3/sw3639,3639,5,qw,Info-request:Wh-Question,,,A,5,2,what did you get ?,(ROOT (SBARQ (WHNP (WP what)) (SQ (VBD did) (NP (PRP you)) (VP (VB get))) (. ?))),BUYING_A_CAR,WHAT KIND OF CAR DO YOU THINK YOU MIGHT BUY NEXT?  WHAT SORTS OF THINGS WILL ENTER INTO YOUR DECISION?  SEE IF YOUR REQUIREMENTS AND THE OTHER CALLER'S REQUIREMENTS ARE SIMILAR.
sw05utt/sw_0509_3639.utt,3/sw3639,3639,6,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,6,1,I got a Lexus L S four hundred.,(ROOT (FRAG (LST (LS i) (FRAG (VP (VBD got) (SBAR (S (NP (DT a) (NN lexus) (NN l)) (VP (VBZ s) (NP (QP (CD four) (CD hundred))))))))) (. .))),BUYING_A_CAR,WHAT KIND OF CAR DO YOU THINK YOU MIGHT BUY NEXT?  WHAT SORTS OF THINGS WILL ENTER INTO YOUR DECISION?  SEE IF YOUR REQUIREMENTS AND THE OTHER CALLER'S REQUIREMENTS ARE SIMILAR.
sw05utt/sw_0509_3639.utt,3/sw3639,3639,8,%,Communicative-Status:Uninterpretable,,,A,7,2,Uh,(ROOT (INTJ (UH uh))),BUYING_A_CAR,WHAT KIND OF CAR DO YOU THINK YOU MIGHT BUY NEXT?  WHAT SORTS OF THINGS WILL ENTER INTO YOUR DECISION?  SEE IF YOUR REQUIREMENTS AND THE OTHER CALLER'S REQUIREMENTS ARE SIMILAR.
sw05utt/sw_0509_3639.utt,3/sw3639,3639,9,+,Other:Segment-(multi-utterance),,,B,8,1,Which is made by Toyota.,(ROOT (FRAG (SBAR (WHNP (WDT which)) (S (VP (VBZ is) (VP (VBN made) (PP (IN by) (NP (NN toyota))))))) (. .))),BUYING_A_CAR,WHAT KIND OF CAR DO YOU THINK YOU MIGHT BUY NEXT?  WHAT SORTS OF THINGS WILL ENTER INTO YOUR DECISION?  SEE IF YOUR REQUIREMENTS AND THE OTHER CALLER'S REQUIREMENTS ARE SIMILAR.
sw05utt/sw_0509_3639.utt,3/sw3639,3639,11,bf,Backwards-Communicative-Function:Understanding:Summarize/reformulate,,,A,9,2,Lexus is a Toyota subbrand.,(ROOT (S (NP (NN lexus)) (VP (VBZ is) (NP (DT a) (NN toyota) (NN subbrand))) (. .))),BUYING_A_CAR,WHAT KIND OF CAR DO YOU THINK YOU MIGHT BUY NEXT?  WHAT SORTS OF THINGS WILL ENTER INTO YOUR DECISION?  SEE IF YOUR REQUIREMENTS AND THE OTHER CALLER'S REQUIREMENTS ARE SIMILAR.
sw05utt/sw_0509_3639.utt,3/sw3639,3639,12,aa,Backwards-Communicative-Function:Agreement:Accept,,,B,10,1,Yeah.,(ROOT (NP (NN yeah) (. .))),BUYING_A_CAR,WHAT KIND OF CAR DO YOU THINK YOU MIGHT BUY NEXT?  WHAT SORTS OF THINGS WILL ENTER INTO YOUR DECISION?  SEE IF YOUR REQUIREMENTS AND THE OTHER CALLER'S REQUIREMENTS ARE SIMILAR.
sw05utt/sw_0509_3639.utt,3/sw3639,3639,13,bk,Backwards-Communicative-Function:Understanding:Response Acknowledgement,,,A,11,1,Okay.,(ROOT (ADJP (JJ okay) (. .))),BUYING_A_CAR,WHAT KIND OF CAR DO YOU THINK YOU MIGHT BUY NEXT?  WHAT SORTS OF THINGS WILL ENTER INTO YOUR DECISION?  SEE IF YOUR REQUIREMENTS AND THE OTHER CALLER'S REQUIREMENTS ARE SIMILAR.
sw05utt/sw_0509_3639.utt,3/sw3639,3639,14,%,Communicative-Status:Uninterpretable,,,B,12,1,It's kind of their,(ROOT (S (NP (PRP it)) (VP (VBZ 's) (NP (NP (NN kind)) (PP (IN of) (NP (PRP$ their))))))),BUYING_A_CAR,WHAT KIND OF CAR DO YOU THINK YOU MIGHT BUY NEXT?  WHAT SORTS OF THINGS WILL ENTER INTO YOUR DECISION?  SEE IF YOUR REQUIREMENTS AND THE OTHER CALLER'S REQUIREMENTS ARE SIMILAR.
sw05utt/sw_0509_3639.utt,3/sw3639,3639,16,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,13,2,because they're talking like it was an American built car.,(ROOT (FRAG (SBAR (IN because) (S (NP (PRP they)) (VP (VBP 're) (VP (VBG talking) (SBAR (IN like) (S (NP (PRP it)) (VP (VBD was) (NP (DT an) (JJ american) (VBN built) (NN car))))))))) (. .))),BUYING_A_CAR,WHAT KIND OF CAR DO YOU THINK YOU MIGHT BUY NEXT?  WHAT SORTS OF THINGS WILL ENTER INTO YOUR DECISION?  SEE IF YOUR REQUIREMENTS AND THE OTHER CALLER'S REQUIREMENTS ARE SIMILAR.
sw05utt/sw_0509_3639.utt,3/sw3639,3639,18,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,14,2,"it, it sounds like it, but it really isn't.","(ROOT (S (S (NP (PRP it)) (, ,) (NP (PRP it)) (VP (VBZ sounds) (PP (IN like) (NP (PRP it))))) (, ,) (CC but) (S (NP (PRP it)) (ADVP (RB really)) (VP (VBZ is) (RB n't))) (. .)))",BUYING_A_CAR,WHAT KIND OF CAR DO YOU THINK YOU MIGHT BUY NEXT?  WHAT SORTS OF THINGS WILL ENTER INTO YOUR DECISION?  SEE IF YOUR REQUIREMENTS AND THE OTHER CALLER'S REQUIREMENTS ARE SIMILAR.
sw05utt/sw_0509_3639.utt,3/sw3639,3639,19,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,15,1,Yeah.,(ROOT (NP (NN yeah) (. .))),BUYING_A_CAR,WHAT KIND OF CAR DO YOU THINK YOU MIGHT BUY NEXT?  WHAT SORTS OF THINGS WILL ENTER INTO YOUR DECISION?  SEE IF YOUR REQUIREMENTS AND THE OTHER CALLER'S REQUIREMENTS ARE SIMILAR.
sw05utt/sw_0509_3639.utt,3/sw3639,3639,20,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,16,1,"It's, uh, marketed, of course, it its own dealerships.","(ROOT (S (NP (PRP it)) (VP (VP (VBZ 's)) (, ,) (S (INTJ (UH uh)) (, ,) (VP (VBN marketed) (, ,) (PP (IN of) (NP (NN course))))) (, ,) (S (NP (PRP it)) (NP (PRP$ its) (JJ own) (NNS dealerships)))) (. .)))",BUYING_A_CAR,WHAT KIND OF CAR DO YOU THINK YOU MIGHT BUY NEXT?  WHAT SORTS OF THINGS WILL ENTER INTO YOUR DECISION?  SEE IF YOUR REQUIREMENTS AND THE OTHER CALLER'S REQUIREMENTS ARE SIMILAR.
