swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,act_label_1,act_label_2,act_label_relation,caller,utterance_index,subutterance_index,clean_text,parse_tree,topic_description,prompt
sw06utt/sw_0655_2849.utt,2/sw2849,2849,2,qo,Info-request:Open-Question,,,A,1,3,"I mean, what thoughts do you have on the subject ?","(ROOT (NP (NP (FW i) (NN mean)) (, ,) (SBARQ (WHNP (WDT what) (NNS thoughts)) (SQ (VBP do) (NP (PRP you)) (VP (VB have) (PP (IN on) (NP (DT the) (NN subject))))) (. ?))))",PUERTO_RICAN_STTEHD,THE TOPIC IS PUERTO RICO.  PLEASE FIND OUT WHETHER THE OTHER CALLER FAVORS STATEHOODY
sw06utt/sw_0655_2849.utt,2/sw2849,2849,3,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,2,1,"Uh, you know, we even lived there for a, a while when my husband was in the Navy.","(ROOT (S (INTJ (UH uh)) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,)) (NP (PRP we)) (ADVP (RB even)) (VP (VBD lived) (NP (NP (EX there)) (PP (IN for) (NP (DT a)))) (, ,) (NP (NP (DT a) (NN while)) (SBAR (WHADVP (WRB when)) (S (NP (PRP$ my) (NN husband)) (VP (VBD was) (PP (IN in) (NP (DT the) (NN navy)))))))) (. .)))",PUERTO_RICAN_STTEHD,THE TOPIC IS PUERTO RICO.  PLEASE FIND OUT WHETHER THE OTHER CALLER FAVORS STATEHOODY
sw06utt/sw_0655_2849.utt,2/sw2849,2849,4,qy^d,Info-request:Yes-No-Question,,,A,3,1,"Oh, you did ?","(ROOT (S (INTJ (UH oh)) (, ,) (NP (PRP you)) (VP (VBD did)) (. ?)))",PUERTO_RICAN_STTEHD,THE TOPIC IS PUERTO RICO.  PLEASE FIND OUT WHETHER THE OTHER CALLER FAVORS STATEHOODY
sw06utt/sw_0655_2849.utt,2/sw2849,2849,6,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,4,2,and so our,(ROOT (ADVP (CC and) (RB so) (PRP$ our))),PUERTO_RICAN_STTEHD,THE TOPIC IS PUERTO RICO.  PLEASE FIND OUT WHETHER THE OTHER CALLER FAVORS STATEHOODY
sw06utt/sw_0655_2849.utt,2/sw2849,2849,7,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,5,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),PUERTO_RICAN_STTEHD,THE TOPIC IS PUERTO RICO.  PLEASE FIND OUT WHETHER THE OTHER CALLER FAVORS STATEHOODY
sw06utt/sw_0655_2849.utt,2/sw2849,2849,8,+,Other:Segment-(multi-utterance),,,B,6,1,we had a one year honeymoon.,(ROOT (S (NP (PRP we)) (VP (VBD had) (NP (DT a) (CD one) (NN year) (NN honeymoon))) (. .))),PUERTO_RICAN_STTEHD,THE TOPIC IS PUERTO RICO.  PLEASE FIND OUT WHETHER THE OTHER CALLER FAVORS STATEHOODY
sw06utt/sw_0655_2849.utt,2/sw2849,2849,9,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,7,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),PUERTO_RICAN_STTEHD,THE TOPIC IS PUERTO RICO.  PLEASE FIND OUT WHETHER THE OTHER CALLER FAVORS STATEHOODY
sw06utt/sw_0655_2849.utt,2/sw2849,2849,10,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,B,8,1,Uh,(ROOT (INTJ (UH uh))),PUERTO_RICAN_STTEHD,THE TOPIC IS PUERTO RICO.  PLEASE FIND OUT WHETHER THE OTHER CALLER FAVORS STATEHOODY
sw06utt/sw_0655_2849.utt,2/sw2849,2849,11,ba,Backwards-Communicative-Function:Understanding:Appreciation,,,A,9,1,That's wonderful.,(ROOT (S (NP (DT that)) (VP (VBZ 's) (ADJP (JJ wonderful))) (. .))),PUERTO_RICAN_STTEHD,THE TOPIC IS PUERTO RICO.  PLEASE FIND OUT WHETHER THE OTHER CALLER FAVORS STATEHOODY
sw06utt/sw_0655_2849.utt,2/sw2849,2849,12,+,Other:Segment-(multi-utterance),,,B,10,1,"Uh, it was very nice, um.","(ROOT (S (INTJ (UH uh)) (, ,) (NP (PRP it)) (VP (VBD was) (NP (ADJP (RB very) (JJ nice)) (, ,) (NN um))) (. .)))",PUERTO_RICAN_STTEHD,THE TOPIC IS PUERTO RICO.  PLEASE FIND OUT WHETHER THE OTHER CALLER FAVORS STATEHOODY
sw06utt/sw_0655_2849.utt,2/sw2849,2849,14,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,11,2,I went to an inner city high school in Chicago.,(ROOT (S (LS i) (VP (VBD went) (PP (TO to) (NP (DT an) (JJ inner) (NN city) (JJ high) (NN school))) (PP (IN in) (NP (NNP chicago)))) (. .))),PUERTO_RICAN_STTEHD,THE TOPIC IS PUERTO RICO.  PLEASE FIND OUT WHETHER THE OTHER CALLER FAVORS STATEHOODY
sw06utt/sw_0655_2849.utt,2/sw2849,2849,15,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,B,12,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),PUERTO_RICAN_STTEHD,THE TOPIC IS PUERTO RICO.  PLEASE FIND OUT WHETHER THE OTHER CALLER FAVORS STATEHOODY
sw06utt/sw_0655_2849.utt,2/sw2849,2849,17,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,13,2,It was a divorce situation of my parents.,(ROOT (S (NP (PRP it)) (VP (VBD was) (NP (NP (DT a) (NN divorce) (NN situation)) (PP (IN of) (NP (PRP$ my) (NNS parents))))) (. .))),PUERTO_RICAN_STTEHD,THE TOPIC IS PUERTO RICO.  PLEASE FIND OUT WHETHER THE OTHER CALLER FAVORS STATEHOODY
sw06utt/sw_0655_2849.utt,2/sw2849,2849,18,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,B,14,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),PUERTO_RICAN_STTEHD,THE TOPIC IS PUERTO RICO.  PLEASE FIND OUT WHETHER THE OTHER CALLER FAVORS STATEHOODY
sw06utt/sw_0655_2849.utt,2/sw2849,2849,19,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,15,1,"And it was a, a cultural shock to me.","(ROOT (S (CC and) (S (NP (PRP it)) (VP (VBD was) (NP (DT a) (, ,) (NP (NP (DT a) (JJ cultural) (NN shock)) (PP (TO to) (NP (PRP me))))))) (. .)))",PUERTO_RICAN_STTEHD,THE TOPIC IS PUERTO RICO.  PLEASE FIND OUT WHETHER THE OTHER CALLER FAVORS STATEHOODY
sw06utt/sw_0655_2849.utt,2/sw2849,2849,20,ba,Backwards-Communicative-Function:Understanding:Appreciation,,,B,16,1,I'm sure.,(ROOT (FRAG (LST (LS i) (S (VP (VBP 'm) (ADJP (JJ sure))))) (. .))),PUERTO_RICAN_STTEHD,THE TOPIC IS PUERTO RICO.  PLEASE FIND OUT WHETHER THE OTHER CALLER FAVORS STATEHOODY
sw06utt/sw_0655_2849.utt,2/sw2849,2849,23,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,17,3,and now it's called Roberto Clemente.,(ROOT (S (CC and) (ADVP (RB now)) (NP (PRP it)) (VP (VBZ 's) (VP (VBN called) (S (NP (NN roberto) (NN clemente))))) (. .))),PUERTO_RICAN_STTEHD,THE TOPIC IS PUERTO RICO.  PLEASE FIND OUT WHETHER THE OTHER CALLER FAVORS STATEHOODY
sw06utt/sw_0655_2849.utt,2/sw2849,2849,24,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,18,1,Roberto died while we were down there as a matter of fact.,(ROOT (S (NP (NN roberto)) (VP (VBD died) (SBAR (IN while) (S (NP (PRP we)) (VP (VBD were) (ADVP (RB down) (ADVP (ADVP (RB there)) (PP (IN as) (NP (NP (DT a) (NN matter)) (PP (IN of) (NP (NN fact))))))))))) (. .))),PUERTO_RICAN_STTEHD,THE TOPIC IS PUERTO RICO.  PLEASE FIND OUT WHETHER THE OTHER CALLER FAVORS STATEHOODY
sw06utt/sw_0655_2849.utt,2/sw2849,2849,25,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,19,1,"That, yeah, that's exactly, about twenty years now.","(ROOT (SBAR (IN that) (, ,) (S (ADVP (RB yeah)) (, ,) (NP (DT that)) (VP (VBZ 's) (ADVP (RB exactly)) (, ,) (ADVP (NP (QP (IN about) (CD twenty)) (NNS years)) (RB now))) (. .))))",PUERTO_RICAN_STTEHD,THE TOPIC IS PUERTO RICO.  PLEASE FIND OUT WHETHER THE OTHER CALLER FAVORS STATEHOODY
sw06utt/sw_0655_2849.utt,2/sw2849,2849,26,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,B,20,1,Yeah.,(ROOT (NP (NN yeah) (. .))),PUERTO_RICAN_STTEHD,THE TOPIC IS PUERTO RICO.  PLEASE FIND OUT WHETHER THE OTHER CALLER FAVORS STATEHOODY
sw06utt/sw_0655_2849.utt,2/sw2849,2849,28,qy,Info-request:Yes-No-Question,,,A,21,2,I mean did you find that people appreciated having the privilege of being,(ROOT (PP (FW i) (NP (NP (NN mean)) (SBAR (SINV (VBD did) (NP (PRP you)) (VP (VB find) (SBAR (IN that) (S (NP (NNS people)) (VP (VBN appreciated) (S (VP (VBG having) (NP (NP (DT the) (NN privilege)) (PP (IN of) (NP (VBG being))))))))))))))),PUERTO_RICAN_STTEHD,THE TOPIC IS PUERTO RICO.  PLEASE FIND OUT WHETHER THE OTHER CALLER FAVORS STATEHOODY
sw06utt/sw_0655_2849.utt,2/sw2849,2849,31,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,22,3,"and I find it really difficult an, and, frustrated trying to make stereotypes, you know.","(ROOT (S (CC and) (S (NP (FW i)) (VP (VB find) (S (NP (PRP it)) (ADJP (UCP (ADJP (RB really) (JJ difficult)) (UCP (DT an) (, ,) (CC and) (, ,) (ADJP (JJ frustrated) (S (VP (VBG trying) (S (VP (TO to) (VP (VB make) (NP (NNS stereotypes)))))))))))))) (, ,) (S (NP (PRP you)) (VP (VBP know))) (. .)))",PUERTO_RICAN_STTEHD,THE TOPIC IS PUERTO RICO.  PLEASE FIND OUT WHETHER THE OTHER CALLER FAVORS STATEHOODY
sw06utt/sw_0655_2849.utt,2/sw2849,2849,34,%,Communicative-Status:Uninterpretable,,,A,23,3,yeah.,(ROOT (NP (NN yeah) (. .))),PUERTO_RICAN_STTEHD,THE TOPIC IS PUERTO RICO.  PLEASE FIND OUT WHETHER THE OTHER CALLER FAVORS STATEHOODY
sw06utt/sw_0655_2849.utt,2/sw2849,2849,35,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,24,1,"And, uh, i-, I can understand the, the frustration you must have gone through, uh, going to the, the school, uh.","(ROOT (FRAG (CC and) (, ,) (INTJ (UH uh)) (, ,) (LST (LS i) (: -) (NP (SBAR (FRAG (PRN (, ,) (S (NP (FW i)) (VP (MD can) (VP (VB understand) (NP (DT the))))) (, ,)) (NP (NP (NP (DT the) (NN frustration)) (SBAR (S (NP (PRP you)) (VP (MD must) (VP (VB have) (VP (VBN gone) (PP (RB through)))))))) (, ,) (INTJ (UH uh)) (, ,) (VP (VBG going) (PP (TO to) (NP (NP (DT the)) (, ,) (NP (DT the) (NN school)) (, ,))))) (INTJ (UH uh)) (. .)))))))",PUERTO_RICAN_STTEHD,THE TOPIC IS PUERTO RICO.  PLEASE FIND OUT WHETHER THE OTHER CALLER FAVORS STATEHOODY
sw06utt/sw_0655_2849.utt,2/sw2849,2849,36,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,25,1,"We-, I didn't mean that in a totally negative sense.","(ROOT (S (NP (PRP we)) (VP (VP (: -)) (, ,) (VP (FW i) (VP (VBD did) (RB n't) (FRAG (VB mean) (IN that) (PP (IN in) (NP (DT a) (ADJP (RB totally) (JJ negative)) (NN sense))) (. .)))))))",PUERTO_RICAN_STTEHD,THE TOPIC IS PUERTO RICO.  PLEASE FIND OUT WHETHER THE OTHER CALLER FAVORS STATEHOODY
sw06utt/sw_0655_2849.utt,2/sw2849,2849,40,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,26,4,"if, if it's not part of your culture","(ROOT (SBAR (IN if) (, ,) (SBAR (IN if) (S (NP (PRP it)) (VP (VBZ 's) (RB not) (NP (NP (NN part)) (PP (IN of) (NP (PRP$ your) (NN culture)))))))))",PUERTO_RICAN_STTEHD,THE TOPIC IS PUERTO RICO.  PLEASE FIND OUT WHETHER THE OTHER CALLER FAVORS STATEHOODY
sw06utt/sw_0655_2849.utt,2/sw2849,2849,41,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,27,1,Right.,(ROOT (ADVP (RB right) (. .))),PUERTO_RICAN_STTEHD,THE TOPIC IS PUERTO RICO.  PLEASE FIND OUT WHETHER THE OTHER CALLER FAVORS STATEHOODY
