swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,act_label_1,act_label_2,act_label_relation,caller,utterance_index,subutterance_index,clean_text,parse_tree,topic_description,prompt
sw03utt/sw_0330_2466.utt,2/sw2466,2466,0,o,Other,,,A,1,1,Okay.,(ROOT (ADJP (JJ okay) (. .))),BOOKS_AND_LITERATURE,FIND OUT WHAT BOOKS THE OTHER CALLER READS FOR ENJOYMENT OR SELF-IMPROVEMENT.         DO YOU HAVE SIMILAR OR DIFFERENT INTERESTS IN BOOKS?
sw03utt/sw_0330_2466.utt,2/sw2466,2466,3,%,Communicative-Status:Uninterpretable,,,B,2,3,So,(ROOT (ADVP (RB so))),BOOKS_AND_LITERATURE,FIND OUT WHAT BOOKS THE OTHER CALLER READS FOR ENJOYMENT OR SELF-IMPROVEMENT.         DO YOU HAVE SIMILAR OR DIFFERENT INTERESTS IN BOOKS?
sw03utt/sw_0330_2466.utt,2/sw2466,2466,4,qy,Info-request:Yes-No-Question,,,A,3,1,Your name is Lynn ?,(ROOT (S (NP (PRP$ your) (NN name)) (VP (VBZ is) (NP (NN lynn))) (. ?))),BOOKS_AND_LITERATURE,FIND OUT WHAT BOOKS THE OTHER CALLER READS FOR ENJOYMENT OR SELF-IMPROVEMENT.         DO YOU HAVE SIMILAR OR DIFFERENT INTERESTS IN BOOKS?
sw03utt/sw_0330_2466.utt,2/sw2466,2466,5,ng,Backwards-Communicative-Function:Answer:Negative-non-no-answers,,,B,4,1,Linda.,(ROOT (NP (NN linda) (. .))),BOOKS_AND_LITERATURE,FIND OUT WHAT BOOKS THE OTHER CALLER READS FOR ENJOYMENT OR SELF-IMPROVEMENT.         DO YOU HAVE SIMILAR OR DIFFERENT INTERESTS IN BOOKS?
sw03utt/sw_0330_2466.utt,2/sw2466,2466,6,b^m,Backwards-Communicative-Function:Understanding:Repeat-phrase,,,A,5,1,Linda.,(ROOT (NP (NN linda) (. .))),BOOKS_AND_LITERATURE,FIND OUT WHAT BOOKS THE OTHER CALLER READS FOR ENJOYMENT OR SELF-IMPROVEMENT.         DO YOU HAVE SIMILAR OR DIFFERENT INTERESTS IN BOOKS?
sw03utt/sw_0330_2466.utt,2/sw2466,2466,8,bf,Backwards-Communicative-Function:Understanding:Summarize/reformulate,,,B,6,2,"So, sounds like you like to read.","(ROOT (S (ADVP (RB so)) (, ,) (VP (VBZ sounds) (SBAR (IN like) (S (NP (PRP you)) (VP (VBP like) (S (VP (TO to) (VP (VB read)))))))) (. .)))",BOOKS_AND_LITERATURE,FIND OUT WHAT BOOKS THE OTHER CALLER READS FOR ENJOYMENT OR SELF-IMPROVEMENT.         DO YOU HAVE SIMILAR OR DIFFERENT INTERESTS IN BOOKS?
sw03utt/sw_0330_2466.utt,2/sw2466,2466,10,sd^e,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,7,2,"I read quite a bit, probably don't read as much as I would like to.","(ROOT (S (VP (LS i) (VB read) (NP (RB quite) (DT a) (NN bit)) (, ,) (S (ADVP (RB probably)) (VP (VBP do) (RB n't) (VP (VB read) (NP (QP (RB as) (JJ much) (IN as) (FW i)))))) (VP (MD would) (VP (VB like) (S (VP (TO to)))))) (. .)))",BOOKS_AND_LITERATURE,FIND OUT WHAT BOOKS THE OTHER CALLER READS FOR ENJOYMENT OR SELF-IMPROVEMENT.         DO YOU HAVE SIMILAR OR DIFFERENT INTERESTS IN BOOKS?
sw03utt/sw_0330_2466.utt,2/sw2466,2466,13,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,8,3,but I have always loved reading.,(ROOT (S (CC but) (S (NP (FW i)) (VP (VBP have) (ADVP (RB always)) (VP (VBN loved) (NP (NN reading))))) (. .))),BOOKS_AND_LITERATURE,FIND OUT WHAT BOOKS THE OTHER CALLER READS FOR ENJOYMENT OR SELF-IMPROVEMENT.         DO YOU HAVE SIMILAR OR DIFFERENT INTERESTS IN BOOKS?
sw03utt/sw_0330_2466.utt,2/sw2466,2466,14,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,9,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),BOOKS_AND_LITERATURE,FIND OUT WHAT BOOKS THE OTHER CALLER READS FOR ENJOYMENT OR SELF-IMPROVEMENT.         DO YOU HAVE SIMILAR OR DIFFERENT INTERESTS IN BOOKS?
sw03utt/sw_0330_2466.utt,2/sw2466,2466,15,qo,Info-request:Open-Question,,,B,10,1,What do you like to read ?,(ROOT (SBARQ (WHNP (WP what)) (SQ (VBP do) (NP (PRP you)) (VP (IN like) (S (VP (TO to) (VP (VB read)))))) (. ?))),BOOKS_AND_LITERATURE,FIND OUT WHAT BOOKS THE OTHER CALLER READS FOR ENJOYMENT OR SELF-IMPROVEMENT.         DO YOU HAVE SIMILAR OR DIFFERENT INTERESTS IN BOOKS?
sw03utt/sw_0330_2466.utt,2/sw2466,2466,17,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,11,2,"so most of my books are, um, I guess what you'd call self improvement type of books.","(ROOT (S (SBAR (RB so) (S (NP (NP (JJS most)) (PP (IN of) (NP (PRP$ my) (NNS books)))) (VP (VBP are)))) (, ,) (VP (VBP um) (, ,) (ADVP (FW i) (VBP guess)) (SBAR (WHNP (WP what)) (S (NP (PRP you)) (VP (MD 'd) (VP (VB call) (NP (NP (NN self) (NN improvement) (NN type)) (PP (IN of) (NP (NNS books))))))))) (. .)))",BOOKS_AND_LITERATURE,FIND OUT WHAT BOOKS THE OTHER CALLER READS FOR ENJOYMENT OR SELF-IMPROVEMENT.         DO YOU HAVE SIMILAR OR DIFFERENT INTERESTS IN BOOKS?
sw03utt/sw_0330_2466.utt,2/sw2466,2466,21,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,12,4,"and now I, lik-, like a said, I've read a lot of self, self help books.","(ROOT (FRAG (CC and) (RRC (ADVP (RB now)) (NP (FW i) (PRN (, ,) (SYM lik) (: -)) (, ,) (PP (IN like) (NP (DT a) (S (VP (VBN said) (, ,) (SBAR (S (FW i) (VP (VBP 've) (VP (VBN read) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NN self)))))))))) (, ,) (NP (NN self) (NN help) (NNS books)))))) (. .)))",BOOKS_AND_LITERATURE,FIND OUT WHAT BOOKS THE OTHER CALLER READS FOR ENJOYMENT OR SELF-IMPROVEMENT.         DO YOU HAVE SIMILAR OR DIFFERENT INTERESTS IN BOOKS?
