swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,act_label_1,act_label_2,act_label_relation,caller,utterance_index,subutterance_index,clean_text,parse_tree,topic_description,prompt
sw07utt/sw_0713_3036.utt,3/sw3036,3036,0,qy,Info-request:Yes-No-Question,,,A,1,1,"Well, uh, if you had to pick a, a type of music that you like, would you be able to ?","(ROOT (SBARQ (ADVP (RB well)) (, ,) (INTJ (UH uh)) (, ,) (NP (SBAR (IN if) (S (NP (PRP you)) (VP (VBD had) (S (VP (TO to) (VP (VB pick) (NP (DT a)))))))) (, ,) (NP (DT a) (NN type)) (PP (IN of) (NP (NN music))) (SBAR (WHNP (IN that)) (S (NP (PRP you)) (ADJP (IN like))))) (, ,) (SQ (MD would) (NP (PRP you)) (VP (VB be) (ADJP (JJ able) (PP (TO to))))) (. ?)))",MUSIC,PLEASE DISCUSS MUSIC.  CAN YOU FIND MUSICIANSOR TYPES OF MUSIC THAT BOTH YOU AND THE OTHER CALLER LIKE?
sw07utt/sw_0713_3036.utt,3/sw3036,3036,1,nd,Backwards-Communicative-Function:Answer:Dispreferred-answers,,,B,2,1,"Well, I could pick country music.","(ROOT (S (ADVP (RB well)) (, ,) (NP (FW i)) (VP (MD could) (VP (VB pick) (NP (NN country) (NN music)))) (. .)))",MUSIC,PLEASE DISCUSS MUSIC.  CAN YOU FIND MUSICIANSOR TYPES OF MUSIC THAT BOTH YOU AND THE OTHER CALLER LIKE?
sw07utt/sw_0713_3036.utt,3/sw3036,3036,3,%,Communicative-Status:Uninterpretable,,,A,3,2,I,(ROOT (LST (LS i))),MUSIC,PLEASE DISCUSS MUSIC.  CAN YOU FIND MUSICIANSOR TYPES OF MUSIC THAT BOTH YOU AND THE OTHER CALLER LIKE?
sw07utt/sw_0713_3036.utt,3/sw3036,3036,4,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,4,1,"As I've gotten older, I've started listening more to the words of music","(ROOT (PP (IN as) (SINV (FW i) (VP (VBP 've) (VP (VBN gotten) (ADJP (JJR older)) (, ,) (S (FW i) (VP (VBP 've) (VP (VBN started) (S (VP (VBG listening) (NP (JJR more)) (PP (TO to) (NP (NP (DT the) (NNS words)) (PP (IN of) (NP (NN music)))))))))))))))",MUSIC,PLEASE DISCUSS MUSIC.  CAN YOU FIND MUSICIANSOR TYPES OF MUSIC THAT BOTH YOU AND THE OTHER CALLER LIKE?
sw07utt/sw_0713_3036.utt,3/sw3036,3036,5,o@,Other,,,A,5,1,Uh.,(ROOT (INTJ (UH uh) (. .))),MUSIC,PLEASE DISCUSS MUSIC.  CAN YOU FIND MUSICIANSOR TYPES OF MUSIC THAT BOTH YOU AND THE OTHER CALLER LIKE?
sw07utt/sw_0713_3036.utt,3/sw3036,3036,6,+,Other:Segment-(multi-utterance),,,B,6,1,and to the softer melodies.,(ROOT (FRAG (PP (CC and) (PP (TO to) (NP (DT the) (JJR softer) (NNS melodies)))) (. .))),MUSIC,PLEASE DISCUSS MUSIC.  CAN YOU FIND MUSICIANSOR TYPES OF MUSIC THAT BOTH YOU AND THE OTHER CALLER LIKE?
sw07utt/sw_0713_3036.utt,3/sw3036,3036,7,+@,Other:Segment-(multi-utterance),,,A,7,1,"Uh, are you from Texas ?","(ROOT (FRAG (INTJ (UH uh)) (, ,) (SQ (VBP are) (NP (PRP you)) (PP (IN from) (NP (NNS texas))) (. ?))))",MUSIC,PLEASE DISCUSS MUSIC.  CAN YOU FIND MUSICIANSOR TYPES OF MUSIC THAT BOTH YOU AND THE OTHER CALLER LIKE?
sw07utt/sw_0713_3036.utt,3/sw3036,3036,8,ng,Backwards-Communicative-Function:Answer:Negative-non-no-answers,,,B,8,1,Not originally.,(ROOT (FRAG (ADVP (RB not) (RB originally)) (. .))),MUSIC,PLEASE DISCUSS MUSIC.  CAN YOU FIND MUSICIANSOR TYPES OF MUSIC THAT BOTH YOU AND THE OTHER CALLER LIKE?
sw07utt/sw_0713_3036.utt,3/sw3036,3036,10,qw,Info-request:Wh-Question,,,A,9,2,Where you from ?,(ROOT (FRAG (WHADVP (WRB where)) (NP (NP (PRP you)) (PP (IN from))) (. ?))),MUSIC,PLEASE DISCUSS MUSIC.  CAN YOU FIND MUSICIANSOR TYPES OF MUSIC THAT BOTH YOU AND THE OTHER CALLER LIKE?
sw07utt/sw_0713_3036.utt,3/sw3036,3036,11,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,10,1,Georgia.,(ROOT (NP (NN georgia) (. .))),MUSIC,PLEASE DISCUSS MUSIC.  CAN YOU FIND MUSICIANSOR TYPES OF MUSIC THAT BOTH YOU AND THE OTHER CALLER LIKE?
sw07utt/sw_0713_3036.utt,3/sw3036,3036,15,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,11,4,"so, uh, I'm kind of in a different category here. Uh","(ROOT (FRAG (ADVP (RB so)) (, ,) (INTJ (UH uh)) (, ,) (NP (NP (FW i) (VBP 'm) (NN kind)) (PP (IN of) (PP (IN in) (NP (NP (DT a) (JJ different) (NN category)) (ADVP (RB here)))))) (. .)))",MUSIC,PLEASE DISCUSS MUSIC.  CAN YOU FIND MUSICIANSOR TYPES OF MUSIC THAT BOTH YOU AND THE OTHER CALLER LIKE?
