swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,act_label_1,act_label_2,act_label_relation,caller,utterance_index,subutterance_index,clean_text,parse_tree,topic_description,prompt
sw08utt/sw_0891_3921.utt,3/sw3921,3921,0,o,Other,,,A,1,1,Okay.,(ROOT (ADJP (JJ okay) (. .))),FISHING,FIND OUT WHAT KIND OF FISHING THE OTHER CALLER ENJOYS.  DO YOU HAVE SIMILAR OR DIFFERENT  INTERESTS IN THE KIND OF FISHING YOU ENJOY?
sw08utt/sw_0891_3921.utt,3/sw3921,3921,1,qy^g,Info-request:Yes-No-Question,,,B,2,1,"Well, are you a fisher person, are you ?","(ROOT (SQ (ADVP (RB well)) (, ,) (VBP are) (NP (PRP you)) (NP (DT a) (NN fisher) (NN person)) (, ,) (SBARQ (SQ (VBP are) (NP (PRP you))) (. ?))))",FISHING,FIND OUT WHAT KIND OF FISHING THE OTHER CALLER ENJOYS.  DO YOU HAVE SIMILAR OR DIFFERENT  INTERESTS IN THE KIND OF FISHING YOU ENJOY?
sw08utt/sw_0891_3921.utt,3/sw3921,3921,3,sd^e,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,3,2,I love to fish.,(ROOT (FRAG (FRAG (LST (LS i)) (NP (NP (NN love)) (PP (TO to) (NP (NN fish))))) (. .))),FISHING,FIND OUT WHAT KIND OF FISHING THE OTHER CALLER ENJOYS.  DO YOU HAVE SIMILAR OR DIFFERENT  INTERESTS IN THE KIND OF FISHING YOU ENJOY?
sw08utt/sw_0891_3921.utt,3/sw3921,3921,5,qw,Info-request:Wh-Question,,,B,4,2,What kind of fishing do you do ?,(ROOT (SBARQ (WHNP (WHNP (WDT what) (NN kind)) (PP (IN of) (NP (NN fishing)))) (SQ (VBP do) (NP (PRP you)) (VP (VB do))) (. ?))),FISHING,FIND OUT WHAT KIND OF FISHING THE OTHER CALLER ENJOYS.  DO YOU HAVE SIMILAR OR DIFFERENT  INTERESTS IN THE KIND OF FISHING YOU ENJOY?
sw08utt/sw_0891_3921.utt,3/sw3921,3921,6,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,5,1,"Well, it's mostly from the rivers and lakes.","(ROOT (S (ADVP (RB well)) (, ,) (NP (PRP it)) (VP (VBZ 's) (PP (ADVP (RB mostly)) (IN from) (NP (DT the) (NNS rivers) (CC and) (NNS lakes)))) (. .)))",FISHING,FIND OUT WHAT KIND OF FISHING THE OTHER CALLER ENJOYS.  DO YOU HAVE SIMILAR OR DIFFERENT  INTERESTS IN THE KIND OF FISHING YOU ENJOY?
sw08utt/sw_0891_3921.utt,3/sw3921,3921,7,qy,Info-request:Yes-No-Question,,,B,6,1,In California ?,(ROOT (FRAG (PP (IN in) (NP (NN california))) (. ?))),FISHING,FIND OUT WHAT KIND OF FISHING THE OTHER CALLER ENJOYS.  DO YOU HAVE SIMILAR OR DIFFERENT  INTERESTS IN THE KIND OF FISHING YOU ENJOY?
sw08utt/sw_0891_3921.utt,3/sw3921,3921,10,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,7,3,I don't like to go out on boats.,(ROOT (S (LS i) (VP (VBP do) (RB n't) (VP (VB like) (S (VP (TO to) (VP (VB go) (PRT (RP out)) (PP (IN on) (NP (NNS boats)))))))) (. .))),FISHING,FIND OUT WHAT KIND OF FISHING THE OTHER CALLER ENJOYS.  DO YOU HAVE SIMILAR OR DIFFERENT  INTERESTS IN THE KIND OF FISHING YOU ENJOY?
sw08utt/sw_0891_3921.utt,3/sw3921,3921,11,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,B,8,1,Oh.,(ROOT (INTJ (UH oh) (. .))),FISHING,FIND OUT WHAT KIND OF FISHING THE OTHER CALLER ENJOYS.  DO YOU HAVE SIMILAR OR DIFFERENT  INTERESTS IN THE KIND OF FISHING YOU ENJOY?
sw08utt/sw_0891_3921.utt,3/sw3921,3921,13,qw,Info-request:Wh-Question,,,B,10,1,"Well, what kind of fish do they have in your neck of the woods ?","(ROOT (SBARQ (ADVP (RB well)) (, ,) (WHNP (WHNP (WDT what) (NN kind)) (PP (IN of) (NP (NN fish)))) (SQ (VBP do) (NP (PRP they)) (VP (VBP have) (PP (IN in) (NP (NP (PRP$ your) (NN neck)) (PP (IN of) (NP (DT the) (NNS woods))))))) (. ?)))",FISHING,FIND OUT WHAT KIND OF FISHING THE OTHER CALLER ENJOYS.  DO YOU HAVE SIMILAR OR DIFFERENT  INTERESTS IN THE KIND OF FISHING YOU ENJOY?
sw08utt/sw_0891_3921.utt,3/sw3921,3921,15,sd@,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,11,2,"down here we usually catch catfish and bass, stripped bass, you know, where I fish.","(ROOT (S (RB down) (RB here) (NP (PRP we)) (ADVP (RB usually)) (VP (VBP catch) (NP (NP (NP (NN catfish)) (CC and) (NP (NN bass))) (, ,) (NP (VBN stripped) (NN bass)) (, ,)) (SBAR (S (NP (PRP you)) (VP (VBP know) (, ,) (NP (SBAR (WHADVP (WRB where)) (NP (FW i) (NN fish)))))))) (. .)))",FISHING,FIND OUT WHAT KIND OF FISHING THE OTHER CALLER ENJOYS.  DO YOU HAVE SIMILAR OR DIFFERENT  INTERESTS IN THE KIND OF FISHING YOU ENJOY?
