swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,act_label_1,act_label_2,act_label_relation,caller,utterance_index,subutterance_index,clean_text,parse_tree,topic_description,prompt
sw01utt/sw_0128_3441.utt,3/sw3441,3441,2,fa,Other-forward-function:Apology,,,B,1,3,I'm sorry.,(ROOT (S (VP (LS i) (S (VP (VBP 'm) (ADJP (JJ sorry))))) (. .))),RIGHT_TO_PRIVACY,FIND OUT WHAT EVERYDAY OCCURRENCES THE OTHER CALLER CONSIDERS TO BE AN INTRUSION OF PRIVACY.  WHAT CAN BE DONE TO PREVENT THEM?  DO YOU AGREE OR DISAGREE?
sw01utt/sw_0128_3441.utt,3/sw3441,3441,3,sd^t,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,2,1,"Uh, invasions of privacy.","(ROOT (FRAG (INTJ (UH uh)) (, ,) (NP (NP (NNS invasions)) (PP (IN of) (NP (NN privacy)))) (. .)))",RIGHT_TO_PRIVACY,FIND OUT WHAT EVERYDAY OCCURRENCES THE OTHER CALLER CONSIDERS TO BE AN INTRUSION OF PRIVACY.  WHAT CAN BE DONE TO PREVENT THEM?  DO YOU AGREE OR DISAGREE?
sw01utt/sw_0128_3441.utt,3/sw3441,3441,4,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,B,3,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),RIGHT_TO_PRIVACY,FIND OUT WHAT EVERYDAY OCCURRENCES THE OTHER CALLER CONSIDERS TO BE AN INTRUSION OF PRIVACY.  WHAT CAN BE DONE TO PREVENT THEM?  DO YOU AGREE OR DISAGREE?
sw01utt/sw_0128_3441.utt,3/sw3441,3441,5,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,4,1,"Uh, what most annoys me are all sorts of phone calls trying to sell me things.","(ROOT (FRAG (INTJ (UH uh)) (, ,) (SBAR (WHNP (WP what)) (S (VP (NP (NP (JJS most) (NNS annoys)) (SBAR (S (NP (PRP me)) (VP (VBP are) (NP (NP (DT all) (NNS sorts)) (PP (IN of) (NP (NP (NN phone) (NNS calls)) (VP (VBG trying) (S (VP (TO to) (VP (VB sell) (NP (PRP me)) (NP (NNS things)))))))))))))))) (. .)))",RIGHT_TO_PRIVACY,FIND OUT WHAT EVERYDAY OCCURRENCES THE OTHER CALLER CONSIDERS TO BE AN INTRUSION OF PRIVACY.  WHAT CAN BE DONE TO PREVENT THEM?  DO YOU AGREE OR DISAGREE?
sw01utt/sw_0128_3441.utt,3/sw3441,3441,6,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,B,5,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),RIGHT_TO_PRIVACY,FIND OUT WHAT EVERYDAY OCCURRENCES THE OTHER CALLER CONSIDERS TO BE AN INTRUSION OF PRIVACY.  WHAT CAN BE DONE TO PREVENT THEM?  DO YOU AGREE OR DISAGREE?
sw01utt/sw_0128_3441.utt,3/sw3441,3441,7,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,6,1,All,(ROOT (NP (DT all))),RIGHT_TO_PRIVACY,FIND OUT WHAT EVERYDAY OCCURRENCES THE OTHER CALLER CONSIDERS TO BE AN INTRUSION OF PRIVACY.  WHAT CAN BE DONE TO PREVENT THEM?  DO YOU AGREE OR DISAGREE?
sw01utt/sw_0128_3441.utt,3/sw3441,3441,8,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,B,7,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),RIGHT_TO_PRIVACY,FIND OUT WHAT EVERYDAY OCCURRENCES THE OTHER CALLER CONSIDERS TO BE AN INTRUSION OF PRIVACY.  WHAT CAN BE DONE TO PREVENT THEM?  DO YOU AGREE OR DISAGREE?
sw01utt/sw_0128_3441.utt,3/sw3441,3441,9,+,Other:Segment-(multi-utterance),,,A,8,1,sorts of hours calling and telling me that I want investment advise and I want this service and that service or the other thing.,(ROOT (NP (NP (NP (NP (NNS sorts)) (PP (IN of) (NP (NP (NNS hours)) (VP (VBG calling) (CC and) (S (VP (VBG telling) (NP (PRP me)) (SBAR (IN that) (S (NP (FW i)) (VP (VBP want) (S (S (NP (NN investment)) (VP (VB advise))) (CC and) (S (NP (FW i)) (VP (VBP want) (NP (DT this) (NN service)))))))))))))) (CC and) (NP (IN that) (NN service)) (CC or) (NP (DT the) (JJ other) (NN thing))) (. .))),RIGHT_TO_PRIVACY,FIND OUT WHAT EVERYDAY OCCURRENCES THE OTHER CALLER CONSIDERS TO BE AN INTRUSION OF PRIVACY.  WHAT CAN BE DONE TO PREVENT THEM?  DO YOU AGREE OR DISAGREE?
sw01utt/sw_0128_3441.utt,3/sw3441,3441,11,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,9,2,I hate those canned messages they put on my recorder.,(ROOT (S (VP (LS i) (S (VP (VB hate) (NP (NP (DT those)) (VP (VBN canned) (NP (NP (NNS messages)) (SBAR (S (NP (PRP they)) (VP (VBP put) (PP (IN on) (NP (PRP$ my) (NN recorder)))))))))))) (. .))),RIGHT_TO_PRIVACY,FIND OUT WHAT EVERYDAY OCCURRENCES THE OTHER CALLER CONSIDERS TO BE AN INTRUSION OF PRIVACY.  WHAT CAN BE DONE TO PREVENT THEM?  DO YOU AGREE OR DISAGREE?
sw01utt/sw_0128_3441.utt,3/sw3441,3441,14,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,10,3,something about the random dialers that just dial phone numbers.,(ROOT (NP (NP (NP (NN something)) (PP (IN about) (NP (NP (DT the) (JJ random) (NNS dialers)) (SBAR (WHNP (WDT that)) (S (ADVP (RB just)) (VP (VBP dial) (NP (NN phone) (NNS numbers)))))))) (. .))),RIGHT_TO_PRIVACY,FIND OUT WHAT EVERYDAY OCCURRENCES THE OTHER CALLER CONSIDERS TO BE AN INTRUSION OF PRIVACY.  WHAT CAN BE DONE TO PREVENT THEM?  DO YOU AGREE OR DISAGREE?
