swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,act_label_1,act_label_2,act_label_relation,caller,utterance_index,subutterance_index,clean_text,parse_tree,topic_description,prompt
sw05utt/sw_0570_3691.utt,3/sw3691,3691,1,qy^t,Info-request:Yes-No-Question,,,A,1,2,They tell you our topic ?,(ROOT (S (NP (PRP they)) (VP (VBP tell) (NP (PRP you)) (NP (PRP$ our) (NN topic))) (. ?))),PETS,FIND OUT WHAT KIND OF PETS THE OTHER CALLER HAS
sw05utt/sw_0570_3691.utt,3/sw3691,3691,2,na,Backwards-Communicative-Function:Answer:Affirmative-non-yes-answers,,,B,2,1,"Uh, pets.","(ROOT (NP (NP (INTJ (UH uh)) (, ,) (NP (NNS pets))) (. .)))",PETS,FIND OUT WHAT KIND OF PETS THE OTHER CALLER HAS
sw05utt/sw_0570_3691.utt,3/sw3691,3691,3,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,3,1,You've got it.,(ROOT (S (NP (PRP you)) (VP (VBP 've) (VP (VBD got) (NP (PRP it)))) (. .))),PETS,FIND OUT WHAT KIND OF PETS THE OTHER CALLER HAS
sw05utt/sw_0570_3691.utt,3/sw3691,3691,4,qy,Info-request:Yes-No-Question,,,B,4,1,Do you have pets ?,(ROOT (SQ (VB do) (NP (PRP you)) (VP (VBP have) (NP (NNS pets))) (. ?))),PETS,FIND OUT WHAT KIND OF PETS THE OTHER CALLER HAS
sw05utt/sw_0570_3691.utt,3/sw3691,3691,8,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,5,4,"and we have a, a cat, which is, uh, I guess about five years old.","(ROOT (S (CC and) (S (NP (PRP we)) (VP (VBP have) (NP (DT a) (, ,) (NP (NP (DT a) (NN cat)) (, ,) (SBAR (WHNP (WDT which)) (S (VP (VBZ is) (, ,) (INTJ (UH uh)) (, ,) (NP (NP (FW i) (NN guess)) (PP (IN about) (ADJP (NP (CD five) (NNS years)) (JJ old))))))))))) (. .)))",PETS,FIND OUT WHAT KIND OF PETS THE OTHER CALLER HAS
sw05utt/sw_0570_3691.utt,3/sw3691,3691,9,ba,Backwards-Communicative-Function:Understanding:Appreciation,,,B,6,1,"Oh, my goodness.","(ROOT (FRAG (INTJ (UH oh)) (, ,) (NP (PRP$ my) (NN goodness)) (. .)))",PETS,FIND OUT WHAT KIND OF PETS THE OTHER CALLER HAS
sw05utt/sw_0570_3691.utt,3/sw3691,3691,10,qo,Info-request:Open-Question,,,A,7,1,How about you guys ?,(ROOT (FRAG (WHADVP (WRB how) (RB about)) (NP (PRP you) (NNS guys)) (. ?))),PETS,FIND OUT WHAT KIND OF PETS THE OTHER CALLER HAS
sw05utt/sw_0570_3691.utt,3/sw3691,3691,11,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,8,1,We have three dogs and,(ROOT (S (VP (NP (PRP we)) (VP (VBP have) (NP (CD three) (NNS dogs))) (CC and)))),PETS,FIND OUT WHAT KIND OF PETS THE OTHER CALLER HAS
sw05utt/sw_0570_3691.utt,3/sw3691,3691,12,b^m,Backwards-Communicative-Function:Understanding:Repeat-phrase,,,A,9,1,Three dogs.,(ROOT (NP (NP (CD three) (NNS dogs)) (. .))),PETS,FIND OUT WHAT KIND OF PETS THE OTHER CALLER HAS
sw05utt/sw_0570_3691.utt,3/sw3691,3691,13,+,Other:Segment-(multi-utterance),,,B,10,1,two birds at this point.,(ROOT (NP (NP (NP (CD two) (NNS birds)) (PP (IN at) (NP (DT this) (NN point)))) (. .))),PETS,FIND OUT WHAT KIND OF PETS THE OTHER CALLER HAS
sw05utt/sw_0570_3691.utt,3/sw3691,3691,15,qw,Info-request:Wh-Question,,,A,11,2,what kind of birds do you have ?,(ROOT (SBARQ (WHNP (WHNP (WDT what) (NN kind)) (PP (IN of) (NP (NNS birds)))) (SQ (VBP do) (NP (PRP you)) (VP (VB have))) (. ?))),PETS,FIND OUT WHAT KIND OF PETS THE OTHER CALLER HAS
sw05utt/sw_0570_3691.utt,3/sw3691,3691,16,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,12,1,Parakeets.,(ROOT (NP (NNS parakeets) (. .))),PETS,FIND OUT WHAT KIND OF PETS THE OTHER CALLER HAS
sw05utt/sw_0570_3691.utt,3/sw3691,3691,18,qy,Info-request:Yes-No-Question,,,A,13,2,"En, enjoy them ?","(ROOT (SBAR (IN en) (, ,) (S (VP (VB enjoy) (NP (PRP them)))) (. ?)))",PETS,FIND OUT WHAT KIND OF PETS THE OTHER CALLER HAS
sw05utt/sw_0570_3691.utt,3/sw3691,3691,19,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,14,1,"Oh, have a ball with them.","(ROOT (S (INTJ (UH oh)) (, ,) (VP (VBP have) (NP (NP (DT a) (NN ball)) (PP (IN with) (NP (PRP them))))) (. .)))",PETS,FIND OUT WHAT KIND OF PETS THE OTHER CALLER HAS
sw05utt/sw_0570_3691.utt,3/sw3691,3691,20,qy,Info-request:Yes-No-Question,,,A,15,1,You let them out and let them fly around and everything ?,(ROOT (S (NP (PRP you)) (VP (VP (VBP let) (NP (PRP them)) (PRT (RP out))) (CC and) (VP (VP (VB let) (S (NP (PRP them)) (VP (VB fly) (ADVP (RB around))))) (CC and) (NP (NN everything)))) (. ?))),PETS,FIND OUT WHAT KIND OF PETS THE OTHER CALLER HAS
sw05utt/sw_0570_3691.utt,3/sw3691,3691,22,sd^e,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,16,2,because my dogs chase them.,(ROOT (FRAG (SBAR (IN because) (S (NP (PRP$ my) (NNS dogs)) (VP (VBP chase) (NP (PRP them))))) (. .))),PETS,FIND OUT WHAT KIND OF PETS THE OTHER CALLER HAS
sw05utt/sw_0570_3691.utt,3/sw3691,3691,23,bk,Backwards-Communicative-Function:Understanding:Response Acknowledgement,,,A,17,1,Okay.,(ROOT (ADJP (JJ okay) (. .))),PETS,FIND OUT WHAT KIND OF PETS THE OTHER CALLER HAS
sw05utt/sw_0570_3691.utt,3/sw3691,3691,24,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,18,1,So in order to have the birds not stuffed I have to keep them in their,(ROOT (S (ADVP (RB so)) (SBAR (IN in) (NN order) (S (VP (TO to) (VP (VB have) (NP (DT the) (NNS birds)))))) (VP (RB not) (VBD stuffed) (NP (FW i)) (VP (VBP have) (S (VP (TO to) (VP (VB keep) (NP (PRP them)) (PP (IN in) (PRP$ their))))))))),PETS,FIND OUT WHAT KIND OF PETS THE OTHER CALLER HAS
sw05utt/sw_0570_3691.utt,3/sw3691,3691,25,%,Communicative-Status:Uninterpretable,,,A,19,1,You-,(ROOT (S (NP (PRP you)) (VP (: -)))),PETS,FIND OUT WHAT KIND OF PETS THE OTHER CALLER HAS
sw05utt/sw_0570_3691.utt,3/sw3691,3691,26,+,Other:Segment-(multi-utterance),,,B,20,1,cages.,(ROOT (NP (NNS cages) (. .))),PETS,FIND OUT WHAT KIND OF PETS THE OTHER CALLER HAS
sw05utt/sw_0570_3691.utt,3/sw3691,3691,29,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,21,3,"but, uh, we had a parakeet.","(ROOT (S (CC but) (, ,) (INTJ (UH uh)) (, ,) (NP (PRP we)) (VP (VBD had) (NP (DT a) (NN parakeet))) (. .)))",PETS,FIND OUT WHAT KIND OF PETS THE OTHER CALLER HAS
sw05utt/sw_0570_3691.utt,3/sw3691,3691,30,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,B,22,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),PETS,FIND OUT WHAT KIND OF PETS THE OTHER CALLER HAS
sw05utt/sw_0570_3691.utt,3/sw3691,3691,31,+,Other:Segment-(multi-utterance),,,A,23,1,"And, my fault, put up our first electric fan.","(ROOT (S (CC and) (, ,) (NP (PRP$ my) (NN fault)) (, ,) (VP (VBD put) (PRT (RP up)) (NP (PRP$ our) (JJ first) (JJ electric) (NN fan))) (. .)))",PETS,FIND OUT WHAT KIND OF PETS THE OTHER CALLER HAS
sw05utt/sw_0570_3691.utt,3/sw3691,3691,32,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,B,24,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),PETS,FIND OUT WHAT KIND OF PETS THE OTHER CALLER HAS
sw05utt/sw_0570_3691.utt,3/sw3691,3691,34,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,25,2,Knocked that parakeet right out of the air.,(ROOT (S (VP (VBD knocked) (SBAR (IN that) (S (NP (NN parakeet) (NN right)) (PP (IN out) (PP (IN of) (NP (DT the) (NN air))))))) (. .))),PETS,FIND OUT WHAT KIND OF PETS THE OTHER CALLER HAS
sw05utt/sw_0570_3691.utt,3/sw3691,3691,41,sd(^q),none,,,B,26,7,"I thought, oh","(ROOT (NP (NP (LS i) (NN thought)) (, ,) (INTJ (UH oh))))",PETS,FIND OUT WHAT KIND OF PETS THE OTHER CALLER HAS
sw05utt/sw_0570_3691.utt,3/sw3691,3691,42,qy,Info-request:Yes-No-Question,,,A,27,1,It killed him ?,(ROOT (S (NP (PRP it)) (VP (VBD killed) (NP (PRP him))) (. ?))),PETS,FIND OUT WHAT KIND OF PETS THE OTHER CALLER HAS
sw05utt/sw_0570_3691.utt,3/sw3691,3691,45,sd^e,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,28,3,he's still alive and kicking.,(ROOT (S (NP (PRP he)) (VP (VBZ 's) (ADVP (RB still)) (ADJP (JJ alive) (CC and) (VBG kicking))) (. .))),PETS,FIND OUT WHAT KIND OF PETS THE OTHER CALLER HAS
sw05utt/sw_0570_3691.utt,3/sw3691,3691,48,ba,Backwards-Communicative-Function:Understanding:Appreciation,,,A,29,3,I'll be darned.,(ROOT (S (LST (LS i)) (VP (MD 'll) (VP (VB be) (ADVP (RB darned)))) (. .))),PETS,FIND OUT WHAT KIND OF PETS THE OTHER CALLER HAS
