swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,act_label_1,act_label_2,act_label_relation,caller,utterance_index,subutterance_index,clean_text,parse_tree,topic_description,prompt
sw01utt/sw_0129_3476.utt,3/sw3476,3476,0,o,Other,,,A,1,1,"For N I S T, the National Institute of Standards and Technology.","(ROOT (FRAG (SBAR (IN for) (S (NP (NN n)) (FW i) (VP (VBZ s) (NP (NN t))))) (, ,) (NP (NP (DT the) (JJ national) (NN institute)) (PP (IN of) (NP (NP (NNS standards)) (CC and) (NP (NN technology))))) (. .)))",METRIC_SYSTEM,DO YOU THINK THE UNITED STATES SHOULD ADOPT THE METRIC SYSTEM?  WHY DO YOU THINK THE LAST EFFORT TO ADOPT IT FAILED?  WHAT WOULD HAVE TO BE DONE DIFFERENTLY TO GUARANTEE SUCCESS?
sw01utt/sw_0129_3476.utt,3/sw3476,3476,2,qy^d,Info-request:Yes-No-Question,,,B,2,2,"so it's right up your alley, then.","(ROOT (FRAG (SBAR (IN so) (S (NP (PRP it)) (VP (VBZ 's) (ADJP (JJ right)) (PP (IN up) (NP (PRP$ your) (NN alley)))))) (, ,) (ADVP (RB then)) (. .)))",METRIC_SYSTEM,DO YOU THINK THE UNITED STATES SHOULD ADOPT THE METRIC SYSTEM?  WHY DO YOU THINK THE LAST EFFORT TO ADOPT IT FAILED?  WHAT WOULD HAVE TO BE DONE DIFFERENTLY TO GUARANTEE SUCCESS?
sw01utt/sw_0129_3476.utt,3/sw3476,3476,4,ad^t,Info-request:Action-directive,,,A,3,2,Let me push the button.,(ROOT (S (VP (VB let) (S (NP (PRP me)) (VP (VB push) (NP (DT the) (NN button))))) (. .))),METRIC_SYSTEM,DO YOU THINK THE UNITED STATES SHOULD ADOPT THE METRIC SYSTEM?  WHY DO YOU THINK THE LAST EFFORT TO ADOPT IT FAILED?  WHAT WOULD HAVE TO BE DONE DIFFERENTLY TO GUARANTEE SUCCESS?
sw01utt/sw_0129_3476.utt,3/sw3476,3476,5,aa,Backwards-Communicative-Function:Agreement:Accept,,,B,4,1,All right.,(ROOT (NP (NP (DT all) (NN right)) (. .))),METRIC_SYSTEM,DO YOU THINK THE UNITED STATES SHOULD ADOPT THE METRIC SYSTEM?  WHY DO YOU THINK THE LAST EFFORT TO ADOPT IT FAILED?  WHAT WOULD HAVE TO BE DONE DIFFERENTLY TO GUARANTEE SUCCESS?
sw01utt/sw_0129_3476.utt,3/sw3476,3476,8,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,A,5,3,"but, uh, I sense that it's not going to happen anytime soon.","(ROOT (FRAG (CC but) (, ,) (INTJ (UH uh)) (, ,) (PP (FW i) (NP (NN sense) (SBAR (IN that) (S (NP (PRP it)) (VP (VBZ 's) (RB not) (VP (VBG going) (S (VP (TO to) (VP (VB happen) (ADVP (RB anytime) (RB soon))))))))))) (. .)))",METRIC_SYSTEM,DO YOU THINK THE UNITED STATES SHOULD ADOPT THE METRIC SYSTEM?  WHY DO YOU THINK THE LAST EFFORT TO ADOPT IT FAILED?  WHAT WOULD HAVE TO BE DONE DIFFERENTLY TO GUARANTEE SUCCESS?
sw01utt/sw_0129_3476.utt,3/sw3476,3476,12,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,6,4,"because I'm a, I got my bachelor's in mechanical engineering.","(ROOT (SBAR (IN because) (NP (FW i) (S (VP (VBP 'm) (NP (DT a) (, ,) (SBAR (FW i) (S (VP (VBD got) (NP (NP (PRP$ my) (NN bachelor) (POS 's)) (PP (IN in) (NP (JJ mechanical) (NN engineering))))))))))) (. .)))",METRIC_SYSTEM,DO YOU THINK THE UNITED STATES SHOULD ADOPT THE METRIC SYSTEM?  WHY DO YOU THINK THE LAST EFFORT TO ADOPT IT FAILED?  WHAT WOULD HAVE TO BE DONE DIFFERENTLY TO GUARANTEE SUCCESS?
sw01utt/sw_0129_3476.utt,3/sw3476,3476,13,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,7,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),METRIC_SYSTEM,DO YOU THINK THE UNITED STATES SHOULD ADOPT THE METRIC SYSTEM?  WHY DO YOU THINK THE LAST EFFORT TO ADOPT IT FAILED?  WHAT WOULD HAVE TO BE DONE DIFFERENTLY TO GUARANTEE SUCCESS?
sw01utt/sw_0129_3476.utt,3/sw3476,3476,15,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,8,2,and all we do is metric stuff.,(ROOT (S (CC and) (S (NP (NP (DT all)) (SBAR (S (NP (PRP we)) (VP (VBP do))))) (VP (VBZ is) (NP (JJ metric) (NN stuff)))) (. .))),METRIC_SYSTEM,DO YOU THINK THE UNITED STATES SHOULD ADOPT THE METRIC SYSTEM?  WHY DO YOU THINK THE LAST EFFORT TO ADOPT IT FAILED?  WHAT WOULD HAVE TO BE DONE DIFFERENTLY TO GUARANTEE SUCCESS?
sw01utt/sw_0129_3476.utt,3/sw3476,3476,16,br,Backwards-Communicative-Function:Understanding:Signal-non-understanding,,,A,9,1,You're now in what ?,(ROOT (S (NP (PRP you)) (VP (VBP 're) (ADVP (RB now)) (WHPP (IN in) (WHNP (WP what)))) (. ?))),METRIC_SYSTEM,DO YOU THINK THE UNITED STATES SHOULD ADOPT THE METRIC SYSTEM?  WHY DO YOU THINK THE LAST EFFORT TO ADOPT IT FAILED?  WHAT WOULD HAVE TO BE DONE DIFFERENTLY TO GUARANTEE SUCCESS?
sw01utt/sw_0129_3476.utt,3/sw3476,3476,17,sd^r,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,10,1,Acoustics.,(ROOT (NP (NNS acoustics) (. .))),METRIC_SYSTEM,DO YOU THINK THE UNITED STATES SHOULD ADOPT THE METRIC SYSTEM?  WHY DO YOU THINK THE LAST EFFORT TO ADOPT IT FAILED?  WHAT WOULD HAVE TO BE DONE DIFFERENTLY TO GUARANTEE SUCCESS?
sw01utt/sw_0129_3476.utt,3/sw3476,3476,18,b^m,Backwards-Communicative-Function:Understanding:Repeat-phrase,,,A,11,1,"Acoustics, uh.","(ROOT (NP (NP (NNS acoustics)) (, ,) (INTJ (UH uh)) (. .)))",METRIC_SYSTEM,DO YOU THINK THE UNITED STATES SHOULD ADOPT THE METRIC SYSTEM?  WHY DO YOU THINK THE LAST EFFORT TO ADOPT IT FAILED?  WHAT WOULD HAVE TO BE DONE DIFFERENTLY TO GUARANTEE SUCCESS?
sw01utt/sw_0129_3476.utt,3/sw3476,3476,24,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,B,12,6,so I think we should get one adopted permanently.,(ROOT (S (ADVP (RB so) (FW i)) (VP (VBP think) (SBAR (S (NP (PRP we)) (VP (MD should) (VP (VB get) (NP (CD one) (VP (VBN adopted) (ADVP (RB permanently))))))))) (. .))),METRIC_SYSTEM,DO YOU THINK THE UNITED STATES SHOULD ADOPT THE METRIC SYSTEM?  WHY DO YOU THINK THE LAST EFFORT TO ADOPT IT FAILED?  WHAT WOULD HAVE TO BE DONE DIFFERENTLY TO GUARANTEE SUCCESS?
sw01utt/sw_0129_3476.utt,3/sw3476,3476,28,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,A,13,4,"Uh, I suppose things, some things well happen slowly simply by having it taught in the schools more to the extent that that's happening, having a new generation come up that's more used to it.","(ROOT (X (SINV (INTJ (UH uh)) (, ,) (FW i) (VP (VBP suppose) (NP (NP (NNS things)) (, ,) (NP (NP (DT some) (NNS things)) (VP (ADVP (RB well)) (VB happen) (ADVP (RB slowly) (RB simply)) (PP (IN by) (S (VP (VBG having) (S (NP (PRP it)) (VP (VBD taught) (PP (IN in) (NP (DT the) (NNS schools))) (PP (ADVP (RBR more)) (TO to) (NP (DT the) (NN extent) (SBAR (IN that) (S (NP (DT that)) (VP (VBZ 's) (ADJP (VBG happening)) (, ,) (S (VP (VBG having) (NP (NP (DT a) (JJ new) (NN generation)) (VP (VBN come) (PRT (RP up)) (S (NP (DT that)) (VP (VBZ 's) (NP (JJR more) (VP (VBN used) (PP (TO to) (NP (PRP it)))))))))))))))))))))))))) (. .)))",METRIC_SYSTEM,DO YOU THINK THE UNITED STATES SHOULD ADOPT THE METRIC SYSTEM?  WHY DO YOU THINK THE LAST EFFORT TO ADOPT IT FAILED?  WHAT WOULD HAVE TO BE DONE DIFFERENTLY TO GUARANTEE SUCCESS?
sw01utt/sw_0129_3476.utt,3/sw3476,3476,30,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,14,2,a lot of industry out there is doing metric stuff because they have to.,(ROOT (S (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NN industry))) (PP (IN out) (NP (EX there)))) (VP (VBZ is) (VP (VBG doing) (NP (JJ metric) (NN stuff)) (SBAR (IN because) (S (NP (PRP they)) (VP (VBP have) (S (VP (TO to)))))))) (. .))),METRIC_SYSTEM,DO YOU THINK THE UNITED STATES SHOULD ADOPT THE METRIC SYSTEM?  WHY DO YOU THINK THE LAST EFFORT TO ADOPT IT FAILED?  WHAT WOULD HAVE TO BE DONE DIFFERENTLY TO GUARANTEE SUCCESS?
sw01utt/sw_0129_3476.utt,3/sw3476,3476,31,bf,Backwards-Communicative-Function:Understanding:Summarize/reformulate,,,A,15,1,They have to for international trade.,(ROOT (S (NP (PRP they)) (VP (VBP have) (PP (TO to) (PP (IN for) (NP (JJ international) (NN trade))))) (. .))),METRIC_SYSTEM,DO YOU THINK THE UNITED STATES SHOULD ADOPT THE METRIC SYSTEM?  WHY DO YOU THINK THE LAST EFFORT TO ADOPT IT FAILED?  WHAT WOULD HAVE TO BE DONE DIFFERENTLY TO GUARANTEE SUCCESS?
sw01utt/sw_0129_3476.utt,3/sw3476,3476,32,aa,Backwards-Communicative-Function:Agreement:Accept,,,B,16,1,Yeah.,(ROOT (NP (NN yeah) (. .))),METRIC_SYSTEM,DO YOU THINK THE UNITED STATES SHOULD ADOPT THE METRIC SYSTEM?  WHY DO YOU THINK THE LAST EFFORT TO ADOPT IT FAILED?  WHAT WOULD HAVE TO BE DONE DIFFERENTLY TO GUARANTEE SUCCESS?
