swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,act_label_1,act_label_2,act_label_relation,caller,utterance_index,subutterance_index,clean_text,parse_tree,topic_description,prompt
sw00utt/sw_0052_4378.utt,4/sw4378,4378,0,sd^t,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,1,1,One way or another we're now recording.,(ROOT (NP (NP (NP (CD one) (NN way)) (CC or) (NP (NP (DT another)) (SBAR (S (NP (PRP we)) (VP (VBP 're) (ADVP (RB now)) (VP (VBG recording))))))) (. .))),HOME_REPAIRS,FIND OUT WHAT THE LAST HOME REPAIR OR REMODELING PROJECT THE OTHER CALLERUNDERTOOK.  HOW SUCCESSFUL WAS IT?  HOW DOES IT COMPARE TO YOUR OWN EXPERIENCE?
sw00utt/sw_0052_4378.utt,4/sw4378,4378,1,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,2,1,Okay.,(ROOT (ADJP (JJ okay) (. .))),HOME_REPAIRS,FIND OUT WHAT THE LAST HOME REPAIR OR REMODELING PROJECT THE OTHER CALLERUNDERTOOK.  HOW SUCCESSFUL WAS IT?  HOW DOES IT COMPARE TO YOUR OWN EXPERIENCE?
sw00utt/sw_0052_4378.utt,4/sw4378,4378,3,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,3,2,Home repair.,(ROOT (NP (NP (NN home) (NN repair)) (. .))),HOME_REPAIRS,FIND OUT WHAT THE LAST HOME REPAIR OR REMODELING PROJECT THE OTHER CALLERUNDERTOOK.  HOW SUCCESSFUL WAS IT?  HOW DOES IT COMPARE TO YOUR OWN EXPERIENCE?
sw00utt/sw_0052_4378.utt,4/sw4378,4378,4,bf,Backwards-Communicative-Function:Understanding:Summarize/reformulate,,,A,4,1,You were helping your parents.,(ROOT (S (NP (PRP you)) (VP (VBD were) (VP (VBG helping) (NP (PRP$ your) (NNS parents)))) (. .))),HOME_REPAIRS,FIND OUT WHAT THE LAST HOME REPAIR OR REMODELING PROJECT THE OTHER CALLERUNDERTOOK.  HOW SUCCESSFUL WAS IT?  HOW DOES IT COMPARE TO YOUR OWN EXPERIENCE?
sw00utt/sw_0052_4378.utt,4/sw4378,4378,7,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,5,3,"They're, uh, sort of remodeling a house out in downtown Atlanta, in Candler Park.","(ROOT (S (S (NP (PRP they)) (VP (VBP 're))) (, ,) (INTJ (UH uh)) (, ,) (S (VP (ADVP (NN sort) (IN of)) (VBG remodeling) (NP (DT a) (NN house)) (PRT (RP out)) (PP (IN in) (NP (NN downtown) (NN atlanta))) (, ,) (PP (IN in) (NP (NN candler) (NN park))))) (. .)))",HOME_REPAIRS,FIND OUT WHAT THE LAST HOME REPAIR OR REMODELING PROJECT THE OTHER CALLERUNDERTOOK.  HOW SUCCESSFUL WAS IT?  HOW DOES IT COMPARE TO YOUR OWN EXPERIENCE?
sw00utt/sw_0052_4378.utt,4/sw4378,4378,8,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,6,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),HOME_REPAIRS,FIND OUT WHAT THE LAST HOME REPAIR OR REMODELING PROJECT THE OTHER CALLERUNDERTOOK.  HOW SUCCESSFUL WAS IT?  HOW DOES IT COMPARE TO YOUR OWN EXPERIENCE?
sw00utt/sw_0052_4378.utt,4/sw4378,4378,11,%,Communicative-Status:Uninterpretable,,,B,7,3,And,(ROOT (CC and)),HOME_REPAIRS,FIND OUT WHAT THE LAST HOME REPAIR OR REMODELING PROJECT THE OTHER CALLERUNDERTOOK.  HOW SUCCESSFUL WAS IT?  HOW DOES IT COMPARE TO YOUR OWN EXPERIENCE?
sw00utt/sw_0052_4378.utt,4/sw4378,4378,12,qy^d,Info-request:Yes-No-Question,,,A,8,1,So you're remodeling ?,(ROOT (FRAG (SBAR (RB so) (S (NP (PRP you)) (VP (VBP 're) (VP (VBG remodeling))))) (. ?))),HOME_REPAIRS,FIND OUT WHAT THE LAST HOME REPAIR OR REMODELING PROJECT THE OTHER CALLERUNDERTOOK.  HOW SUCCESSFUL WAS IT?  HOW DOES IT COMPARE TO YOUR OWN EXPERIENCE?
sw00utt/sw_0052_4378.utt,4/sw4378,4378,13,ny,Info-request:Yes answers,,,B,9,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),HOME_REPAIRS,FIND OUT WHAT THE LAST HOME REPAIR OR REMODELING PROJECT THE OTHER CALLERUNDERTOOK.  HOW SUCCESSFUL WAS IT?  HOW DOES IT COMPARE TO YOUR OWN EXPERIENCE?
sw00utt/sw_0052_4378.utt,4/sw4378,4378,14,bk,Backwards-Communicative-Function:Understanding:Response Acknowledgement,,,A,10,1,Okay.,(ROOT (ADJP (JJ okay) (. .))),HOME_REPAIRS,FIND OUT WHAT THE LAST HOME REPAIR OR REMODELING PROJECT THE OTHER CALLERUNDERTOOK.  HOW SUCCESSFUL WAS IT?  HOW DOES IT COMPARE TO YOUR OWN EXPERIENCE?
