swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,act_label_1,act_label_2,act_label_relation,caller,utterance_index,subutterance_index,clean_text,parse_tree,topic_description,prompt
sw10utt/sw_1027_3463.utt,3/sw3463,3463,1,qr,Info-request:Or-Question,,,A,1,2,"would you, uh, like to begin or would you like me to start ?","(ROOT (SQ (MD would) (NP (PRP you)) (, ,) (FRAG (INTJ (UH uh)) (, ,) (S (VP (IN like) (S (VP (TO to) (VP (VB begin) (CC or) (SQ (MD would) (NP (PRP you)) (VP (VB like) (S (NP (PRP me)) (VP (TO to) (VP (VB start))))))))))) (. ?))))",WOMEN'S_ROLES,DISCUSS THE CHANGES IN THE ROLES OF WOMEN IN AMERICAN SOCIETY OVER THE PAST GENERATION OR TWO.  WHICH CHANGES HAVE BEEN THE MOST SIGNIFICANT? DO YOU HAVE AN OPINION ON WHAT FURTHER CHANGES WILL TAKE PLACE OVER THE NEXT GENERATION?
sw10utt/sw_1027_3463.utt,3/sw3463,3463,2,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,2,1,"Uh, oh, I can start.","(ROOT (S (INTJ (UH uh)) (, ,) (INTJ (UH oh)) (, ,) (NP (FW i)) (VP (MD can) (VP (VB start))) (. .)))",WOMEN'S_ROLES,DISCUSS THE CHANGES IN THE ROLES OF WOMEN IN AMERICAN SOCIETY OVER THE PAST GENERATION OR TWO.  WHICH CHANGES HAVE BEEN THE MOST SIGNIFICANT? DO YOU HAVE AN OPINION ON WHAT FURTHER CHANGES WILL TAKE PLACE OVER THE NEXT GENERATION?
sw10utt/sw_1027_3463.utt,3/sw3463,3463,3,bk,Backwards-Communicative-Function:Understanding:Response Acknowledgement,,,A,3,1,Okay.,(ROOT (ADJP (JJ okay) (. .))),WOMEN'S_ROLES,DISCUSS THE CHANGES IN THE ROLES OF WOMEN IN AMERICAN SOCIETY OVER THE PAST GENERATION OR TWO.  WHICH CHANGES HAVE BEEN THE MOST SIGNIFICANT? DO YOU HAVE AN OPINION ON WHAT FURTHER CHANGES WILL TAKE PLACE OVER THE NEXT GENERATION?
sw10utt/sw_1027_3463.utt,3/sw3463,3463,4,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,B,4,1,"I, I think one of the, the biggest, uh, improvements in women is that finally you're starting to see them get into, uh, management","(ROOT (SINV (LS i) (, ,) (FW i) (S (VBP think) (NP (NP (CD one)) (PP (IN of) (NP (NP (DT the)) (, ,) (X (DT the) (VP (FRAG (ADJP (ADJP (JJS biggest)) (, ,) (SBAR (S (INTJ (UH uh)) (, ,) (NP (NP (NNS improvements)) (PP (IN in) (NP (NNS women)))) (VP (VBZ is) (FRAG (SBAR (IN that) (S (ADVP (RB finally)) (NP (PRP you)) (VP (VBP 're) (VP (VBG starting) (S (VP (TO to) (VP (VB see) (S (NP (PRP them)) (VP (VB get) (PP (IN into))))))))))) (, ,) (INTJ (UH uh)) (, ,) (NP (NN management))))))))))))))))",WOMEN'S_ROLES,DISCUSS THE CHANGES IN THE ROLES OF WOMEN IN AMERICAN SOCIETY OVER THE PAST GENERATION OR TWO.  WHICH CHANGES HAVE BEEN THE MOST SIGNIFICANT? DO YOU HAVE AN OPINION ON WHAT FURTHER CHANGES WILL TAKE PLACE OVER THE NEXT GENERATION?
sw10utt/sw_1027_3463.utt,3/sw3463,3463,5,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,5,1,Yes.,(ROOT (ADVP (RB yes) (. .))),WOMEN'S_ROLES,DISCUSS THE CHANGES IN THE ROLES OF WOMEN IN AMERICAN SOCIETY OVER THE PAST GENERATION OR TWO.  WHICH CHANGES HAVE BEEN THE MOST SIGNIFICANT? DO YOU HAVE AN OPINION ON WHAT FURTHER CHANGES WILL TAKE PLACE OVER THE NEXT GENERATION?
sw10utt/sw_1027_3463.utt,3/sw3463,3463,6,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,B,6,1,"and you're seeing them, uh, get, uh, elected to, uh, political offices.","(ROOT (S (CC and) (S (NP (PRP you)) (VP (VBP 're) (VP (VBG seeing) (NP (PRP them))))) (, ,) (INTJ (UH uh)) (, ,) (FRAG (VB get) (, ,) (NP (INTJ (UH uh)) (, ,) (NP (S (VP (VBN elected) (PP (TO to)))) (, ,) (NP (INTJ (UH uh)) (, ,) (JJ political) (NNS offices))))) (. .)))",WOMEN'S_ROLES,DISCUSS THE CHANGES IN THE ROLES OF WOMEN IN AMERICAN SOCIETY OVER THE PAST GENERATION OR TWO.  WHICH CHANGES HAVE BEEN THE MOST SIGNIFICANT? DO YOU HAVE AN OPINION ON WHAT FURTHER CHANGES WILL TAKE PLACE OVER THE NEXT GENERATION?
sw10utt/sw_1027_3463.utt,3/sw3463,3463,7,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,7,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),WOMEN'S_ROLES,DISCUSS THE CHANGES IN THE ROLES OF WOMEN IN AMERICAN SOCIETY OVER THE PAST GENERATION OR TWO.  WHICH CHANGES HAVE BEEN THE MOST SIGNIFICANT? DO YOU HAVE AN OPINION ON WHAT FURTHER CHANGES WILL TAKE PLACE OVER THE NEXT GENERATION?
sw10utt/sw_1027_3463.utt,3/sw3463,3463,9,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,8,2,I know there's still a long way to go especially in top management.,(ROOT (S (LS i) (VP (VB know) (SBAR (S (NP (EX there)) (VP (VBZ 's) (ADVP (RB still)) (NP (NP (DT a) (JJ long) (NN way)) (SBAR (S (VP (TO to) (VP (VB go) (PP (ADVP (RB especially)) (IN in) (NP (JJ top) (NN management)))))))))))) (. .))),WOMEN'S_ROLES,DISCUSS THE CHANGES IN THE ROLES OF WOMEN IN AMERICAN SOCIETY OVER THE PAST GENERATION OR TWO.  WHICH CHANGES HAVE BEEN THE MOST SIGNIFICANT? DO YOU HAVE AN OPINION ON WHAT FURTHER CHANGES WILL TAKE PLACE OVER THE NEXT GENERATION?
sw10utt/sw_1027_3463.utt,3/sw3463,3463,11,aa,Backwards-Communicative-Function:Agreement:Accept,,,A,9,2,I agree.,(ROOT (S (S (LS i) (VP (VBP agree))) (. .))),WOMEN'S_ROLES,DISCUSS THE CHANGES IN THE ROLES OF WOMEN IN AMERICAN SOCIETY OVER THE PAST GENERATION OR TWO.  WHICH CHANGES HAVE BEEN THE MOST SIGNIFICANT? DO YOU HAVE AN OPINION ON WHAT FURTHER CHANGES WILL TAKE PLACE OVER THE NEXT GENERATION?
sw10utt/sw_1027_3463.utt,3/sw3463,3463,13,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,B,10,2,"looking at T I, you see them in management, but you're not seeing them up there as V P -s.","(ROOT (S (S (S (VP (VBG looking) (PP (IN at) (NP (NN t))) (ADVP (FW i)))) (, ,) (NP (PRP you)) (VP (VBP see) (NP (PRP them)) (PP (IN in) (NP (NN management))))) (, ,) (CC but) (S (NP (PRP you)) (VP (VBP 're) (RB not) (VP (VBG seeing) (NP (PRP them)) (PRT (RP up)) (NP (NP (EX there)) (PP (IN as) (NP (LS v) (NP (NN p)) (: -)))) (SYM s.))))))",WOMEN'S_ROLES,DISCUSS THE CHANGES IN THE ROLES OF WOMEN IN AMERICAN SOCIETY OVER THE PAST GENERATION OR TWO.  WHICH CHANGES HAVE BEEN THE MOST SIGNIFICANT? DO YOU HAVE AN OPINION ON WHAT FURTHER CHANGES WILL TAKE PLACE OVER THE NEXT GENERATION?
sw10utt/sw_1027_3463.utt,3/sw3463,3463,14,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,11,1,Right.,(ROOT (ADVP (RB right) (. .))),WOMEN'S_ROLES,DISCUSS THE CHANGES IN THE ROLES OF WOMEN IN AMERICAN SOCIETY OVER THE PAST GENERATION OR TWO.  WHICH CHANGES HAVE BEEN THE MOST SIGNIFICANT? DO YOU HAVE AN OPINION ON WHAT FURTHER CHANGES WILL TAKE PLACE OVER THE NEXT GENERATION?
sw10utt/sw_1027_3463.utt,3/sw3463,3463,17,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,12,3,"the women didn't h-, have near the positions, the levels that the men attorneys had.","(ROOT (S (S (NP (DT the) (NNS women)) (VP (VBD did) (RB n't) (NP (NN h) (: -)))) (FRAG (PRN (, ,) (VP (VBP have) (PP (IN near) (NP (DT the) (NNS positions)))) (, ,)) (NP (NP (DT the) (NNS levels)) (SBAR (WHNP (IN that)) (S (NP (DT the) (NNS men) (NNS attorneys)) (VP (VBD had))))) (. .))))",WOMEN'S_ROLES,DISCUSS THE CHANGES IN THE ROLES OF WOMEN IN AMERICAN SOCIETY OVER THE PAST GENERATION OR TWO.  WHICH CHANGES HAVE BEEN THE MOST SIGNIFICANT? DO YOU HAVE AN OPINION ON WHAT FURTHER CHANGES WILL TAKE PLACE OVER THE NEXT GENERATION?
sw10utt/sw_1027_3463.utt,3/sw3463,3463,18,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,13,1,Right.,(ROOT (ADVP (RB right) (. .))),WOMEN'S_ROLES,DISCUSS THE CHANGES IN THE ROLES OF WOMEN IN AMERICAN SOCIETY OVER THE PAST GENERATION OR TWO.  WHICH CHANGES HAVE BEEN THE MOST SIGNIFICANT? DO YOU HAVE AN OPINION ON WHAT FURTHER CHANGES WILL TAKE PLACE OVER THE NEXT GENERATION?
sw10utt/sw_1027_3463.utt,3/sw3463,3463,19,+,Other:Segment-(multi-utterance),,,B,14,1,"And were not, uh, given the same respect.","(ROOT (SQ (CC and) (VBD were) (RB not) (, ,) (INTJ (UH uh)) (, ,) (VP (VBN given) (NP (DT the) (JJ same) (NN respect))) (. .)))",WOMEN'S_ROLES,DISCUSS THE CHANGES IN THE ROLES OF WOMEN IN AMERICAN SOCIETY OVER THE PAST GENERATION OR TWO.  WHICH CHANGES HAVE BEEN THE MOST SIGNIFICANT? DO YOU HAVE AN OPINION ON WHAT FURTHER CHANGES WILL TAKE PLACE OVER THE NEXT GENERATION?
sw10utt/sw_1027_3463.utt,3/sw3463,3463,21,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,A,15,2,"I, I think you do see more and more women out there in politics, too, as mayors","(ROOT (S (LS i) (, ,) (FW i) (VP (VBP think) (SBAR (S (NP (PRP you)) (VP (VB do) (VP (VB see) (NP (JJR more) (CC and) (RBR more) (NNS women)) (ADVP (IN out) (RB there)) (PP (IN in) (NP (NNS politics))) (, ,) (ADVP (RB too)) (, ,) (PP (IN as) (NP (NNS mayors))))))))))",WOMEN'S_ROLES,DISCUSS THE CHANGES IN THE ROLES OF WOMEN IN AMERICAN SOCIETY OVER THE PAST GENERATION OR TWO.  WHICH CHANGES HAVE BEEN THE MOST SIGNIFICANT? DO YOU HAVE AN OPINION ON WHAT FURTHER CHANGES WILL TAKE PLACE OVER THE NEXT GENERATION?
