swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,act_label_1,act_label_2,act_label_relation,caller,utterance_index,subutterance_index,clean_text,parse_tree,topic_description,prompt
sw01utt/sw_0166_4519.utt,4/sw4519,4519,0,o^t,Other,,,A,1,1,Your turn.,(ROOT (NP (NP (PRP$ your) (NN turn)) (. .))),FAMILY_FINANCE,DOES YOUR FAMILY KEEP A MONTHLY BUDGETCAN YOU GIVE A GENERAL DESCRIPTION OF YOUR PROCEDURES
sw01utt/sw_0166_4519.utt,4/sw4519,4519,6,qo,Info-request:Open-Question,,,B,2,6,"Uh, about yourself ?","(ROOT (FRAG (INTJ (UH uh)) (, ,) (PP (IN about) (NP (PRP yourself))) (. ?)))",FAMILY_FINANCE,DOES YOUR FAMILY KEEP A MONTHLY BUDGETCAN YOU GIVE A GENERAL DESCRIPTION OF YOUR PROCEDURES
sw01utt/sw_0166_4519.utt,4/sw4519,4519,11,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,3,5,We just sort of invest the money and go on vacations and always never seem to have any money problems which I guess is a comfortable thing.,(ROOT (S (NP (PRP we)) (ADVP (RB just)) (VP (VP (ADVP (NN sort) (IN of)) (VB invest) (NP (DT the) (NN money))) (CC and) (VP (VP (VB go) (PP (IN on) (NP (NNS vacations)))) (CC and) (S (ADVP (RB always)) (ADVP (RB never)) (VP (VBP seem) (S (VP (TO to) (VP (VB have) (NP (NP (DT any) (NN money) (NNS problems)) (SBAR (WHNP (WDT which)) (S (NP (FW i) (NP (NN guess))) (VP (VBZ is) (NP (DT a) (JJ comfortable) (NN thing)))))))))) (. .)))))),FAMILY_FINANCE,DOES YOUR FAMILY KEEP A MONTHLY BUDGETCAN YOU GIVE A GENERAL DESCRIPTION OF YOUR PROCEDURES
sw01utt/sw_0166_4519.utt,4/sw4519,4519,14,bf,Backwards-Communicative-Function:Understanding:Summarize/reformulate,,,B,4,3,"you know. You stay within your, uh",(ROOT (S (NP (PRP you)) (VP (VBP know)) (. .))),FAMILY_FINANCE,DOES YOUR FAMILY KEEP A MONTHLY BUDGETCAN YOU GIVE A GENERAL DESCRIPTION OF YOUR PROCEDURES
sw01utt/sw_0166_4519.utt,4/sw4519,4519,16,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,5,2,but we,(ROOT (FRAG (CC but) (NP (PRP we)))),FAMILY_FINANCE,DOES YOUR FAMILY KEEP A MONTHLY BUDGETCAN YOU GIVE A GENERAL DESCRIPTION OF YOUR PROCEDURES
sw01utt/sw_0166_4519.utt,4/sw4519,4519,17,+,Other:Segment-(multi-utterance),,,B,6,1,within your means.,(ROOT (FRAG (PP (IN within) (NP (PRP$ your) (NNS means))) (. .))),FAMILY_FINANCE,DOES YOUR FAMILY KEEP A MONTHLY BUDGETCAN YOU GIVE A GENERAL DESCRIPTION OF YOUR PROCEDURES
sw01utt/sw_0166_4519.utt,4/sw4519,4519,19,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,7,2,It just sort of happens automatically.,(ROOT (S (S (NP (PRP it)) (NP (NP (RB just) (NN sort)) (PP (IN of) (S (VP (VBZ happens) (ADVP (RB automatically))))))) (. .))),FAMILY_FINANCE,DOES YOUR FAMILY KEEP A MONTHLY BUDGETCAN YOU GIVE A GENERAL DESCRIPTION OF YOUR PROCEDURES
sw01utt/sw_0166_4519.utt,4/sw4519,4519,20,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,B,8,1,Yeah.,(ROOT (NP (NN yeah) (. .))),FAMILY_FINANCE,DOES YOUR FAMILY KEEP A MONTHLY BUDGETCAN YOU GIVE A GENERAL DESCRIPTION OF YOUR PROCEDURES
sw01utt/sw_0166_4519.utt,4/sw4519,4519,22,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,9,2,"and, uh, the cost of living here in California is, uh, I would say rather pathological.","(ROOT (S (CC and) (, ,) (INTJ (UH uh)) (, ,) (NP (NP (DT the) (NN cost)) (PP (IN of) (S (VP (VBG living) (ADVP (RB here)) (PP (IN in) (NP (NN california))))))) (VP (VBZ is) (, ,) (SBAR (S (INTJ (UH uh)) (, ,) (NP (FW i)) (VP (MD would) (VP (VB say) (ADJP (RB rather) (JJ pathological)))) (. .))))))",FAMILY_FINANCE,DOES YOUR FAMILY KEEP A MONTHLY BUDGETCAN YOU GIVE A GENERAL DESCRIPTION OF YOUR PROCEDURES
sw01utt/sw_0166_4519.utt,4/sw4519,4519,23,aa,Backwards-Communicative-Function:Agreement:Accept,,,B,10,1,Yes.,(ROOT (ADVP (RB yes) (. .))),FAMILY_FINANCE,DOES YOUR FAMILY KEEP A MONTHLY BUDGETCAN YOU GIVE A GENERAL DESCRIPTION OF YOUR PROCEDURES
sw01utt/sw_0166_4519.utt,4/sw4519,4519,24,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,11,1,"Uh, housing prices are, you know, like from four to ten times more expensive than, uh, uh, they were where I came from in, uh, Dallas.","(ROOT (SBARQ (INTJ (UH uh)) (PRN (, ,) (S (NP (NN housing) (NNS prices)) (VP (VBP are))) (, ,)) (SBAR (S (S (NP (PRP you)) (VP (VBP know))) (, ,) (S (IN like) (QP (IN from) (CD four) (TO to) (CD ten) (NNS times) (RBR more) (JJ expensive)) (IN than) (, ,) (INTJ (UH uh)) (, ,) (INTJ (UH uh)) (, ,) (NP (PRP they)) (VP (VBD were) (SBAR (WHADVP (WRB where)) (S (FW i) (VP (VBD came) (VP (IN from) (IN in) (, ,) (NP (INTJ (UH uh)) (, ,) (NP (NNS dallas)))))))) (. .))))))",FAMILY_FINANCE,DOES YOUR FAMILY KEEP A MONTHLY BUDGETCAN YOU GIVE A GENERAL DESCRIPTION OF YOUR PROCEDURES
sw01utt/sw_0166_4519.utt,4/sw4519,4519,25,bf,Backwards-Communicative-Function:Understanding:Summarize/reformulate,,,B,12,1,"Oh, you moved from Dallas to San Francisco.","(ROOT (S (INTJ (UH oh)) (, ,) (NP (PRP you)) (VP (VBD moved) (PP (PP (IN from) (NP (NNS dallas))) (VP (TO to) (VP (VB san) (NP (NN francisco)))))) (. .)))",FAMILY_FINANCE,DOES YOUR FAMILY KEEP A MONTHLY BUDGETCAN YOU GIVE A GENERAL DESCRIPTION OF YOUR PROCEDURES
sw01utt/sw_0166_4519.utt,4/sw4519,4519,27,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,13,2,"So, uh","(ROOT (FRAG (ADVP (RB so)) (, ,) (INTJ (UH uh))))",FAMILY_FINANCE,DOES YOUR FAMILY KEEP A MONTHLY BUDGETCAN YOU GIVE A GENERAL DESCRIPTION OF YOUR PROCEDURES
sw01utt/sw_0166_4519.utt,4/sw4519,4519,28,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,B,14,1,That is a hugh difference.,(ROOT (S (NP (DT that)) (VP (VBZ is) (NP (DT a) (NN hugh) (NN difference))) (. .))),FAMILY_FINANCE,DOES YOUR FAMILY KEEP A MONTHLY BUDGETCAN YOU GIVE A GENERAL DESCRIPTION OF YOUR PROCEDURES
sw01utt/sw_0166_4519.utt,4/sw4519,4519,29,+,Other:Segment-(multi-utterance),,,A,15,1,"uh, that presents a, a real shock.","(ROOT (S (INTJ (UH uh)) (, ,) (NP (IN that)) (VP (VBZ presents) (NP (NP (DT a)) (, ,) (NP (DT a) (JJ real) (NN shock)) (. .)))))",FAMILY_FINANCE,DOES YOUR FAMILY KEEP A MONTHLY BUDGETCAN YOU GIVE A GENERAL DESCRIPTION OF YOUR PROCEDURES
sw01utt/sw_0166_4519.utt,4/sw4519,4519,30,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,B,16,1,Yeah.,(ROOT (NP (NN yeah) (. .))),FAMILY_FINANCE,DOES YOUR FAMILY KEEP A MONTHLY BUDGETCAN YOU GIVE A GENERAL DESCRIPTION OF YOUR PROCEDURES
sw01utt/sw_0166_4519.utt,4/sw4519,4519,32,%,Communicative-Status:Uninterpretable,,,A,17,2,but,(ROOT (CC but)),FAMILY_FINANCE,DOES YOUR FAMILY KEEP A MONTHLY BUDGETCAN YOU GIVE A GENERAL DESCRIPTION OF YOUR PROCEDURES
sw01utt/sw_0166_4519.utt,4/sw4519,4519,34,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,B,18,2,and it's a beautiful place to live.,(ROOT (S (CC and) (S (NP (PRP it)) (VP (VBZ 's) (NP (NP (DT a) (JJ beautiful) (NN place)) (SBAR (S (VP (TO to) (VP (VB live)))))))) (. .))),FAMILY_FINANCE,DOES YOUR FAMILY KEEP A MONTHLY BUDGETCAN YOU GIVE A GENERAL DESCRIPTION OF YOUR PROCEDURES
sw01utt/sw_0166_4519.utt,4/sw4519,4519,36,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,A,19,2,It's God's country.,(ROOT (S (NP (PRP it)) (VP (VBZ 's) (NP (NP (NN god) (POS 's)) (NN country))) (. .))),FAMILY_FINANCE,DOES YOUR FAMILY KEEP A MONTHLY BUDGETCAN YOU GIVE A GENERAL DESCRIPTION OF YOUR PROCEDURES
sw01utt/sw_0166_4519.utt,4/sw4519,4519,37,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,B,20,1,Yeah.,(ROOT (NP (NN yeah) (. .))),FAMILY_FINANCE,DOES YOUR FAMILY KEEP A MONTHLY BUDGETCAN YOU GIVE A GENERAL DESCRIPTION OF YOUR PROCEDURES
sw01utt/sw_0166_4519.utt,4/sw4519,4519,38,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,A,21,1,"Uh, and one way you know that is that only God can afford it.","(ROOT (S (NP (NP (INTJ (UH uh)) (, ,) (CC and) (CD one) (NN way)) (SBAR (S (NP (PRP you)) (VP (VBP know) (NP (DT that)))))) (VP (VBZ is) (SBAR (IN that) (S (NP (RB only) (NN god)) (VP (MD can) (VP (VB afford) (NP (PRP it))))))) (. .)))",FAMILY_FINANCE,DOES YOUR FAMILY KEEP A MONTHLY BUDGETCAN YOU GIVE A GENERAL DESCRIPTION OF YOUR PROCEDURES
sw01utt/sw_0166_4519.utt,4/sw4519.pos,4519,39,x@,Communicative-Status:Non-verbal,,,B,22,1,.,(ROOT (. .)),FAMILY_FINANCE,DOES YOUR FAMILY KEEP A MONTHLY BUDGETCAN YOU GIVE A GENERAL DESCRIPTION OF YOUR PROCEDURES
sw01utt/sw_0166_4519.utt,4/sw4519,4519,44,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,23,5,"When I, uh, was in, uh, undergraduate school a long, long time ago, I, uh, noted that the monthly salary, starting average monthly salary salary for engineers that, you know, in my discipline, was like oh, six hundred ten dollars a month or something like that.","(ROOT (SBAR (WHADVP (WRB when)) (S (FW i) (, ,) (INTJ (UH uh)) (, ,) (S (VP (VBD was) (ADVP (IN in))) (, ,) (S (INTJ (UH uh)) (, ,) (NP (JJ undergraduate) (NN school)) (ADVP (NP (DT a) (RB long) (, ,) (JJ long) (NN time)) (RB ago)) (, ,) (FW i) (, ,) (INTJ (UH uh)) (, ,) (VP (VBD noted) (SBAR (IN that) (S (NP (NP (DT the) (JJ monthly) (NN salary)) (, ,) (VP (VBG starting) (NP (NP (JJ average) (JJ monthly) (NN salary) (NN salary)) (PP (IN for) (NP (NP (NNS engineers)) (SBAR (S (WHNP (IN that)) (, ,) (NP (PRP you)) (VP (VBP know)))))))) (, ,) (PP (IN in) (NP (PRP$ my) (NN discipline))) (, ,)) (VP (VBD was) (PP (IN like) (UCP (INTJ (UH oh)) (, ,) (NP (NP (NP (QP (CD six) (CD hundred) (CD ten)) (NNS dollars)) (NP (DT a) (NN month))) (CC or) (NP (NP (NN something)) (PP (IN like) (NP (DT that))))))))))) (. .))))))",FAMILY_FINANCE,DOES YOUR FAMILY KEEP A MONTHLY BUDGETCAN YOU GIVE A GENERAL DESCRIPTION OF YOUR PROCEDURES
sw01utt/sw_0166_4519.utt,4/sw4519,4519,45,b@,Backwards-Communicative-Function:Understanding:Acknowledge,,,B,24,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),FAMILY_FINANCE,DOES YOUR FAMILY KEEP A MONTHLY BUDGETCAN YOU GIVE A GENERAL DESCRIPTION OF YOUR PROCEDURES
sw01utt/sw_0166_4519.utt,4/sw4519,4519,47,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,25,2,So I stopped worrying about money.,(ROOT (S (ADVP (RB so) (FW i)) (VP (VBD stopped) (S (VP (VBG worrying) (PP (IN about) (NP (NN money)))))) (. .))),FAMILY_FINANCE,DOES YOUR FAMILY KEEP A MONTHLY BUDGETCAN YOU GIVE A GENERAL DESCRIPTION OF YOUR PROCEDURES
