swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,act_label_1,act_label_2,act_label_relation,caller,utterance_index,subutterance_index,clean_text,parse_tree,topic_description,prompt
sw05utt/sw_0592_2533.utt,2/sw2533,2533,1,qw,Info-request:Wh-Question,,,A,1,2,what baseball team are you familiar with ?,(ROOT (SBARQ (WHNP (WDT what) (NN baseball) (NN team)) (SQ (VBP are) (NP (PRP you)) (ADJP (JJ familiar) (PP (IN with)))) (. ?))),BASEBALL,FIND OUT THE OTHER CALLER'S FAVORITE PRO BASEBALL TEAM AND WHERE IT'S HEADED THIS YEAR.  DO YOU AGREE WITH THE CALLER'S PREDICTION?
sw05utt/sw_0592_2533.utt,2/sw2533,2533,2,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,2,1,"Well, I'm only a little bit familiar with the Red Sox because I lived up in Boston for a while","(ROOT (S (ADVP (RB well)) (, ,) (FW i) (VP (VBP 'm) (NP (NP (RB only) (DT a) (JJ little) (NN bit)) (ADJP (JJ familiar) (PP (IN with) (NP (DT the) (JJ red) (NN sox))))) (SBAR (IN because) (S (NP (FW i)) (VP (VBD lived) (PRT (RP up)) (PP (IN in) (NP (NN boston))) (PP (IN for) (NP (DT a) (NN while)))))))))",BASEBALL,FIND OUT THE OTHER CALLER'S FAVORITE PRO BASEBALL TEAM AND WHERE IT'S HEADED THIS YEAR.  DO YOU AGREE WITH THE CALLER'S PREDICTION?
sw05utt/sw_0592_2533.utt,2/sw2533,2533,3,bh,Backwards-Communicative-Function:Understanding:Backchannel-in-question-form,,,A,3,1,Really ?,(ROOT (FRAG (ADVP (RB really)) (. ?))),BASEBALL,FIND OUT THE OTHER CALLER'S FAVORITE PRO BASEBALL TEAM AND WHERE IT'S HEADED THIS YEAR.  DO YOU AGREE WITH THE CALLER'S PREDICTION?
sw05utt/sw_0592_2533.utt,2/sw2533,2533,4,%,Communicative-Status:Uninterpretable,,,B,4,1,"and, um, and that's","(ROOT (S (S (NP (CC and) (, ,) (NP (NN um)) (, ,))) (CC and) (S (NP (DT that)) (VP (VBZ 's)))))",BASEBALL,FIND OUT THE OTHER CALLER'S FAVORITE PRO BASEBALL TEAM AND WHERE IT'S HEADED THIS YEAR.  DO YOU AGREE WITH THE CALLER'S PREDICTION?
sw05utt/sw_0592_2533.utt,2/sw2533,2533,6,qy,Info-request:Yes-No-Question,,,A,5,2,no Texas Rangers ?,(ROOT (FRAG (NP (DT no) (NNS texas) (NNS rangers)) (. ?))),BASEBALL,FIND OUT THE OTHER CALLER'S FAVORITE PRO BASEBALL TEAM AND WHERE IT'S HEADED THIS YEAR.  DO YOU AGREE WITH THE CALLER'S PREDICTION?
sw05utt/sw_0592_2533.utt,2/sw2533,2533,7,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,6,1,"after that, if you asked me that I wouldn't have been able to tell you if that was football or baseball.","(ROOT (FRAG (PP (IN after) (NP (DT that))) (, ,) (SBAR (IN if) (S (NP (PRP you)) (VP (VBD asked) (NP (PRP me)) (SBAR (IN that) (S (NP (FW i)) (VP (MD would) (RB n't) (VP (VB have) (VP (VBN been) (ADJP (JJ able) (S (VP (TO to) (VP (VB tell) (NP (PRP you)) (SBAR (IN if) (S (NP (DT that)) (VP (VBD was) (NP (NP (NN football)) (CC or) (NP (NN baseball)))))))))))))))))) (. .)))",BASEBALL,FIND OUT THE OTHER CALLER'S FAVORITE PRO BASEBALL TEAM AND WHERE IT'S HEADED THIS YEAR.  DO YOU AGREE WITH THE CALLER'S PREDICTION?
sw05utt/sw_0592_2533.utt,2/sw2533,2533,14,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,7,7,"I heard a joke on the radio yesterday that, in regard that he didn't design the patriot missile system","(ROOT (FRAG (LS i) (S (VP (VBD heard) (NP (NP (DT a) (NN joke)) (PP (IN on) (NP (DT the) (NN radio)))) (NP (NN yesterday)) (SBAR (IN that) (, ,) (UCP (PP (IN in) (NP (NP (NN regard)) (SBAR (WHNP (IN that)) (S (NP (PRP he)) (VP (VBD did) (RB n't) (VP (VB design) (NP (DT the) (NN patriot) (NN missile) (NN system))))))))))))))",BASEBALL,FIND OUT THE OTHER CALLER'S FAVORITE PRO BASEBALL TEAM AND WHERE IT'S HEADED THIS YEAR.  DO YOU AGREE WITH THE CALLER'S PREDICTION?
sw05utt/sw_0592_2533.utt,2/sw2533.pos,2533,15,x,Communicative-Status:Non-verbal,,,B,8,1,.,(ROOT (. .)),BASEBALL,FIND OUT THE OTHER CALLER'S FAVORITE PRO BASEBALL TEAM AND WHERE IT'S HEADED THIS YEAR.  DO YOU AGREE WITH THE CALLER'S PREDICTION?
sw05utt/sw_0592_2533.utt,2/sw2533,2533,19,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,A,9,4,I don't care if you're President.,(ROOT (S (VP (LS i) (S (VP (VBP do) (RB n't) (VP (VB care) (SBAR (IN if) (S (NP (PRP you)) (VP (VBP 're) (NP (NN president))))))))) (. .))),BASEBALL,FIND OUT THE OTHER CALLER'S FAVORITE PRO BASEBALL TEAM AND WHERE IT'S HEADED THIS YEAR.  DO YOU AGREE WITH THE CALLER'S PREDICTION?
sw05utt/sw_0592_2533.utt,2/sw2533,2533,22,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,10,3,I couldn't do it.,(ROOT (S (S (LST (LS i)) (VP (MD could) (RB n't) (VP (VB do) (NP (PRP it))))) (. .))),BASEBALL,FIND OUT THE OTHER CALLER'S FAVORITE PRO BASEBALL TEAM AND WHERE IT'S HEADED THIS YEAR.  DO YOU AGREE WITH THE CALLER'S PREDICTION?
sw05utt/sw_0592_2533.utt,2/sw2533,2533,26,qy^g,Info-request:Yes-No-Question,,,A,11,4,"men know how to do that, right ?","(ROOT (S (NP (NNS men)) (VP (VBP know) (NP (SBAR (WHADVP (WRB how)) (S (VP (TO to) (VP (VB do) (NP (DT that)))))) (, ,) (NN right))) (. ?)))",BASEBALL,FIND OUT THE OTHER CALLER'S FAVORITE PRO BASEBALL TEAM AND WHERE IT'S HEADED THIS YEAR.  DO YOU AGREE WITH THE CALLER'S PREDICTION?
sw05utt/sw_0592_2533.utt,2/sw2533,2533,28,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,B,12,2,he's supposed to be able to do that.,(ROOT (S (NP (PRP he)) (VP (VBZ 's) (VP (VBN supposed) (S (VP (TO to) (VP (VB be) (ADJP (JJ able) (S (VP (TO to) (VP (VB do) (NP (DT that))))))))))) (. .))),BASEBALL,FIND OUT THE OTHER CALLER'S FAVORITE PRO BASEBALL TEAM AND WHERE IT'S HEADED THIS YEAR.  DO YOU AGREE WITH THE CALLER'S PREDICTION?
sw05utt/sw_0592_2533.utt,2/sw2533,2533,33,%,Communicative-Status:Uninterpretable,,,A,13,5,"a major owner of our t-, of the team here.","(ROOT (NP (NP (NP (NP (DT a) (JJ major) (NN owner)) (PP (IN of) (NP (PRP$ our) (NN t)))) (: -) (, ,) (PP (IN of) (NP (NP (DT the) (NN team)) (ADVP (RB here))))) (. .)))",BASEBALL,FIND OUT THE OTHER CALLER'S FAVORITE PRO BASEBALL TEAM AND WHERE IT'S HEADED THIS YEAR.  DO YOU AGREE WITH THE CALLER'S PREDICTION?
sw05utt/sw_0592_2533.utt,2/sw2533,2533,35,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,14,2,I didn't know that.,(ROOT (S (LST (LS i)) (VP (VBD did) (RB n't) (VP (VB know) (NP (DT that)))) (. .))),BASEBALL,FIND OUT THE OTHER CALLER'S FAVORITE PRO BASEBALL TEAM AND WHERE IT'S HEADED THIS YEAR.  DO YOU AGREE WITH THE CALLER'S PREDICTION?
sw05utt/sw_0592_2533.utt,2/sw2533,2533,40,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,15,5,"because that's all you hear about is, if, you know, about Neal Bush I think is his name.","(ROOT (S (SBAR (IN because) (S (NP (DT that)) (VP (VBZ 's) (NP (NP (DT all)) (SBAR (S (NP (PRP you)) (VP (VBP hear) (S (VP (RB about) (VBZ is) (, ,) (S (IN if) (, ,) (NP (PRP you)) (VP (VBP know))) (, ,) (PP (IN about) (NP (NN neal) (NN bush) (FW i))) (VP (VBP think))))))))))) (VP (VBZ is) (NP (PRP$ his) (NN name))) (. .)))",BASEBALL,FIND OUT THE OTHER CALLER'S FAVORITE PRO BASEBALL TEAM AND WHERE IT'S HEADED THIS YEAR.  DO YOU AGREE WITH THE CALLER'S PREDICTION?
sw05utt/sw_0592_2533.utt,2/sw2533,2533,41,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,B,16,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),BASEBALL,FIND OUT THE OTHER CALLER'S FAVORITE PRO BASEBALL TEAM AND WHERE IT'S HEADED THIS YEAR.  DO YOU AGREE WITH THE CALLER'S PREDICTION?
sw05utt/sw_0592_2533.utt,2/sw2533,2533,43,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,17,2,"and I never had to watch the news not, you know, not like some people hour and a half a day or anything.","(ROOT (QP (CC and) (S (VP (FW i) (ADVP (RB never)) (VP (VBD had) (S (VP (TO to) (VP (VB watch) (NP (DT the) (NN news)) (RB not))))) (, ,) (FRAG (SBAR (S (NP (PRP you)) (VP (VBP know)))) (, ,) (PP (RB not) (IN like) (NP (NP (NP (NP (NP (DT some) (NNS people)) (NP (NN hour))) (CC and) (NP (DT a) (NN half))) (NP (DT a) (NN day))) (CC or) (NP (NN anything)))) (. .))))))",BASEBALL,FIND OUT THE OTHER CALLER'S FAVORITE PRO BASEBALL TEAM AND WHERE IT'S HEADED THIS YEAR.  DO YOU AGREE WITH THE CALLER'S PREDICTION?
sw05utt/sw_0592_2533.utt,2/sw2533,2533,47,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,18,4,and so if I've been watching the French news,(ROOT (QP (CC and) (SBAR (RB so) (IN if) (S (FW i) (VP (VBP 've) (VP (VBN been) (VP (VBG watching) (NP (DT the) (JJ french) (NN news))))))))),BASEBALL,FIND OUT THE OTHER CALLER'S FAVORITE PRO BASEBALL TEAM AND WHERE IT'S HEADED THIS YEAR.  DO YOU AGREE WITH THE CALLER'S PREDICTION?
sw05utt/sw_0592_2533.utt,2/sw2533,2533,48,%,Communicative-Status:Uninterpretable,,,A,19,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),BASEBALL,FIND OUT THE OTHER CALLER'S FAVORITE PRO BASEBALL TEAM AND WHERE IT'S HEADED THIS YEAR.  DO YOU AGREE WITH THE CALLER'S PREDICTION?
sw05utt/sw_0592_2533.utt,2/sw2533,2533,51,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,20,3,"speaking of Bush, we're going to get a little off topic but speaking of Bush, they that had a story where he went to visit some little, uh, elementary school students, and stuff.","(ROOT (FRAG (NP (NP (NN speaking)) (PP (IN of) (NP (NN bush)))) (, ,) (S (NP (PRP we)) (VP (VP (VBP 're) (VP (VBG going) (S (VP (TO to) (VP (VB get) (NP (NP (DT a) (JJ little)) (PP (RP off) (NP (NN topic))))))))) (CC but) (VP (NN speaking) (PP (IN of) (NP (NN bush)))))) (, ,) (NP (NP (NP (PRP they)) (SBAR (WHNP (WDT that)) (S (VP (VBD had) (NP (NP (DT a) (NN story)) (SBAR (WHADVP (WRB where)) (S (NP (PRP he)) (VP (VBD went) (S (VP (TO to) (VP (VB visit) (NP (DT some) (JJ little))))))))))))) (, ,) (UH uh) (, ,) (NP (JJ elementary) (NN school) (NNS students)) (, ,) (CC and) (NP (NN stuff))) (. .)))",BASEBALL,FIND OUT THE OTHER CALLER'S FAVORITE PRO BASEBALL TEAM AND WHERE IT'S HEADED THIS YEAR.  DO YOU AGREE WITH THE CALLER'S PREDICTION?
sw05utt/sw_0592_2533.utt,2/sw2533,2533,52,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,21,1,"Oh, I saw that.","(ROOT (S (INTJ (UH oh)) (, ,) (NP (FW i)) (VP (VBD saw) (NP (DT that))) (. .)))",BASEBALL,FIND OUT THE OTHER CALLER'S FAVORITE PRO BASEBALL TEAM AND WHERE IT'S HEADED THIS YEAR.  DO YOU AGREE WITH THE CALLER'S PREDICTION?
