swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,act_label_1,act_label_2,act_label_relation,caller,utterance_index,subutterance_index,clean_text,parse_tree,topic_description,prompt
sw00utt/sw_0035_4372.utt,4/sw4372,4372,3,qy,Info-request:Yes-No-Question,,,B,1,4,Is Pennsylvania kind of out of line there ?,(ROOT (SBARQ (SQ (VBZ is) (NP (NP (NN pennsylvania) (NN kind)) (PP (IN of) (NP (VP (PP (IN out) (PP (IN of) (NP (NN line)))) (ADVP (RB there))))))) (. ?))),TAXES,TALK ABOUT WHETHER AMERICANSY
sw00utt/sw_0035_4372.utt,4/sw4372,4372,8,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,2,5,"You are legal in, in your circumvention of that law.","(ROOT (S (NP (PRP you)) (VP (VBP are) (ADJP (JJ legal)) (FRAG (IN in) (, ,) (PP (IN in) (NP (NP (PRP$ your) (NN circumvention)) (PP (IN of) (NP (DT that) (NN law))))) (. .)))))",TAXES,TALK ABOUT WHETHER AMERICANSY
sw00utt/sw_0035_4372.utt,4/sw4372,4372,10,qw,Info-request:Wh-Question,,,B,3,2,"I mean what if you don't even realize that you're subject to paying, uh, income tax on something that you purchase mail order ?","(ROOT (S (VP (FW i) (S (VP (VB mean) (SBAR (WHNP (WP what)) (IN if) (S (NP (PRP you)) (VP (VBP do) (RB n't) (ADVP (RB even)) (VP (VB realize) (SBAR (IN that) (S (NP (PRP you)) (VP (VBP 're) (ADJP (JJ subject) (PP (TO to) (S (VP (VBG paying) (, ,) (FRAG (INTJ (UH uh)) (, ,) (NP (NP (NN income) (NN tax)) (PP (IN on) (NP (NP (NN something)) (SBAR (WHNP (IN that)) (S (NP (PRP you)) (VP (VBP purchase) (NP (NN mail) (NN order))))))))))))))))))))))) (. ?)))",TAXES,TALK ABOUT WHETHER AMERICANSY
sw00utt/sw_0035_4372.utt,4/sw4372,4372,16,qh,Rhetorical-Questions,,,A,4,6,"why should an individual just because it's, just because the state can't really find out about it, be able to avoid paying sales tax ?","(ROOT (FRAG (SBAR (WHADVP (WRB why)) (S (SQ (MD should) (NP (DT an) (JJ individual)) (SBAR (RB just) (IN because) (S (NP (PRP it)) (VP (VBZ 's))))) (, ,) (SBAR (ADVP (RB just)) (IN because) (S (NP (DT the) (NN state)) (VP (MD ca) (RB n't) (ADVP (RB really)) (VP (VB find) (PRT (RP out)) (PP (IN about) (NP (PRP it))))))) (, ,) (VP (VB be) (ADJP (JJ able) (S (VP (TO to) (VP (VB avoid) (S (VP (VBG paying) (NP (NNS sales) (NN tax))))))))))) (. ?)))",TAXES,TALK ABOUT WHETHER AMERICANSY
sw00utt/sw_0035_4372.utt,4/sw4372,4372,18,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,5,2,"It's because, I'm sorry, the Commonwealth of Pennsylvania.","(ROOT (S (NP (PRP it)) (VP (VBZ 's) (ADJP (RB because) (, ,) (FW i)) (VP (VBP 'm) (ADJP (JJ sorry))) (, ,) (NP (NP (DT the) (NN commonwealth)) (PP (IN of) (NP (NN pennsylvania))))) (. .)))",TAXES,TALK ABOUT WHETHER AMERICANSY
sw00utt/sw_0035_4372.utt,4/sw4372,4372,19,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,6,1,Yes.,(ROOT (ADVP (RB yes) (. .))),TAXES,TALK ABOUT WHETHER AMERICANSY
sw00utt/sw_0035_4372.utt,4/sw4372,4372,23,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,B,7,4,"I don't, I don't think that that's my responsibility as a, as a conscientious consumer.","(ROOT (S (VP (LS i) (S (VP (VBP do) (RB n't) (S (, ,) (NP (FW i)) (VP (VBP do) (RB n't) (VP (VB think) (SBAR (IN that) (S (NP (DT that)) (VP (VBZ 's) (NP (NP (PRP$ my) (NN responsibility)) (PP (IN as) (NP (DT a)))) (, ,) (PP (IN as) (NP (DT a) (JJ conscientious) (NN consumer)))))))) (. .)))))))",TAXES,TALK ABOUT WHETHER AMERICANSY
sw00utt/sw_0035_4372.utt,4/sw4372,4372,25,qh,Rhetorical-Questions,,,A,8,2,"but, b-, is it also legal","(ROOT (SQ (S (FRAG (CC but) (PRN (, ,) (SYM b) (: -)))) (, ,) (VBZ is) (NP (PRP it)) (ADVP (RB also)) (ADJP (JJ legal))))",TAXES,TALK ABOUT WHETHER AMERICANSY
sw00utt/sw_0035_4372.utt,4/sw4372.pos,4372,26,x,Communicative-Status:Non-verbal,,,B,9,1,.,(ROOT (. .)),TAXES,TALK ABOUT WHETHER AMERICANSY
sw00utt/sw_0035_4372.utt,4/sw4372,4372,31,qy,Info-request:Yes-No-Question,,,A,10,5,"With some, with something like that, d, do your arguments still apply ?","(ROOT (S (S (PP (IN with) (NP (DT some))) (, ,) (PP (IN with) (NP (NP (NP (NN something)) (PP (IN like) (NP (DT that)))) (, ,) (NP (NN d)) (, ,))) (VP (VB do) (NP (PRP$ your) (NNS arguments)) (ADVP (RB still)) (VP (VB apply)))) (. ?)))",TAXES,TALK ABOUT WHETHER AMERICANSY
