swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,act_label_1,act_label_2,act_label_relation,caller,utterance_index,subutterance_index,clean_text,parse_tree,topic_description,prompt
sw09utt/sw_0950_3221.utt,3/sw3221,3221,0,sd^t,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,1,1,"So, the ques-, the question had something to do with usage of personal computers, um.","(ROOT (S (S (ADVP (RB so)) (, ,) (NP (DT the) (NNS ques)) (VP (: -))) (, ,) (NP (DT the) (NN question)) (VP (VBD had) (NP (NP (NN something)) (SBAR (S (VP (TO to) (VP (VB do) (PP (IN with) (NP (NP (NN usage)) (PP (IN of) (NP (NP (JJ personal) (NNS computers)) (, ,) (NP (NN um)))))))))))) (. .)))",COMPUTERS,FIND OUT THE OTHER CALLERS' PREFERENCE AND LEVEL OF INTEREST IN PERSONAL COMPUTERS.  HOW DOES IT COMPARE TO YOUR INTEREST AND PREFERENCE?
sw09utt/sw_0950_3221.utt,3/sw3221,3221,2,sd^t,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,2,2,"we are, we are talking about computers this morning.","(ROOT (S (S (NP (PRP we)) (VP (VBP are))) (, ,) (S (NP (PRP we)) (VP (VBP are) (VP (VBG talking) (PP (IN about) (NP (NNS computers))) (NP (DT this) (NN morning))))) (. .)))",COMPUTERS,FIND OUT THE OTHER CALLERS' PREFERENCE AND LEVEL OF INTEREST IN PERSONAL COMPUTERS.  HOW DOES IT COMPARE TO YOUR INTEREST AND PREFERENCE?
sw09utt/sw_0950_3221.utt,3/sw3221,3221,4,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,3,2,I'm sitting at my desk now with four machines in front of me.,(ROOT (S (VP (LS i) (S (VP (VBP 'm) (VP (VBG sitting) (PP (IN at) (NP (PRP$ my) (NN desk))) (ADVP (RB now)) (PP (IN with) (NP (NP (CD four) (NNS machines)) (PP (IN in) (NP (NP (NN front)) (PP (IN of) (NP (PRP me))))))))))) (. .))),COMPUTERS,FIND OUT THE OTHER CALLERS' PREFERENCE AND LEVEL OF INTEREST IN PERSONAL COMPUTERS.  HOW DOES IT COMPARE TO YOUR INTEREST AND PREFERENCE?
sw09utt/sw_0950_3221.utt,3/sw3221,3221,7,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,4,3,"I have a, a Zenith here","(ROOT (S (LST (LS i)) (VP (VBP have) (UCP (DT a) (, ,) (NP (NP (DT a) (NN zenith)) (ADVP (RB here)))))))",COMPUTERS,FIND OUT THE OTHER CALLERS' PREFERENCE AND LEVEL OF INTEREST IN PERSONAL COMPUTERS.  HOW DOES IT COMPARE TO YOUR INTEREST AND PREFERENCE?
sw09utt/sw_0950_3221.utt,3/sw3221,3221,8,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,B,5,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),COMPUTERS,FIND OUT THE OTHER CALLERS' PREFERENCE AND LEVEL OF INTEREST IN PERSONAL COMPUTERS.  HOW DOES IT COMPARE TO YOUR INTEREST AND PREFERENCE?
sw09utt/sw_0950_3221.utt,3/sw3221,3221,9,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,6,1,and at home I have a Commodore,(ROOT (S (NP (UCP (CC and) (PP (IN at) (NP (NN home))) (FW i))) (VP (VBP have) (NP (DT a) (NN commodore))))),COMPUTERS,FIND OUT THE OTHER CALLERS' PREFERENCE AND LEVEL OF INTEREST IN PERSONAL COMPUTERS.  HOW DOES IT COMPARE TO YOUR INTEREST AND PREFERENCE?
sw09utt/sw_0950_3221.utt,3/sw3221,3221,10,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,B,7,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),COMPUTERS,FIND OUT THE OTHER CALLERS' PREFERENCE AND LEVEL OF INTEREST IN PERSONAL COMPUTERS.  HOW DOES IT COMPARE TO YOUR INTEREST AND PREFERENCE?
sw09utt/sw_0950_3221.utt,3/sw3221,3221,12,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,8,2,"and my wife has an A T and T Twelve Hundred, I believe it is.","(ROOT (S (NP (CC and) (S (NP (PRP$ my) (NN wife)) (VP (VBZ has) (NP (DT an) (DT a) (NP (NN t) (CC and) (NP (NN t) (CD twelve) (CD hundred))) (, ,)))) (FW i)) (VP (VBP believe) (SBAR (S (NP (PRP it)) (VP (VBZ is))))) (. .)))",COMPUTERS,FIND OUT THE OTHER CALLERS' PREFERENCE AND LEVEL OF INTEREST IN PERSONAL COMPUTERS.  HOW DOES IT COMPARE TO YOUR INTEREST AND PREFERENCE?
sw09utt/sw_0950_3221.utt,3/sw3221,3221,14,qo,Info-request:Open-Question,,,B,9,2,What do you do with all those ?,(ROOT (SBARQ (WHNP (WP what)) (SQ (VBP do) (NP (PRP you)) (VP (VB do) (PP (IN with) (NP (PDT all) (DT those))))) (. ?))),COMPUTERS,FIND OUT THE OTHER CALLERS' PREFERENCE AND LEVEL OF INTEREST IN PERSONAL COMPUTERS.  HOW DOES IT COMPARE TO YOUR INTEREST AND PREFERENCE?
sw09utt/sw_0950_3221.utt,3/sw3221,3221,16,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,10,2,"I have written some, uh, programs in Basic","(ROOT (SINV (LS i) (VP (VBP have) (VP (VBN written) (FRAG (DT some) (, ,) (INTJ (UH uh)) (, ,) (NP (NP (NNS programs)) (PP (IN in) (NP (JJ basic)))))))))",COMPUTERS,FIND OUT THE OTHER CALLERS' PREFERENCE AND LEVEL OF INTEREST IN PERSONAL COMPUTERS.  HOW DOES IT COMPARE TO YOUR INTEREST AND PREFERENCE?
