swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,act_label_1,act_label_2,act_label_relation,caller,utterance_index,subutterance_index,clean_text,parse_tree,topic_description,prompt
sw04utt/sw_0438_4113.utt,4/sw4113,4113,0,qy,Info-request:Yes-No-Question,,,A,1,1,"Uh, so, do you think our politicians are honest at this point in time ?","(ROOT (SBARQ (INTJ (UH uh)) (, ,) (ADVP (RB so)) (, ,) (SQ (VBP do) (NP (PRP you)) (VP (VB think) (SBAR (S (NP (PRP$ our) (NNS politicians)) (VP (VBP are) (ADJP (JJ honest)) (PP (IN at) (NP (DT this) (NN point))) (PP (IN in) (NP (NN time)))))))) (. ?)))",ETHICS_IN_GOVERNMENT,DO YOU THINK IT IS POSSIBLE TO HAVE AN HONEST GOVERNMENT? ARE MOST POLITICIANS IN GOVERNMENT MORE FOR PERSONAL GAIN OR PUBLIC SERVICE?  HOW MUCH SELF-SERVING ACTIVITY DO YOU THINK GOES ON? IS IT POSSIBLE  TO MAKEBEHAVIOR IN GOVERNMENT ILLEGAL?
sw04utt/sw_0438_4113.utt,4/sw4113,4113,2,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,B,2,2,"Uh, my, my personal opinion is that, uh, the politicians are out for their own good because they, they're entrenched.","(ROOT (S (INTJ (UH uh)) (, ,) (PRP$ my) (, ,) (NP (PRP$ my) (JJ personal) (NN opinion)) (VP (VBZ is) (SBAR (IN that) (, ,) (S (INTJ (UH uh)) (, ,) (NP (DT the) (NNS politicians)) (VP (VBP are) (PP (IN out) (PP (IN for) (NP (PRP$ their) (JJ own)))) (ADJP (JJ good)) (SBAR (IN because) (S (NP (PRP they)) (, ,) (NP (PRP they)) (VP (VBP 're) (ADJP (VBN entrenched))) (. .)))))))))",ETHICS_IN_GOVERNMENT,DO YOU THINK IT IS POSSIBLE TO HAVE AN HONEST GOVERNMENT? ARE MOST POLITICIANS IN GOVERNMENT MORE FOR PERSONAL GAIN OR PUBLIC SERVICE?  HOW MUCH SELF-SERVING ACTIVITY DO YOU THINK GOES ON? IS IT POSSIBLE  TO MAKEBEHAVIOR IN GOVERNMENT ILLEGAL?
sw04utt/sw_0438_4113.utt,4/sw4113,4113,3,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,3,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),ETHICS_IN_GOVERNMENT,DO YOU THINK IT IS POSSIBLE TO HAVE AN HONEST GOVERNMENT? ARE MOST POLITICIANS IN GOVERNMENT MORE FOR PERSONAL GAIN OR PUBLIC SERVICE?  HOW MUCH SELF-SERVING ACTIVITY DO YOU THINK GOES ON? IS IT POSSIBLE  TO MAKEBEHAVIOR IN GOVERNMENT ILLEGAL?
sw04utt/sw_0438_4113.utt,4/sw4113,4113,5,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,B,4,2,They just,(ROOT (S (NP (PRP they)) (ADVP (RB just)))),ETHICS_IN_GOVERNMENT,DO YOU THINK IT IS POSSIBLE TO HAVE AN HONEST GOVERNMENT? ARE MOST POLITICIANS IN GOVERNMENT MORE FOR PERSONAL GAIN OR PUBLIC SERVICE?  HOW MUCH SELF-SERVING ACTIVITY DO YOU THINK GOES ON? IS IT POSSIBLE  TO MAKEBEHAVIOR IN GOVERNMENT ILLEGAL?
sw04utt/sw_0438_4113.utt,4/sw4113,4113,6,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,5,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),ETHICS_IN_GOVERNMENT,DO YOU THINK IT IS POSSIBLE TO HAVE AN HONEST GOVERNMENT? ARE MOST POLITICIANS IN GOVERNMENT MORE FOR PERSONAL GAIN OR PUBLIC SERVICE?  HOW MUCH SELF-SERVING ACTIVITY DO YOU THINK GOES ON? IS IT POSSIBLE  TO MAKEBEHAVIOR IN GOVERNMENT ILLEGAL?
sw04utt/sw_0438_4113.utt,4/sw4113,4113,8,qh,Rhetorical-Questions,,,B,6,2,you know what I mean ?,(ROOT (S (NP (PRP you)) (VP (VBP know) (WHNP (WHNP (WP what) (FW i)) (VP (VB mean)))) (. ?))),ETHICS_IN_GOVERNMENT,DO YOU THINK IT IS POSSIBLE TO HAVE AN HONEST GOVERNMENT? ARE MOST POLITICIANS IN GOVERNMENT MORE FOR PERSONAL GAIN OR PUBLIC SERVICE?  HOW MUCH SELF-SERVING ACTIVITY DO YOU THINK GOES ON? IS IT POSSIBLE  TO MAKEBEHAVIOR IN GOVERNMENT ILLEGAL?
sw04utt/sw_0438_4113.utt,4/sw4113,4113,10,qy,Info-request:Yes-No-Question,,,A,7,2,"but, uh, do you see any way of like altering it so that they would become more honest ?","(ROOT (SINV (CC but) (, ,) (SQ (INTJ (UH uh)) (, ,) (VBP do) (NP (PRP you)) (VP (VB see) (NP (NP (DT any) (NN way)) (PP (IN of) (PP (IN like) (S (VP (VBG altering) (NP (PRP it)) (SBAR (IN so) (IN that) (S (NP (PRP they)) (VP (MD would) (VP (VB become) (ADJP (RBR more) (JJ honest)))))))))))) (. ?))))",ETHICS_IN_GOVERNMENT,DO YOU THINK IT IS POSSIBLE TO HAVE AN HONEST GOVERNMENT? ARE MOST POLITICIANS IN GOVERNMENT MORE FOR PERSONAL GAIN OR PUBLIC SERVICE?  HOW MUCH SELF-SERVING ACTIVITY DO YOU THINK GOES ON? IS IT POSSIBLE  TO MAKEBEHAVIOR IN GOVERNMENT ILLEGAL?
sw04utt/sw_0438_4113.utt,4/sw4113,4113,11,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,B,8,1,"I think by putting term limitations on you could, you could slow down some of the problems.","(ROOT (S (VP (LS i) (VP (VB think) (SBAR (S (PP (IN by) (S (VP (VBG putting) (NP (NN term) (NNS limitations)) (PP (IN on) (NP (PRP you)))))) (MD could) (, ,) (NP (PRP you)) (VP (MD could) (VP (VB slow) (PRT (RP down)) (NP (NP (DT some)) (PP (IN of) (NP (DT the) (NNS problems)))))) (. .)))))))",ETHICS_IN_GOVERNMENT,DO YOU THINK IT IS POSSIBLE TO HAVE AN HONEST GOVERNMENT? ARE MOST POLITICIANS IN GOVERNMENT MORE FOR PERSONAL GAIN OR PUBLIC SERVICE?  HOW MUCH SELF-SERVING ACTIVITY DO YOU THINK GOES ON? IS IT POSSIBLE  TO MAKEBEHAVIOR IN GOVERNMENT ILLEGAL?
sw04utt/sw_0438_4113.utt,4/sw4113,4113,12,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,9,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),ETHICS_IN_GOVERNMENT,DO YOU THINK IT IS POSSIBLE TO HAVE AN HONEST GOVERNMENT? ARE MOST POLITICIANS IN GOVERNMENT MORE FOR PERSONAL GAIN OR PUBLIC SERVICE?  HOW MUCH SELF-SERVING ACTIVITY DO YOU THINK GOES ON? IS IT POSSIBLE  TO MAKEBEHAVIOR IN GOVERNMENT ILLEGAL?
sw04utt/sw_0438_4113.utt,4/sw4113,4113,16,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,B,10,4,"but they've been in office since the, the nineteen forties","(ROOT (SBAR (CC but) (S (NP (PRP they)) (VP (VBP 've) (VP (VBN been) (PP (IN in) (NP (NN office))) (PP (IN since) (NP (NP (DT the)) (, ,) (NP (DT the) (CD nineteen) (NNS forties)))))))))",ETHICS_IN_GOVERNMENT,DO YOU THINK IT IS POSSIBLE TO HAVE AN HONEST GOVERNMENT? ARE MOST POLITICIANS IN GOVERNMENT MORE FOR PERSONAL GAIN OR PUBLIC SERVICE?  HOW MUCH SELF-SERVING ACTIVITY DO YOU THINK GOES ON? IS IT POSSIBLE  TO MAKEBEHAVIOR IN GOVERNMENT ILLEGAL?
sw04utt/sw_0438_4113.utt,4/sw4113,4113,17,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,11,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),ETHICS_IN_GOVERNMENT,DO YOU THINK IT IS POSSIBLE TO HAVE AN HONEST GOVERNMENT? ARE MOST POLITICIANS IN GOVERNMENT MORE FOR PERSONAL GAIN OR PUBLIC SERVICE?  HOW MUCH SELF-SERVING ACTIVITY DO YOU THINK GOES ON? IS IT POSSIBLE  TO MAKEBEHAVIOR IN GOVERNMENT ILLEGAL?
sw04utt/sw_0438_4113.utt,4/sw4113,4113,20,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,B,12,3,"I mean they've never gone out in the real world and, and paid normal taxes.","(ROOT (S (S (FW i) (S (VP (VB mean) (SBAR (S (NP (PRP they)) (VP (VBP 've) (ADVP (RB never)) (VP (VBN gone) (PRT (RP out)) (PP (IN in) (NP (DT the) (JJ real) (NN world))))))))) (CC and) (, ,) (CC and) (S (VP (VBD paid) (NP (JJ normal) (NNS taxes))))) (. .)))",ETHICS_IN_GOVERNMENT,DO YOU THINK IT IS POSSIBLE TO HAVE AN HONEST GOVERNMENT? ARE MOST POLITICIANS IN GOVERNMENT MORE FOR PERSONAL GAIN OR PUBLIC SERVICE?  HOW MUCH SELF-SERVING ACTIVITY DO YOU THINK GOES ON? IS IT POSSIBLE  TO MAKEBEHAVIOR IN GOVERNMENT ILLEGAL?
