swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,act_label_1,act_label_2,act_label_relation,caller,utterance_index,subutterance_index,clean_text,parse_tree,topic_description,prompt
sw08utt/sw_0831_3253.utt,3/sw3253,3253,0,fp,Other-forward-function:Conventional-opening,,,A,1,1,Hi.,(ROOT (INTJ (UH hi) (. .))),CAMPING,FIND OUT FROM THE OTHER CALLER WHAT KIND OF CAMPING THEY HAVE DONE.  HOW DOES IT COMPARE WITH YOUR OWN EXPERIENCES?
sw08utt/sw_0831_3253.utt,3/sw3253,3253,1,fp^m,Other-forward-function:Conventional-opening,,,B,2,1,Hi.,(ROOT (INTJ (UH hi) (. .))),CAMPING,FIND OUT FROM THE OTHER CALLER WHAT KIND OF CAMPING THEY HAVE DONE.  HOW DOES IT COMPARE WITH YOUR OWN EXPERIENCES?
sw08utt/sw_0831_3253.utt,3/sw3253,3253,2,qw^d,Info-request:Declarative-Wh-Question,,,A,3,1,"I'm wondering what, what camping means to you.","(ROOT (S (VP (LS i) (S (VP (VBP 'm) (VP (VBG wondering) (FRAG (WHNP (WP what)) (, ,) (SBAR (WHNP (WDT what) (NN camping)) (S (VP (VBZ means) (PP (TO to) (NP (PRP you)))))) (. .))))))))",CAMPING,FIND OUT FROM THE OTHER CALLER WHAT KIND OF CAMPING THEY HAVE DONE.  HOW DOES IT COMPARE WITH YOUR OWN EXPERIENCES?
sw08utt/sw_0831_3253.utt,3/sw3253,3253,3,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,4,1,"When I think of camping I think of, of bugs, and sleeping bags and, and tents, uh, like along the Appalachian Trail.","(ROOT (FRAG (SBAR (WHADVP (WRB when)) (S (S (VP (FW i) (VP (VB think) (S (PP (IN of) (NP (NN camping))) (FW i) (VP (VB think) (PP (PP (IN of)) (, ,) (PP (IN of) (NP (NNS bugs))) (, ,) (CC and) (NP (VBG sleeping) (NNS bags)))))))) (CC and) (UCP (, ,) (CC and) (NP (NP (NP (NNS tents)) (, ,) (UH uh) (, ,)) (PP (IN like) (PP (IN along) (NP (DT the) (JJ appalachian) (NN trail)))))))) (. .)))",CAMPING,FIND OUT FROM THE OTHER CALLER WHAT KIND OF CAMPING THEY HAVE DONE.  HOW DOES IT COMPARE WITH YOUR OWN EXPERIENCES?
sw08utt/sw_0831_3253.utt,3/sw3253,3253,6,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,5,3,"I don't think of, um, trailers and campers and all this stuff.","(ROOT (NP (NP (LS i) (S (VP (VBP do) (RB n't) (VP (VB think) (PP (IN of))))) (, ,) (NP (NP (NN um) (, ,) (NNS trailers) (CC and) (NNS campers)) (CC and) (NP (PDT all) (DT this) (NN stuff)))) (. .)))",CAMPING,FIND OUT FROM THE OTHER CALLER WHAT KIND OF CAMPING THEY HAVE DONE.  HOW DOES IT COMPARE WITH YOUR OWN EXPERIENCES?
sw08utt/sw_0831_3253.utt,3/sw3253,3253,7,aa,Backwards-Communicative-Function:Agreement:Accept,,,B,6,1,No.,(ROOT (INTJ (DT no) (. .))),CAMPING,FIND OUT FROM THE OTHER CALLER WHAT KIND OF CAMPING THEY HAVE DONE.  HOW DOES IT COMPARE WITH YOUR OWN EXPERIENCES?
sw08utt/sw_0831_3253.utt,3/sw3253,3253,8,qy,Info-request:Yes-No-Question,,,A,7,1,"Um, do you do much camping ?","(ROOT (UCP (NP (NN um)) (, ,) (SQ (VBP do) (NP (PRP you)) (VP (VB do) (NP (JJ much) (NN camping)))) (. ?)))",CAMPING,FIND OUT FROM THE OTHER CALLER WHAT KIND OF CAMPING THEY HAVE DONE.  HOW DOES IT COMPARE WITH YOUR OWN EXPERIENCES?
sw08utt/sw_0831_3253.utt,3/sw3253,3253,9,ng,Backwards-Communicative-Function:Answer:Negative-non-no-answers,,,B,8,1,I have never been camping.,(ROOT (S (S (LS i) (VP (VBP have) (ADVP (RB never)) (VP (VBN been) (NP (NN camping))))) (. .))),CAMPING,FIND OUT FROM THE OTHER CALLER WHAT KIND OF CAMPING THEY HAVE DONE.  HOW DOES IT COMPARE WITH YOUR OWN EXPERIENCES?
sw08utt/sw_0831_3253.utt,3/sw3253,3253,11,ba,Backwards-Communicative-Function:Understanding:Appreciation,,,A,9,2,"Oh, gee.","(ROOT (FRAG (INTJ (UH oh)) (, ,) (ADVP (RB gee)) (. .)))",CAMPING,FIND OUT FROM THE OTHER CALLER WHAT KIND OF CAMPING THEY HAVE DONE.  HOW DOES IT COMPARE WITH YOUR OWN EXPERIENCES?
sw08utt/sw_0831_3253.utt,3/sw3253,3253,13,qy,Info-request:Yes-No-Question,,,B,10,2,Do you do much ?,(ROOT (SBARQ (SQ (VB do) (NP (PRP you)) (VP (VB do) (NP (RB much)))) (. ?))),CAMPING,FIND OUT FROM THE OTHER CALLER WHAT KIND OF CAMPING THEY HAVE DONE.  HOW DOES IT COMPARE WITH YOUR OWN EXPERIENCES?
sw08utt/sw_0831_3253.utt,3/sw3253,3253,17,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,11,4,"but, um, up until, gee, maybe five or six years ago, I did a lot of it","(ROOT (FRAG (CC but) (, ,) (NP (NP (NN um)) (, ,) (SBAR (RB up) (IN until) (, ,) (ADVP (RB gee)) (, ,) (ADVP (RB maybe)) (ADVP (ADVP (NP (QP (CD five) (CC or) (CD six)) (NNS years)) (RB ago)) (, ,) (FW i) (VP (VBD did) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (PRP it))))))))))",CAMPING,FIND OUT FROM THE OTHER CALLER WHAT KIND OF CAMPING THEY HAVE DONE.  HOW DOES IT COMPARE WITH YOUR OWN EXPERIENCES?
sw08utt/sw_0831_3253.utt,3/sw3253,3253,18,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,B,12,1,Really,(ROOT (ADVP (RB really))),CAMPING,FIND OUT FROM THE OTHER CALLER WHAT KIND OF CAMPING THEY HAVE DONE.  HOW DOES IT COMPARE WITH YOUR OWN EXPERIENCES?
sw08utt/sw_0831_3253.utt,3/sw3253,3253,19,%,Communicative-Status:Uninterpretable,,,A,13,1,"and, you know I've","(ROOT (S (CC and) (, ,) (NP (PRP you)) (VP (VBP know) (FRAG (FW i) (ADJP (ADVP (`` `))) (ADJP (ADVP (FW ve)))))))",CAMPING,FIND OUT FROM THE OTHER CALLER WHAT KIND OF CAMPING THEY HAVE DONE.  HOW DOES IT COMPARE WITH YOUR OWN EXPERIENCES?
sw08utt/sw_0831_3253.utt,3/sw3253,3253,21,%@,Communicative-Status:Uninterpretable,,,B,14,2,or,(ROOT (CC or)),CAMPING,FIND OUT FROM THE OTHER CALLER WHAT KIND OF CAMPING THEY HAVE DONE.  HOW DOES IT COMPARE WITH YOUR OWN EXPERIENCES?
sw08utt/sw_0831_3253.utt,3/sw3253,3253,22,br,Backwards-Communicative-Function:Understanding:Signal-non-understanding,,,A,15,1,Say ?,(ROOT (FRAG (VB say) (. ?))),CAMPING,FIND OUT FROM THE OTHER CALLER WHAT KIND OF CAMPING THEY HAVE DONE.  HOW DOES IT COMPARE WITH YOUR OWN EXPERIENCES?
