swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,act_label_1,act_label_2,act_label_relation,caller,utterance_index,subutterance_index,clean_text,parse_tree,topic_description,prompt
sw03utt/sw_0369_3584.utt,3/sw3584,3584,0,ad,Info-request:Action-directive,,,A,1,1,"Well, tell me about your home.","(ROOT (S (ADVP (RB well)) (, ,) (VP (VB tell) (NP (PRP me)) (PP (IN about) (NP (PRP$ your) (NN home)))) (. .)))",HOUSES,FIND OUT ABOUT THE OTHER CALLER'S HOME.  IS IT A TYPICAL HOME FOR THE AREA?  HOW DOES IT COMPARE TO YOUR HOME?
sw03utt/sw_0369_3584.utt,3/sw3584,3584,4,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,2,4,"And, uh, right now we're in a, uh, I guess it's either a zero lot line or a garden home.","(ROOT (S (S (CC and) (, ,) (INTJ (UH uh)) (, ,) (ADVP (RB right) (RB now)) (NP (PRP we)) (VP (VBP 're) (PP (IN in) (NP (DT a))))) (, ,) (INTJ (UH uh)) (, ,) (NP (FW i)) (VP (VBP guess) (S (NP (PRP it)) (VP (VBZ 's) (CC either) (NP (NP (DT a) (CD zero) (NN lot) (NN line)) (CC or) (NP (DT a) (NN garden) (NN home)))))) (. .)))",HOUSES,FIND OUT ABOUT THE OTHER CALLER'S HOME.  IS IT A TYPICAL HOME FOR THE AREA?  HOW DOES IT COMPARE TO YOUR HOME?
sw03utt/sw_0369_3584.utt,3/sw3584,3584,5,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,3,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),HOUSES,FIND OUT ABOUT THE OTHER CALLER'S HOME.  IS IT A TYPICAL HOME FOR THE AREA?  HOW DOES IT COMPARE TO YOUR HOME?
sw03utt/sw_0369_3584.utt,3/sw3584,3584,9,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,4,4,So it was enough.,(ROOT (FRAG (SBAR (IN so) (S (NP (PRP it)) (VP (VBD was) (ADJP (RB enough))))) (. .))),HOUSES,FIND OUT ABOUT THE OTHER CALLER'S HOME.  IS IT A TYPICAL HOME FOR THE AREA?  HOW DOES IT COMPARE TO YOUR HOME?
sw03utt/sw_0369_3584.utt,3/sw3584,3584,10,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,5,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),HOUSES,FIND OUT ABOUT THE OTHER CALLER'S HOME.  IS IT A TYPICAL HOME FOR THE AREA?  HOW DOES IT COMPARE TO YOUR HOME?
sw03utt/sw_0369_3584.utt,3/sw3584,3584,12,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,6,2,Because it's not a full two story.,(ROOT (FRAG (SBAR (IN because) (S (NP (PRP it)) (VP (VBZ 's) (RB not) (NP (DT a) (JJ full) (CD two) (NN story))))) (. .))),HOUSES,FIND OUT ABOUT THE OTHER CALLER'S HOME.  IS IT A TYPICAL HOME FOR THE AREA?  HOW DOES IT COMPARE TO YOUR HOME?
sw03utt/sw_0369_3584.utt,3/sw3584,3584,13,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,7,1,Yeah.,(ROOT (NP (NN yeah) (. .))),HOUSES,FIND OUT ABOUT THE OTHER CALLER'S HOME.  IS IT A TYPICAL HOME FOR THE AREA?  HOW DOES IT COMPARE TO YOUR HOME?
sw03utt/sw_0369_3584.utt,3/sw3584,3584,16,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,8,3,and the other half is just standard sized ceilings.,(ROOT (S (CC and) (NP (DT the) (JJ other) (NN half)) (VP (VBZ is) (NP (RB just) (JJ standard) (VBN sized) (NNS ceilings))) (. .))),HOUSES,FIND OUT ABOUT THE OTHER CALLER'S HOME.  IS IT A TYPICAL HOME FOR THE AREA?  HOW DOES IT COMPARE TO YOUR HOME?
sw03utt/sw_0369_3584.utt,3/sw3584,3584,17,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,9,1,Huh.,(ROOT (ADVP (RB huh) (. .))),HOUSES,FIND OUT ABOUT THE OTHER CALLER'S HOME.  IS IT A TYPICAL HOME FOR THE AREA?  HOW DOES IT COMPARE TO YOUR HOME?
sw03utt/sw_0369_3584.utt,3/sw3584,3584,18,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,10,1,"And, uh, it's about a five year old house now.","(ROOT (S (CC and) (, ,) (INTJ (UH uh)) (, ,) (NP (PRP it)) (VP (VBZ 's) (PP (IN about) (NP (DT a) (ADJP (CD five) (NN year) (JJ old)) (NN house))) (ADVP (RB now))) (. .)))",HOUSES,FIND OUT ABOUT THE OTHER CALLER'S HOME.  IS IT A TYPICAL HOME FOR THE AREA?  HOW DOES IT COMPARE TO YOUR HOME?
sw03utt/sw_0369_3584.utt,3/sw3584,3584,19,ba,Backwards-Communicative-Function:Understanding:Appreciation,,,A,11,1,It sounds nice.,(ROOT (S (NP (PRP it)) (VP (VBZ sounds) (ADJP (JJ nice))) (. .))),HOUSES,FIND OUT ABOUT THE OTHER CALLER'S HOME.  IS IT A TYPICAL HOME FOR THE AREA?  HOW DOES IT COMPARE TO YOUR HOME?
sw03utt/sw_0369_3584.utt,3/sw3584,3584,21,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,12,2,"Unfortunately, the builder who built it went out of business already.","(ROOT (S (ADVP (RB unfortunately)) (, ,) (NP (NP (DT the) (NN builder)) (SBAR (WHNP (WP who)) (S (VP (VBD built) (NP (PRP it)))))) (VP (VBD went) (PP (IN out) (PP (IN of) (NP (NN business)))) (ADVP (RB already))) (. .)))",HOUSES,FIND OUT ABOUT THE OTHER CALLER'S HOME.  IS IT A TYPICAL HOME FOR THE AREA?  HOW DOES IT COMPARE TO YOUR HOME?
sw03utt/sw_0369_3584.utt,3/sw3584,3584,22,bh,Backwards-Communicative-Function:Understanding:Backchannel-in-question-form,,,A,13,1,"Oh, yeah ?","(ROOT (FRAG (INTJ (UH oh)) (, ,) (VP (VB yeah)) (. ?)))",HOUSES,FIND OUT ABOUT THE OTHER CALLER'S HOME.  IS IT A TYPICAL HOME FOR THE AREA?  HOW DOES IT COMPARE TO YOUR HOME?
sw03utt/sw_0369_3584.utt,3/sw3584,3584,25,sd^e,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,14,3,Landmark is the one who built it.,(ROOT (S (NP (NN landmark)) (VP (VBZ is) (NP (NP (DT the) (NN one)) (SBAR (WHNP (WP who)) (S (VP (VBD built) (NP (PRP it))))))) (. .))),HOUSES,FIND OUT ABOUT THE OTHER CALLER'S HOME.  IS IT A TYPICAL HOME FOR THE AREA?  HOW DOES IT COMPARE TO YOUR HOME?
sw03utt/sw_0369_3584.utt,3/sw3584,3584,27,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,A,15,2,"Well, you know, these guys that gambled high","(ROOT (X (S (ADVP (RB well)) (, ,) (NP (PRP you)) (VP (VBP know))) (S (, ,) (NP (NP (DT these) (NNS guys)) (SBAR (WHNP (WDT that)) (S (VP (VBD gambled) (ADJP (JJ high)))))))))",HOUSES,FIND OUT ABOUT THE OTHER CALLER'S HOME.  IS IT A TYPICAL HOME FOR THE AREA?  HOW DOES IT COMPARE TO YOUR HOME?
sw03utt/sw_0369_3584.utt,3/sw3584,3584,28,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,B,16,1,Yeah.,(ROOT (NP (NN yeah) (. .))),HOUSES,FIND OUT ABOUT THE OTHER CALLER'S HOME.  IS IT A TYPICAL HOME FOR THE AREA?  HOW DOES IT COMPARE TO YOUR HOME?
sw03utt/sw_0369_3584.utt,3/sw3584,3584,29,+,Other:Segment-(multi-utterance),,,A,17,1,lost big you know.,(ROOT (S (VP (VBD lost) (ADJP (JJ big) (SBAR (S (NP (PRP you)) (VP (VBP know)))))) (. .))),HOUSES,FIND OUT ABOUT THE OTHER CALLER'S HOME.  IS IT A TYPICAL HOME FOR THE AREA?  HOW DOES IT COMPARE TO YOUR HOME?
sw03utt/sw_0369_3584.utt,3/sw3584,3584,30,aa,Backwards-Communicative-Function:Agreement:Accept,,,B,18,1,That's true.,(ROOT (S (NP (DT that)) (VP (VBZ 's) (ADJP (JJ true))) (. .))),HOUSES,FIND OUT ABOUT THE OTHER CALLER'S HOME.  IS IT A TYPICAL HOME FOR THE AREA?  HOW DOES IT COMPARE TO YOUR HOME?
