swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,act_label_1,act_label_2,act_label_relation,caller,utterance_index,subutterance_index,clean_text,parse_tree,topic_description,prompt
sw09utt/sw_0972_2862.utt,2/sw2862,2862,0,qy,Info-request:Yes-No-Question,,,A,1,1,"Well, did you get a chance to watch any of the games ?","(ROOT (SQ (ADVP (RB well)) (, ,) (VBD did) (NP (PRP you)) (VP (VB get) (NP (DT a) (NN chance) (S (VP (TO to) (VP (VB watch) (NP (NP (DT any)) (PP (IN of) (NP (DT the) (NNS games))))))))) (. ?)))",BASKETBALL,FIND OUT THE OTHER CALLER'S FAVORITE PRO BASKETBALL TEAM AND WHERE IT'S HEADED THIS YEAR.  DO YOU AGREE WITH THE CALLER'S PREDICTION?
sw09utt/sw_0972_2862.utt,2/sw2862,2862,3,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,2,3,and that's about it.,(ROOT (S (CC and) (S (NP (DT that)) (VP (VBZ 's) (PP (IN about) (NP (PRP it))))) (. .))),BASKETBALL,FIND OUT THE OTHER CALLER'S FAVORITE PRO BASKETBALL TEAM AND WHERE IT'S HEADED THIS YEAR.  DO YOU AGREE WITH THE CALLER'S PREDICTION?
sw09utt/sw_0972_2862.utt,2/sw2862,2862,4,bk,Backwards-Communicative-Function:Understanding:Response Acknowledgement,,,A,3,1,"Oh, okay.","(ROOT (FRAG (ADJP (INTJ (UH oh)) (, ,) (JJ okay)) (. .)))",BASKETBALL,FIND OUT THE OTHER CALLER'S FAVORITE PRO BASKETBALL TEAM AND WHERE IT'S HEADED THIS YEAR.  DO YOU AGREE WITH THE CALLER'S PREDICTION?
sw09utt/sw_0972_2862.utt,2/sw2862,2862,5,qy^g,Info-request:Yes-No-Question,,,B,4,1,"Uh, the, Michael Jordan's on Chicago Bulls isn't he.","(ROOT (S (INTJ (UH uh)) (, ,) (NP (NP (DT the) (, ,) (NN michael) (NN jordan) (POS 's)) (PP (IN on) (NP (NNP chicago) (NNS bulls)))) (VP (VBZ is) (RB n't) (NP (PRP he))) (. .)))",BASKETBALL,FIND OUT THE OTHER CALLER'S FAVORITE PRO BASKETBALL TEAM AND WHERE IT'S HEADED THIS YEAR.  DO YOU AGREE WITH THE CALLER'S PREDICTION?
sw09utt/sw_0972_2862.utt,2/sw2862,2862,6,ny,Info-request:Yes answers,,,A,5,1,Yeah.,(ROOT (NP (NN yeah) (. .))),BASKETBALL,FIND OUT THE OTHER CALLER'S FAVORITE PRO BASKETBALL TEAM AND WHERE IT'S HEADED THIS YEAR.  DO YOU AGREE WITH THE CALLER'S PREDICTION?
sw09utt/sw_0972_2862.utt,2/sw2862,2862,8,%,Communicative-Status:Uninterpretable,,,B,6,2,or,(ROOT (CC or)),BASKETBALL,FIND OUT THE OTHER CALLER'S FAVORITE PRO BASKETBALL TEAM AND WHERE IT'S HEADED THIS YEAR.  DO YOU AGREE WITH THE CALLER'S PREDICTION?
sw09utt/sw_0972_2862.utt,2/sw2862,2862,12,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,7,4,and he was out there playing.,(ROOT (FRAG (CC and) (S (NP (PRP he)) (VP (VBD was) (ADVP (IN out) (RB there)) (VP (VBG playing)))) (. .))),BASKETBALL,FIND OUT THE OTHER CALLER'S FAVORITE PRO BASKETBALL TEAM AND WHERE IT'S HEADED THIS YEAR.  DO YOU AGREE WITH THE CALLER'S PREDICTION?
sw09utt/sw_0972_2862.utt,2/sw2862,2862,13,bk,Backwards-Communicative-Function:Understanding:Response Acknowledgement,,,B,8,1,"Oh, okay.","(ROOT (FRAG (ADJP (INTJ (UH oh)) (, ,) (JJ okay)) (. .)))",BASKETBALL,FIND OUT THE OTHER CALLER'S FAVORITE PRO BASKETBALL TEAM AND WHERE IT'S HEADED THIS YEAR.  DO YOU AGREE WITH THE CALLER'S PREDICTION?
sw09utt/sw_0972_2862.utt,2/sw2862,2862,15,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,9,2,"I think he only had like eightch-, eight points","(ROOT (S (VP (LS i) (VP (VB think) (SBAR (S (NP (PRP he)) (ADVP (RB only)) (VP (VBD had) (PP (IN like) (NP (NP (NN eightch)) (: -) (, ,) (NP (CD eight) (NNS points)))))))))))",BASKETBALL,FIND OUT THE OTHER CALLER'S FAVORITE PRO BASKETBALL TEAM AND WHERE IT'S HEADED THIS YEAR.  DO YOU AGREE WITH THE CALLER'S PREDICTION?
sw09utt/sw_0972_2862.utt,2/sw2862,2862,16,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,B,10,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),BASKETBALL,FIND OUT THE OTHER CALLER'S FAVORITE PRO BASKETBALL TEAM AND WHERE IT'S HEADED THIS YEAR.  DO YOU AGREE WITH THE CALLER'S PREDICTION?
sw09utt/sw_0972_2862.utt,2/sw2862,2862,18,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,11,2,they thought that was big news.,(ROOT (S (NP (PRP they)) (VP (VBD thought) (SBAR (S (NP (DT that)) (VP (VBD was) (NP (JJ big) (NN news)))))) (. .))),BASKETBALL,FIND OUT THE OTHER CALLER'S FAVORITE PRO BASKETBALL TEAM AND WHERE IT'S HEADED THIS YEAR.  DO YOU AGREE WITH THE CALLER'S PREDICTION?
sw09utt/sw_0972_2862.utt,2/sw2862,2862,19,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,B,12,1,"Oh, yeah.","(ROOT (NP (NP (INTJ (UH oh)) (, ,) (NN yeah)) (. .)))",BASKETBALL,FIND OUT THE OTHER CALLER'S FAVORITE PRO BASKETBALL TEAM AND WHERE IT'S HEADED THIS YEAR.  DO YOU AGREE WITH THE CALLER'S PREDICTION?
sw09utt/sw_0972_2862.utt,2/sw2862,2862,23,qy,Info-request:Yes-No-Question,,,A,13,4,"who do you normally pull for, the, the Mavericks or","(ROOT (SBAR (WHNP (WP who)) (FRAG (SQ (VBP do) (NP (PRP you)) (ADVP (RB normally)) (VP (VB pull) (PP (IN for)))) (, ,) (NP (DT the) (, ,) (NP (DT the) (NNS mavericks)) (CC or)))))",BASKETBALL,FIND OUT THE OTHER CALLER'S FAVORITE PRO BASKETBALL TEAM AND WHERE IT'S HEADED THIS YEAR.  DO YOU AGREE WITH THE CALLER'S PREDICTION?
sw09utt/sw_0972_2862.utt,2/sw2862,2862,25,sd^e,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,14,2,"I kind of feel like the, about the Mavericks the way I do about the Cowboys now.","(ROOT (PP (LST (LS i)) (NP (NP (NN kind)) (PP (IN of) (NP (NN feel))) (PP (IN like) (NP (NP (DT the)) (, ,) (PP (IN about) (NP (DT the) (NNS mavericks))) (S (NP (DT the) (NN way)) (FW i) (VP (VBP do) (PP (IN about) (NP (DT the) (NNS cowboys))) (ADVP (RB now))) (. .)))))))",BASKETBALL,FIND OUT THE OTHER CALLER'S FAVORITE PRO BASKETBALL TEAM AND WHERE IT'S HEADED THIS YEAR.  DO YOU AGREE WITH THE CALLER'S PREDICTION?
sw09utt/sw_0972_2862.utt,2/sw2862,2862,26,bh,Backwards-Communicative-Function:Understanding:Backchannel-in-question-form,,,A,15,1,"Oh, yeah ?","(ROOT (FRAG (INTJ (UH oh)) (, ,) (VP (VB yeah)) (. ?)))",BASKETBALL,FIND OUT THE OTHER CALLER'S FAVORITE PRO BASKETBALL TEAM AND WHERE IT'S HEADED THIS YEAR.  DO YOU AGREE WITH THE CALLER'S PREDICTION?
sw09utt/sw_0972_2862.utt,2/sw2862,2862,32,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,16,6,"So they're rather have him, except that he gets in trouble all the time and falls off the wagon, and, and, and have some chance of him playing, you know, earning his money.","(ROOT (FRAG (SBAR (IN so) (S (NP (PRP they)) (VP (VBP 're) (ADVP (RB rather)) (VP (VB have) (NP (PRP him)) (, ,) (PP (IN except) (SBAR (IN that) (S (S (S (NP (PRP he)) (VP (VP (VBZ gets) (PP (IN in) (NP (NN trouble))) (NP (PDT all) (DT the) (NN time))) (CC and) (VP (VBZ falls) (PP (RP off) (NP (DT the) (NN wagon)))))) (, ,) (CC and) (, ,) (CC and) (, ,)) (CC and) (S (VP (VBP have) (NP (NP (DT some) (NN chance)) (PP (IN of) (NP (PRP him))) (S (VP (VBG playing))))) (, ,) (S (NP (PRP you)) (VP (VBP know) (, ,) (S (VP (VBG earning) (NP (PRP$ his) (NN money)))))))))))))) (. .)))",BASKETBALL,FIND OUT THE OTHER CALLER'S FAVORITE PRO BASKETBALL TEAM AND WHERE IT'S HEADED THIS YEAR.  DO YOU AGREE WITH THE CALLER'S PREDICTION?
sw09utt/sw_0972_2862.utt,2/sw2862,2862,35,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,A,17,3,because that's just dollars right out of the franchise.,(ROOT (FRAG (SBAR (IN because) (S (NP (DT that)) (VP (VBZ 's) (NP (RB just) (NNS dollars)) (S (ADVP (RB right)) (PP (IN out) (PP (IN of) (NP (DT the) (NN franchise)))))))) (. .))),BASKETBALL,FIND OUT THE OTHER CALLER'S FAVORITE PRO BASKETBALL TEAM AND WHERE IT'S HEADED THIS YEAR.  DO YOU AGREE WITH THE CALLER'S PREDICTION?
sw09utt/sw_0972_2862.utt,2/sw2862,2862,36,aa,Backwards-Communicative-Function:Agreement:Accept,,,B,18,1,Sure is.,(ROOT (S (ADVP (JJ sure)) (VP (VBZ is)) (. .))),BASKETBALL,FIND OUT THE OTHER CALLER'S FAVORITE PRO BASKETBALL TEAM AND WHERE IT'S HEADED THIS YEAR.  DO YOU AGREE WITH THE CALLER'S PREDICTION?
sw09utt/sw_0972_2862.utt,2/sw2862,2862,38,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,19,2,"Now I, uh, I, I've always been pulling for the Lakers for a long time.","(ROOT (SINV (ADVP (RB now)) (X (FW i) (, ,) (INTJ (UH uh)) (PRN (, ,) (FW i) (, ,))) (SBAR (FW i) (S (VP (VBP 've) (ADVP (RB always)) (VP (VBN been) (VP (VBG pulling) (PP (IN for) (NP (DT the) (NNS lakers))) (PP (IN for) (NP (DT a) (JJ long) (NN time)))))))) (. .)))",BASKETBALL,FIND OUT THE OTHER CALLER'S FAVORITE PRO BASKETBALL TEAM AND WHERE IT'S HEADED THIS YEAR.  DO YOU AGREE WITH THE CALLER'S PREDICTION?
sw09utt/sw_0972_2862.utt,2/sw2862,2862,39,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,B,20,1,"Oh, yeah.","(ROOT (NP (NP (INTJ (UH oh)) (, ,) (NN yeah)) (. .)))",BASKETBALL,FIND OUT THE OTHER CALLER'S FAVORITE PRO BASKETBALL TEAM AND WHERE IT'S HEADED THIS YEAR.  DO YOU AGREE WITH THE CALLER'S PREDICTION?
sw09utt/sw_0972_2862.utt,2/sw2862,2862,40,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,21,1,"And, uh","(ROOT (UCP (CC and) (, ,) (INTJ (UH uh))))",BASKETBALL,FIND OUT THE OTHER CALLER'S FAVORITE PRO BASKETBALL TEAM AND WHERE IT'S HEADED THIS YEAR.  DO YOU AGREE WITH THE CALLER'S PREDICTION?
sw09utt/sw_0972_2862.utt,2/sw2862,2862,41,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,B,22,1,They're consistent.,(ROOT (S (NP (PRP they)) (VP (VBP 're) (ADJP (JJ consistent))) (. .))),BASKETBALL,FIND OUT THE OTHER CALLER'S FAVORITE PRO BASKETBALL TEAM AND WHERE IT'S HEADED THIS YEAR.  DO YOU AGREE WITH THE CALLER'S PREDICTION?
