swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,act_label_1,act_label_2,act_label_relation,caller,utterance_index,subutterance_index,clean_text,parse_tree,topic_description,prompt
sw00utt/sw_0096_3580.utt,3/sw3580,3580,3,%,Communicative-Status:Uninterpretable,,,A,1,4,So.,(ROOT (ADVP (RB so) (. .))),SPACE_FLIGHT_AND_EXPLORATION,WHAT DO WE GAIN FROM OUR SPACE FLIGHT AND EXPLORATION EFFORTS? SHOULD WE CONTINUE TO SUPPORT THE SPACE PROGRAM AT CURRENT LEVELS? YOU MIGHT ALSO DISCUSS WHETHER SPACE FLIGHT WILL EVER BECOME COMMONYOU
sw00utt/sw_0096_3580.utt,3/sw3580,3580,5,aa,Backwards-Communicative-Function:Agreement:Accept,,,B,2,2,"I, I agree","(ROOT (S (LS i) (, ,) (FW i) (VP (VBP agree))))",SPACE_FLIGHT_AND_EXPLORATION,WHAT DO WE GAIN FROM OUR SPACE FLIGHT AND EXPLORATION EFFORTS? SHOULD WE CONTINUE TO SUPPORT THE SPACE PROGRAM AT CURRENT LEVELS? YOU MIGHT ALSO DISCUSS WHETHER SPACE FLIGHT WILL EVER BECOME COMMONYOU
sw00utt/sw_0096_3580.utt,3/sw3580,3580,6,%,Communicative-Status:Uninterpretable,,,A,3,1,Uh.,(ROOT (INTJ (UH uh) (. .))),SPACE_FLIGHT_AND_EXPLORATION,WHAT DO WE GAIN FROM OUR SPACE FLIGHT AND EXPLORATION EFFORTS? SHOULD WE CONTINUE TO SUPPORT THE SPACE PROGRAM AT CURRENT LEVELS? YOU MIGHT ALSO DISCUSS WHETHER SPACE FLIGHT WILL EVER BECOME COMMONYOU
sw00utt/sw_0096_3580.utt,3/sw3580,3580,7,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,B,4,1,it's definitely new frontier stuff.,(ROOT (S (NP (PRP it)) (VP (VBZ 's) (ADVP (RB definitely)) (NP (JJ new) (NN frontier) (NN stuff))) (. .))),SPACE_FLIGHT_AND_EXPLORATION,WHAT DO WE GAIN FROM OUR SPACE FLIGHT AND EXPLORATION EFFORTS? SHOULD WE CONTINUE TO SUPPORT THE SPACE PROGRAM AT CURRENT LEVELS? YOU MIGHT ALSO DISCUSS WHETHER SPACE FLIGHT WILL EVER BECOME COMMONYOU
sw00utt/sw_0096_3580.utt,3/sw3580,3580,11,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,A,5,4,"Um, Star Wars is not too far I don't think.","(ROOT (NP (NP (NP (NN um)) (, ,) (NP (NN star) (NNS wars)) (SBAR (VP (VBZ is) (RB not) (ADVP (RB too) (RB far))) (S (FW i) (VP (VBP do) (RB n't) (VP (VB think)))))) (. .)))",SPACE_FLIGHT_AND_EXPLORATION,WHAT DO WE GAIN FROM OUR SPACE FLIGHT AND EXPLORATION EFFORTS? SHOULD WE CONTINUE TO SUPPORT THE SPACE PROGRAM AT CURRENT LEVELS? YOU MIGHT ALSO DISCUSS WHETHER SPACE FLIGHT WILL EVER BECOME COMMONYOU
sw00utt/sw_0096_3580.utt,3/sw3580.pos,3580,12,x,Communicative-Status:Non-verbal,,,B,6,1,.,(ROOT (. .)),SPACE_FLIGHT_AND_EXPLORATION,WHAT DO WE GAIN FROM OUR SPACE FLIGHT AND EXPLORATION EFFORTS? SHOULD WE CONTINUE TO SUPPORT THE SPACE PROGRAM AT CURRENT LEVELS? YOU MIGHT ALSO DISCUSS WHETHER SPACE FLIGHT WILL EVER BECOME COMMONYOU
sw00utt/sw_0096_3580.utt,3/sw3580,3580,13,%,Communicative-Status:Uninterpretable,,,A,7,1,"But, uh","(ROOT (FRAG (CC but) (, ,) (INTJ (UH uh))))",SPACE_FLIGHT_AND_EXPLORATION,WHAT DO WE GAIN FROM OUR SPACE FLIGHT AND EXPLORATION EFFORTS? SHOULD WE CONTINUE TO SUPPORT THE SPACE PROGRAM AT CURRENT LEVELS? YOU MIGHT ALSO DISCUSS WHETHER SPACE FLIGHT WILL EVER BECOME COMMONYOU
sw00utt/sw_0096_3580.utt,3/sw3580,3580,14,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,8,1,"I, I, I worked on some of it at T I","(ROOT (FRAG (LS i) (, ,) (NP (FW i) (, ,) (NP (FW i) (VP (VBN worked) (PP (IN on) (NP (NP (DT some)) (PP (IN of) (NP (PRP it))))) (PP (IN at) (NP (NN t) (FW i))))))))",SPACE_FLIGHT_AND_EXPLORATION,WHAT DO WE GAIN FROM OUR SPACE FLIGHT AND EXPLORATION EFFORTS? SHOULD WE CONTINUE TO SUPPORT THE SPACE PROGRAM AT CURRENT LEVELS? YOU MIGHT ALSO DISCUSS WHETHER SPACE FLIGHT WILL EVER BECOME COMMONYOU
sw00utt/sw_0096_3580.utt,3/sw3580,3580,15,qh,Rhetorical-Questions,,,A,9,1,"Oh, have you.","(ROOT (S (INTJ (UH oh)) (, ,) (VP (VBP have) (NP (PRP you))) (. .)))",SPACE_FLIGHT_AND_EXPLORATION,WHAT DO WE GAIN FROM OUR SPACE FLIGHT AND EXPLORATION EFFORTS? SHOULD WE CONTINUE TO SUPPORT THE SPACE PROGRAM AT CURRENT LEVELS? YOU MIGHT ALSO DISCUSS WHETHER SPACE FLIGHT WILL EVER BECOME COMMONYOU
sw00utt/sw_0096_3580.utt,3/sw3580,3580,17,ny,Info-request:Yes answers,,,B,10,2,Yeah.,(ROOT (NP (NN yeah) (. .))),SPACE_FLIGHT_AND_EXPLORATION,WHAT DO WE GAIN FROM OUR SPACE FLIGHT AND EXPLORATION EFFORTS? SHOULD WE CONTINUE TO SUPPORT THE SPACE PROGRAM AT CURRENT LEVELS? YOU MIGHT ALSO DISCUSS WHETHER SPACE FLIGHT WILL EVER BECOME COMMONYOU
