swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,act_label_1,act_label_2,act_label_relation,caller,utterance_index,subutterance_index,clean_text,parse_tree,topic_description,prompt
sw02utt/sw_0208_2094.utt,2/sw2094,2094,0,qw,Info-request:Wh-Question,,,A,1,1,"Uh, Robert what do you, uh, think, what substances do you think are the most, uh, likely causes of air pollution ?","(ROOT (FRAG (INTJ (UH uh)) (, ,) (NP (NP (NN robert)) (SBAR (WHNP (WP what)) (S (VP (VBP do) (NP (PRP you)) (SBARQ (, ,) (INTJ (UH uh)) (, ,) (ADVP (VB think)) (, ,) (WHNP (WDT what) (NNS substances)) (SQ (VBP do) (NP (PRP you)) (VP (VB think) (VP (VBP are) (NP (NP (DT the) (RBS most)) (, ,) (NP (NP (INTJ (UH uh)) (, ,) (JJ likely) (NNS causes)) (PP (IN of) (NP (NN air) (NN pollution)))))))) (. ?))))))))",AIR_POLLUTION,PLEASE DISCUSS AIR POLLUTION.  FIND OUT WHAT SUBSTANCES THE OTHER CALLER THINKS CONTRIBUTE THE MOST TO AIR POLLUTION TODAY.  WHAT CAN INDIVIDUALS OR SOCIETY DO TO IMPROVE AIR QUALITY?
sw02utt/sw_0208_2094.utt,2/sw2094,2094,4,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,2,4,they say in the paper nitrous oxides and ozone and all that.,(ROOT (S (NP (PRP they)) (VP (VBP say) (PP (IN in) (NP (NP (DT the) (NN paper) (JJ nitrous) (NNS oxides) (CC and) (NN ozone)) (CC and) (NP (DT all) (DT that))))) (. .))),AIR_POLLUTION,PLEASE DISCUSS AIR POLLUTION.  FIND OUT WHAT SUBSTANCES THE OTHER CALLER THINKS CONTRIBUTE THE MOST TO AIR POLLUTION TODAY.  WHAT CAN INDIVIDUALS OR SOCIETY DO TO IMPROVE AIR QUALITY?
sw02utt/sw_0208_2094.utt,2/sw2094,2094,5,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,3,1,Right.,(ROOT (ADVP (RB right) (. .))),AIR_POLLUTION,PLEASE DISCUSS AIR POLLUTION.  FIND OUT WHAT SUBSTANCES THE OTHER CALLER THINKS CONTRIBUTE THE MOST TO AIR POLLUTION TODAY.  WHAT CAN INDIVIDUALS OR SOCIETY DO TO IMPROVE AIR QUALITY?
sw02utt/sw_0208_2094.utt,2/sw2094,2094,7,h,Other:Hedge,,,B,4,2,but I'm not a chemist.,(ROOT (S (CC but) (S (NP (FW i)) (VP (VBP 'm) (RB not) (NP (DT a) (NN chemist)))) (. .))),AIR_POLLUTION,PLEASE DISCUSS AIR POLLUTION.  FIND OUT WHAT SUBSTANCES THE OTHER CALLER THINKS CONTRIBUTE THE MOST TO AIR POLLUTION TODAY.  WHAT CAN INDIVIDUALS OR SOCIETY DO TO IMPROVE AIR QUALITY?
sw02utt/sw_0208_2094.utt,2/sw2094,2094,8,qy,Info-request:Yes-No-Question,,,A,5,1,"Do you, uh, do you think that those are bigger contributors than things like ai-, acid rain and some of the pollutants that come from, uh, industrial areas, factories and so on ?","(ROOT (S (VP (VB do) (NP (PRP you)) (VP (, ,) (SQ (INTJ (UH uh)) (, ,) (VBP do) (NP (PRP you)) (VP (VB think) (FRAG (SBAR (IN that) (S (NP (DT those)) (VP (VBP are) (NP (NP (JJR bigger) (NNS contributors)) (PP (IN than) (NP (NP (NNS things)) (SBAR (IN like) (S (VP (VBP ai)) (: -))))))))) (, ,) (NP (NP (JJ acid) (NN rain)) (CC and) (NP (NP (NP (DT some)) (PP (IN of) (NP (NP (DT the) (NNS pollutants)) (SBAR (WHNP (WDT that)) (S (VP (VBP come) (PP (IN from)))))))) (, ,) (FRAG (INTJ (UH uh)) (, ,) (NP (NP (JJ industrial) (NNS areas)) (, ,) (NP (NP (NP (NNS factories)) (CC and) (RB so)) (PP (IN on)))) (. ?)))))))))))",AIR_POLLUTION,PLEASE DISCUSS AIR POLLUTION.  FIND OUT WHAT SUBSTANCES THE OTHER CALLER THINKS CONTRIBUTE THE MOST TO AIR POLLUTION TODAY.  WHAT CAN INDIVIDUALS OR SOCIETY DO TO IMPROVE AIR QUALITY?
sw02utt/sw_0208_2094.utt,2/sw2094,2094,10,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,6,2,I grew up in Los Angeles and have felt like I was victimized by air pollution.,(ROOT (S (S (LS i) (VP (VP (VBD grew) (PRT (RP up)) (PP (IN in) (NP (NNS los) (NNS angeles)))) (CC and) (VP (VBP have) (VP (VBN felt) (PP (IN like) (NP (FW i))))) (VP (VBD was) (VP (VBN victimized) (PP (IN by) (NP (NN air) (NN pollution))))))) (. .))),AIR_POLLUTION,PLEASE DISCUSS AIR POLLUTION.  FIND OUT WHAT SUBSTANCES THE OTHER CALLER THINKS CONTRIBUTE THE MOST TO AIR POLLUTION TODAY.  WHAT CAN INDIVIDUALS OR SOCIETY DO TO IMPROVE AIR QUALITY?
sw02utt/sw_0208_2094.utt,2/sw2094,2094,12,qy^d,Info-request:Yes-No-Question,,,A,7,2,"and, and you, so you understand smog.","(ROOT (FRAG (CC and) (, ,) (CC and) (NP (PRP you)) (, ,) (SBAR (IN so) (S (NP (PRP you)) (VP (VBP understand) (NP (NN smog))))) (. .)))",AIR_POLLUTION,PLEASE DISCUSS AIR POLLUTION.  FIND OUT WHAT SUBSTANCES THE OTHER CALLER THINKS CONTRIBUTE THE MOST TO AIR POLLUTION TODAY.  WHAT CAN INDIVIDUALS OR SOCIETY DO TO IMPROVE AIR QUALITY?
sw02utt/sw_0208_2094.utt,2/sw2094,2094,14,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,8,2,and in fact I was a private pilot there,(ROOT (UCP (CC and) (PP (IN in) (NP (NN fact))) (SQ (FW i) (VBD was) (NP (DT a) (JJ private) (NN pilot)) (NP (EX there))))),AIR_POLLUTION,PLEASE DISCUSS AIR POLLUTION.  FIND OUT WHAT SUBSTANCES THE OTHER CALLER THINKS CONTRIBUTE THE MOST TO AIR POLLUTION TODAY.  WHAT CAN INDIVIDUALS OR SOCIETY DO TO IMPROVE AIR QUALITY?
sw02utt/sw_0208_2094.utt,2/sw2094,2094,15,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,9,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),AIR_POLLUTION,PLEASE DISCUSS AIR POLLUTION.  FIND OUT WHAT SUBSTANCES THE OTHER CALLER THINKS CONTRIBUTE THE MOST TO AIR POLLUTION TODAY.  WHAT CAN INDIVIDUALS OR SOCIETY DO TO IMPROVE AIR QUALITY?
sw02utt/sw_0208_2094.utt,2/sw2094,2094,16,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,10,1,"and I can remember very etched, etched clearly in my mind, uh, flying and coming up above the smog layer at about three thousand feet and looking back down and, and really being unbelieving at","(ROOT (SQ (CC and) (FW i) (VP (MD can) (VP (VP (VP (VB remember) (ADJP (ADJP (RB very) (JJ etched)) (, ,) (ADJP (JJ etched))) (PP (ADVP (RB clearly)) (IN in) (NP (PRP$ my) (NN mind)))) (, ,) (INTJ (UH uh)) (, ,) (S (VP (VBG flying) (CC and) (VP (VBG coming) (ADVP (RB up)) (PP (IN above) (NP (DT the) (NN smog) (NN layer))) (PP (IN at) (NP (NP (QP (IN about) (CD three) (CD thousand)) (NNS feet)) (CC and) (VP (VBG looking) (ADVP (RB back) (RB down))))))))) (CC and) (, ,) (CC and) (S (ADVP (RB really)) (VP (VBG being) (ADJP (JJ unbelieving)) (X (IN at))))))))",AIR_POLLUTION,PLEASE DISCUSS AIR POLLUTION.  FIND OUT WHAT SUBSTANCES THE OTHER CALLER THINKS CONTRIBUTE THE MOST TO AIR POLLUTION TODAY.  WHAT CAN INDIVIDUALS OR SOCIETY DO TO IMPROVE AIR QUALITY?
sw02utt/sw_0208_2094.utt,2/sw2094,2094,17,ba,Backwards-Communicative-Function:Understanding:Appreciation,,,A,11,1,Wow.,(ROOT (NP (NN wow) (. .))),AIR_POLLUTION,PLEASE DISCUSS AIR POLLUTION.  FIND OUT WHAT SUBSTANCES THE OTHER CALLER THINKS CONTRIBUTE THE MOST TO AIR POLLUTION TODAY.  WHAT CAN INDIVIDUALS OR SOCIETY DO TO IMPROVE AIR QUALITY?
sw02utt/sw_0208_2094.utt,2/sw2094,2094,19,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,B,12,2,it just looked liked peanut butter.,(ROOT (S (NP (PRP it)) (ADVP (RB just)) (VP (VBD looked) (NP (VBN liked) (NN peanut) (NN butter))) (. .))),AIR_POLLUTION,PLEASE DISCUSS AIR POLLUTION.  FIND OUT WHAT SUBSTANCES THE OTHER CALLER THINKS CONTRIBUTE THE MOST TO AIR POLLUTION TODAY.  WHAT CAN INDIVIDUALS OR SOCIETY DO TO IMPROVE AIR QUALITY?
sw02utt/sw_0208_2094.utt,2/sw2094,2094,20,ba,Backwards-Communicative-Function:Understanding:Appreciation,,,A,13,1,My word.,(ROOT (NP (NP (PRP$ my) (NN word)) (. .))),AIR_POLLUTION,PLEASE DISCUSS AIR POLLUTION.  FIND OUT WHAT SUBSTANCES THE OTHER CALLER THINKS CONTRIBUTE THE MOST TO AIR POLLUTION TODAY.  WHAT CAN INDIVIDUALS OR SOCIETY DO TO IMPROVE AIR QUALITY?
