swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,act_label_1,act_label_2,act_label_relation,caller,utterance_index,subutterance_index,clean_text,parse_tree,topic_description,prompt
sw02utt/sw_0285_2756.utt,2/sw2756,2756,0,qw,Info-request:Wh-Question,,,A,1,1,"And, uh, what part of Virginia, uh ?","(ROOT (FRAG (CC and) (, ,) (INTJ (UH uh)) (, ,) (WHNP (WHNP (WDT what) (NN part)) (PP (IN of) (NP (NN virginia)))) (, ,) (INTJ (UH uh)) (. ?)))",VACATION_SPOTS,PLEASE DISCUSS TYPES OF VACATIONS AND TRIPS YOU ENJOY.  FIND OUT WHETHER THE OTHER CALLER CAN INTEREST YOU IN A VACATION SPOT YOU HAVEN'T VISITED.
sw02utt/sw_0285_2756.utt,2/sw2756,2756,1,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,2,1,"Uh, I live down in the south western part of Blacksburg.","(ROOT (S (INTJ (UH uh)) (, ,) (FW i) (VP (VB live) (PRT (RP down)) (PP (IN in) (NP (NP (DT the) (JJ south) (JJ western) (NN part)) (PP (IN of) (NP (NN blacksburg)))))) (. .)))",VACATION_SPOTS,PLEASE DISCUSS TYPES OF VACATIONS AND TRIPS YOU ENJOY.  FIND OUT WHETHER THE OTHER CALLER CAN INTEREST YOU IN A VACATION SPOT YOU HAVEN'T VISITED.
sw02utt/sw_0285_2756.utt,2/sw2756,2756,4,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,3,3,I've been,(ROOT (SBAR (LS i) (S (VP (VBP 've) (VP (VBN been)))))),VACATION_SPOTS,PLEASE DISCUSS TYPES OF VACATIONS AND TRIPS YOU ENJOY.  FIND OUT WHETHER THE OTHER CALLER CAN INTEREST YOU IN A VACATION SPOT YOU HAVEN'T VISITED.
sw02utt/sw_0285_2756.utt,2/sw2756,2756,6,qy,Info-request:Yes-No-Question,,,B,4,2,have you ever heard of Virginia Tech ?,(ROOT (S (VP (VB have) (NP (PRP you)) (VP (ADVP (RB ever)) (VBD heard) (PP (IN of) (NP (NN virginia) (NN tech))))) (. ?))),VACATION_SPOTS,PLEASE DISCUSS TYPES OF VACATIONS AND TRIPS YOU ENJOY.  FIND OUT WHETHER THE OTHER CALLER CAN INTEREST YOU IN A VACATION SPOT YOU HAVEN'T VISITED.
sw02utt/sw_0285_2756.utt,2/sw2756,2756,7,na,Backwards-Communicative-Function:Answer:Affirmative-non-yes-answers,,,A,5,1,Sounds vaguely familiar.,(ROOT (NP (NP (NP (NNS sounds)) (ADJP (RB vaguely) (JJ familiar))) (. .))),VACATION_SPOTS,PLEASE DISCUSS TYPES OF VACATIONS AND TRIPS YOU ENJOY.  FIND OUT WHETHER THE OTHER CALLER CAN INTEREST YOU IN A VACATION SPOT YOU HAVEN'T VISITED.
sw02utt/sw_0285_2756.utt,2/sw2756,2756,8,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,6,1,V P I.,(ROOT (FRAG (LST (LS v)) (NP (NN p)) (FRAG (PP (IN i.))))),VACATION_SPOTS,PLEASE DISCUSS TYPES OF VACATIONS AND TRIPS YOU ENJOY.  FIND OUT WHETHER THE OTHER CALLER CAN INTEREST YOU IN A VACATION SPOT YOU HAVEN'T VISITED.
sw02utt/sw_0285_2756.utt,2/sw2756,2756,10,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,7,2,okay.,(ROOT (ADJP (JJ okay) (. .))),VACATION_SPOTS,PLEASE DISCUSS TYPES OF VACATIONS AND TRIPS YOU ENJOY.  FIND OUT WHETHER THE OTHER CALLER CAN INTEREST YOU IN A VACATION SPOT YOU HAVEN'T VISITED.
sw02utt/sw_0285_2756.utt,2/sw2756,2756,12,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,B,8,2,okay.,(ROOT (ADJP (JJ okay) (. .))),VACATION_SPOTS,PLEASE DISCUSS TYPES OF VACATIONS AND TRIPS YOU ENJOY.  FIND OUT WHETHER THE OTHER CALLER CAN INTEREST YOU IN A VACATION SPOT YOU HAVEN'T VISITED.
sw02utt/sw_0285_2756.utt,2/sw2756,2756,13,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,9,1,"I, I hadn't been down in that part of the state really.","(ROOT (S (LS i) (, ,) (FW i) (VP (VBD had) (RB n't) (VP (VBN been) (ADVP (RB down)) (PP (IN in) (NP (NP (DT that) (NN part)) (PP (IN of) (NP (DT the) (NN state))))) (ADVP (RB really)))) (. .)))",VACATION_SPOTS,PLEASE DISCUSS TYPES OF VACATIONS AND TRIPS YOU ENJOY.  FIND OUT WHETHER THE OTHER CALLER CAN INTEREST YOU IN A VACATION SPOT YOU HAVEN'T VISITED.
sw02utt/sw_0285_2756.utt,2/sw2756,2756,18,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,10,5,Quite frequently.,(ROOT (FRAG (ADVP (RB quite) (RB frequently)) (. .))),VACATION_SPOTS,PLEASE DISCUSS TYPES OF VACATIONS AND TRIPS YOU ENJOY.  FIND OUT WHETHER THE OTHER CALLER CAN INTEREST YOU IN A VACATION SPOT YOU HAVEN'T VISITED.
