swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,act_label_1,act_label_2,act_label_relation,caller,utterance_index,subutterance_index,clean_text,parse_tree,topic_description,prompt
sw02utt/sw_0298_3245.utt,3/sw3245,3245,1,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,1,2,I'm ready.,(ROOT (FRAG (LST (LS i) (S (VP (VBP 'm) (ADJP (JJ ready))))) (. .))),CLOTHING_AND_DRESS,THE TOPIC IS CLOTHING.  PLEASE FIND OUT HOW THE OTHER CALLER TYPICALLY DRESSES FOR WORK.  HOW MUCH VARIATION IS THERE FROM DAY TO DAY?  HOW MUCH VARIATION IS THERE FROM SEASON TO SEASON?
sw02utt/sw_0298_3245.utt,3/sw3245,3245,3,sd^t,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,2,2,"so we're going to talk about, uh, what kind of clothes we wear while we work.","(ROOT (FRAG (SBAR (IN so) (S (NP (PRP we)) (VP (VBP 're) (VP (VBG going) (S (VP (TO to) (VP (VB talk) (PP (IN about))))))))) (, ,) (INTJ (UH uh)) (, ,) (SBAR (WHNP (WHNP (WDT what) (NN kind)) (PP (IN of) (NP (NNS clothes)))) (S (NP (PRP we)) (VP (VBP wear) (SBAR (IN while) (S (NP (PRP we)) (VP (VBP work))))))) (. .)))",CLOTHING_AND_DRESS,THE TOPIC IS CLOTHING.  PLEASE FIND OUT HOW THE OTHER CALLER TYPICALLY DRESSES FOR WORK.  HOW MUCH VARIATION IS THERE FROM DAY TO DAY?  HOW MUCH VARIATION IS THERE FROM SEASON TO SEASON?
sw02utt/sw_0298_3245.utt,3/sw3245,3245,4,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,B,3,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),CLOTHING_AND_DRESS,THE TOPIC IS CLOTHING.  PLEASE FIND OUT HOW THE OTHER CALLER TYPICALLY DRESSES FOR WORK.  HOW MUCH VARIATION IS THERE FROM DAY TO DAY?  HOW MUCH VARIATION IS THERE FROM SEASON TO SEASON?
sw02utt/sw_0298_3245.utt,3/sw3245,3245,5,qy,Info-request:Yes-No-Question,,,A,4,1,Do you work for T I ?,(ROOT (SBARQ (SQ (VB do) (NP (PRP you)) (VP (VB work) (PP (IN for) (NP (NN t))) (NP (FW i)))) (. ?))),CLOTHING_AND_DRESS,THE TOPIC IS CLOTHING.  PLEASE FIND OUT HOW THE OTHER CALLER TYPICALLY DRESSES FOR WORK.  HOW MUCH VARIATION IS THERE FROM DAY TO DAY?  HOW MUCH VARIATION IS THERE FROM SEASON TO SEASON?
sw02utt/sw_0298_3245.utt,3/sw3245,3245,7,sd^e,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,5,2,I work at home.,(ROOT (NP (LST (LS i)) (NP (NN work)) (PP (IN at) (NP (NN home))) (. .))),CLOTHING_AND_DRESS,THE TOPIC IS CLOTHING.  PLEASE FIND OUT HOW THE OTHER CALLER TYPICALLY DRESSES FOR WORK.  HOW MUCH VARIATION IS THERE FROM DAY TO DAY?  HOW MUCH VARIATION IS THERE FROM SEASON TO SEASON?
sw02utt/sw_0298_3245.utt,3/sw3245,3245,10,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,6,3,I stay home also.,(ROOT (S (VP (LS i) (S (VP (VB stay) (NP (NN home)) (ADVP (RB also))))) (. .))),CLOTHING_AND_DRESS,THE TOPIC IS CLOTHING.  PLEASE FIND OUT HOW THE OTHER CALLER TYPICALLY DRESSES FOR WORK.  HOW MUCH VARIATION IS THERE FROM DAY TO DAY?  HOW MUCH VARIATION IS THERE FROM SEASON TO SEASON?
sw02utt/sw_0298_3245.utt,3/sw3245,3245,11,qy,Info-request:Yes-No-Question,,,B,7,1,Do you have children ?,(ROOT (SQ (VB do) (NP (PRP you)) (VP (VBP have) (NP (NNS children))) (. ?))),CLOTHING_AND_DRESS,THE TOPIC IS CLOTHING.  PLEASE FIND OUT HOW THE OTHER CALLER TYPICALLY DRESSES FOR WORK.  HOW MUCH VARIATION IS THERE FROM DAY TO DAY?  HOW MUCH VARIATION IS THERE FROM SEASON TO SEASON?
sw02utt/sw_0298_3245.utt,3/sw3245,3245,13,sd^e,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,8,2,"I have two, a seven year old and three and a half year old.","(ROOT (S (LS i) (VP (VBP have) (NP (NP (CD two)) (, ,) (NP (DT a) (ADJP (ADJP (CD seven) (NN year) (JJ old)) (CC and) (ADJP (NP (CD three) (CC and) (DT a) (NN half) (NN year)) (JJ old)))))) (. .)))",CLOTHING_AND_DRESS,THE TOPIC IS CLOTHING.  PLEASE FIND OUT HOW THE OTHER CALLER TYPICALLY DRESSES FOR WORK.  HOW MUCH VARIATION IS THERE FROM DAY TO DAY?  HOW MUCH VARIATION IS THERE FROM SEASON TO SEASON?
sw02utt/sw_0298_3245.utt,3/sw3245,3245,14,ba,Backwards-Communicative-Function:Understanding:Appreciation,,,B,9,1,"Oh, that's good.","(ROOT (S (INTJ (UH oh)) (, ,) (NP (DT that)) (VP (VBZ 's) (ADJP (JJ good))) (. .)))",CLOTHING_AND_DRESS,THE TOPIC IS CLOTHING.  PLEASE FIND OUT HOW THE OTHER CALLER TYPICALLY DRESSES FOR WORK.  HOW MUCH VARIATION IS THERE FROM DAY TO DAY?  HOW MUCH VARIATION IS THERE FROM SEASON TO SEASON?
sw02utt/sw_0298_3245.utt,3/sw3245,3245,15,qo,Info-request:Open-Question,,,A,10,1,How about you ?,(ROOT (FRAG (WHADVP (WRB how) (RB about)) (NP (PRP you)) (. ?))),CLOTHING_AND_DRESS,THE TOPIC IS CLOTHING.  PLEASE FIND OUT HOW THE OTHER CALLER TYPICALLY DRESSES FOR WORK.  HOW MUCH VARIATION IS THERE FROM DAY TO DAY?  HOW MUCH VARIATION IS THERE FROM SEASON TO SEASON?
