swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,act_label_1,act_label_2,act_label_relation,caller,utterance_index,subutterance_index,clean_text,parse_tree,topic_description,prompt
sw01utt/sw_0122_3161.utt,3/sw3161,3161,9,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,1,10,"AIDS has more money than, uh, breast cancer.","(ROOT (S (NP (NNS aids)) (VP (VBZ has) (NP (NP (JJR more) (NN money)) (SBAR (IN than) (FRAG (, ,) (NP (INTJ (UH uh)) (, ,) (NP (NN breast) (NN cancer))))))) (. .)))",AIDS,PLEASE DISCUSS FUNDING FOR AIDS RESEARCH.  SHOULD THE US SPEND MOREY
sw01utt/sw_0122_3161.utt,3/sw3161,3161,12,%,Communicative-Status:Uninterpretable,,,B,2,3,yeah.,(ROOT (NP (NN yeah) (. .))),AIDS,PLEASE DISCUSS FUNDING FOR AIDS RESEARCH.  SHOULD THE US SPEND MOREY
sw01utt/sw_0122_3161.utt,3/sw3161,3161,22,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,3,10,And yet we've had breast cancer problems for years.,(ROOT (S (CC and) (ADVP (RB yet)) (NP (PRP we)) (VP (VBP 've) (VP (VBD had) (NP (NP (NN breast) (NN cancer) (NNS problems)) (PP (IN for) (NP (NNS years)))))) (. .))),AIDS,PLEASE DISCUSS FUNDING FOR AIDS RESEARCH.  SHOULD THE US SPEND MOREY
sw01utt/sw_0122_3161.utt,3/sw3161,3161,23,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,B,4,1,Right.,(ROOT (ADVP (RB right) (. .))),AIDS,PLEASE DISCUSS FUNDING FOR AIDS RESEARCH.  SHOULD THE US SPEND MOREY
sw01utt/sw_0122_3161.utt,3/sw3161,3161,26,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,5,3,"And, uh, having thought about that for a while","(ROOT (UCP (CC and) (PRN (, ,) (INTJ (UH uh)) (, ,)) (S (VP (VBG having) (VP (VBN thought) (PP (IN about) (NP (NP (DT that)) (PP (IN for) (NP (DT a) (NN while))))))))))",AIDS,PLEASE DISCUSS FUNDING FOR AIDS RESEARCH.  SHOULD THE US SPEND MOREY
sw01utt/sw_0122_3161.utt,3/sw3161,3161,27,qw,Info-request:Wh-Question,,,B,6,1,What did you think about that idea ?,(ROOT (SBARQ (WHNP (WP what)) (SQ (VBD did) (NP (PRP you)) (VP (VBP think) (PP (IN about) (NP (DT that) (NN idea))))) (. ?))),AIDS,PLEASE DISCUSS FUNDING FOR AIDS RESEARCH.  SHOULD THE US SPEND MOREY
sw01utt/sw_0122_3161.utt,3/sw3161,3161,32,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,7,5,And yet men have been dying from prostate cancer for years.,(ROOT (S (CC and) (ADVP (RB yet)) (NP (NNS men)) (VP (VBP have) (VP (VBN been) (VP (VBG dying) (PP (IN from) (NP (NN prostate) (NN cancer))) (PP (IN for) (NP (NNS years)))))) (. .))),AIDS,PLEASE DISCUSS FUNDING FOR AIDS RESEARCH.  SHOULD THE US SPEND MOREY
sw01utt/sw_0122_3161.utt,3/sw3161,3161,34,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,B,8,2,yeah.,(ROOT (NP (NN yeah) (. .))),AIDS,PLEASE DISCUSS FUNDING FOR AIDS RESEARCH.  SHOULD THE US SPEND MOREY
sw01utt/sw_0122_3161.utt,3/sw3161,3161,40,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,9,6,"I, I guess there's just some strange public opinion as to who they want to give to. Uh, be it through different organizations, March of Dimes type, uh, telethons or, or bicycle rides or whatever, how they fund whatever, uh, illness they wish.","(ROOT (FRAG (LS i) (, ,) (PP (FW i) (NP (NP (NN guess)) (SBAR (S (NP (EX there)) (VP (VBZ 's) (NP (NP (RB just) (DT some) (JJ strange) (JJ public) (NN opinion)) (PP (IN as) (PP (TO to) (SBAR (WHNP (WP who)) (S (NP (PRP they)) (VP (VBP want) (S (VP (TO to) (VP (VB give) (S (VP (TO to))))))))))))))))) (. .)))",AIDS,PLEASE DISCUSS FUNDING FOR AIDS RESEARCH.  SHOULD THE US SPEND MOREY
sw01utt/sw_0122_3161.utt,3/sw3161,3161,41,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,B,10,1,Right.,(ROOT (ADVP (RB right) (. .))),AIDS,PLEASE DISCUSS FUNDING FOR AIDS RESEARCH.  SHOULD THE US SPEND MOREY
sw01utt/sw_0122_3161.utt,3/sw3161,3161,48,%,Communicative-Status:Uninterpretable,,,A,11,7,or,(ROOT (CC or)),AIDS,PLEASE DISCUSS FUNDING FOR AIDS RESEARCH.  SHOULD THE US SPEND MOREY
sw01utt/sw_0122_3161.utt,3/sw3161,3161,52,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,B,12,4,and then all of a sudden it's the most important thing.,(ROOT (FRAG (UCP (CC and) (ADVP (RB then)) (NP (NP (DT all)) (PP (IN of) (NP (DT a) (JJ sudden))) (SBAR (S (NP (PRP it)) (VP (VBZ 's) (NP (DT the) (ADJP (RBS most) (JJ important)) (NN thing))))))) (. .))),AIDS,PLEASE DISCUSS FUNDING FOR AIDS RESEARCH.  SHOULD THE US SPEND MOREY
sw01utt/sw_0122_3161.utt,3/sw3161,3161,53,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,13,1,Right.,(ROOT (ADVP (RB right) (. .))),AIDS,PLEASE DISCUSS FUNDING FOR AIDS RESEARCH.  SHOULD THE US SPEND MOREY
sw01utt/sw_0122_3161.utt,3/sw3161,3161,57,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,B,14,4,"and many of those things, uh, if they're not able to, to be insured then the country's going to pay for it one way or the other.","(ROOT (SINV (CC and) (NP (NP (NP (JJ many)) (PP (IN of) (NP (DT those) (NNS things)))) (, ,) (INTJ (UH uh)) (, ,)) (SBAR (IN if) (S (NP (PRP they)) (VP (VBP 're) (RB not) (ADJP (JJ able) (S (TO to) (, ,) (S (VP (TO to) (VP (VB be) (VP (VBN insured) (ADVP (RB then)) (S (NP (DT the) (NN country) (POS 's)) (VP (VBG going) (S (VP (TO to) (VP (VB pay) (SBAR (IN for) (S (NP (PRP it)) (NP (NP (CD one) (NN way)) (CC or) (NP (DT the) (JJ other))))))))))))))))))) (. .)))",AIDS,PLEASE DISCUSS FUNDING FOR AIDS RESEARCH.  SHOULD THE US SPEND MOREY
sw01utt/sw_0122_3161.utt,3/sw3161,3161,58,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,15,1,Right.,(ROOT (ADVP (RB right) (. .))),AIDS,PLEASE DISCUSS FUNDING FOR AIDS RESEARCH.  SHOULD THE US SPEND MOREY
