swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,act_label_1,act_label_2,act_label_relation,caller,utterance_index,subutterance_index,clean_text,parse_tree,topic_description,prompt
sw10utt/sw_1020_2935.utt,2/sw2935,2935,0,qw,Info-request:Wh-Question,,,A,1,1,"Well, what kind of garden do you have ?","(ROOT (SBARQ (ADVP (RB well)) (, ,) (WHNP (WHNP (WDT what) (NN kind)) (PP (IN of) (NP (NN garden)))) (SQ (VBP do) (NP (PRP you)) (VP (VB have))) (. ?)))",GARDENING,FIND OUT WHAT THE OTHER CALLER DOES IN THE WAY OF LAWN AND GARDEN WORK.DOES THE OTHER CALL ENJOY DOING IT?  COMPARE THIS TO YOUR OWN SITUATION.
sw10utt/sw_1020_2935.utt,2/sw2935,2935,5,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,2,5,"and the way that, uh, bugs and weeds grow down here is very different from Chicago.","(ROOT (S (CC and) (NP (DT the) (NN way)) (WHNP (IN that)) (, ,) (INTJ (UH uh)) (, ,) (NP (NNS bugs) (CC and) (NNS weeds)) (VP (VBP grow) (ADVP (RB down) (RB here)) (VP (VBZ is) (ADJP (RB very) (JJ different) (PP (IN from) (NP (NNP chicago)))))) (. .)))",GARDENING,FIND OUT WHAT THE OTHER CALLER DOES IN THE WAY OF LAWN AND GARDEN WORK.DOES THE OTHER CALL ENJOY DOING IT?  COMPARE THIS TO YOUR OWN SITUATION.
sw10utt/sw_1020_2935.utt,2/sw2935,2935,10,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,4,4,"we just kind of, uh, decided to go with a few flowers and give up on the vegetable garden.","(ROOT (NP (NP (PRP we)) (NP (NP (NP (RB just) (NN kind)) (PP (IN of))) (, ,) (SBAR (S (INTJ (UH uh)) (, ,) (VP (VBD decided) (S (VP (TO to) (VP (VP (VB go) (PP (IN with) (NP (DT a) (JJ few) (NNS flowers)))) (CC and) (VP (VB give) (PRT (RP up)) (PP (IN on) (NP (DT the) (NN vegetable) (NN garden)))))))) (. .))))))",GARDENING,FIND OUT WHAT THE OTHER CALLER DOES IN THE WAY OF LAWN AND GARDEN WORK.DOES THE OTHER CALL ENJOY DOING IT?  COMPARE THIS TO YOUR OWN SITUATION.
sw10utt/sw_1020_2935.utt,2/sw2935,2935,11,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,5,1,Oh.,(ROOT (INTJ (UH oh) (. .))),GARDENING,FIND OUT WHAT THE OTHER CALLER DOES IN THE WAY OF LAWN AND GARDEN WORK.DOES THE OTHER CALL ENJOY DOING IT?  COMPARE THIS TO YOUR OWN SITUATION.
sw10utt/sw_1020_2935.utt,2/sw2935,2935,12,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,6,1,"We had to put so much poison out on everything that we thought, Who'd want to eat that stuff.","(ROOT (S (NP (PRP we)) (VP (VBD had) (S (VP (TO to) (VP (VB put) (NP (RB so) (JJ much) (NN poison)) (PRT (RP out)) (PP (IN on) (NP (NP (NP (NN everything)) (SBAR (WHNP (IN that)) (S (NP (PRP we)) (VP (VBD thought))))) (, ,) (SBAR (WHNP (WP who)) (S (VP (VBD 'd) (VP (VBP want) (S (VP (TO to) (VP (VB eat) (NP (IN that) (NN stuff))))))))))))))) (. .)))",GARDENING,FIND OUT WHAT THE OTHER CALLER DOES IN THE WAY OF LAWN AND GARDEN WORK.DOES THE OTHER CALL ENJOY DOING IT?  COMPARE THIS TO YOUR OWN SITUATION.
sw10utt/sw_1020_2935.utt,2/sw2935,2935,14,b^r,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,7,2,uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),GARDENING,FIND OUT WHAT THE OTHER CALLER DOES IN THE WAY OF LAWN AND GARDEN WORK.DOES THE OTHER CALL ENJOY DOING IT?  COMPARE THIS TO YOUR OWN SITUATION.
sw10utt/sw_1020_2935.utt,2/sw2935,2935,17,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,8,3,"but, you know, when you have to pay for water, it really gets to be an annoyance to have to water constantly.","(ROOT (S (CC but) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,)) (SBAR (WHADVP (WRB when)) (S (NP (PRP you)) (VP (VBP have) (S (VP (TO to) (VP (VB pay) (PP (IN for) (NP (NN water))))))))) (, ,) (NP (PRP it)) (ADVP (RB really)) (VP (VBZ gets) (S (VP (TO to) (VP (VB be) (NP (NP (DT an) (NN annoyance)) (SBAR (S (VP (TO to) (VP (VB have) (PP (TO to) (NP (NN water))) (ADVP (RB constantly))))))))))) (. .)))",GARDENING,FIND OUT WHAT THE OTHER CALLER DOES IN THE WAY OF LAWN AND GARDEN WORK.DOES THE OTHER CALL ENJOY DOING IT?  COMPARE THIS TO YOUR OWN SITUATION.
sw10utt/sw_1020_2935.utt,2/sw2935,2935,18,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,9,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),GARDENING,FIND OUT WHAT THE OTHER CALLER DOES IN THE WAY OF LAWN AND GARDEN WORK.DOES THE OTHER CALL ENJOY DOING IT?  COMPARE THIS TO YOUR OWN SITUATION.
sw10utt/sw_1020_2935.utt,2/sw2935,2935,19,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,10,1,"So, right now we're just","(ROOT (S (ADVP (RB so)) (, ,) (ADVP (RB right) (RB now)) (NP (PRP we)) (VP (VBP 're) (ADVP (RB just)))))",GARDENING,FIND OUT WHAT THE OTHER CALLER DOES IN THE WAY OF LAWN AND GARDEN WORK.DOES THE OTHER CALL ENJOY DOING IT?  COMPARE THIS TO YOUR OWN SITUATION.
sw10utt/sw_1020_2935.utt,2/sw2935,2935,20,qy,Info-request:Yes-No-Question,,,A,11,1,Do you have a lawn ?,(ROOT (SQ (VB do) (NP (PRP you)) (VP (VBP have) (NP (DT a) (NN lawn))) (. ?))),GARDENING,FIND OUT WHAT THE OTHER CALLER DOES IN THE WAY OF LAWN AND GARDEN WORK.DOES THE OTHER CALL ENJOY DOING IT?  COMPARE THIS TO YOUR OWN SITUATION.
