swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,act_label_1,act_label_2,act_label_relation,caller,utterance_index,subutterance_index,clean_text,parse_tree,topic_description,prompt
sw04utt/sw_0467_2554.utt,2/sw2554,2554,0,qo,Info-request:Open-Question,,,A,1,1,"Well, what do you think about it ?","(ROOT (SBARQ (ADVP (RB well)) (, ,) (WHNP (WP what)) (SQ (VBP do) (NP (PRP you)) (VP (VB think) (PP (IN about) (NP (PRP it))))) (. ?)))",MIDDLE_EAST,FIND OUT WHAT THE OTHER CALLER THINKS ABOUT CURRENT US POLICY IN THE MIDDLE EAST. SHOULD US POLICY BE CHANGED OR NOT?
sw04utt/sw_0467_2554.utt,2/sw2554,2554,1,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,2,1,"Well, um, most of the stuff up until now, in the recent months, I, I, I don't have any problem with.","(ROOT (FRAG (ADVP (RB well)) (, ,) (NP (NP (NN um)) (, ,) (NP (NP (JJS most)) (PP (IN of) (NP (DT the) (NN stuff)))) (FRAG (PRT (RP up)) (PP (IN until) (ADVP (RB now))) (, ,) (PP (IN in) (NP (DT the) (JJ recent) (NNS months))) (, ,) (NP (FW i) (, ,) (FW i) (, ,) (FW i) (S (VP (VBP do) (RB n't) (VP (VB have) (NP (NP (DT any) (NN problem)) (PP (IN with))))))) (. .)))))",MIDDLE_EAST,FIND OUT WHAT THE OTHER CALLER THINKS ABOUT CURRENT US POLICY IN THE MIDDLE EAST. SHOULD US POLICY BE CHANGED OR NOT?
sw04utt/sw_0467_2554.utt,2/sw2554,2554,3,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,3,2,I don't either.,(ROOT (S (LS i) (VP (VBP do) (RB n't) (ADVP (RB either))) (. .))),MIDDLE_EAST,FIND OUT WHAT THE OTHER CALLER THINKS ABOUT CURRENT US POLICY IN THE MIDDLE EAST. SHOULD US POLICY BE CHANGED OR NOT?
sw04utt/sw_0467_2554.utt,2/sw2554,2554,5,%,Communicative-Status:Uninterpretable,,,B,4,2,you know it,(ROOT (S (NP (PRP you)) (VP (VBP know) (NP (PRP it))))),MIDDLE_EAST,FIND OUT WHAT THE OTHER CALLER THINKS ABOUT CURRENT US POLICY IN THE MIDDLE EAST. SHOULD US POLICY BE CHANGED OR NOT?
sw04utt/sw_0467_2554.utt,2/sw2554,2554,7,%,Communicative-Status:Uninterpretable,,,A,5,2,but.,(ROOT (FRAG (CC but) (. .))),MIDDLE_EAST,FIND OUT WHAT THE OTHER CALLER THINKS ABOUT CURRENT US POLICY IN THE MIDDLE EAST. SHOULD US POLICY BE CHANGED OR NOT?
sw04utt/sw_0467_2554.utt,2/sw2554,2554,11,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,B,6,4,I think our hands are tied,(ROOT (S (VP (LS i) (VP (VB think) (SBAR (S (NP (PRP$ our) (NNS hands)) (VP (VBP are) (VP (VBN tied))))))))),MIDDLE_EAST,FIND OUT WHAT THE OTHER CALLER THINKS ABOUT CURRENT US POLICY IN THE MIDDLE EAST. SHOULD US POLICY BE CHANGED OR NOT?
sw04utt/sw_0467_2554.utt,2/sw2554,2554,12,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,7,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),MIDDLE_EAST,FIND OUT WHAT THE OTHER CALLER THINKS ABOUT CURRENT US POLICY IN THE MIDDLE EAST. SHOULD US POLICY BE CHANGED OR NOT?
sw04utt/sw_0467_2554.utt,2/sw2554,2554,13,+,Other:Segment-(multi-utterance),,,B,8,1,"as far as, as, as any further involvement","(ROOT (SBAR (PP (IN as) (ADJP (RB far) (RB as))) (, ,) (SBAR (IN as) (, ,) (PP (IN as) (NP (DT any) (JJ further) (NN involvement))))))",MIDDLE_EAST,FIND OUT WHAT THE OTHER CALLER THINKS ABOUT CURRENT US POLICY IN THE MIDDLE EAST. SHOULD US POLICY BE CHANGED OR NOT?
sw04utt/sw_0467_2554.utt,2/sw2554,2554,14,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,9,1,Yeah.,(ROOT (NP (NN yeah) (. .))),MIDDLE_EAST,FIND OUT WHAT THE OTHER CALLER THINKS ABOUT CURRENT US POLICY IN THE MIDDLE EAST. SHOULD US POLICY BE CHANGED OR NOT?
sw04utt/sw_0467_2554.utt,2/sw2554,2554,16,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,B,10,2,"In fact, it really was to begin with.","(ROOT (S (PP (IN in) (NP (NN fact))) (, ,) (NP (PRP it)) (ADVP (RB really)) (VP (VBD was) (ADVP (TO to) (VB begin) (IN with))) (. .)))",MIDDLE_EAST,FIND OUT WHAT THE OTHER CALLER THINKS ABOUT CURRENT US POLICY IN THE MIDDLE EAST. SHOULD US POLICY BE CHANGED OR NOT?
sw04utt/sw_0467_2554.utt,2/sw2554,2554,17,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,11,1,Yeah.,(ROOT (NP (NN yeah) (. .))),MIDDLE_EAST,FIND OUT WHAT THE OTHER CALLER THINKS ABOUT CURRENT US POLICY IN THE MIDDLE EAST. SHOULD US POLICY BE CHANGED OR NOT?
sw04utt/sw_0467_2554.utt,2/sw2554,2554,18,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,12,1,"And, uh, I just, I heard a comment on the radio this morning that, uh, you know, it, it gets to a point where, uh, if enough people are, are going to be slaughtered over there over the, the, the internal problems, um, somebody may step in again.","(ROOT (S (CC and) (, ,) (INTJ (UH uh)) (, ,) (FW i) (ADVP (RB just)) (, ,) (NP (FW i)) (VP (VBD heard) (NP (NP (DT a) (NN comment)) (PP (IN on) (NP (DT the) (NN radio))) (NP (DT this) (NN morning))) (SBAR (IN that) (, ,) (SBAR (INTJ (UH uh)) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,)) (S (NP (PRP it)) (, ,) (NP (PRP it)) (VP (VP (VBZ gets) (PP (TO to) (SBAR (NP (DT a) (NN point)) (WHADVP (WRB where)) (PRN (, ,) (INTJ (UH uh)) (, ,)) (SBAR (IN if) (S (NP (JJ enough) (NNS people)) (VP (VBP are))))))) (, ,) (VP (VBP are) (VP (VBG going) (S (VP (TO to) (VP (VB be) (VP (VBN slaughtered) (PP (IN over) (NP (NP (EX there)) (PP (IN over) (NP (NP (DT the)) (, ,) (NP (DT the)) (, ,))))))))) (S (NP (NP (DT the) (JJ internal) (NNS problems)) (, ,) (NP (NP (NN um)) (, ,) (NP (NN somebody)))) (VP (MD may) (VP (VB step) (ADVP (IN in)) (ADVP (RB again)))))))) (. .)))))))",MIDDLE_EAST,FIND OUT WHAT THE OTHER CALLER THINKS ABOUT CURRENT US POLICY IN THE MIDDLE EAST. SHOULD US POLICY BE CHANGED OR NOT?
sw04utt/sw_0467_2554.utt,2/sw2554,2554,19,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,13,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),MIDDLE_EAST,FIND OUT WHAT THE OTHER CALLER THINKS ABOUT CURRENT US POLICY IN THE MIDDLE EAST. SHOULD US POLICY BE CHANGED OR NOT?
