swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,act_label_1,act_label_2,act_label_relation,caller,utterance_index,subutterance_index,clean_text,parse_tree,topic_description,prompt
sw01utt/sw_0183_3169.utt,3/sw3169,3169,29,qrr,Info-request:Or-Clause,,,A,1,30,or current,(ROOT (QP (CC or) (ADJP (JJ current)))),BOATING_AND_SAILING,DO YOU SAIL OR ENJOY SOME OTHER FORM OF BOATING? DO YOU HAVE YOUR OWN BOAT? FIND OUT WHAT THE OTHER CALLER ENJOYS OR THINKS ABOUT BOATING OR SAILING. OR YOU MIGHT DISCUSS THE PROS AND CONS OF BOAT OWNERSHIP.
sw01utt/sw_0183_3169.utt,3/sw3169,3169,38,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,2,9,"and if you didn't obey them, uh","(ROOT (FRAG (CC and) (FRAG (SBAR (IN if) (S (NP (PRP you)) (VP (VBD did) (RB n't) (VP (VB obey) (NP (PRP them)))))) (, ,) (INTJ (UH uh)))))",BOATING_AND_SAILING,DO YOU SAIL OR ENJOY SOME OTHER FORM OF BOATING? DO YOU HAVE YOUR OWN BOAT? FIND OUT WHAT THE OTHER CALLER ENJOYS OR THINKS ABOUT BOATING OR SAILING. OR YOU MIGHT DISCUSS THE PROS AND CONS OF BOAT OWNERSHIP.
sw01utt/sw_0183_3169.utt,3/sw3169,3169,39,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,3,1,Right.,(ROOT (ADVP (RB right) (. .))),BOATING_AND_SAILING,DO YOU SAIL OR ENJOY SOME OTHER FORM OF BOATING? DO YOU HAVE YOUR OWN BOAT? FIND OUT WHAT THE OTHER CALLER ENJOYS OR THINKS ABOUT BOATING OR SAILING. OR YOU MIGHT DISCUSS THE PROS AND CONS OF BOAT OWNERSHIP.
sw01utt/sw_0183_3169.utt,3/sw3169,3169,40,+,Other:Segment-(multi-utterance),,,B,4,1,"you know, there were a lot of accidents, I guess.","(ROOT (S (S (NP (PRP you)) (VP (VBP know))) (, ,) (S (S (NP (EX there)) (VP (VBD were) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NNS accidents)))))) (, ,) (NP (FW i) (NN guess))) (. .)))",BOATING_AND_SAILING,DO YOU SAIL OR ENJOY SOME OTHER FORM OF BOATING? DO YOU HAVE YOUR OWN BOAT? FIND OUT WHAT THE OTHER CALLER ENJOYS OR THINKS ABOUT BOATING OR SAILING. OR YOU MIGHT DISCUSS THE PROS AND CONS OF BOAT OWNERSHIP.
sw01utt/sw_0183_3169.utt,3/sw3169,3169,41,aa,Backwards-Communicative-Function:Agreement:Accept,,,A,5,1,That's true.,(ROOT (S (NP (DT that)) (VP (VBZ 's) (ADJP (JJ true))) (. .))),BOATING_AND_SAILING,DO YOU SAIL OR ENJOY SOME OTHER FORM OF BOATING? DO YOU HAVE YOUR OWN BOAT? FIND OUT WHAT THE OTHER CALLER ENJOYS OR THINKS ABOUT BOATING OR SAILING. OR YOU MIGHT DISCUSS THE PROS AND CONS OF BOAT OWNERSHIP.
sw01utt/sw_0183_3169.utt,3/sw3169,3169,42,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,6,1,"But, uh, I found the motor boating was real fun.","(ROOT (S (CC but) (, ,) (INTJ (UH uh)) (, ,) (NP (FW i)) (VP (VBD found) (SBAR (S (NP (NP (DT the) (NN motor)) (VP (VBG boating))) (VP (VBD was) (NP (JJ real) (NN fun)))))) (. .)))",BOATING_AND_SAILING,DO YOU SAIL OR ENJOY SOME OTHER FORM OF BOATING? DO YOU HAVE YOUR OWN BOAT? FIND OUT WHAT THE OTHER CALLER ENJOYS OR THINKS ABOUT BOATING OR SAILING. OR YOU MIGHT DISCUSS THE PROS AND CONS OF BOAT OWNERSHIP.
sw01utt/sw_0183_3169.utt,3/sw3169,3169,51,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,7,9,"and, uh, and just as that boat took off, a turtle bit me in the middle of the back.","(ROOT (S (CC and) (, ,) (INTJ (UH uh)) (, ,) (CC and) (SBAR (RB just) (IN as) (S (NP (DT that) (NN boat)) (VP (VBD took) (PRT (RP off))))) (, ,) (NP (DT a) (NN turtle) (NN bit)) (NP (PRP me)) (PP (IN in) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN back))))) (. .)))",BOATING_AND_SAILING,DO YOU SAIL OR ENJOY SOME OTHER FORM OF BOATING? DO YOU HAVE YOUR OWN BOAT? FIND OUT WHAT THE OTHER CALLER ENJOYS OR THINKS ABOUT BOATING OR SAILING. OR YOU MIGHT DISCUSS THE PROS AND CONS OF BOAT OWNERSHIP.
sw01utt/sw_0183_3169.utt,3/sw3169,3169,52,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,B,8,1,Oh.,(ROOT (INTJ (UH oh) (. .))),BOATING_AND_SAILING,DO YOU SAIL OR ENJOY SOME OTHER FORM OF BOATING? DO YOU HAVE YOUR OWN BOAT? FIND OUT WHAT THE OTHER CALLER ENJOYS OR THINKS ABOUT BOATING OR SAILING. OR YOU MIGHT DISCUSS THE PROS AND CONS OF BOAT OWNERSHIP.
sw01utt/sw_0183_3169.utt,3/sw3169,3169,60,sd(^q),none,,,A,9,8,"and they go, oh, yeah, sure, you know.","(ROOT (QP (CC and) (PRN (S (NP (PRP they)) (VP (VBP go))) (, ,) (SBAR (S (INTJ (UH oh)) (, ,) (JJ yeah) (, ,) (ADVP (JJ sure)) (, ,) (S (NP (PRP you)) (VP (VBP know))) (. .))))))",BOATING_AND_SAILING,DO YOU SAIL OR ENJOY SOME OTHER FORM OF BOATING? DO YOU HAVE YOUR OWN BOAT? FIND OUT WHAT THE OTHER CALLER ENJOYS OR THINKS ABOUT BOATING OR SAILING. OR YOU MIGHT DISCUSS THE PROS AND CONS OF BOAT OWNERSHIP.
sw01utt/sw_0183_3169.utt,3/sw3169.pos,3169,61,x,Communicative-Status:Non-verbal,,,B,10,1,.,(ROOT (. .)),BOATING_AND_SAILING,DO YOU SAIL OR ENJOY SOME OTHER FORM OF BOATING? DO YOU HAVE YOUR OWN BOAT? FIND OUT WHAT THE OTHER CALLER ENJOYS OR THINKS ABOUT BOATING OR SAILING. OR YOU MIGHT DISCUSS THE PROS AND CONS OF BOAT OWNERSHIP.
sw01utt/sw_0183_3169.utt,3/sw3169,3169,79,%,Communicative-Status:Uninterpretable,,,A,11,18,"but, uh","(ROOT (FRAG (CC but) (, ,) (INTJ (UH uh))))",BOATING_AND_SAILING,DO YOU SAIL OR ENJOY SOME OTHER FORM OF BOATING? DO YOU HAVE YOUR OWN BOAT? FIND OUT WHAT THE OTHER CALLER ENJOYS OR THINKS ABOUT BOATING OR SAILING. OR YOU MIGHT DISCUSS THE PROS AND CONS OF BOAT OWNERSHIP.
sw01utt/sw_0183_3169.utt,3/sw3169,3169,80,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,B,12,1,That sounds like a real challenge.,(ROOT (FRAG (SBAR (IN that) (S (VP (VBZ sounds) (PP (IN like) (NP (DT a) (JJ real) (NN challenge)))))) (. .))),BOATING_AND_SAILING,DO YOU SAIL OR ENJOY SOME OTHER FORM OF BOATING? DO YOU HAVE YOUR OWN BOAT? FIND OUT WHAT THE OTHER CALLER ENJOYS OR THINKS ABOUT BOATING OR SAILING. OR YOU MIGHT DISCUSS THE PROS AND CONS OF BOAT OWNERSHIP.
sw01utt/sw_0183_3169.utt,3/sw3169,3169,87,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,13,7,"but, just from what I've seen, you just kind of work your way up to it and turn around real quick, you know. Grab the rope behind you and then just let go real quick and let it whip you around.","(ROOT (S (CC but) (, ,) (ADVP (RB just) (PP (IN from) (SBAR (WHNP (WP what)) (S (FW i) (VP (VBP 've) (VP (VBN seen))))))) (, ,) (NP (PRP you)) (NP (NP (NP (RB just) (NN kind)) (PP (IN of) (NP (NN work)))) (NP (NP (NP (PRP$ your) (NN way)) (PP (IN up) (PP (TO to) (NP (PRP it))))) (CC and) (S (VP (VB turn) (PRT (RP around)) (NP (JJ real) (JJ quick)))))) (, ,) (NP (PRP you)) (VP (VBP know)) (. .)))",BOATING_AND_SAILING,DO YOU SAIL OR ENJOY SOME OTHER FORM OF BOATING? DO YOU HAVE YOUR OWN BOAT? FIND OUT WHAT THE OTHER CALLER ENJOYS OR THINKS ABOUT BOATING OR SAILING. OR YOU MIGHT DISCUSS THE PROS AND CONS OF BOAT OWNERSHIP.
sw01utt/sw_0183_3169.utt,3/sw3169,3169,88,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,B,14,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),BOATING_AND_SAILING,DO YOU SAIL OR ENJOY SOME OTHER FORM OF BOATING? DO YOU HAVE YOUR OWN BOAT? FIND OUT WHAT THE OTHER CALLER ENJOYS OR THINKS ABOUT BOATING OR SAILING. OR YOU MIGHT DISCUSS THE PROS AND CONS OF BOAT OWNERSHIP.
sw01utt/sw_0183_3169.utt,3/sw3169,3169,90,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,15,2,"maybe someday I'll, I'll get back to that as, after the kids are up and grown and the monies are there to get away for times on end, weekend or something.","(ROOT (S (ADVP (RB maybe) (RB someday)) (FW i) (VP (MD 'll) (, ,) (SBAR (S (FW i) (VP (MD 'll) (VP (VP (VB get) (ADVP (RB back)) (PP (TO to) (NP (DT that))) (SBAR (IN as) (, ,) (S (S (PP (IN after) (NP (DT the) (NNS kids))) (UCP (VBP are) (ADVP (RB up)) (CC and)) (VP (VBN grown))) (CC and) (S (NP (DT the) (NNS monies)) (VP (VBP are) (ADVP (EX there)) (S (VP (TO to) (VP (VB get) (ADVP (RB away)) (PP (IN for) (NP (NP (NNS times)) (PP (IN on) (NP (NN end))))))))))))) (, ,) (NP (NN weekend) (CC or) (NP (NN something)))))))) (. .)))",BOATING_AND_SAILING,DO YOU SAIL OR ENJOY SOME OTHER FORM OF BOATING? DO YOU HAVE YOUR OWN BOAT? FIND OUT WHAT THE OTHER CALLER ENJOYS OR THINKS ABOUT BOATING OR SAILING. OR YOU MIGHT DISCUSS THE PROS AND CONS OF BOAT OWNERSHIP.
sw01utt/sw_0183_3169.utt,3/sw3169,3169,91,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,16,1,"Well, my son","(ROOT (UCP (ADVP (RB well)) (, ,) (NP (PRP$ my) (NN son))))",BOATING_AND_SAILING,DO YOU SAIL OR ENJOY SOME OTHER FORM OF BOATING? DO YOU HAVE YOUR OWN BOAT? FIND OUT WHAT THE OTHER CALLER ENJOYS OR THINKS ABOUT BOATING OR SAILING. OR YOU MIGHT DISCUSS THE PROS AND CONS OF BOAT OWNERSHIP.
