swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,act_label_1,act_label_2,act_label_relation,caller,utterance_index,subutterance_index,clean_text,parse_tree,topic_description,prompt
sw02utt/sw_0296_3202.utt,3/sw3202,3202,0,qw,Info-request:Wh-Question,,,A,1,1,How would you go about organizing a family reunion ?,(ROOT (SBARQ (WHADVP (WRB how)) (SQ (MD would) (NP (PRP you)) (VP (VB go) (PP (RB about) (S (VP (VBG organizing) (NP (DT a) (NN family) (NN reunion))))))) (. ?))),FAMILY_REUNIONS,DISCUSS PLANNING A FAMILY REUNION.  DRAW ON YOUR EXPERIENCES AND THOSE OF THE OTHER CALLER FOR MAKING THE NEXT GET-TOGETHER SUCCESSFUL AND MEMORABLE.
sw02utt/sw_0296_3202.utt,3/sw3202,3202,5,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,2,5,"my family, like, got together almost every week.","(ROOT (FRAG (NP (PRP$ my) (NN family)) (, ,) (PP (IN like) (, ,) (VP (VBN got) (ADVP (RB together)) (NP (RB almost) (DT every) (NN week)))) (. .)))",FAMILY_REUNIONS,DISCUSS PLANNING A FAMILY REUNION.  DRAW ON YOUR EXPERIENCES AND THOSE OF THE OTHER CALLER FOR MAKING THE NEXT GET-TOGETHER SUCCESSFUL AND MEMORABLE.
sw02utt/sw_0296_3202.utt,3/sw3202,3202,6,ba,Backwards-Communicative-Function:Understanding:Appreciation,,,A,3,1,"Oh, gee.","(ROOT (FRAG (INTJ (UH oh)) (, ,) (ADVP (RB gee)) (. .)))",FAMILY_REUNIONS,DISCUSS PLANNING A FAMILY REUNION.  DRAW ON YOUR EXPERIENCES AND THOSE OF THE OTHER CALLER FOR MAKING THE NEXT GET-TOGETHER SUCCESSFUL AND MEMORABLE.
sw02utt/sw_0296_3202.utt,3/sw3202,3202,10,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,4,4,"I have a friend who just went to, like, Wyoming to some big ranch, you know, where like there were four hundred people","(ROOT (SINV (LST (LS i)) (VBP have) (NP (NP (DT a) (NN friend)) (SBAR (WHNP (WP who)) (S (ADVP (RB just)) (VP (VBD went) (SBAR (S (TO to) (, ,) (IN like) (, ,) (S (VP (VBG wyoming) (PP (TO to) (NP (DT some) (JJ big) (NN ranch))))) (, ,) (NP (PRP you)) (VP (VBP know) (, ,) (SINV (WHADVP (WRB where)) (PP (IN like) (NP (EX there))) (VP (VBD were)) (NP (CD four) (CD hundred) (NNS people))))))))))))",FAMILY_REUNIONS,DISCUSS PLANNING A FAMILY REUNION.  DRAW ON YOUR EXPERIENCES AND THOSE OF THE OTHER CALLER FOR MAKING THE NEXT GET-TOGETHER SUCCESSFUL AND MEMORABLE.
sw02utt/sw_0296_3202.utt,3/sw3202,3202,11,ba,Backwards-Communicative-Function:Understanding:Appreciation,,,A,5,1,"Oh, my.","(ROOT (FRAG (INTJ (UH oh)) (, ,) (PRP$ my) (. .)))",FAMILY_REUNIONS,DISCUSS PLANNING A FAMILY REUNION.  DRAW ON YOUR EXPERIENCES AND THOSE OF THE OTHER CALLER FOR MAKING THE NEXT GET-TOGETHER SUCCESSFUL AND MEMORABLE.
sw02utt/sw_0296_3202.utt,3/sw3202,3202,14,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,6,3,"so I mean, how I would go about doing it is I would just call all my relatives.","(ROOT (S (ADVP (RB so) (FW i)) (VP (VB mean) (, ,) (SBAR (WHADVP (WRB how)) (S (NP (FW i)) (VP (MD would) (VP (VB go) (S (ADVP (RB about)) (VP (VBG doing) (SBAR (S (NP (PRP it)) (VP (VBZ is) (SBAR (S (NP (FW i)) (VP (MD would) (VP (ADVP (RB just)) (VB call) (NP (DT all) (PRP$ my) (NNS relatives)))))))))))))))) (. .)))",FAMILY_REUNIONS,DISCUSS PLANNING A FAMILY REUNION.  DRAW ON YOUR EXPERIENCES AND THOSE OF THE OTHER CALLER FOR MAKING THE NEXT GET-TOGETHER SUCCESSFUL AND MEMORABLE.
sw02utt/sw_0296_3202.utt,3/sw3202,3202,15,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,7,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),FAMILY_REUNIONS,DISCUSS PLANNING A FAMILY REUNION.  DRAW ON YOUR EXPERIENCES AND THOSE OF THE OTHER CALLER FOR MAKING THE NEXT GET-TOGETHER SUCCESSFUL AND MEMORABLE.
sw02utt/sw_0296_3202.utt,3/sw3202,3202,25,%,Communicative-Status:Uninterpretable,,,B,8,10,but,(ROOT (CC but)),FAMILY_REUNIONS,DISCUSS PLANNING A FAMILY REUNION.  DRAW ON YOUR EXPERIENCES AND THOSE OF THE OTHER CALLER FOR MAKING THE NEXT GET-TOGETHER SUCCESSFUL AND MEMORABLE.
sw02utt/sw_0296_3202.utt,3/sw3202,3202,26,aa,Backwards-Communicative-Function:Agreement:Accept,,,A,9,1,Yes.,(ROOT (ADVP (RB yes) (. .))),FAMILY_REUNIONS,DISCUSS PLANNING A FAMILY REUNION.  DRAW ON YOUR EXPERIENCES AND THOSE OF THE OTHER CALLER FOR MAKING THE NEXT GET-TOGETHER SUCCESSFUL AND MEMORABLE.
sw02utt/sw_0296_3202.utt,3/sw3202,3202,28,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,10,2,"And I grew up in a real not, I think not normal setting.","(ROOT (SINV (CC and) (FW i) (NP (SBAR (WHNP (S (VP (VBD grew) (PRT (RP up)) (PP (IN in) (NP (DT a) (JJ real) (RB not)))) (, ,) (FW i) (S (VP (VBP think) (RB not) (NP (JJ normal) (NN setting)))))))) (. .)))",FAMILY_REUNIONS,DISCUSS PLANNING A FAMILY REUNION.  DRAW ON YOUR EXPERIENCES AND THOSE OF THE OTHER CALLER FOR MAKING THE NEXT GET-TOGETHER SUCCESSFUL AND MEMORABLE.
