swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,act_label_1,act_label_2,act_label_relation,caller,utterance_index,subutterance_index,clean_text,parse_tree,topic_description,prompt
sw07utt/sw_0726_4443.utt,4/sw4443,4443,0,qy,Info-request:Yes-No-Question,,,A,1,1,Do you play ?,(ROOT (SBARQ (SQ (VB do) (NP (PRP you)) (VP (VB play))) (. ?))),GOLF,DISCUSS GOLF. ARE YOU A SPECTATOR OR A PLAYER?  WHAT ARE THE ASPECTS OF THE GAME THAT YOU THINK ARE MOST CHALLENGING?  WHAT DO YOU ENJOY THE MOST ABOUT PLAYING OR WATCHING GOLF?
sw07utt/sw_0726_4443.utt,4/sw4443,4443,3,qo,Info-request:Open-Question,,,B,2,3,How about you ?,(ROOT (FRAG (WHADVP (WRB how) (RB about)) (NP (PRP you)) (. ?))),GOLF,DISCUSS GOLF. ARE YOU A SPECTATOR OR A PLAYER?  WHAT ARE THE ASPECTS OF THE GAME THAT YOU THINK ARE MOST CHALLENGING?  WHAT DO YOU ENJOY THE MOST ABOUT PLAYING OR WATCHING GOLF?
sw07utt/sw_0726_4443.utt,4/sw4443,4443,5,na,Backwards-Communicative-Function:Answer:Affirmative-non-yes-answers,,,A,3,2,"Well, I'm into it. Uh","(ROOT (S (ADVP (RB well)) (, ,) (VP (FW i) (S (VP (VBP 'm) (PP (IN into) (NP (PRP it)))))) (. .)))",GOLF,DISCUSS GOLF. ARE YOU A SPECTATOR OR A PLAYER?  WHAT ARE THE ASPECTS OF THE GAME THAT YOU THINK ARE MOST CHALLENGING?  WHAT DO YOU ENJOY THE MOST ABOUT PLAYING OR WATCHING GOLF?
sw07utt/sw_0726_4443.utt,4/sw4443,4443,8,%,Communicative-Status:Uninterpretable,,,B,4,3,but it's a,(ROOT (FRAG (CC but) (S (NP (PRP it)) (VP (VBZ 's) (ADJP (DT a)))))),GOLF,DISCUSS GOLF. ARE YOU A SPECTATOR OR A PLAYER?  WHAT ARE THE ASPECTS OF THE GAME THAT YOU THINK ARE MOST CHALLENGING?  WHAT DO YOU ENJOY THE MOST ABOUT PLAYING OR WATCHING GOLF?
sw07utt/sw_0726_4443.utt,4/sw4443,4443,9,qy,Info-request:Yes-No-Question,,,A,5,1,Is anybody ?,(ROOT (SBARQ (SQ (VBZ is) (NP (NN anybody))) (. ?))),GOLF,DISCUSS GOLF. ARE YOU A SPECTATOR OR A PLAYER?  WHAT ARE THE ASPECTS OF THE GAME THAT YOU THINK ARE MOST CHALLENGING?  WHAT DO YOU ENJOY THE MOST ABOUT PLAYING OR WATCHING GOLF?
sw07utt/sw_0726_4443.utt,4/sw4443,4443,11,ng,Backwards-Communicative-Function:Answer:Negative-non-no-answers,,,B,6,2,I don't think so.,(ROOT (S (VP (LS i) (S (VP (VBP do) (RB n't) (VP (VB think) (ADVP (RB so)))))) (. .))),GOLF,DISCUSS GOLF. ARE YOU A SPECTATOR OR A PLAYER?  WHAT ARE THE ASPECTS OF THE GAME THAT YOU THINK ARE MOST CHALLENGING?  WHAT DO YOU ENJOY THE MOST ABOUT PLAYING OR WATCHING GOLF?
sw07utt/sw_0726_4443.utt,4/sw4443,4443,14,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,8,2,We lived,(ROOT (S (NP (PRP we)) (VP (VBD lived)))),GOLF,DISCUSS GOLF. ARE YOU A SPECTATOR OR A PLAYER?  WHAT ARE THE ASPECTS OF THE GAME THAT YOU THINK ARE MOST CHALLENGING?  WHAT DO YOU ENJOY THE MOST ABOUT PLAYING OR WATCHING GOLF?
sw07utt/sw_0726_4443.utt,4/sw4443,4443,15,bh,Backwards-Communicative-Function:Understanding:Backchannel-in-question-form,,,A,9,1,Really ?,(ROOT (FRAG (ADVP (RB really)) (. ?))),GOLF,DISCUSS GOLF. ARE YOU A SPECTATOR OR A PLAYER?  WHAT ARE THE ASPECTS OF THE GAME THAT YOU THINK ARE MOST CHALLENGING?  WHAT DO YOU ENJOY THE MOST ABOUT PLAYING OR WATCHING GOLF?
sw07utt/sw_0726_4443.utt,4/sw4443,4443,18,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,10,3,and then,(ROOT (FRAG (CC and) (ADVP (RB then)))),GOLF,DISCUSS GOLF. ARE YOU A SPECTATOR OR A PLAYER?  WHAT ARE THE ASPECTS OF THE GAME THAT YOU THINK ARE MOST CHALLENGING?  WHAT DO YOU ENJOY THE MOST ABOUT PLAYING OR WATCHING GOLF?
sw07utt/sw_0726_4443.utt,4/sw4443,4443,19,ba,Backwards-Communicative-Function:Understanding:Appreciation,,,A,11,1,"Oh, wow.","(ROOT (NP (NP (INTJ (UH oh)) (, ,) (NN wow)) (. .)))",GOLF,DISCUSS GOLF. ARE YOU A SPECTATOR OR A PLAYER?  WHAT ARE THE ASPECTS OF THE GAME THAT YOU THINK ARE MOST CHALLENGING?  WHAT DO YOU ENJOY THE MOST ABOUT PLAYING OR WATCHING GOLF?
