swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,act_label_1,act_label_2,act_label_relation,caller,utterance_index,subutterance_index,clean_text,parse_tree,topic_description,prompt
sw08utt/sw_0810_2232.utt,2/sw2232,2232,1,qw,Info-request:Wh-Question,,,A,1,2,So what are your opinions on it ?,(ROOT (FRAG (SBAR (RB so) (WHNP (WP what)) (S (VP (VBP are) (NP (PRP$ your) (NNS opinions)) (PP (IN on) (NP (PRP it)))))) (. ?))),VIETNAM_WAR,TRY TO FIND OUT WHAT THE OTHER CALLER'S VIEWS ARE ON THE VIETNAM WAR.  WAS IT JUSTIFIED?  WAS IT WORTH THE COST IN DOLLARS AND LIVES?
sw08utt/sw_0810_2232.utt,2/sw2232,2232,4,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,2,3,"I was a staff officer in Vietnam, in sixty-nine and seventy","(ROOT (S (VP (LST (LS i)) (VBD was) (NP (NP (DT a) (NN staff) (NN officer)) (PP (IN in) (NP (NN vietnam)))) (, ,) (X (PP (PP (IN in) (NP (CD sixty-nine))) (CC and) (CD seventy))))))",VIETNAM_WAR,TRY TO FIND OUT WHAT THE OTHER CALLER'S VIEWS ARE ON THE VIETNAM WAR.  WAS IT JUSTIFIED?  WAS IT WORTH THE COST IN DOLLARS AND LIVES?
sw08utt/sw_0810_2232.utt,2/sw2232,2232,5,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,3,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),VIETNAM_WAR,TRY TO FIND OUT WHAT THE OTHER CALLER'S VIEWS ARE ON THE VIETNAM WAR.  WAS IT JUSTIFIED?  WAS IT WORTH THE COST IN DOLLARS AND LIVES?
sw08utt/sw_0810_2232.utt,2/sw2232,2232,7,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,4,2,"so, uh, I'm probably not going to have the MUMBLEx you think I would have.","(ROOT (S (ADVP (RB so)) (, ,) (INTJ (UH uh)) (, ,) (VP (FW i) (S (VP (VBP 'm) (ADVP (RB probably) (RB not)) (VP (VBG going) (S (VP (TO to) (VP (VB have) (NP (NP (DT the) (JJ mumblex)) (SBAR (S (NP (PRP you)) (VP (VBP think) (SBAR (S (NP (FW i)) (VP (MD would) (VP (VB have)))))))))))))))) (. .)))",VIETNAM_WAR,TRY TO FIND OUT WHAT THE OTHER CALLER'S VIEWS ARE ON THE VIETNAM WAR.  WAS IT JUSTIFIED?  WAS IT WORTH THE COST IN DOLLARS AND LIVES?
sw08utt/sw_0810_2232.utt,2/sw2232,2232,8,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,5,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),VIETNAM_WAR,TRY TO FIND OUT WHAT THE OTHER CALLER'S VIEWS ARE ON THE VIETNAM WAR.  WAS IT JUSTIFIED?  WAS IT WORTH THE COST IN DOLLARS AND LIVES?
sw08utt/sw_0810_2232.utt,2/sw2232,2232,10,sd*,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,6,2,"I was an interesting, in that I think that he gave the American people some, uh, uh, a sense of the fact that, that, uh, wars are really run by politicians.","(ROOT (SQ (LS i) (VBD was) (S (DT an) (JJ interesting) (, ,) (PP (IN in) (NP (DT that))) (FW i) (VP (VBP think) (SBAR (IN that) (S (NP (PRP he)) (VP (VBD gave) (NP (DT the) (JJ american) (NNS people)) (NP (NP (DT some)) (, ,) (FRAG (INTJ (UH uh)) (, ,) (INTJ (UH uh)) (, ,) (NP (NP (DT a) (NN sense)) (PP (IN of) (NP (DT the) (SBAR (NN fact) (IN that) (, ,) (SBAR (IN that) (, ,) (S (INTJ (UH uh)) (, ,) (NP (NNS wars)) (VP (VBP are) (ADVP (RB really)) (VP (VBN run) (PP (IN by) (NP (NNS politicians))))) (. .))))))))))))))))",VIETNAM_WAR,TRY TO FIND OUT WHAT THE OTHER CALLER'S VIEWS ARE ON THE VIETNAM WAR.  WAS IT JUSTIFIED?  WAS IT WORTH THE COST IN DOLLARS AND LIVES?
sw08utt/sw_0810_2232.utt,2/sw2232,2232,11,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,7,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),VIETNAM_WAR,TRY TO FIND OUT WHAT THE OTHER CALLER'S VIEWS ARE ON THE VIETNAM WAR.  WAS IT JUSTIFIED?  WAS IT WORTH THE COST IN DOLLARS AND LIVES?
sw08utt/sw_0810_2232.utt,2/sw2232,2232,13,qy,Info-request:Yes-No-Question,,,B,8,2,are you old enough to remember the war ?,(ROOT (SBARQ (SQ (VBP are) (NP (NP (PRP you)) (ADJP (JJ old) (JJ enough) (S (VP (TO to) (VP (VB remember) (NP (DT the) (NN war)))))))) (. ?))),VIETNAM_WAR,TRY TO FIND OUT WHAT THE OTHER CALLER'S VIEWS ARE ON THE VIETNAM WAR.  WAS IT JUSTIFIED?  WAS IT WORTH THE COST IN DOLLARS AND LIVES?
sw08utt/sw_0810_2232.utt,2/sw2232,2232,20,^g,none,,,A,9,7,Right ?,(ROOT (ADVP (RB right) (. ?))),VIETNAM_WAR,TRY TO FIND OUT WHAT THE OTHER CALLER'S VIEWS ARE ON THE VIETNAM WAR.  WAS IT JUSTIFIED?  WAS IT WORTH THE COST IN DOLLARS AND LIVES?
sw08utt/sw_0810_2232.utt,2/sw2232,2232,21,ny,Info-request:Yes answers,,,B,10,1,Yeah.,(ROOT (NP (NN yeah) (. .))),VIETNAM_WAR,TRY TO FIND OUT WHAT THE OTHER CALLER'S VIEWS ARE ON THE VIETNAM WAR.  WAS IT JUSTIFIED?  WAS IT WORTH THE COST IN DOLLARS AND LIVES?
sw08utt/sw_0810_2232.utt,2/sw2232,2232,23,qw,Info-request:Wh-Question,,,A,11,2,so when did it end ?,(ROOT (FRAG (ADVP (RB so)) (VP (SBARQ (WHADVP (WRB when)) (SQ (VBD did) (NP (PRP it)) (VP (VB end))) (. ?))))),VIETNAM_WAR,TRY TO FIND OUT WHAT THE OTHER CALLER'S VIEWS ARE ON THE VIETNAM WAR.  WAS IT JUSTIFIED?  WAS IT WORTH THE COST IN DOLLARS AND LIVES?
sw08utt/sw_0810_2232.utt,2/sw2232,2232,24,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,12,1,"Well, December seventy-two, was when we bombed North Vietnam, and then they released the prisoners in early seventy-three","(ROOT (S (ADVP (RB well)) (, ,) (NP (NNP december) (CD seventy-two)) (, ,) (VP (VP (VBD was) (SBAR (WHADVP (WRB when)) (S (NP (PRP we)) (VP (VBD bombed) (PP (RB north) (NP (NNP vietnam))))))) (, ,) (CC and) (S (ADVP (RB then)) (NP (PRP they)) (VP (VBD released) (NP (DT the) (NNS prisoners)) (PP (IN in) (NP (JJ early) (CD seventy-three))))))))",VIETNAM_WAR,TRY TO FIND OUT WHAT THE OTHER CALLER'S VIEWS ARE ON THE VIETNAM WAR.  WAS IT JUSTIFIED?  WAS IT WORTH THE COST IN DOLLARS AND LIVES?
