swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,act_label_1,act_label_2,act_label_relation,caller,utterance_index,subutterance_index,clean_text,parse_tree,topic_description,prompt
sw10utt/sw_1055_3272.utt,3/sw3272,3272,2,qy,Info-request:Yes-No-Question,,,A,1,3,"do you have an opinion on that, on the U S R ?","(ROOT (SQ (VB do) (NP (PRP you)) (VP (VBP have) (NP (NP (DT an) (NN opinion)) (PP (IN on) (NP (DT that)))) (, ,) (PP (IN on) (NP (DT the) (FW u)))) (VP (VBZ s) (NP (NN r))) (. ?)))",SOVIET_UNION,FIND OUT WHETHER OR NOT THE OTHER CALLER CONSIDERS THE SOVIET UNION A THREAT TO THE UNITED STATES.   TAKE AN OPPOSING VIEW IN YOUR DISCUSSION WITH THE OTHER CALLER.
sw10utt/sw_1055_3272.utt,3/sw3272,3272,4,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,2,2,"I think I'm, I'm skeptical about the whole thing. Uh, and a, still a little bit worried about them because of the his-, the history of Russia.","(ROOT (S (S (LS i) (VP (VB think) (SBAR (S (FW i) (VP (VBP 'm)))))) (, ,) (FW i) (VP (VBP 'm) (ADJP (JJ skeptical) (PP (IN about) (NP (DT the) (JJ whole) (NN thing))))) (. .)))",SOVIET_UNION,FIND OUT WHETHER OR NOT THE OTHER CALLER CONSIDERS THE SOVIET UNION A THREAT TO THE UNITED STATES.   TAKE AN OPPOSING VIEW IN YOUR DISCUSSION WITH THE OTHER CALLER.
sw10utt/sw_1055_3272.utt,3/sw3272,3272,5,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,3,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),SOVIET_UNION,FIND OUT WHETHER OR NOT THE OTHER CALLER CONSIDERS THE SOVIET UNION A THREAT TO THE UNITED STATES.   TAKE AN OPPOSING VIEW IN YOUR DISCUSSION WITH THE OTHER CALLER.
sw10utt/sw_1055_3272.utt,3/sw3272,3272,6,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,4,1,"And they're in a, in a state of flux right now changing, uh, e-, uh, changing a great deal","(ROOT (FRAG (S (CC and) (S (NP (PRP they)) (VP (VBP 're) (PP (IN in) (NP (DT a))))) (, ,) (PP (IN in) (NP (NP (DT a) (NN state)) (PP (IN of) (NP (NN flux))))) (ADJP (ADVP (RB right) (RB now)) (VBG changing)) (, ,) (INTJ (UH uh)) (, ,) (SYM e) (: -)) (, ,) (INTJ (UH uh)) (, ,) (S (VP (VBG changing) (NP (DT a) (JJ great) (NN deal))))))",SOVIET_UNION,FIND OUT WHETHER OR NOT THE OTHER CALLER CONSIDERS THE SOVIET UNION A THREAT TO THE UNITED STATES.   TAKE AN OPPOSING VIEW IN YOUR DISCUSSION WITH THE OTHER CALLER.
sw10utt/sw_1055_3272.utt,3/sw3272,3272,7,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,5,1,Sure.,(ROOT (ADVP (RB sure) (. .))),SOVIET_UNION,FIND OUT WHETHER OR NOT THE OTHER CALLER CONSIDERS THE SOVIET UNION A THREAT TO THE UNITED STATES.   TAKE AN OPPOSING VIEW IN YOUR DISCUSSION WITH THE OTHER CALLER.
sw10utt/sw_1055_3272.utt,3/sw3272,3272,8,+,Other:Segment-(multi-utterance),,,B,6,1,primarily because of the economic distress.,(ROOT (FRAG (PP (ADVP (RB primarily)) (IN because) (IN of) (NP (DT the) (JJ economic) (NN distress))) (. .))),SOVIET_UNION,FIND OUT WHETHER OR NOT THE OTHER CALLER CONSIDERS THE SOVIET UNION A THREAT TO THE UNITED STATES.   TAKE AN OPPOSING VIEW IN YOUR DISCUSSION WITH THE OTHER CALLER.
sw10utt/sw_1055_3272.utt,3/sw3272,3272,10,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,7,2,Sure.,(ROOT (ADVP (RB sure) (. .))),SOVIET_UNION,FIND OUT WHETHER OR NOT THE OTHER CALLER CONSIDERS THE SOVIET UNION A THREAT TO THE UNITED STATES.   TAKE AN OPPOSING VIEW IN YOUR DISCUSSION WITH THE OTHER CALLER.
sw10utt/sw_1055_3272.utt,3/sw3272,3272,13,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,B,8,3,and,(ROOT (CC and)),SOVIET_UNION,FIND OUT WHETHER OR NOT THE OTHER CALLER CONSIDERS THE SOVIET UNION A THREAT TO THE UNITED STATES.   TAKE AN OPPOSING VIEW IN YOUR DISCUSSION WITH THE OTHER CALLER.
sw10utt/sw_1055_3272.utt,3/sw3272,3272,14,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,9,1,Sure.,(ROOT (ADVP (RB sure) (. .))),SOVIET_UNION,FIND OUT WHETHER OR NOT THE OTHER CALLER CONSIDERS THE SOVIET UNION A THREAT TO THE UNITED STATES.   TAKE AN OPPOSING VIEW IN YOUR DISCUSSION WITH THE OTHER CALLER.
sw10utt/sw_1055_3272.utt,3/sw3272,3272,16,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,B,10,2,and that's why they put a lot of people to death.,(ROOT (S (CC and) (S (NP (DT that)) (VP (VBZ 's) (SBAR (WHADVP (WRB why)) (S (NP (PRP they)) (VP (VBD put) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NNS people)))) (PP (TO to) (NP (NN death)))))))) (. .))),SOVIET_UNION,FIND OUT WHETHER OR NOT THE OTHER CALLER CONSIDERS THE SOVIET UNION A THREAT TO THE UNITED STATES.   TAKE AN OPPOSING VIEW IN YOUR DISCUSSION WITH THE OTHER CALLER.
