swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,act_label_1,act_label_2,act_label_relation,caller,utterance_index,subutterance_index,clean_text,parse_tree,topic_description,prompt
sw10utt/sw_1009_3102.utt,3/sw3102,3102,2,sd^t,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,1,3,MUMBLEx we are supposed to talk,(ROOT (NP (NP (NN mumblex)) (SBAR (S (NP (PRP we)) (VP (VBP are) (VP (VBN supposed) (S (VP (TO to) (VP (VB talk)))))))))),CHOOSING_A_COLLEGE,WHAT ADVICE OR EXPERIENCE CAN YOU OFFER TO A PARENT ON HOW TO HELP A SON OR DAUGHTER CHOOSE A COLLEGE TO ATTEND?
sw10utt/sw_1009_3102.utt,3/sw3102,3102,3,sd^t,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,2,1,"Advice for people taking for parents, uh, help their kids through college.","(ROOT (S (NP (NP (NN advice)) (PP (IN for) (NP (NP (NNS people)) (VP (VBG taking) (PP (IN for) (NP (NP (NNS parents)) (, ,) (INTJ (UH uh)) (, ,))))))) (VP (VB help) (NP (PRP$ their) (NNS kids)) (PP (IN through) (NP (NN college)))) (. .)))",CHOOSING_A_COLLEGE,WHAT ADVICE OR EXPERIENCE CAN YOU OFFER TO A PARENT ON HOW TO HELP A SON OR DAUGHTER CHOOSE A COLLEGE TO ATTEND?
sw10utt/sw_1009_3102.utt,3/sw3102,3102,5,qy,Info-request:Yes-No-Question,,,B,3,2,do you have any children ?,(ROOT (SQ (VB do) (NP (PRP you)) (VP (VBP have) (NP (DT any) (NNS children))) (. ?))),CHOOSING_A_COLLEGE,WHAT ADVICE OR EXPERIENCE CAN YOU OFFER TO A PARENT ON HOW TO HELP A SON OR DAUGHTER CHOOSE A COLLEGE TO ATTEND?
sw10utt/sw_1009_3102.utt,3/sw3102,3102,7,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,4,2,I just graduated from college.,(ROOT (NP (NP (LS i) (VP (ADVP (RB just)) (VBN graduated) (PP (IN from) (NP (NN college))))) (. .))),CHOOSING_A_COLLEGE,WHAT ADVICE OR EXPERIENCE CAN YOU OFFER TO A PARENT ON HOW TO HELP A SON OR DAUGHTER CHOOSE A COLLEGE TO ATTEND?
sw10utt/sw_1009_3102.utt,3/sw3102,3102,8,bh,Backwards-Communicative-Function:Understanding:Backchannel-in-question-form,,,B,5,1,"Oh, did you ?","(ROOT (SINV (INTJ (UH oh)) (, ,) (VBD did) (NP (PRP you)) (. ?)))",CHOOSING_A_COLLEGE,WHAT ADVICE OR EXPERIENCE CAN YOU OFFER TO A PARENT ON HOW TO HELP A SON OR DAUGHTER CHOOSE A COLLEGE TO ATTEND?
sw10utt/sw_1009_3102.utt,3/sw3102,3102,9,ny,Info-request:Yes answers,,,A,6,1,Yes.,(ROOT (ADVP (RB yes) (. .))),CHOOSING_A_COLLEGE,WHAT ADVICE OR EXPERIENCE CAN YOU OFFER TO A PARENT ON HOW TO HELP A SON OR DAUGHTER CHOOSE A COLLEGE TO ATTEND?
sw10utt/sw_1009_3102.utt,3/sw3102,3102,10,qw,Info-request:Wh-Question,,,B,7,1,Where did you go ?,(ROOT (SBARQ (WHADVP (WRB where)) (SQ (VBD did) (NP (PRP you)) (VP (VB go))) (. ?))),CHOOSING_A_COLLEGE,WHAT ADVICE OR EXPERIENCE CAN YOU OFFER TO A PARENT ON HOW TO HELP A SON OR DAUGHTER CHOOSE A COLLEGE TO ATTEND?
sw10utt/sw_1009_3102.utt,3/sw3102,3102,11,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,8,1,I went to Clarion.,(ROOT (S (VP (LS i) (S (VP (VBD went) (PP (TO to) (NP (NN clarion)))))) (. .))),CHOOSING_A_COLLEGE,WHAT ADVICE OR EXPERIENCE CAN YOU OFFER TO A PARENT ON HOW TO HELP A SON OR DAUGHTER CHOOSE A COLLEGE TO ATTEND?
sw10utt/sw_1009_3102.utt,3/sw3102,3102,12,bf^m,Backwards-Communicative-Function:Understanding:Summarize/reformulate,,,B,9,1,Clarion.,(ROOT (NP (NN clarion) (. .))),CHOOSING_A_COLLEGE,WHAT ADVICE OR EXPERIENCE CAN YOU OFFER TO A PARENT ON HOW TO HELP A SON OR DAUGHTER CHOOSE A COLLEGE TO ATTEND?
sw10utt/sw_1009_3102.utt,3/sw3102,3102,13,aa,Backwards-Communicative-Function:Agreement:Accept,,,A,10,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),CHOOSING_A_COLLEGE,WHAT ADVICE OR EXPERIENCE CAN YOU OFFER TO A PARENT ON HOW TO HELP A SON OR DAUGHTER CHOOSE A COLLEGE TO ATTEND?
sw10utt/sw_1009_3102.utt,3/sw3102,3102,15,%,Communicative-Status:Uninterpretable,,,B,11,2,or,(ROOT (CC or)),CHOOSING_A_COLLEGE,WHAT ADVICE OR EXPERIENCE CAN YOU OFFER TO A PARENT ON HOW TO HELP A SON OR DAUGHTER CHOOSE A COLLEGE TO ATTEND?
sw10utt/sw_1009_3102.utt,3/sw3102,3102,17,%,Communicative-Status:Uninterpretable,,,A,12,2,"and I would, you know","(ROOT (S (NP (CC and) (FW i) (MD would)) (, ,) (NP (PRP you)) (VP (VBP know))))",CHOOSING_A_COLLEGE,WHAT ADVICE OR EXPERIENCE CAN YOU OFFER TO A PARENT ON HOW TO HELP A SON OR DAUGHTER CHOOSE A COLLEGE TO ATTEND?
sw10utt/sw_1009_3102.utt,3/sw3102,3102,18,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,B,13,1,Yeah.,(ROOT (NP (NN yeah) (. .))),CHOOSING_A_COLLEGE,WHAT ADVICE OR EXPERIENCE CAN YOU OFFER TO A PARENT ON HOW TO HELP A SON OR DAUGHTER CHOOSE A COLLEGE TO ATTEND?
sw10utt/sw_1009_3102.utt,3/sw3102,3102,19,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,14,1,"uh, I pretty much made my decision on my own and my b-, older brother, likewise.","(ROOT (S (INTJ (UH uh)) (, ,) (FW i) (ADVP (RB pretty) (RB much)) (VP (VBN made) (NP (PRP$ my) (NN decision)) (PP (IN on) (NP (NP (PRP$ my) (JJ own)) (CC and) (NP (PRP$ my) (SYM b)))) (: -) (, ,) (NP (NP (JJR older) (NN brother)) (, ,) (ADVP (RB likewise)) (. .)))))",CHOOSING_A_COLLEGE,WHAT ADVICE OR EXPERIENCE CAN YOU OFFER TO A PARENT ON HOW TO HELP A SON OR DAUGHTER CHOOSE A COLLEGE TO ATTEND?
sw10utt/sw_1009_3102.utt,3/sw3102,3102,20,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,B,15,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),CHOOSING_A_COLLEGE,WHAT ADVICE OR EXPERIENCE CAN YOU OFFER TO A PARENT ON HOW TO HELP A SON OR DAUGHTER CHOOSE A COLLEGE TO ATTEND?
sw10utt/sw_1009_3102.utt,3/sw3102,3102,21,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,16,1,"And, uh, you know, we, we were both pretty much happy with what we did.","(ROOT (UCP (CC and) (, ,) (SBAR (INTJ (UH uh)) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,)) (S (NP (PRP we)) (, ,) (NP (PRP we)) (VP (VBD were) (S (DT both) (S (NP (RB pretty) (JJ much)) (ADJP (JJ happy) (PP (IN with) (SBAR (WHNP (WP what)) (S (NP (PRP we)) (VP (VBD did))))))))) (. .)))))",CHOOSING_A_COLLEGE,WHAT ADVICE OR EXPERIENCE CAN YOU OFFER TO A PARENT ON HOW TO HELP A SON OR DAUGHTER CHOOSE A COLLEGE TO ATTEND?
sw10utt/sw_1009_3102.utt,3/sw3102,3102,22,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,B,17,1,Yeah.,(ROOT (NP (NN yeah) (. .))),CHOOSING_A_COLLEGE,WHAT ADVICE OR EXPERIENCE CAN YOU OFFER TO A PARENT ON HOW TO HELP A SON OR DAUGHTER CHOOSE A COLLEGE TO ATTEND?
sw10utt/sw_1009_3102.utt,3/sw3102,3102,23,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,18,1,"So, I think, I would not push them towards any one place.","(ROOT (S (ADVP (RB so)) (, ,) (FW i) (VB think) (, ,) (NP (FW i)) (VP (MD would) (RB not) (VP (VB push) (NP (PRP them)) (PP (IN towards) (NP (DT any) (CD one) (NN place))))) (. .)))",CHOOSING_A_COLLEGE,WHAT ADVICE OR EXPERIENCE CAN YOU OFFER TO A PARENT ON HOW TO HELP A SON OR DAUGHTER CHOOSE A COLLEGE TO ATTEND?
sw10utt/sw_1009_3102.utt,3/sw3102,3102,33,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,B,19,10,"you get out of it what you put into it, I think.","(ROOT (S (S (NP (PRP you)) (VP (VBP get) (PP (IN out) (PP (IN of) (NP (PRP it)))) (SBAR (WHNP (WP what)) (S (NP (PRP you)) (VP (VBP put) (PP (IN into) (NP (PRP it)))))))) (, ,) (S (NP (FW i)) (VP (VBP think))) (. .)))",CHOOSING_A_COLLEGE,WHAT ADVICE OR EXPERIENCE CAN YOU OFFER TO A PARENT ON HOW TO HELP A SON OR DAUGHTER CHOOSE A COLLEGE TO ATTEND?
sw10utt/sw_1009_3102.utt,3/sw3102,3102,34,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,20,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),CHOOSING_A_COLLEGE,WHAT ADVICE OR EXPERIENCE CAN YOU OFFER TO A PARENT ON HOW TO HELP A SON OR DAUGHTER CHOOSE A COLLEGE TO ATTEND?
sw10utt/sw_1009_3102.utt,3/sw3102,3102,37,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,21,3,"some people are real adamant about, you know, going to a certain school or whatever.","(ROOT (S (S (NP (DT some) (NNS people)) (VP (VBP are) (ADJP (JJ real) (JJ adamant)) (PP (RB about)))) (, ,) (S (NP (PRP you)) (VP (VBP know) (, ,) (S (VP (VBG going) (PP (TO to) (NP (DT a) (JJ certain) (NN school) (CC or) (WDT whatever))))))) (. .)))",CHOOSING_A_COLLEGE,WHAT ADVICE OR EXPERIENCE CAN YOU OFFER TO A PARENT ON HOW TO HELP A SON OR DAUGHTER CHOOSE A COLLEGE TO ATTEND?
sw10utt/sw_1009_3102.utt,3/sw3102,3102,38,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,22,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),CHOOSING_A_COLLEGE,WHAT ADVICE OR EXPERIENCE CAN YOU OFFER TO A PARENT ON HOW TO HELP A SON OR DAUGHTER CHOOSE A COLLEGE TO ATTEND?
sw10utt/sw_1009_3102.utt,3/sw3102,3102,42,%,Communicative-Status:Uninterpretable,,,B,23,4,But,(ROOT (CC but)),CHOOSING_A_COLLEGE,WHAT ADVICE OR EXPERIENCE CAN YOU OFFER TO A PARENT ON HOW TO HELP A SON OR DAUGHTER CHOOSE A COLLEGE TO ATTEND?
sw10utt/sw_1009_3102.utt,3/sw3102,3102,44,aa,Backwards-Communicative-Function:Agreement:Accept,,,A,24,2,exactly.,(ROOT (ADVP (RB exactly) (. .))),CHOOSING_A_COLLEGE,WHAT ADVICE OR EXPERIENCE CAN YOU OFFER TO A PARENT ON HOW TO HELP A SON OR DAUGHTER CHOOSE A COLLEGE TO ATTEND?
