swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,act_label_1,act_label_2,act_label_relation,caller,utterance_index,subutterance_index,clean_text,parse_tree,topic_description,prompt
sw02utt/sw_0291_2876.utt,2/sw2876,2876,1,qw,Info-request:Wh-Question,,,A,1,2,"uh, how long have they been recycling there in Virginia ?.","(ROOT (FRAG (SBARQ (INTJ (UH uh)) (, ,) (WHADVP (WRB how) (RB long)) (SINV (VBP have) (NP (PRP they)) (VP (VBN been) (VP (VBG recycling) (ADVP (RB there)) (PP (IN in) (NP (NN virginia)))))) (. ?)) (. .)))",RECYCLING,WHAT IS BEING DONE IN YOUR COMMUNITY OR AREA ABOUT RECYCLING WASTE MATERIALS?  DO YOU THINK MORE SHOULD BE DONE?  DO YOU HAVE ANY IDEAS ON HOW TO ENCOURAGE MORE RECYCLING OR ON WHAT OTHER MATERIALS SHOULD BE INCLUDED?
sw02utt/sw_0291_2876.utt,2/sw2876,2876,4,ad,Info-request:Action-directive,,,B,2,3,"and, can you hold on just a second ?.","(ROOT (SQ (CC and) (, ,) (MD can) (NP (PRP you)) (VP (VB hold) (PRT (RP on)) (NP (RB just) (DT a) (JJ second) (. ?))) (. .)))",RECYCLING,WHAT IS BEING DONE IN YOUR COMMUNITY OR AREA ABOUT RECYCLING WASTE MATERIALS?  DO YOU THINK MORE SHOULD BE DONE?  DO YOU HAVE ANY IDEAS ON HOW TO ENCOURAGE MORE RECYCLING OR ON WHAT OTHER MATERIALS SHOULD BE INCLUDED?
sw02utt/sw_0291_2876.utt,2/sw2876,2876,6,aa,Backwards-Communicative-Function:Agreement:Accept,,,A,3,2,uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),RECYCLING,WHAT IS BEING DONE IN YOUR COMMUNITY OR AREA ABOUT RECYCLING WASTE MATERIALS?  DO YOU THINK MORE SHOULD BE DONE?  DO YOU HAVE ANY IDEAS ON HOW TO ENCOURAGE MORE RECYCLING OR ON WHAT OTHER MATERIALS SHOULD BE INCLUDED?
sw02utt/sw_0291_2876.utt,2/sw2876,2876,7,fp,Other-forward-function:Conventional-opening,,,B,4,1,Hello.,(ROOT (INTJ (UH hello) (. .))),RECYCLING,WHAT IS BEING DONE IN YOUR COMMUNITY OR AREA ABOUT RECYCLING WASTE MATERIALS?  DO YOU THINK MORE SHOULD BE DONE?  DO YOU HAVE ANY IDEAS ON HOW TO ENCOURAGE MORE RECYCLING OR ON WHAT OTHER MATERIALS SHOULD BE INCLUDED?
sw02utt/sw_0291_2876.utt,2/sw2876,2876,8,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,5,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),RECYCLING,WHAT IS BEING DONE IN YOUR COMMUNITY OR AREA ABOUT RECYCLING WASTE MATERIALS?  DO YOU THINK MORE SHOULD BE DONE?  DO YOU HAVE ANY IDEAS ON HOW TO ENCOURAGE MORE RECYCLING OR ON WHAT OTHER MATERIALS SHOULD BE INCLUDED?
sw02utt/sw_0291_2876.utt,2/sw2876,2876,11,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,6,3,"Uh, so, they've been doing that it for a while now","(ROOT (S (INTJ (UH uh)) (, ,) (ADVP (RB so)) (, ,) (NP (PRP they)) (VP (VBP 've) (VP (VBN been) (VP (VBG doing) (SBAR (IN that) (S (NP (PRP it)) (PP (IN for) (NP (DT a) (NN while)))))))) (ADVP (RB now))))",RECYCLING,WHAT IS BEING DONE IN YOUR COMMUNITY OR AREA ABOUT RECYCLING WASTE MATERIALS?  DO YOU THINK MORE SHOULD BE DONE?  DO YOU HAVE ANY IDEAS ON HOW TO ENCOURAGE MORE RECYCLING OR ON WHAT OTHER MATERIALS SHOULD BE INCLUDED?
sw02utt/sw_0291_2876.utt,2/sw2876,2876,12,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,7,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),RECYCLING,WHAT IS BEING DONE IN YOUR COMMUNITY OR AREA ABOUT RECYCLING WASTE MATERIALS?  DO YOU THINK MORE SHOULD BE DONE?  DO YOU HAVE ANY IDEAS ON HOW TO ENCOURAGE MORE RECYCLING OR ON WHAT OTHER MATERIALS SHOULD BE INCLUDED?
sw02utt/sw_0291_2876.utt,2/sw2876,2876,14,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,8,2,I live in an apartment,(ROOT (S (VP (LS i) (VP (VB live) (PP (IN in) (NP (DT an) (NN apartment))))))),RECYCLING,WHAT IS BEING DONE IN YOUR COMMUNITY OR AREA ABOUT RECYCLING WASTE MATERIALS?  DO YOU THINK MORE SHOULD BE DONE?  DO YOU HAVE ANY IDEAS ON HOW TO ENCOURAGE MORE RECYCLING OR ON WHAT OTHER MATERIALS SHOULD BE INCLUDED?
sw02utt/sw_0291_2876.utt,2/sw2876,2876,15,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,9,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),RECYCLING,WHAT IS BEING DONE IN YOUR COMMUNITY OR AREA ABOUT RECYCLING WASTE MATERIALS?  DO YOU THINK MORE SHOULD BE DONE?  DO YOU HAVE ANY IDEAS ON HOW TO ENCOURAGE MORE RECYCLING OR ON WHAT OTHER MATERIALS SHOULD BE INCLUDED?
sw02utt/sw_0291_2876.utt,2/sw2876,2876,18,ad,Info-request:Action-directive,,,B,10,3,hold on.,(ROOT (S (VP (VB hold) (PRT (RP on))) (. .))),RECYCLING,WHAT IS BEING DONE IN YOUR COMMUNITY OR AREA ABOUT RECYCLING WASTE MATERIALS?  DO YOU THINK MORE SHOULD BE DONE?  DO YOU HAVE ANY IDEAS ON HOW TO ENCOURAGE MORE RECYCLING OR ON WHAT OTHER MATERIALS SHOULD BE INCLUDED?
