swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,act_label_1,act_label_2,act_label_relation,caller,utterance_index,subutterance_index,clean_text,parse_tree,topic_description,prompt
sw07utt/sw_0740_2185.utt,2/sw2185,2185,0,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,1,1,"Well, I was just looking around my house and thinking about the painting that I've done.","(ROOT (S (ADVP (RB well)) (, ,) (NP (FW i)) (VP (VP (VBD was) (ADVP (RB just)) (VP (VBG looking) (PP (IN around) (NP (PRP$ my) (NN house))))) (CC and) (VP (VBG thinking) (PP (IN about) (NP (NP (DT the) (NN painting)) (SBAR (WHNP (WDT that)) (S (FW i) (VP (VBP 've) (VP (VBN done))))))))) (. .)))",PAINTING,HAVE YOU DONE ANY PAINTING PROJECTS RECENTLYY
sw07utt/sw_0740_2185.utt,2/sw2185,2185,1,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,B,2,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),PAINTING,HAVE YOU DONE ANY PAINTING PROJECTS RECENTLYY
sw07utt/sw_0740_2185.utt,2/sw2185,2185,5,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,3,4,it was kind of an orangish brown.,(ROOT (S (NP (PRP it)) (VP (VBD was) (NP (NP (NN kind)) (PP (IN of) (NP (DT an) (JJ orangish) (JJ brown))))) (. .))),PAINTING,HAVE YOU DONE ANY PAINTING PROJECTS RECENTLYY
sw07utt/sw_0740_2185.utt,2/sw2185,2185,6,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,B,4,1,Okay.,(ROOT (ADJP (JJ okay) (. .))),PAINTING,HAVE YOU DONE ANY PAINTING PROJECTS RECENTLYY
sw07utt/sw_0740_2185.utt,2/sw2185,2185,7,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,5,1,It was not real pretty.,(ROOT (S (NP (PRP it)) (VP (VBD was) (RB not) (ADVP (JJ real) (RB pretty))) (. .))),PAINTING,HAVE YOU DONE ANY PAINTING PROJECTS RECENTLYY
sw07utt/sw_0740_2185.utt,2/sw2185,2185,8,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,B,6,1,Yeah.,(ROOT (NP (NN yeah) (. .))),PAINTING,HAVE YOU DONE ANY PAINTING PROJECTS RECENTLYY
sw07utt/sw_0740_2185.utt,2/sw2185,2185,9,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,7,1,"Anyway, so the kitchen was one of the rooms that got hit with that color.","(ROOT (FRAG (ADVP (RB anyway)) (, ,) (SBAR (IN so) (S (NP (DT the) (NN kitchen)) (VP (VBD was) (NP (NP (CD one)) (PP (IN of) (NP (NP (DT the) (NNS rooms)) (SBAR (WHNP (WDT that)) (S (VP (VBD got) (VP (VBN hit) (PP (IN with) (NP (DT that) (NN color))))))))))))) (. .)))",PAINTING,HAVE YOU DONE ANY PAINTING PROJECTS RECENTLYY
sw07utt/sw_0740_2185.utt,2/sw2185,2185,11,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,B,8,2,I see.,(ROOT (S (VP (LS i) (VP (VB see))) (. .))),PAINTING,HAVE YOU DONE ANY PAINTING PROJECTS RECENTLYY
sw07utt/sw_0740_2185.utt,2/sw2185,2185,14,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,9,3,"and know if I look underneath my cabinets, I'm not satisfied with the jobs I, I did on it because there're splotches.","(ROOT (S (VP (CC and) (VP (VB know) (SBAR (S (SBAR (IN if) (S (FW i) (VP (VBP look) (PP (IN underneath) (NP (PRP$ my) (NNS cabinets)))))) (, ,) (FW i) (VP (VBP 'm) (RB not) (VP (VBN satisfied) (PP (IN with) (S (NP (DT the) (NNS jobs)) (LST (LS i) (, ,) (SBAR (S (FW i) (VP (VBD did) (PP (IN on) (NP (PRP it))) (SBAR (IN because) (S (NP (EX there)) (VP (VBP 're) (NP (NNS splotches)))))) (. .))))))))))))))",PAINTING,HAVE YOU DONE ANY PAINTING PROJECTS RECENTLYY
sw07utt/sw_0740_2185.utt,2/sw2185,2185,15,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,B,10,1,Yeah.,(ROOT (NP (NN yeah) (. .))),PAINTING,HAVE YOU DONE ANY PAINTING PROJECTS RECENTLYY
sw07utt/sw_0740_2185.utt,2/sw2185,2185,16,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,11,1,"But, I'm glad it's done, because it's brighter.","(ROOT (S (CC but) (, ,) (NP (FW i)) (VP (VBP 'm) (ADJP (JJ glad) (SBAR (S (NP (PRP it)) (VP (VBZ 's) (ADJP (VBN done)) (, ,) (SBAR (IN because) (S (NP (PRP it)) (VP (VBZ 's) (ADJP (JJR brighter)))))))))) (. .)))",PAINTING,HAVE YOU DONE ANY PAINTING PROJECTS RECENTLYY
sw07utt/sw_0740_2185.utt,2/sw2185,2185,19,aa,Backwards-Communicative-Function:Agreement:Accept,,,B,12,3,that's for sure.,(ROOT (S (NP (DT that)) (VP (VBZ 's) (PP (IN for) (ADJP (JJ sure)))) (. .))),PAINTING,HAVE YOU DONE ANY PAINTING PROJECTS RECENTLYY
sw07utt/sw_0740_2185.utt,2/sw2185,2185,26,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,14,6,and we're about halfway through the painting process.,(ROOT (S (CC and) (S (NP (PRP we)) (VP (VBP 're) (PP (IN about) (ADVP (ADVP (RB halfway)) (PP (IN through) (NP (DT the) (NN painting) (NN process))))))) (. .))),PAINTING,HAVE YOU DONE ANY PAINTING PROJECTS RECENTLYY
sw07utt/sw_0740_2185.utt,2/sw2185,2185,27,ba,Backwards-Communicative-Function:Understanding:Appreciation,,,A,15,1,"Oh, lord.","(ROOT (NP (NP (INTJ (UH oh)) (, ,) (NN lord)) (. .)))",PAINTING,HAVE YOU DONE ANY PAINTING PROJECTS RECENTLYY
sw07utt/sw_0740_2185.utt,2/sw2185,2185,39,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,16,12,"but, uh, there was semigloss underneath","(ROOT (S (CC but) (, ,) (INTJ (UH uh)) (, ,) (NP (EX there)) (VP (VBD was) (NP (NP (NN semigloss)) (FRAG (PP (IN underneath)))))))",PAINTING,HAVE YOU DONE ANY PAINTING PROJECTS RECENTLYY
sw07utt/sw_0740_2185.utt,2/sw2185,2185,40,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,17,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),PAINTING,HAVE YOU DONE ANY PAINTING PROJECTS RECENTLYY
sw07utt/sw_0740_2185.utt,2/sw2185,2185,43,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,18,3,It seems like you could see it through about three layers of paint.,(ROOT (S (S (NP (PRP it)) (VP (VBZ seems) (PP (IN like) (NP (PRP you))))) (VP (MD could) (VP (VB see) (NP (PRP it)) (PP (IN through) (NP (NP (IN about) (CD three) (NNS layers)) (PP (IN of) (NP (NN paint))))))) (. .))),PAINTING,HAVE YOU DONE ANY PAINTING PROJECTS RECENTLYY
sw07utt/sw_0740_2185.utt,2/sw2185,2185,44,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,19,1,Oh yeah.,(ROOT (S (VP (UH oh) (ADVP (RB yeah))) (. .))),PAINTING,HAVE YOU DONE ANY PAINTING PROJECTS RECENTLYY
sw07utt/sw_0740_2185.utt,2/sw2185,2185,51,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,20,7,"and, uh, we, we've learned to be a little more careful about covering up the floors since the, since the first time we spent a lot of time on the floor with a tooth, toothbrush and what not cleaning up.","(ROOT (S (CC and) (, ,) (INTJ (UH uh)) (, ,) (NP (PRP we)) (, ,) (NP (PRP we)) (VP (VBP 've) (VP (VBN learned) (S (VP (TO to) (VP (VB be) (NP (NP (DT a) (RB little)) (ADJP (RBR more) (JJ careful) (PP (IN about) (S (VP (VBG covering) (PRT (RP up)) (NP (NP (DT the) (NNS floors)) (PP (IN since) (NP (DT the)))))))))))) (, ,) (PP (IN since) (NP (NP (DT the) (JJ first) (NN time)) (SBAR (S (NP (PRP we)) (VP (VBD spent) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NN time)))) (PP (IN on) (NP (DT the) (NN floor))) (PP (IN with) (NP (NP (DT a) (NN tooth)) (, ,) (NP (NN toothbrush)) (CC and) (SBAR (WHNP (WP what)) (S (VP (RB not) (VBG cleaning) (PRT (RP up)))))))))))))) (. .)))",PAINTING,HAVE YOU DONE ANY PAINTING PROJECTS RECENTLYY
sw07utt/sw_0740_2185.utt,2/sw2185,2185,52,qw,Info-request:Wh-Question,,,A,21,1,So what are you going to get it off with if you get it on and it's dried ?,(ROOT (SBARQ (RB so) (WHNP (WP what)) (SQ (VBP are) (NP (PRP you)) (VP (VBG going) (S (VP (TO to) (VP (VB get) (NP (PRP it)) (PRT (RP off)) (PP (IN with) (SBAR (IN if) (S (S (NP (PRP you)) (VP (VBP get) (NP (PRP it)) (IN on))) (CC and) (S (NP (PRP it)) (VP (VBZ 's) (VP (VBN dried)))))))))))) (. ?))),PAINTING,HAVE YOU DONE ANY PAINTING PROJECTS RECENTLYY
sw07utt/sw_0740_2185.utt,2/sw2185,2185,55,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,22,3,the floors are finished with a polyurethane,(ROOT (S (NP (DT the) (NNS floors)) (VP (VBP are) (VP (VBN finished) (PP (IN with) (NP (DT a) (NN polyurethane))))))),PAINTING,HAVE YOU DONE ANY PAINTING PROJECTS RECENTLYY
sw07utt/sw_0740_2185.utt,2/sw2185,2185,56,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,23,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),PAINTING,HAVE YOU DONE ANY PAINTING PROJECTS RECENTLYY
sw07utt/sw_0740_2185.utt,2/sw2185,2185,63,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,24,7,"So, we got pretty lucky on that.","(ROOT (S (ADVP (RB so)) (, ,) (NP (PRP we)) (VP (VBD got) (ADJP (RB pretty) (JJ lucky) (PP (IN on) (NP (DT that))))) (. .)))",PAINTING,HAVE YOU DONE ANY PAINTING PROJECTS RECENTLYY
sw07utt/sw_0740_2185.utt,2/sw2185,2185,64,qy^d,Info-request:Yes-No-Question,,,A,25,1,And it's not scratching your floor,(ROOT (QP (CC and) (S (NP (PRP it)) (VP (VBZ 's) (RB not) (VP (VBG scratching) (NP (PRP$ your) (NN floor))))))),PAINTING,HAVE YOU DONE ANY PAINTING PROJECTS RECENTLYY
sw07utt/sw_0740_2185.utt,2/sw2185,2185,66,ng,Backwards-Communicative-Function:Answer:Negative-non-no-answers,,,B,26,2,not really.,(ROOT (FRAG (RB not) (ADVP (RB really)) (. .))),PAINTING,HAVE YOU DONE ANY PAINTING PROJECTS RECENTLYY
sw07utt/sw_0740_2185.utt,2/sw2185,2185,68,ba,Backwards-Communicative-Function:Understanding:Appreciation,,,A,27,2,"Oh, that's pretty good.","(ROOT (S (INTJ (UH oh)) (, ,) (NP (DT that)) (VP (VBZ 's) (ADJP (RB pretty) (JJ good))) (. .)))",PAINTING,HAVE YOU DONE ANY PAINTING PROJECTS RECENTLYY
sw07utt/sw_0740_2185.utt,2/sw2185,2185,69,%,Communicative-Status:Uninterpretable,,,B,28,1,But.,(ROOT (FRAG (CC but) (. .))),PAINTING,HAVE YOU DONE ANY PAINTING PROJECTS RECENTLYY
sw07utt/sw_0740_2185.utt,2/sw2185,2185,71,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,29,2,We have two children.,(ROOT (S (NP (PRP we)) (VP (VBP have) (NP (CD two) (NNS children))) (. .))),PAINTING,HAVE YOU DONE ANY PAINTING PROJECTS RECENTLYY
sw07utt/sw_0740_2185.utt,2/sw2185,2185,73,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,B,30,2,yeah.,(ROOT (NP (NN yeah) (. .))),PAINTING,HAVE YOU DONE ANY PAINTING PROJECTS RECENTLYY
sw07utt/sw_0740_2185.utt,2/sw2185,2185,75,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,31,2,"they ruin,","(ROOT (S (NP (PRP they)) (VP (VBP ruin)) (, ,)))",PAINTING,HAVE YOU DONE ANY PAINTING PROJECTS RECENTLYY
sw07utt/sw_0740_2185.utt,2/sw2185,2185,77,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,33,1,it's just terrible what they do.,(ROOT (S (NP (PRP it)) (VP (VBZ 's) (ADVP (RB just) (JJ terrible)) (SBAR (WHNP (WP what)) (S (NP (PRP they)) (VP (VBP do))))) (. .))),PAINTING,HAVE YOU DONE ANY PAINTING PROJECTS RECENTLYY
sw07utt/sw_0740_2185.utt,2/sw2185,2185,78,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,B,34,1,Yeah.,(ROOT (NP (NN yeah) (. .))),PAINTING,HAVE YOU DONE ANY PAINTING PROJECTS RECENTLYY
sw07utt/sw_0740_2185.utt,2/sw2185,2185,81,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,35,3,So I've got dye on my bathroom door.,(ROOT (NP (NP (RB so) (FW i) (S (VP (VBP 've) (VP (VBN got) (VP (VB dye) (PP (IN on) (NP (PRP$ my) (NN bathroom) (NN door)))))))) (. .))),PAINTING,HAVE YOU DONE ANY PAINTING PROJECTS RECENTLYY
sw07utt/sw_0740_2185.utt,2/sw2185,2185,82,ba,Backwards-Communicative-Function:Understanding:Appreciation,,,B,36,1,"Oh, gosh.","(ROOT (NP (NP (INTJ (UH oh)) (, ,) (NN gosh)) (. .)))",PAINTING,HAVE YOU DONE ANY PAINTING PROJECTS RECENTLYY
sw07utt/sw_0740_2185.utt,2/sw2185,2185,84,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,37,2,I guess I'll have to take that door down and really get it good.,(ROOT (S (LS i) (NP (NN guess)) (VP (FW i) (S (VP (MD 'll) (VP (VB have) (S (VP (TO to) (VP (VP (VB take) (NP (DT that) (NN door)) (PRT (RB down))) (CC and) (S (ADVP (RB really)) (VP (VB get) (S (NP (PRP it)) (ADJP (JJ good)))))))))))) (. .))),PAINTING,HAVE YOU DONE ANY PAINTING PROJECTS RECENTLYY
sw07utt/sw_0740_2185.utt,2/sw2185,2185,87,aa,Backwards-Communicative-Function:Agreement:Accept,,,B,38,3,probably so.,(ROOT (FRAG (ADVP (RB probably) (RB so)) (. .))),PAINTING,HAVE YOU DONE ANY PAINTING PROJECTS RECENTLYY
sw07utt/sw_0740_2185.utt,2/sw2185,2185,88,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,39,1,And then we have a two story.,(ROOT (S (CC and) (ADVP (RB then)) (NP (PRP we)) (VP (VBP have) (NP (DT a) (CD two) (NN story))) (. .))),PAINTING,HAVE YOU DONE ANY PAINTING PROJECTS RECENTLYY
sw07utt/sw_0740_2185.utt,2/sw2185,2185,89,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,B,40,1,Okay.,(ROOT (ADJP (JJ okay) (. .))),PAINTING,HAVE YOU DONE ANY PAINTING PROJECTS RECENTLYY
sw07utt/sw_0740_2185.utt,2/sw2185,2185,90,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,41,1,We did the outside of it one summer.,(ROOT (S (NP (PRP we)) (VP (VBD did) (NP (NP (DT the) (NN outside)) (PP (IN of) (NP (PRP it)))) (NP (CD one) (NN summer))) (. .))),PAINTING,HAVE YOU DONE ANY PAINTING PROJECTS RECENTLYY
sw07utt/sw_0740_2185.utt,2/sw2185,2185,91,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,B,42,1,Yeah.,(ROOT (NP (NN yeah) (. .))),PAINTING,HAVE YOU DONE ANY PAINTING PROJECTS RECENTLYY
sw07utt/sw_0740_2185.utt,2/sw2185,2185,94,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,43,3,I could get up on the roof and do that.,(ROOT (S (LST (LS i)) (VP (MD could) (VP (VP (VB get) (PRT (RP up)) (PP (IN on) (NP (DT the) (NN roof)))) (CC and) (VP (VBP do) (NP (DT that))))) (. .))),PAINTING,HAVE YOU DONE ANY PAINTING PROJECTS RECENTLYY
sw07utt/sw_0740_2185.utt,2/sw2185,2185,95,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,B,44,1,Yeah.,(ROOT (NP (NN yeah) (. .))),PAINTING,HAVE YOU DONE ANY PAINTING PROJECTS RECENTLYY
sw07utt/sw_0740_2185.utt,2/sw2185,2185,96,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,45,1,But,(ROOT (CC but)),PAINTING,HAVE YOU DONE ANY PAINTING PROJECTS RECENTLYY
