swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,act_label_1,act_label_2,act_label_relation,caller,utterance_index,subutterance_index,clean_text,parse_tree,topic_description,prompt
sw00utt/sw_0040_2095.utt,2/sw2095,2095,0,qy,Info-request:Yes-No-Question,,,A,1,1,"All right, have you lived in this area long ?","(ROOT (SQ (ADVP (DT all) (RB right)) (, ,) (VBP have) (NP (PRP you)) (VP (VBN lived) (PP (IN in) (NP (DT this) (NN area))) (ADVP (RB long))) (. ?)))",WEATHER_CLIMATE,DISCUSS THE WEATHER.   WHAT HAS IT BEEN LIKE IN YOUR AREA?   HAS IT BEEN TYPICAL FOR THIS TIME OF YEAR?  COMPARE IT WITH THE OTHER CALLER'S WEATHER.
sw00utt/sw_0040_2095.utt,2/sw2095,2095,2,sd^e,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,2,2,I've only been here a couple of years.,(ROOT (FRAG (SBAR (LS i) (S (VP (VBP 've) (ADVP (RB only)) (VP (VBN been) (ADVP (RB here)) (NP (NP (DT a) (NN couple)) (PP (IN of) (NP (NNS years)))))))) (. .))),WEATHER_CLIMATE,DISCUSS THE WEATHER.   WHAT HAS IT BEEN LIKE IN YOUR AREA?   HAS IT BEEN TYPICAL FOR THIS TIME OF YEAR?  COMPARE IT WITH THE OTHER CALLER'S WEATHER.
sw00utt/sw_0040_2095.utt,2/sw2095,2095,3,bk,Backwards-Communicative-Function:Understanding:Response Acknowledgement,,,A,3,1,Okay.,(ROOT (ADJP (JJ okay) (. .))),WEATHER_CLIMATE,DISCUSS THE WEATHER.   WHAT HAS IT BEEN LIKE IN YOUR AREA?   HAS IT BEEN TYPICAL FOR THIS TIME OF YEAR?  COMPARE IT WITH THE OTHER CALLER'S WEATHER.
sw00utt/sw_0040_2095.utt,2/sw2095,2095,4,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,B,4,1,"Uh, but, uh, I've, I've noticed that, uh, this year it seems to have been a lot warmer than it has in the past.","(ROOT (NP (NP (INTJ (UH uh)) (, ,) (SBAR (CC but) (, ,) (S (INTJ (UH uh)) (, ,) (FW i) (VP (VBP 've)) (, ,) (S (FW i) (VP (VBP 've) (VP (VBN noticed) (SBAR (IN that) (, ,) (S (INTJ (UH uh)) (, ,) (NP (NP (DT this) (NN year)) (SBAR (S (NP (PRP it)) (VP (VBZ seems) (S (VP (TO to) (VP (VB have) (VP (VBN been) (ADJP (ADJP (NP (DT a) (NN lot)) (JJR warmer)) (SBAR (IN than) (S (NP (PRP it)) (VP (VBZ has) (VP (PP (IN in) (NP (DT the) (NN past)))))))))))))))))))))))) (. .)))",WEATHER_CLIMATE,DISCUSS THE WEATHER.   WHAT HAS IT BEEN LIKE IN YOUR AREA?   HAS IT BEEN TYPICAL FOR THIS TIME OF YEAR?  COMPARE IT WITH THE OTHER CALLER'S WEATHER.
sw00utt/sw_0040_2095.utt,2/sw2095,2095,7,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,A,5,3,"I mean by, by mid February, I mean, we start getting a lot of rain.","(ROOT (S (FW i) (VB mean) (IN by) (, ,) (PP (IN by) (NP (JJ mid) (NNP february))) (, ,) (NP (FW i) (VP (VB mean))) (, ,) (NP (PRP we)) (VP (VBP start) (S (VP (VBG getting) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NN rain))))))) (. .)))",WEATHER_CLIMATE,DISCUSS THE WEATHER.   WHAT HAS IT BEEN LIKE IN YOUR AREA?   HAS IT BEEN TYPICAL FOR THIS TIME OF YEAR?  COMPARE IT WITH THE OTHER CALLER'S WEATHER.
sw00utt/sw_0040_2095.utt,2/sw2095,2095,10,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,6,3,"well I remember last year, or the year before","(ROOT (FRAG (ADVP (RB well) (FW i)) (VP (VBP remember) (NP (NP (JJ last) (NN year)) (, ,) (CC or) (NP (NP (DT the) (NN year)) (X (IN before)))))))",WEATHER_CLIMATE,DISCUSS THE WEATHER.   WHAT HAS IT BEEN LIKE IN YOUR AREA?   HAS IT BEEN TYPICAL FOR THIS TIME OF YEAR?  COMPARE IT WITH THE OTHER CALLER'S WEATHER.
sw00utt/sw_0040_2095.utt,2/sw2095,2095,11,%,Communicative-Status:Uninterpretable,,,A,7,1,But it,(ROOT (PP (CC but) (NP (PRP it)))),WEATHER_CLIMATE,DISCUSS THE WEATHER.   WHAT HAS IT BEEN LIKE IN YOUR AREA?   HAS IT BEEN TYPICAL FOR THIS TIME OF YEAR?  COMPARE IT WITH THE OTHER CALLER'S WEATHER.
sw00utt/sw_0040_2095.utt,2/sw2095,2095,13,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,8,2,"terrible ice storm, uh, around this time of the year.","(ROOT (NP (NP (JJ terrible) (NN ice) (NN storm)) (, ,) (INTJ (UH uh)) (, ,) (PP (IN around) (NP (NP (DT this) (NN time)) (PP (IN of) (NP (DT the) (NN year))))) (. .)))",WEATHER_CLIMATE,DISCUSS THE WEATHER.   WHAT HAS IT BEEN LIKE IN YOUR AREA?   HAS IT BEEN TYPICAL FOR THIS TIME OF YEAR?  COMPARE IT WITH THE OTHER CALLER'S WEATHER.
sw00utt/sw_0040_2095.utt,2/sw2095,2095,14,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,9,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),WEATHER_CLIMATE,DISCUSS THE WEATHER.   WHAT HAS IT BEEN LIKE IN YOUR AREA?   HAS IT BEEN TYPICAL FOR THIS TIME OF YEAR?  COMPARE IT WITH THE OTHER CALLER'S WEATHER.
sw00utt/sw_0040_2095.utt,2/sw2095,2095,16,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,B,10,2,"it, it's really quite, uh, quite amazing.","(ROOT (S (NP (PRP it)) (, ,) (NP (PRP it)) (VP (VP (VBZ 's) (ADVP (RB really)) (ADVP (RB quite))) (, ,) (INTJ (UH uh)) (, ,) (ADJP (RB quite) (JJ amazing))) (. .)))",WEATHER_CLIMATE,DISCUSS THE WEATHER.   WHAT HAS IT BEEN LIKE IN YOUR AREA?   HAS IT BEEN TYPICAL FOR THIS TIME OF YEAR?  COMPARE IT WITH THE OTHER CALLER'S WEATHER.
