swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,act_label_1,act_label_2,act_label_relation,caller,utterance_index,subutterance_index,clean_text,parse_tree,topic_description,prompt
sw08utt/sw_0814_2308.utt,2/sw2308,2308,4,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,1,5,My grandmother's almost ninety-seven.,(ROOT (FRAG (NP (PRP$ my) (NN grandmother) (POS 's)) (QP (RB almost) (CD ninety-seven)) (. .))),CARE_OF_THE_ELDERLY,PLEASE DISCUSS CARE OF THE ELDERLY.  FIND OUT HOW THE OTHER CALLER FEELS ABOUT SENDING AN ELDERLY FAMILY MEMBER TO A NURSING HOME.  WHAT SHOULD ONE KNOW ABOUT THE NURSING HOME ENVIRONMENT WHEN MAKING THIS DECISION?
sw08utt/sw_0814_2308.utt,2/sw2308,2308,5,ba,Backwards-Communicative-Function:Understanding:Appreciation,,,B,2,1,Jeez.,(ROOT (NP (NN jeez) (. .))),CARE_OF_THE_ELDERLY,PLEASE DISCUSS CARE OF THE ELDERLY.  FIND OUT HOW THE OTHER CALLER FEELS ABOUT SENDING AN ELDERLY FAMILY MEMBER TO A NURSING HOME.  WHAT SHOULD ONE KNOW ABOUT THE NURSING HOME ENVIRONMENT WHEN MAKING THIS DECISION?
sw08utt/sw_0814_2308.utt,2/sw2308,2308,17,%,Communicative-Status:Uninterpretable,,,A,3,12,So.,(ROOT (ADVP (RB so) (. .))),CARE_OF_THE_ELDERLY,PLEASE DISCUSS CARE OF THE ELDERLY.  FIND OUT HOW THE OTHER CALLER FEELS ABOUT SENDING AN ELDERLY FAMILY MEMBER TO A NURSING HOME.  WHAT SHOULD ONE KNOW ABOUT THE NURSING HOME ENVIRONMENT WHEN MAKING THIS DECISION?
sw08utt/sw_0814_2308.utt,2/sw2308,2308,29,qy,Info-request:Yes-No-Question,,,B,4,12,"and, you know.","(ROOT (S (CC and) (, ,) (NP (PRP you)) (VP (VBP know)) (. .)))",CARE_OF_THE_ELDERLY,PLEASE DISCUSS CARE OF THE ELDERLY.  FIND OUT HOW THE OTHER CALLER FEELS ABOUT SENDING AN ELDERLY FAMILY MEMBER TO A NURSING HOME.  WHAT SHOULD ONE KNOW ABOUT THE NURSING HOME ENVIRONMENT WHEN MAKING THIS DECISION?
sw08utt/sw_0814_2308.utt,2/sw2308,2308,31,bf,Backwards-Communicative-Function:Understanding:Summarize/reformulate,,,A,5,2,you don't know if their complaints are legitimate.,(ROOT (S (NP (PRP you)) (VP (VBP do) (RB n't) (VP (VB know) (SBAR (IN if) (S (NP (PRP$ their) (NNS complaints)) (VP (VBP are) (ADJP (JJ legitimate))))))) (. .))),CARE_OF_THE_ELDERLY,PLEASE DISCUSS CARE OF THE ELDERLY.  FIND OUT HOW THE OTHER CALLER FEELS ABOUT SENDING AN ELDERLY FAMILY MEMBER TO A NURSING HOME.  WHAT SHOULD ONE KNOW ABOUT THE NURSING HOME ENVIRONMENT WHEN MAKING THIS DECISION?
sw08utt/sw_0814_2308.utt,2/sw2308,2308,32,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,B,6,1,Yeah.,(ROOT (NP (NN yeah) (. .))),CARE_OF_THE_ELDERLY,PLEASE DISCUSS CARE OF THE ELDERLY.  FIND OUT HOW THE OTHER CALLER FEELS ABOUT SENDING AN ELDERLY FAMILY MEMBER TO A NURSING HOME.  WHAT SHOULD ONE KNOW ABOUT THE NURSING HOME ENVIRONMENT WHEN MAKING THIS DECISION?
sw08utt/sw_0814_2308.utt,2/sw2308,2308,43,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,7,11,but he's quite well off.,(ROOT (S (CC but) (S (NP (PRP he)) (VP (VBZ 's) (ADVP (RB quite) (RB well) (IN off)))) (. .))),CARE_OF_THE_ELDERLY,PLEASE DISCUSS CARE OF THE ELDERLY.  FIND OUT HOW THE OTHER CALLER FEELS ABOUT SENDING AN ELDERLY FAMILY MEMBER TO A NURSING HOME.  WHAT SHOULD ONE KNOW ABOUT THE NURSING HOME ENVIRONMENT WHEN MAKING THIS DECISION?
sw08utt/sw_0814_2308.utt,2/sw2308,2308,44,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,B,8,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),CARE_OF_THE_ELDERLY,PLEASE DISCUSS CARE OF THE ELDERLY.  FIND OUT HOW THE OTHER CALLER FEELS ABOUT SENDING AN ELDERLY FAMILY MEMBER TO A NURSING HOME.  WHAT SHOULD ONE KNOW ABOUT THE NURSING HOME ENVIRONMENT WHEN MAKING THIS DECISION?
sw08utt/sw_0814_2308.utt,2/sw2308,2308,54,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,9,10,"So they couldn't, they can't hide anything on you or anything like that.","(ROOT (S (SBAR (IN so) (S (NP (PRP they)) (VP (MD could) (RB n't)))) (, ,) (NP (PRP they)) (VP (MD ca) (RB n't) (VP (VB hide) (NP (NP (NN anything)) (PP (IN on) (NP (NP (PRP you)) (CC or) (NP (NP (NN anything)) (PP (IN like) (NP (DT that))))))))) (. .)))",CARE_OF_THE_ELDERLY,PLEASE DISCUSS CARE OF THE ELDERLY.  FIND OUT HOW THE OTHER CALLER FEELS ABOUT SENDING AN ELDERLY FAMILY MEMBER TO A NURSING HOME.  WHAT SHOULD ONE KNOW ABOUT THE NURSING HOME ENVIRONMENT WHEN MAKING THIS DECISION?
sw08utt/sw_0814_2308.utt,2/sw2308,2308,55,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,B,10,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),CARE_OF_THE_ELDERLY,PLEASE DISCUSS CARE OF THE ELDERLY.  FIND OUT HOW THE OTHER CALLER FEELS ABOUT SENDING AN ELDERLY FAMILY MEMBER TO A NURSING HOME.  WHAT SHOULD ONE KNOW ABOUT THE NURSING HOME ENVIRONMENT WHEN MAKING THIS DECISION?
