swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,act_label_1,act_label_2,act_label_relation,caller,utterance_index,subutterance_index,clean_text,parse_tree,topic_description,prompt
sw05utt/sw_0563_3458.utt,3/sw3458,3458,1,qy,Info-request:Yes-No-Question,,,B,1,2,you ready ?,(ROOT (FRAG (S (NP (PRP you)) (ADJP (JJ ready))) (. ?))),MAGAZINES,DO YOU HAVE MAGAZINES THAT YOU SUBSCRIBE TO OR READ ON A REGULAR BASIS? WHAT DO YOU LIKE OR DISLIKE ABOUT MAGAZINES
sw05utt/sw_0563_3458.utt,3/sw3458,3458,3,qy^t,Info-request:Yes-No-Question,,,A,2,2,is that it ?,(ROOT (S (VP (VBZ is) (SBAR (IN that) (S (NP (PRP it)) (. ?)))))),MAGAZINES,DO YOU HAVE MAGAZINES THAT YOU SUBSCRIBE TO OR READ ON A REGULAR BASIS? WHAT DO YOU LIKE OR DISLIKE ABOUT MAGAZINES
sw05utt/sw_0563_3458.utt,3/sw3458,3458,4,na^t,Backwards-Communicative-Function:Answer:Affirmative-non-yes-answers,,,B,3,1,That's it.,(ROOT (S (NP (DT that)) (VP (VBZ 's) (NP (PRP it))) (. .))),MAGAZINES,DO YOU HAVE MAGAZINES THAT YOU SUBSCRIBE TO OR READ ON A REGULAR BASIS? WHAT DO YOU LIKE OR DISLIKE ABOUT MAGAZINES
sw05utt/sw_0563_3458.utt,3/sw3458,3458,7,%,Communicative-Status:Uninterpretable,,,A,4,3,"and, uh, what, what","(ROOT (FRAG (CC and) (, ,) (INTJ (UH uh)) (, ,) (WHNP (WP what)) (, ,) (WDT what)))",MAGAZINES,DO YOU HAVE MAGAZINES THAT YOU SUBSCRIBE TO OR READ ON A REGULAR BASIS? WHAT DO YOU LIKE OR DISLIKE ABOUT MAGAZINES
sw05utt/sw_0563_3458.utt,3/sw3458,3458,8,qr,Info-request:Or-Question,,,B,5,1,"What, what kind do you subscribe to or do you ?","(ROOT (SBARQ (WHNP (WDT what)) (, ,) (WHNP (WDT what) (NN kind)) (SQ (VP (VBP do)) (NP (PRP you)) (VP (VP (VB subscribe) (PP (TO to))) (CC or) (VP (VB do) (NP (PRP you))))) (. ?)))",MAGAZINES,DO YOU HAVE MAGAZINES THAT YOU SUBSCRIBE TO OR READ ON A REGULAR BASIS? WHAT DO YOU LIKE OR DISLIKE ABOUT MAGAZINES
sw05utt/sw_0563_3458.utt,3/sw3458,3458,12,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,6,4,"And now I'm, uh, I, uh, subscribe to, uh, LADIES HOME JOURNAL.","(ROOT (S (CC and) (ADJP (ADVP (RB now)) (FW i) (VBP 'm)) (, ,) (INTJ (UH uh)) (, ,) (FW i) (, ,) (INTJ (UH uh)) (, ,) (VP (VP (VBP subscribe) (PP (TO to))) (, ,) (NP (INTJ (UH uh)) (, ,) (NNS ladies) (NN home) (NN journal))) (. .)))",MAGAZINES,DO YOU HAVE MAGAZINES THAT YOU SUBSCRIBE TO OR READ ON A REGULAR BASIS? WHAT DO YOU LIKE OR DISLIKE ABOUT MAGAZINES
sw05utt/sw_0563_3458.utt,3/sw3458,3458,13,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,7,1,"I, uh, take a computer magazine.","(ROOT (FRAG (FRAG (LS i) (S (, ,) (INTJ (UH uh)) (, ,) (VP (VB take) (NP (DT a) (NN computer) (NN magazine))))) (. .)))",MAGAZINES,DO YOU HAVE MAGAZINES THAT YOU SUBSCRIBE TO OR READ ON A REGULAR BASIS? WHAT DO YOU LIKE OR DISLIKE ABOUT MAGAZINES
sw05utt/sw_0563_3458.utt,3/sw3458,3458,14,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,8,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),MAGAZINES,DO YOU HAVE MAGAZINES THAT YOU SUBSCRIBE TO OR READ ON A REGULAR BASIS? WHAT DO YOU LIKE OR DISLIKE ABOUT MAGAZINES
sw05utt/sw_0563_3458.utt,3/sw3458,3458,15,+,Other:Segment-(multi-utterance),,,B,9,1,"And, uh, also, uh, BETTER HOMES AND GARDENS.","(ROOT (FRAG (CC and) (, ,) (INTJ (UH uh)) (, ,) (ADVP (RB also)) (, ,) (NP (INTJ (UH uh)) (, ,) (NP (JJR better) (NNS homes) (CC and) (NNS gardens))) (. .)))",MAGAZINES,DO YOU HAVE MAGAZINES THAT YOU SUBSCRIBE TO OR READ ON A REGULAR BASIS? WHAT DO YOU LIKE OR DISLIKE ABOUT MAGAZINES
sw05utt/sw_0563_3458.utt,3/sw3458,3458,17,qy,Info-request:Yes-No-Question,,,A,10,2,"are you interested in, in computers ?","(ROOT (SQ (VBP are) (NP (PRP you)) (FRAG (JJ interested) (IN in) (, ,) (PP (IN in) (NP (NNS computers))) (. ?))))",MAGAZINES,DO YOU HAVE MAGAZINES THAT YOU SUBSCRIBE TO OR READ ON A REGULAR BASIS? WHAT DO YOU LIKE OR DISLIKE ABOUT MAGAZINES
sw05utt/sw_0563_3458.utt,3/sw3458,3458,18,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,11,1,And my pet peeve with magazines,(ROOT (PP (CC and) (NP (NP (PRP$ my) (NN pet) (NN peeve)) (PP (IN with) (NP (NNS magazines)))))),MAGAZINES,DO YOU HAVE MAGAZINES THAT YOU SUBSCRIBE TO OR READ ON A REGULAR BASIS? WHAT DO YOU LIKE OR DISLIKE ABOUT MAGAZINES
sw05utt/sw_0563_3458.utt,3/sw3458,3458,19,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,12,1,Yeah.,(ROOT (NP (NN yeah) (. .))),MAGAZINES,DO YOU HAVE MAGAZINES THAT YOU SUBSCRIBE TO OR READ ON A REGULAR BASIS? WHAT DO YOU LIKE OR DISLIKE ABOUT MAGAZINES
sw05utt/sw_0563_3458.utt,3/sw3458,3458,20,+,Other:Segment-(multi-utterance),,,B,13,1,is all the little cards inside.,(ROOT (S (VP (VBZ is) (NP (NP (PDT all) (DT the) (JJ little) (NNS cards)) (ADVP (IN inside)))) (. .))),MAGAZINES,DO YOU HAVE MAGAZINES THAT YOU SUBSCRIBE TO OR READ ON A REGULAR BASIS? WHAT DO YOU LIKE OR DISLIKE ABOUT MAGAZINES
