swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,act_label_1,act_label_2,act_label_relation,caller,utterance_index,subutterance_index,clean_text,parse_tree,topic_description,prompt
sw03utt/sw_0391_2259.utt,2/sw2259,2259,0,qo,Info-request:Open-Question,,,A,1,1,"Well, how, how do you feel about the immigration laws ?","(ROOT (SBARQ (ADVP (RB well)) (, ,) (WHADVP (WRB how)) (, ,) (WHADVP (WRB how)) (SQ (VBP do) (NP (PRP you)) (VP (VB feel) (PP (IN about) (NP (DT the) (NN immigration) (NNS laws))))) (. ?)))",IMMIGRATION,FIND OUT HOW THE OTHER CALLER FEELS ABOUT AMERICA'S IMMIGRATION POLICY.  IF THERE ARE PROBLEMS
sw03utt/sw_0391_2259.utt,2/sw2259,2259,6,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,2,6,"but, of course, that's just my opinion.","(ROOT (S (CC but) (, ,) (PP (IN of) (NP (NN course))) (, ,) (NP (DT that)) (VP (VBZ 's) (ADVP (RB just)) (NP (PRP$ my) (NN opinion))) (. .)))",IMMIGRATION,FIND OUT HOW THE OTHER CALLER FEELS ABOUT AMERICA'S IMMIGRATION POLICY.  IF THERE ARE PROBLEMS
sw03utt/sw_0391_2259.utt,2/sw2259,2259,8,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,3,2,"well, I'm not real sure why I got this topic, because I don't think I checked it off on the list","(ROOT (S (ADVP (RB well)) (, ,) (FW i) (VP (VBP 'm) (RB not) (VP (JJ real) (ADJP (JJ sure) (SBAR (WHADVP (WRB why)) (S (VP (FW i) (VP (VBD got) (NP (DT this) (NN topic)) (, ,) (SBAR (IN because) (S (NP (FW i)) (VP (VBP do) (RB n't) (VP (VB think) (SBAR (S (NP (FW i)) (VP (VBD checked) (NP (PRP it)) (PRT (RP off)) (PP (IN on) (NP (DT the) (NN list)))))))))))))))))))",IMMIGRATION,FIND OUT HOW THE OTHER CALLER FEELS ABOUT AMERICA'S IMMIGRATION POLICY.  IF THERE ARE PROBLEMS
sw03utt/sw_0391_2259.utt,2/sw2259,2259,9,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,B,4,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),IMMIGRATION,FIND OUT HOW THE OTHER CALLER FEELS ABOUT AMERICA'S IMMIGRATION POLICY.  IF THERE ARE PROBLEMS
sw03utt/sw_0391_2259.utt,2/sw2259,2259,10,+,Other:Segment-(multi-utterance),,,A,5,1,because I know very little about the current immigration laws.,(ROOT (FRAG (SBAR (IN because) (S (FW i) (VP (VBP know) (ADJP (RB very) (JJ little) (PP (IN about) (NP (DT the) (JJ current) (NN immigration) (NNS laws))))))) (. .))),IMMIGRATION,FIND OUT HOW THE OTHER CALLER FEELS ABOUT AMERICA'S IMMIGRATION POLICY.  IF THERE ARE PROBLEMS
sw03utt/sw_0391_2259.utt,2/sw2259,2259,17,%,Communicative-Status:Uninterpretable,,,B,6,7,so.,(ROOT (ADVP (RB so) (. .))),IMMIGRATION,FIND OUT HOW THE OTHER CALLER FEELS ABOUT AMERICA'S IMMIGRATION POLICY.  IF THERE ARE PROBLEMS
sw03utt/sw_0391_2259.utt,2/sw2259,2259,18,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,7,1,Oh.,(ROOT (INTJ (UH oh) (. .))),IMMIGRATION,FIND OUT HOW THE OTHER CALLER FEELS ABOUT AMERICA'S IMMIGRATION POLICY.  IF THERE ARE PROBLEMS
sw03utt/sw_0391_2259.utt,2/sw2259,2259,19,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,B,8,1,"And, uh, so I think, uh, you know, the, uh, embargo we placed on the, uh, on the Russian Jews, although we MUMBLEx of, uh, spent years and years, uh, lobbying for their release and their ability to, um, immigrate from Russia","(ROOT (FRAG (CC and) (, ,) (INTJ (UH uh)) (, ,) (NP (RB so) (FW i) (VB think)) (FRAG (PRN (, ,) (S (INTJ (UH uh)) (, ,) (NP (PRP you)) (VP (VBP know))) (, ,)) (DT the) (, ,) (INTJ (UH uh)) (, ,) (NP (NP (NN embargo)) (SBAR (S (NP (PRP we)) (VP (VP (VBD placed) (PP (IN on) (NP (NP (DT the)) (, ,) (UH uh) (, ,) (PP (IN on) (NP (DT the) (JJ russian) (NNS jews))))) (, ,) (SBAR (IN although) (S (NP (PRP we)) (NP (NP (NN mumblex)) (PP (IN of)))))) (, ,) (SBAR (S (INTJ (UH uh)) (, ,) (VP (VBD spent) (NP (NNS years) (CC and) (NNS years)) (, ,) (INTJ (UH uh)) (, ,) (S (VP (VBG lobbying) (PP (IN for) (NP (NP (PRP$ their) (NN release)) (CC and) (S (PRP$ their) (NN ability) (TO to) (, ,) (NP (NN um)) (, ,) (VP (VB immigrate) (PP (IN from) (NP (NN russia)))))))))))))))))))",IMMIGRATION,FIND OUT HOW THE OTHER CALLER FEELS ABOUT AMERICA'S IMMIGRATION POLICY.  IF THERE ARE PROBLEMS
sw03utt/sw_0391_2259.utt,2/sw2259,2259,20,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,9,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),IMMIGRATION,FIND OUT HOW THE OTHER CALLER FEELS ABOUT AMERICA'S IMMIGRATION POLICY.  IF THERE ARE PROBLEMS
sw03utt/sw_0391_2259.utt,2/sw2259,2259,22,%,Communicative-Status:Uninterpretable,,,B,10,2,So.,(ROOT (ADVP (RB so) (. .))),IMMIGRATION,FIND OUT HOW THE OTHER CALLER FEELS ABOUT AMERICA'S IMMIGRATION POLICY.  IF THERE ARE PROBLEMS
