swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,act_label_1,act_label_2,act_label_relation,caller,utterance_index,subutterance_index,clean_text,parse_tree,topic_description,prompt
sw09utt/sw_0979_3181.utt,3/sw3181,3181,0,o,Other,,,A,1,1,Okay.,(ROOT (ADJP (JJ okay) (. .))),EXERCISE_AND_FITNESS,DO YOU DO ANY EXERCISE REGULARLY TO MAINTAIN YOUR HEALTH OR FITNESS LEVEL?  IF SOOR DO IT AS A TASK?  COMPARE YOUR HABITS AND YOUR MOTIVES
sw09utt/sw_0979_3181.utt,3/sw3181,3181,3,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,2,3,but I kind of had to start after I had my baby because I wanted to lose that extra weight.,(ROOT (NP (NP (NP (CC but) (FW i) (NN kind)) (PP (IN of) (S (VP (VBD had) (S (VP (TO to) (VP (VB start) (SBAR (IN after) (S (FW i) (VP (VBD had) (NP (PRP$ my) (NN baby)) (SBAR (IN because) (S (NP (FW i)) (VP (VBD wanted) (S (VP (TO to) (VP (VB lose) (NP (IN that) (NP (JJ extra) (NN weight))))))))))))))))))) (. .))),EXERCISE_AND_FITNESS,DO YOU DO ANY EXERCISE REGULARLY TO MAINTAIN YOUR HEALTH OR FITNESS LEVEL?  IF SOOR DO IT AS A TASK?  COMPARE YOUR HABITS AND YOUR MOTIVES
sw09utt/sw_0979_3181.utt,3/sw3181,3181,4,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,3,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),EXERCISE_AND_FITNESS,DO YOU DO ANY EXERCISE REGULARLY TO MAINTAIN YOUR HEALTH OR FITNESS LEVEL?  IF SOOR DO IT AS A TASK?  COMPARE YOUR HABITS AND YOUR MOTIVES
sw09utt/sw_0979_3181.utt,3/sw3181,3181,5,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,4,1,"And so basically at this point I'm, I'm a real walker.","(ROOT (FRAG (CC and) (ADVP (ADVP (RB so) (RB basically)) (SBAR (S (PP (IN at) (NP (DT this) (NN point)) (PRN (S (FW i) (VP (VBP 'm))))) (, ,) (FW i) (VP (VBP 'm) (NP (DT a) (JJ real) (NN walker)))))) (. .)))",EXERCISE_AND_FITNESS,DO YOU DO ANY EXERCISE REGULARLY TO MAINTAIN YOUR HEALTH OR FITNESS LEVEL?  IF SOOR DO IT AS A TASK?  COMPARE YOUR HABITS AND YOUR MOTIVES
sw09utt/sw_0979_3181.utt,3/sw3181,3181,6,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,A,5,1,"I am, too.","(ROOT (FRAG (LS i) (FRAG (ADVP (RB am)) (, ,) (ADVP (RB too)) (. .))))",EXERCISE_AND_FITNESS,DO YOU DO ANY EXERCISE REGULARLY TO MAINTAIN YOUR HEALTH OR FITNESS LEVEL?  IF SOOR DO IT AS A TASK?  COMPARE YOUR HABITS AND YOUR MOTIVES
sw09utt/sw_0979_3181.utt,3/sw3181,3181,7,bh,Backwards-Communicative-Function:Understanding:Backchannel-in-question-form,,,B,6,1,Are you ?,(ROOT (SBARQ (SQ (VBP are) (NP (PRP you))) (. ?))),EXERCISE_AND_FITNESS,DO YOU DO ANY EXERCISE REGULARLY TO MAINTAIN YOUR HEALTH OR FITNESS LEVEL?  IF SOOR DO IT AS A TASK?  COMPARE YOUR HABITS AND YOUR MOTIVES
sw09utt/sw_0979_3181.utt,3/sw3181,3181,8,ny,Info-request:Yes answers,,,A,7,1,Yes.,(ROOT (ADVP (RB yes) (. .))),EXERCISE_AND_FITNESS,DO YOU DO ANY EXERCISE REGULARLY TO MAINTAIN YOUR HEALTH OR FITNESS LEVEL?  IF SOOR DO IT AS A TASK?  COMPARE YOUR HABITS AND YOUR MOTIVES
sw09utt/sw_0979_3181.utt,3/sw3181,3181,9,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,8,1,"I don't do that, oh, I guess I'll call it that fancy type walking where they kind of move their hips, you know, and","(ROOT (S (S (SBAR (LS i) (S (VP (VBP do) (RB n't) (VP (VB do) (NP (DT that)))))) (, ,) (INTJ (UH oh)) (, ,) (SBAR (FW i) (S (NP (NN guess) (FW i) (MD 'll)) (VP (VB call) (NP (NP (PRP it)) (SBAR (IN that) (S (NP (JJ fancy) (NN type)) (VP (VBG walking) (SBAR (WHADVP (WRB where)) (S (NP (PRP they)) (VP (ADVP (RB kind) (IN of)) (VB move) (NP (PRP$ their) (NNS hips)))))))))))) (, ,) (NP (PRP you)) (VP (VBP know))) (, ,) (X (CC and))))",EXERCISE_AND_FITNESS,DO YOU DO ANY EXERCISE REGULARLY TO MAINTAIN YOUR HEALTH OR FITNESS LEVEL?  IF SOOR DO IT AS A TASK?  COMPARE YOUR HABITS AND YOUR MOTIVES
sw09utt/sw_0979_3181.utt,3/sw3181,3181,10,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,9,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),EXERCISE_AND_FITNESS,DO YOU DO ANY EXERCISE REGULARLY TO MAINTAIN YOUR HEALTH OR FITNESS LEVEL?  IF SOOR DO IT AS A TASK?  COMPARE YOUR HABITS AND YOUR MOTIVES
sw09utt/sw_0979_3181.utt,3/sw3181,3181,14,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,10,4,"or, you know, and I have to do that at least once a day. If it","(ROOT (S (CC or) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,)) (CC and) (S (NP (FW i)) (VP (VBP have) (S (VP (TO to) (VP (VB do) (NP (DT that)) (NP (ADVP (IN at) (JJS least) (RB once)) (DT a) (NN day))))))) (. .)))",EXERCISE_AND_FITNESS,DO YOU DO ANY EXERCISE REGULARLY TO MAINTAIN YOUR HEALTH OR FITNESS LEVEL?  IF SOOR DO IT AS A TASK?  COMPARE YOUR HABITS AND YOUR MOTIVES
