swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,act_label_1,act_label_2,act_label_relation,caller,utterance_index,subutterance_index,clean_text,parse_tree,topic_description,prompt
sw00utt/sw_0059_4028.utt,4/sw4028,4028,2,qw,Info-request:Wh-Question,,,A,1,3,"and so what do you think, next to salary do you rank, is the most important job benefits ?","(ROOT (ADVP (CC and) (RB so) (SBAR (WHNP (WP what)) (S (SQ (VBP do) (NP (PRP you)) (VP (VB think))) (, ,) (ADVP (JJ next) (PP (TO to) (NP (NN salary)))) (SQ (VBP do) (NP (PRP you)) (VP (VP (VB rank)) (, ,) (VP (VBZ is) (NP (DT the) (ADJP (RBS most) (JJ important)) (NN job) (NNS benefits))))) (. ?)))))",JOB_BENEFITS,WHAT DO YOU CONSIDER THE MOST IMPORTANT BENEFITS BESIDES SALARY IN A JOB WITH A LARGE ORGANIZATION?  HOW SATISFIED ARE YOU WITH THE CURRENT BENEFITS OF YOUR JOB
sw00utt/sw_0059_4028.utt,4/sw4028,4028,3,sv,Forward-Communicative-Function:Statement:Statement-opinion,,,B,2,1,"Uh, I would say the medical, uh, group insurance area","(ROOT (S (INTJ (UH uh)) (, ,) (NP (FW i)) (VP (MD would) (VP (VB say) (FRAG (DT the) (JJ medical) (, ,) (INTJ (UH uh)) (, ,) (NP (NN group) (NN insurance) (NN area)))))))",JOB_BENEFITS,WHAT DO YOU CONSIDER THE MOST IMPORTANT BENEFITS BESIDES SALARY IN A JOB WITH A LARGE ORGANIZATION?  HOW SATISFIED ARE YOU WITH THE CURRENT BENEFITS OF YOUR JOB
sw00utt/sw_0059_4028.utt,4/sw4028,4028,4,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,3,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),JOB_BENEFITS,WHAT DO YOU CONSIDER THE MOST IMPORTANT BENEFITS BESIDES SALARY IN A JOB WITH A LARGE ORGANIZATION?  HOW SATISFIED ARE YOU WITH THE CURRENT BENEFITS OF YOUR JOB
sw00utt/sw_0059_4028.utt,4/sw4028,4028,5,+,Other:Segment-(multi-utterance),,,B,4,1,"as far as, uh, covering medical costs for yourself or family members.","(ROOT (FRAG (PP (IN as) (NP (NP (ADJP (RB far) (RB as)) (PRN (, ,) (INTJ (UH uh)) (, ,))) (VP (VBG covering) (NP (NP (JJ medical) (NNS costs)) (PP (IN for) (NP (NP (PRP yourself)) (CC or) (NP (NN family) (NNS members)))))))) (. .)))",JOB_BENEFITS,WHAT DO YOU CONSIDER THE MOST IMPORTANT BENEFITS BESIDES SALARY IN A JOB WITH A LARGE ORGANIZATION?  HOW SATISFIED ARE YOU WITH THE CURRENT BENEFITS OF YOUR JOB
sw00utt/sw_0059_4028.utt,4/sw4028,4028,7,qy,Info-request:Yes-No-Question,,,A,5,2,"Well, um, does your company have good benefits in that, in that regard ?","(ROOT (S (ADVP (RB well)) (, ,) (NP (NN um)) (, ,) (VP (VBZ does) (SBAR (S (NP (PRP$ your) (NN company)) (VP (VBP have) (NP (JJ good) (NNS benefits)) (PP (IN in) (NP (DT that))) (, ,) (PP (IN in) (NP (DT that) (NN regard))))))) (. ?)))",JOB_BENEFITS,WHAT DO YOU CONSIDER THE MOST IMPORTANT BENEFITS BESIDES SALARY IN A JOB WITH A LARGE ORGANIZATION?  HOW SATISFIED ARE YOU WITH THE CURRENT BENEFITS OF YOUR JOB
sw00utt/sw_0059_4028.utt,4/sw4028,4028,10,sd^e,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,6,3,"I work for a public school system, district","(ROOT (X (LST (LS i)) (NP (NP (NN work)) (PP (IN for) (NP (DT a) (JJ public) (NN school) (NN system))) (, ,) (NP (NN district)))))",JOB_BENEFITS,WHAT DO YOU CONSIDER THE MOST IMPORTANT BENEFITS BESIDES SALARY IN A JOB WITH A LARGE ORGANIZATION?  HOW SATISFIED ARE YOU WITH THE CURRENT BENEFITS OF YOUR JOB
sw00utt/sw_0059_4028.utt,4/sw4028,4028,11,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,7,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),JOB_BENEFITS,WHAT DO YOU CONSIDER THE MOST IMPORTANT BENEFITS BESIDES SALARY IN A JOB WITH A LARGE ORGANIZATION?  HOW SATISFIED ARE YOU WITH THE CURRENT BENEFITS OF YOUR JOB
sw00utt/sw_0059_4028.utt,4/sw4028,4028,13,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,8,2,"where the school district does, um, the employee must pick up a greater figure in the way of, uh, costs.","(ROOT (NP (NP (SBAR (WHADVP (WRB where)) (S (NP (DT the) (NN school) (NN district)) (VP (VBZ does)))) (, ,) (NP (NP (NN um)) (, ,) (NP (DT the) (NN employee)) (VP (MD must) (VP (VP (VB pick) (PRT (RP up)) (NP (DT a) (JJR greater) (NN figure)) (PP (IN in) (NP (NP (DT the) (NN way)) (PP (IN of))))) (, ,) (NP (INTJ (UH uh)) (, ,) (NP (NNS costs))))))) (. .)))",JOB_BENEFITS,WHAT DO YOU CONSIDER THE MOST IMPORTANT BENEFITS BESIDES SALARY IN A JOB WITH A LARGE ORGANIZATION?  HOW SATISFIED ARE YOU WITH THE CURRENT BENEFITS OF YOUR JOB
sw00utt/sw_0059_4028.utt,4/sw4028,4028,14,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,9,1,"Oh, yeah.","(ROOT (NP (NP (INTJ (UH oh)) (, ,) (NN yeah)) (. .)))",JOB_BENEFITS,WHAT DO YOU CONSIDER THE MOST IMPORTANT BENEFITS BESIDES SALARY IN A JOB WITH A LARGE ORGANIZATION?  HOW SATISFIED ARE YOU WITH THE CURRENT BENEFITS OF YOUR JOB
sw00utt/sw_0059_4028.utt,4/sw4028,4028,15,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,10,1,"But overall, um, I've been pleased with it over the years.","(ROOT (FRAG (FRAG (CC but) (NP (ADVP (RB overall)) (, ,) (NP (NP (NN um)) (, ,) (NP (FW i)) (S (VP (VBP 've) (VP (VBN been) (VP (VBN pleased) (PP (IN with) (NP (PRP it))) (PP (IN over) (NP (DT the) (NNS years)))))))))) (. .)))",JOB_BENEFITS,WHAT DO YOU CONSIDER THE MOST IMPORTANT BENEFITS BESIDES SALARY IN A JOB WITH A LARGE ORGANIZATION?  HOW SATISFIED ARE YOU WITH THE CURRENT BENEFITS OF YOUR JOB
sw00utt/sw_0059_4028.utt,4/sw4028,4028,16,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,11,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),JOB_BENEFITS,WHAT DO YOU CONSIDER THE MOST IMPORTANT BENEFITS BESIDES SALARY IN A JOB WITH A LARGE ORGANIZATION?  HOW SATISFIED ARE YOU WITH THE CURRENT BENEFITS OF YOUR JOB
sw00utt/sw_0059_4028.utt,4/sw4028,4028,18,sd,Forward-Communicative-Function:Statement:Statement-non-opinion,,,B,12,2,"or now we're on a managed care thing, which has stressed a lot of people out","(ROOT (S (CC or) (ADVP (RB now)) (NP (PRP we)) (VP (VBP 're) (PP (IN on) (NP (NP (DT a) (VBN managed) (NN care) (NN thing)) (, ,) (SBAR (WHNP (WDT which)) (S (VP (VBZ has) (VP (VBN stressed) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NNS people)))) (FRAG (PP (IN out))))))))))))",JOB_BENEFITS,WHAT DO YOU CONSIDER THE MOST IMPORTANT BENEFITS BESIDES SALARY IN A JOB WITH A LARGE ORGANIZATION?  HOW SATISFIED ARE YOU WITH THE CURRENT BENEFITS OF YOUR JOB
sw00utt/sw_0059_4028.utt,4/sw4028,4028,19,b^r,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,13,1,Uh-huh.,(ROOT (ADVP (RB uh-huh) (. .))),JOB_BENEFITS,WHAT DO YOU CONSIDER THE MOST IMPORTANT BENEFITS BESIDES SALARY IN A JOB WITH A LARGE ORGANIZATION?  HOW SATISFIED ARE YOU WITH THE CURRENT BENEFITS OF YOUR JOB
sw00utt/sw_0059_4028.utt,4/sw4028,4028,20,+,Other:Segment-(multi-utterance),,,B,14,1,although it has not disturbed me any.,(ROOT (FRAG (SBAR (IN although) (S (NP (PRP it)) (VP (VBZ has) (RB not) (VP (JJ disturbed) (NP (PRP me)) (NP (DT any)))))) (. .))),JOB_BENEFITS,WHAT DO YOU CONSIDER THE MOST IMPORTANT BENEFITS BESIDES SALARY IN A JOB WITH A LARGE ORGANIZATION?  HOW SATISFIED ARE YOU WITH THE CURRENT BENEFITS OF YOUR JOB
sw00utt/sw_0059_4028.utt,4/sw4028,4028,21,b,Backwards-Communicative-Function:Understanding:Acknowledge,,,A,15,1,I see.,(ROOT (S (VP (LS i) (VP (VB see))) (. .))),JOB_BENEFITS,WHAT DO YOU CONSIDER THE MOST IMPORTANT BENEFITS BESIDES SALARY IN A JOB WITH A LARGE ORGANIZATION?  HOW SATISFIED ARE YOU WITH THE CURRENT BENEFITS OF YOUR JOB
sw00utt/sw_0059_4028.utt,4/sw4028,4028,22,qo,Info-request:Open-Question,,,B,16,1,How about yourself ?,(ROOT (FRAG (WHADVP (WRB how) (RB about)) (NP (PRP yourself)) (. ?))),JOB_BENEFITS,WHAT DO YOU CONSIDER THE MOST IMPORTANT BENEFITS BESIDES SALARY IN A JOB WITH A LARGE ORGANIZATION?  HOW SATISFIED ARE YOU WITH THE CURRENT BENEFITS OF YOUR JOB
